date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5684835.0,12476370.0,-6791534.0,-10304802.0,4619967.0,-2.27,4.98,-2.71,-4.11,1.84,5.47,0.55,0.0,0.0
2020-01-09,-9038102.0,-1905060.0,10943162.0,6183872.0,-15221974.0,-3.4,-0.72,4.12,2.33,-5.72,5.52,0.91,0.0,0.0
2020-01-10,-6646768.0,9885388.0,-3238621.0,-4338953.0,-2307815.0,-2.02,3.0,-0.98,-1.32,-0.7,5.67,2.72,0.0,0.0
2020-01-13,-33663383.0,20355317.0,13308065.0,-24311205.0,-9352178.0,-16.86,10.19,6.66,-12.18,-4.68,5.6,-1.23,0.0,0.0
2020-01-14,-33049804.0,31570099.0,1479705.0,-23326007.0,-9723797.0,-18.84,18.0,0.84,-13.3,-5.54,5.48,-2.14,0.0,0.0
2020-01-15,3868182.0,6459040.0,-10327222.0,-3540422.0,7408604.0,1.68,2.81,-4.49,-1.54,3.22,5.68,3.65,0.0,0.0
2020-01-16,-1571107.0,4981271.0,-3410164.0,-539592.0,-1031515.0,-0.85,2.71,-1.85,-0.29,-0.56,5.58,-1.76,0.0,0.0
2020-01-17,-22766527.0,13008934.0,9757593.0,-18359618.0,-4406909.0,-16.19,9.25,6.94,-13.06,-3.13,5.51,-1.25,0.0,0.0
2020-01-20,-475326.0,2280078.0,-1804752.0,2722915.0,-3198241.0,-0.23,1.12,-0.88,1.33,-1.57,5.65,2.54,0.0,0.0
2020-01-21,5520954.0,-3853384.0,-1667570.0,-15882727.0,21403681.0,2.21,-1.54,-0.67,-6.37,8.58,5.71,1.06,0.0,0.0
2020-01-22,1240924.0,8805426.0,-10046349.0,-8984376.0,10225300.0,0.43,3.02,-3.44,-3.08,3.51,5.68,-0.53,0.0,0.0
2020-01-23,-23322357.0,19277830.0,4044527.0,-15821022.0,-7501335.0,-11.65,9.63,2.02,-7.91,-3.75,5.49,-3.35,0.0,0.0
2020-02-03,-658502.0,2955602.0,-2297100.0,-658502.0,0.0,-4.24,19.04,-14.8,-4.24,0.0,4.94,-10.02,0.0,0.0
2020-02-04,-16798225.0,15051411.0,1746816.0,-10763956.0,-6034269.0,-9.59,8.6,1.0,-6.15,-3.45,4.65,-5.87,0.0,0.0
2020-02-05,-5407193.0,4788161.0,619032.0,-1051465.0,-4355728.0,-4.5,3.99,0.52,-0.88,-3.63,4.75,2.15,0.0,0.0
2020-02-06,-9335545.0,7029145.0,2306401.0,670014.0,-10005559.0,-6.94,5.22,1.71,0.5,-7.44,4.79,0.84,0.0,0.0
2020-02-07,7137270.0,-387682.0,-6749586.0,4759564.0,2377706.0,4.41,-0.24,-4.17,2.94,1.47,4.96,3.55,0.0,0.0
2020-02-10,-22679008.0,14921280.0,7757727.0,-21700388.0,-978620.0,-19.43,12.79,6.65,-18.6,-0.84,4.97,0.2,0.0,0.0
2020-02-11,-8071111.0,4535367.0,3535744.0,-7018591.0,-1052520.0,-10.0,5.62,4.38,-8.7,-1.3,4.92,-1.01,0.0,0.0
