date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,7174664.0,-9560952.0,2386288.0,5775855.0,1398809.0,14.3,-19.06,4.76,11.51,2.79,7.39,-2.89,0.0,0.0
2020-01-09,3444819.0,-1369227.0,-2075591.0,122817.0,3322002.0,8.67,-3.45,-5.22,0.31,8.36,7.43,0.54,0.0,0.0
2020-01-10,3951973.0,-1493068.0,-2458906.0,2440340.0,1511633.0,12.16,-4.59,-7.57,7.51,4.65,7.46,0.4,0.0,0.0
2020-01-13,508751.0,-729891.0,221141.0,508751.0,0.0,1.88,-2.7,0.82,1.88,0.0,7.47,0.13,0.0,0.0
2020-01-14,-9187321.0,6609747.0,2577575.0,-89757.0,-9097564.0,-29.37,21.13,8.24,-0.29,-29.09,7.43,-0.54,0.0,0.0
2020-01-15,-811918.0,-389129.0,1201046.0,-2021902.0,1209984.0,-2.09,-1.0,3.09,-5.21,3.12,7.38,-0.67,0.0,0.0
2020-01-16,-6460266.0,7304744.0,-844477.0,-10408394.0,3948128.0,-8.12,9.18,-1.06,-13.08,4.96,7.6,2.98,0.0,0.0
2020-01-17,-835695.0,-5398127.0,6233823.0,-2420223.0,1584528.0,-0.86,-5.54,6.4,-2.49,1.63,7.81,2.76,0.0,0.0
2020-01-20,280697.0,-326564.0,45867.0,1328300.0,-1047603.0,0.55,-0.64,0.09,2.6,-2.05,7.69,-1.54,0.0,0.0
2020-01-21,259352.0,1441425.0,-1700777.0,-1372368.0,1631720.0,0.86,4.79,-5.65,-4.56,5.43,7.56,-1.69,0.0,0.0
2020-01-22,89238.0,683257.0,-772495.0,2792402.0,-2703164.0,0.26,2.0,-2.26,8.16,-7.9,7.52,-0.53,0.0,0.0
2020-01-23,3778697.0,-3709811.0,-68887.0,51660.0,3727037.0,9.44,-9.27,-0.17,0.13,9.31,7.4,-1.6,0.0,0.0
2020-02-03,-1140250.0,3107663.0,-1967414.0,18836.0,-1159086.0,-2.86,7.78,-4.93,0.05,-2.9,6.66,-10.0,0.0,0.0
2020-02-04,493361.0,199878.0,-693239.0,441911.0,51450.0,1.37,0.56,-1.93,1.23,0.14,6.88,3.3,0.0,0.0
2020-02-05,-3587190.0,3768356.0,-181166.0,-3587190.0,0.0,-8.1,8.51,-0.41,-8.1,0.0,7.01,1.89,0.0,0.0
2020-02-06,-9985581.0,4231001.0,5754581.0,-3784413.0,-6201168.0,-18.06,7.65,10.41,-6.84,-11.21,7.09,1.14,0.0,0.0
2020-02-07,-2989168.0,880978.0,2108190.0,-742783.0,-2246385.0,-6.87,2.02,4.84,-1.71,-5.16,7.19,1.41,0.0,0.0
2020-02-10,-697545.0,1947524.0,-1249979.0,-2232386.0,1534841.0,-1.77,4.95,-3.17,-5.67,3.9,7.33,1.95,0.0,0.0
2020-02-11,-590413.0,1953372.0,-1362959.0,-590413.0,0.0,-1.63,5.4,-3.77,-1.63,0.0,7.34,0.14,0.0,0.0
2020-02-12,4044499.0,-557048.0,-3487450.0,4059995.0,-15496.0,9.63,-1.33,-8.3,9.66,-0.04,7.36,0.27,0.0,0.0
2020-02-13,969939.0,-2975312.0,2005371.0,1470163.0,-500224.0,1.78,-5.46,3.68,2.7,-0.92,7.26,-1.36,0.0,0.0
2020-02-14,-682195.0,1607713.0,-925518.0,-1855029.0,1172834.0,-2.8,6.6,-3.8,-7.62,4.81,7.25,-0.14,0.0,0.0
2020-02-17,1815485.0,2435881.0,-4251365.0,-8282135.0,10097620.0,2.89,3.88,-6.77,-13.19,16.08,7.44,2.62,0.0,0.0
2020-02-18,1907006.0,247641.0,-2154647.0,1907006.0,0.0,6.13,0.8,-6.93,6.13,0.0,7.46,0.27,0.0,0.0
2020-02-19,-4776904.0,2965339.0,1811565.0,891307.0,-5668211.0,-11.67,7.25,4.43,2.18,-13.85,7.38,-1.07,0.0,0.0
2020-02-20,1503777.0,-574101.0,-929677.0,2605814.0,-1102037.0,5.05,-1.93,-3.12,8.74,-3.7,7.48,1.36,0.0,0.0
2020-02-21,-5083220.0,6373440.0,-1290221.0,-3966769.0,-1116451.0,-16.47,20.65,-4.18,-12.85,-3.62,7.45,-0.4,0.0,0.0
2020-02-24,-3854341.0,1300872.0,2553470.0,-1291643.0,-2562698.0,-6.15,2.07,4.07,-2.06,-4.09,7.55,1.34,0.0,0.0
2020-02-25,-3094034.0,1006261.0,2087775.0,-1370951.0,-1723083.0,-3.49,1.13,2.35,-1.55,-1.94,7.64,1.19,0.0,0.0
2020-02-26,4528599.0,-7388597.0,2859998.0,-1306608.0,5835207.0,5.08,-8.29,3.21,-1.47,6.54,7.82,2.36,0.0,0.0
2020-02-27,-2916802.0,-738290.0,3655093.0,-2934926.0,18124.0,-5.35,-1.35,6.71,-5.39,0.03,7.86,0.51,0.0,0.0
2020-02-28,4052396.0,2247453.0,-6299850.0,1284215.0,2768181.0,4.27,2.37,-6.64,1.35,2.92,7.89,0.38,0.0,0.0
2020-03-02,-7489454.0,11112332.0,-3622877.0,-8448394.0,958940.0,-5.77,8.56,-2.79,-6.51,0.74,8.03,1.77,0.0,0.0
2020-03-03,-6592357.0,8023205.0,-1430848.0,-11417105.0,4824748.0,-4.84,5.89,-1.05,-8.38,3.54,8.0,-0.37,0.0,0.0
2020-03-04,-19057388.0,12621002.0,6436387.0,-10868332.0,-8189056.0,-20.65,13.68,6.97,-11.78,-8.87,7.85,-1.88,0.0,0.0
2020-03-05,27435648.0,1414899.0,-28850547.0,19641682.0,7793966.0,12.97,0.67,-13.64,9.28,3.68,8.23,4.84,0.0,0.0
2020-03-06,6498201.0,4708977.0,-11207178.0,4241751.0,2256450.0,4.5,3.26,-7.75,2.93,1.56,8.12,-1.34,0.0,0.0
2020-03-09,-4351295.0,4237136.0,114160.0,-853849.0,-3497446.0,-4.02,3.91,0.11,-0.79,-3.23,8.12,0.0,0.0,0.0
2020-03-10,-5935813.0,11583698.0,-5647884.0,-5142420.0,-793393.0,-4.14,8.07,-3.94,-3.58,-0.55,8.44,3.94,0.0,0.0
2020-03-11,-4226201.0,2128839.0,2097362.0,-5606292.0,1380091.0,-3.35,1.69,1.66,-4.45,1.09,8.67,2.73,0.0,0.0
2020-03-12,5697575.0,-2505283.0,-3192291.0,-3800270.0,9497845.0,3.17,-1.39,-1.77,-2.11,5.28,9.2,6.11,0.0,0.0
2020-03-13,-15571968.0,7626738.0,7945229.0,-7467118.0,-8104850.0,-10.08,4.94,5.14,-4.83,-5.25,9.17,-0.33,0.0,0.0
2020-03-16,-3348677.0,303842.0,3044836.0,-3305656.0,-43021.0,-2.8,0.25,2.55,-2.76,-0.04,8.93,-2.62,0.0,0.0
2020-03-17,1466685.0,3823180.0,-5289864.0,2165974.0,-699289.0,1.25,3.26,-4.51,1.85,-0.6,9.22,3.25,0.0,0.0
2020-03-18,-4916814.0,1358670.0,3558145.0,393609.0,-5310423.0,-2.82,0.78,2.04,0.23,-3.05,9.5,3.04,0.0,0.0
2020-03-19,-772250.0,-2128388.0,2900638.0,-5872184.0,5099934.0,-0.47,-1.29,1.76,-3.57,3.1,9.25,-2.63,0.0,0.0
2020-03-20,5217612.0,-2864383.0,-2353229.0,4947373.0,270239.0,5.56,-3.05,-2.51,5.27,0.29,9.44,2.05,0.0,0.0
2020-03-23,-2841447.0,-2007069.0,4848515.0,1902052.0,-4743499.0,-3.48,-2.46,5.94,2.33,-5.81,9.16,-2.97,0.0,0.0
2020-03-24,-8804642.0,4515464.0,4289177.0,-2231668.0,-6572974.0,-6.68,3.43,3.25,-1.69,-4.99,9.1,-0.66,0.0,0.0
2020-03-25,-6415293.0,3042258.0,3373035.0,-6456848.0,41555.0,-5.96,2.83,3.13,-6.0,0.04,9.29,2.09,0.0,0.0
2020-03-26,-8307839.0,790923.0,7516915.0,-5763051.0,-2544788.0,-9.37,0.89,8.48,-6.5,-2.87,9.0,-3.12,0.0,0.0
2020-03-27,-2948915.0,1431505.0,1517411.0,-647285.0,-2301630.0,-3.22,1.56,1.66,-0.71,-2.51,8.99,-0.11,0.0,0.0
2020-03-30,-3189.0,869171.0,-865982.0,1694548.0,-1697737.0,-0.01,1.42,-1.42,2.78,-2.78,8.7,-3.23,0.0,0.0
2020-03-31,-7725622.0,8271094.0,-545472.0,-6537968.0,-1187654.0,-10.22,10.95,-0.72,-8.65,-1.57,8.71,0.11,0.0,0.0
2020-04-01,-6757709.0,5044046.0,1713663.0,-6757709.0,0.0,-10.48,7.82,2.66,-10.48,0.0,8.63,-0.92,0.0,0.0
2020-04-02,-729398.0,3457531.0,-2728133.0,-729398.0,0.0,-1.32,6.26,-4.94,-1.32,0.0,8.71,0.93,0.0,0.0
2020-04-03,2025018.0,-1676280.0,-348737.0,-5299103.0,7324121.0,2.23,-1.84,-0.38,-5.83,8.06,9.04,3.79,0.0,0.0
2020-04-07,4521838.0,-3740051.0,-781788.0,5047170.0,-525332.0,6.17,-5.1,-1.07,6.89,-0.72,9.21,1.88,0.0,0.0
2020-04-08,-7354013.0,3135664.0,4218348.0,-6331741.0,-1022272.0,-12.54,5.35,7.19,-10.8,-1.74,9.01,-2.17,0.0,0.0
2020-04-09,2002582.0,-590523.0,-1412059.0,3439192.0,-1436610.0,2.55,-0.75,-1.8,4.38,-1.83,9.26,2.77,0.0,0.0
2020-04-10,-9141027.0,9392073.0,-251046.0,-7903365.0,-1237662.0,-15.08,15.5,-0.41,-13.04,-2.04,9.05,-2.27,0.0,0.0
2020-04-13,-8875026.0,8942469.0,-67443.0,-8875026.0,0.0,-6.87,6.92,-0.05,-6.87,0.0,9.47,4.64,0.0,0.0
2020-04-14,6532019.0,5922828.0,-12454848.0,4244101.0,2287918.0,4.25,3.85,-8.1,2.76,1.49,9.74,2.85,0.0,0.0
2020-04-15,-7955640.0,8587717.0,-632078.0,-6650821.0,-1304819.0,-7.26,7.83,-0.58,-6.07,-1.19,9.4,-3.49,0.0,0.0
2020-04-16,-6515738.0,2089888.0,4425850.0,-6515738.0,0.0,-10.91,3.5,7.41,-10.91,0.0,9.32,-0.85,0.0,0.0
2020-04-17,-4319314.0,-1465918.0,5785231.0,-1743310.0,-2576004.0,-7.97,-2.71,10.68,-3.22,-4.75,9.26,-0.64,0.0,0.0
2020-04-20,2537355.0,811896.0,-3349251.0,2260930.0,276425.0,3.79,1.21,-5.0,3.38,0.41,9.46,2.16,0.0,0.0
2020-04-21,-6323187.0,12627933.0,-6304747.0,-6323187.0,0.0,-8.27,16.51,-8.24,-8.27,0.0,9.51,0.53,0.0,0.0
2020-04-22,1804762.0,12017413.0,-13822175.0,431495.0,1373267.0,1.28,8.54,-9.83,0.31,0.98,9.95,4.63,0.0,0.0
2020-04-23,-6785350.0,10989930.0,-4204580.0,-6356350.0,-429000.0,-6.49,10.51,-4.02,-6.08,-0.41,9.91,-0.4,0.0,0.0
2020-04-24,-5610834.0,3374014.0,2236819.0,-7434980.0,1824146.0,-7.39,4.45,2.95,-9.8,2.4,9.94,0.3,0.0,0.0
2020-04-27,225848.0,-783889.0,558041.0,-581152.0,807000.0,0.32,-1.11,0.79,-0.82,1.14,9.95,0.1,0.0,0.0
2020-04-28,447061.0,4874924.0,-5321985.0,-2673780.0,3120841.0,0.44,4.82,-5.26,-2.64,3.09,10.2,2.51,0.0,0.0
2020-04-29,-3199666.0,1268365.0,1931301.0,-994296.0,-2205370.0,-3.2,1.27,1.93,-1.0,-2.21,9.88,-3.14,0.0,0.0
2020-04-30,-6798911.0,6190250.0,608662.0,-3845407.0,-2953504.0,-9.77,8.89,0.87,-5.52,-4.24,9.94,0.61,0.0,0.0
2020-05-06,-12893777.0,8482338.0,4411439.0,-4716662.0,-8177115.0,-16.39,10.78,5.61,-6.0,-10.39,9.94,0.0,0.0,0.0
2020-05-07,-10017448.0,600103.0,9417346.0,-13843974.0,3826526.0,-6.98,0.42,6.56,-9.65,2.67,10.27,3.32,0.0,0.0
2020-05-08,11075697.0,-6307867.0,-4767831.0,45218.0,11030479.0,7.56,-4.31,-3.26,0.03,7.53,10.45,1.75,0.0,0.0
2020-05-11,-7215678.0,5117479.0,2098200.0,-6845022.0,-370656.0,-8.66,6.14,2.52,-8.21,-0.44,10.35,-0.96,0.0,0.0
2020-05-12,725527.0,1225780.0,-1951307.0,725527.0,0.0,0.82,1.39,-2.21,0.82,0.0,10.61,2.51,0.0,0.0
2020-05-13,1318343.0,1600633.0,-2918976.0,-2623752.0,3942095.0,0.77,0.93,-1.7,-1.53,2.29,11.13,4.9,0.0,0.0
2020-05-14,-8214545.0,8089972.0,124573.0,-5979872.0,-2234673.0,-6.88,6.78,0.1,-5.01,-1.87,11.09,-0.36,0.0,0.0
2020-05-15,-3168482.0,3000776.0,167706.0,-1032260.0,-2136222.0,-3.17,3.0,0.17,-1.03,-2.14,11.17,0.72,0.0,0.0
2020-05-18,-5774339.0,7378861.0,-1604521.0,-5253720.0,-520619.0,-4.24,5.41,-1.18,-3.85,-0.38,11.35,1.61,0.0,0.0
2020-05-19,-6799290.0,6612922.0,186369.0,-7461626.0,662336.0,-5.32,5.17,0.15,-5.84,0.52,11.56,1.85,0.0,0.0
2020-05-20,-25638532.0,27640199.0,-2001665.0,-22148292.0,-3490240.0,-13.08,14.1,-1.02,-11.3,-1.78,11.02,-4.67,0.0,0.0
2020-05-21,-13634817.0,8939140.0,4695677.0,-12021159.0,-1613658.0,-8.98,5.89,3.09,-7.92,-1.06,10.59,-3.9,0.0,0.0
2020-05-22,-12456440.0,8466937.0,3989504.0,-7986915.0,-4469525.0,-9.83,6.68,3.15,-6.3,-3.53,10.29,-2.83,0.0,0.0
2020-05-25,-445034.0,2521875.0,-2076841.0,-1593020.0,1147986.0,-0.42,2.37,-1.96,-1.5,1.08,10.52,2.24,0.0,0.0
2020-05-26,-1302115.0,-327873.0,1629989.0,1321588.0,-2623703.0,-1.25,-0.31,1.56,1.27,-2.52,10.63,1.05,0.0,0.0
2020-05-27,1843889.0,-1093867.0,-750023.0,-13016.0,1856905.0,1.99,-1.18,-0.81,-0.01,2.01,10.63,0.0,0.0,0.0
2020-05-28,-8035379.0,9985239.0,-1949860.0,-6066478.0,-1968901.0,-10.1,12.56,-2.45,-7.63,-2.48,10.39,-2.26,0.0,0.0
2020-05-29,240573.0,-414250.0,173677.0,223777.0,16796.0,0.18,-0.3,0.13,0.16,0.01,11.02,6.06,0.0,0.0
2020-06-01,-684358.0,898401.0,-214043.0,-334678.0,-349680.0,-0.6,0.78,-0.19,-0.29,-0.31,11.26,2.18,0.0,0.0
2020-06-02,-9621955.0,6295821.0,3326133.0,-3996231.0,-5625724.0,-8.19,5.36,2.83,-3.4,-4.79,11.06,-1.78,0.0,0.0
2020-06-03,-359211.0,-3964971.0,4324182.0,-3138245.0,2779034.0,-0.52,-5.69,6.21,-4.5,3.99,10.98,-0.72,0.0,0.0
2020-06-04,-5997196.0,6369690.0,-372494.0,-5609590.0,-387606.0,-9.61,10.2,-0.6,-8.99,-0.62,10.99,0.09,0.0,0.0
2020-06-05,-2663479.0,1905608.0,757871.0,-2663479.0,0.0,-4.28,3.06,1.22,-4.28,0.0,11.14,1.36,0.0,0.0
2020-06-08,19018830.0,-5622340.0,-13396489.0,15810748.0,3208082.0,12.06,-3.57,-8.5,10.03,2.03,11.42,2.51,0.0,0.0
2020-06-09,-8865967.0,1595450.0,7270518.0,-3343530.0,-5522437.0,-3.68,0.66,3.02,-1.39,-2.29,12.14,6.3,0.0,0.0
2020-06-10,-4196326.0,7910368.0,-3714042.0,-8934637.0,4738311.0,-2.97,5.6,-2.63,-6.32,3.35,12.3,1.32,0.0,0.0
2020-06-11,5007305.0,-5340045.0,332740.0,5184805.0,-177500.0,4.46,-4.76,0.3,4.62,-0.16,12.3,0.0,0.0,0.0
2020-06-12,-12790510.0,13392351.0,-601842.0,-10096515.0,-2693995.0,-11.35,11.88,-0.53,-8.96,-2.39,12.2,-0.81,0.0,0.0
2020-06-15,-14345727.0,6966476.0,7379252.0,-12235775.0,-2109952.0,-11.16,5.42,5.74,-9.52,-1.64,12.01,-1.56,0.0,0.0
2020-06-16,-3935190.0,4150534.0,-215344.0,-3971160.0,35970.0,-4.43,4.67,-0.24,-4.47,0.04,12.05,0.33,0.0,0.0
