date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-8416690.0,9424775.0,-1008085.0,-7020795.0,-1395895.0,-15.27,17.1,-1.83,-12.74,-2.53,10.68,-3.35,0.0,0.0
2020-01-09,-1882036.0,3081197.0,-1199161.0,-1882036.0,0.0,-4.44,7.27,-2.83,-4.44,0.0,10.81,1.22,0.0,0.0
2020-01-10,5170390.0,-5743282.0,572892.0,5085502.0,84888.0,6.52,-7.24,0.72,6.41,0.11,11.14,3.05,0.0,0.0
2020-01-13,-4228917.0,6234695.0,-2005778.0,-4228917.0,0.0,-7.15,10.54,-3.39,-7.15,0.0,11.05,-0.81,0.0,0.0
2020-01-14,12240025.0,-7180316.0,-5059709.0,11353847.0,886178.0,7.2,-4.23,-2.98,6.68,0.52,11.7,5.88,0.0,0.0
2020-01-15,-6742493.0,7942661.0,-1200167.0,-6742493.0,0.0,-5.26,6.19,-0.94,-5.26,0.0,11.77,0.6,0.0,0.0
2020-01-16,-17865509.0,16122529.0,1742981.0,-17460289.0,-405220.0,-16.24,14.66,1.58,-15.88,-0.37,11.14,-5.35,0.0,0.0
2020-01-17,-4380029.0,4652557.0,-272527.0,-4067354.0,-312675.0,-7.39,7.85,-0.46,-6.87,-0.53,10.97,-1.53,0.0,0.0
2020-01-20,-845439.0,1805544.0,-960104.0,-845439.0,0.0,-2.08,4.44,-2.36,-2.08,0.0,10.96,-0.09,0.0,0.0
2020-01-21,-7940212.0,8816507.0,-876295.0,-6857704.0,-1082508.0,-17.91,19.89,-1.98,-15.47,-2.44,10.6,-3.28,0.0,0.0
2020-01-22,-9525763.0,9410575.0,115188.0,-8461340.0,-1064423.0,-17.71,17.49,0.21,-15.73,-1.98,10.34,-2.45,0.0,0.0
2020-01-23,-4263063.0,7824504.0,-3561441.0,-4263063.0,0.0,-9.39,17.23,-7.84,-9.39,0.0,9.99,-3.38,0.0,0.0
2020-02-03,-1961618.0,1620897.0,340721.0,-1961618.0,0.0,-34.9,28.83,6.06,-34.9,0.0,8.99,-10.01,0.0,0.0
2020-02-04,-8638070.0,8742417.0,-104347.0,-6838208.0,-1799862.0,-11.28,11.42,-0.14,-8.93,-2.35,8.45,-6.01,0.0,0.0
2020-02-05,-3913901.0,2522245.0,1391657.0,-2622962.0,-1290939.0,-9.07,5.85,3.23,-6.08,-2.99,8.62,2.01,0.0,0.0
2020-02-06,3878452.0,-2141132.0,-1737320.0,-276041.0,4154493.0,4.73,-2.61,-2.12,-0.34,5.07,9.48,9.98,0.0,0.0
2020-02-07,12400880.0,-4171239.0,-8229641.0,-9748408.0,22149288.0,7.56,-2.54,-5.02,-5.94,13.5,10.43,10.02,0.0,0.0
2020-02-10,-30156010.0,22055109.0,8100901.0,-14822288.0,-15333722.0,-23.51,17.2,6.32,-11.56,-11.96,9.86,-5.47,0.0,0.0
2020-02-11,-5682565.0,5192676.0,489890.0,-5682565.0,0.0,-12.42,11.35,1.07,-12.42,0.0,9.59,-2.74,0.0,0.0
2020-02-12,41955.0,1340874.0,-1382829.0,-222424.0,264379.0,0.1,3.06,-3.15,-0.51,0.6,9.74,1.56,0.0,0.0
2020-02-13,-503704.0,3555862.0,-3052157.0,-503704.0,0.0,-0.93,6.57,-5.64,-0.93,0.0,9.81,0.72,0.0,0.0
2020-02-14,-4075949.0,5745863.0,-1669913.0,-4075949.0,0.0,-10.36,14.6,-4.24,-10.36,0.0,9.63,-1.83,0.0,0.0
2020-02-17,-821074.0,256841.0,564233.0,-821074.0,0.0,-1.4,0.44,0.96,-1.4,0.0,9.92,3.01,0.0,0.0
2020-02-18,1466068.0,-1286246.0,-179823.0,3426978.0,-1960910.0,1.72,-1.51,-0.21,4.02,-2.3,10.16,2.42,0.0,0.0
2020-02-19,-7500728.0,6692929.0,807800.0,-6233909.0,-1266819.0,-12.25,10.93,1.32,-10.18,-2.07,9.91,-2.46,0.0,0.0
2020-02-20,-5010148.0,4506453.0,503695.0,-4738420.0,-271728.0,-7.93,7.13,0.8,-7.5,-0.43,9.99,0.81,0.0,0.0
2020-02-21,3332433.0,668546.0,-4000978.0,3394653.0,-62220.0,3.96,0.79,-4.75,4.03,-0.07,10.17,1.8,0.0,0.0
2020-02-24,-1312174.0,4849775.0,-3537601.0,-580874.0,-731300.0,-1.61,5.95,-4.34,-0.71,-0.9,10.28,1.08,0.0,0.0
2020-02-25,-5964765.0,4110481.0,1854284.0,-5979960.0,15195.0,-7.62,5.25,2.37,-7.64,0.02,10.13,-1.46,0.0,0.0
2020-02-26,-6407843.0,5709702.0,698141.0,-5973825.0,-434018.0,-9.28,8.27,1.01,-8.66,-0.63,9.96,-1.68,0.0,0.0
2020-02-27,-6060202.0,-1630255.0,7690457.0,-7407773.0,1347571.0,-5.55,-1.49,7.05,-6.79,1.24,10.27,3.11,0.0,0.0
2020-02-28,-14362635.0,11625487.0,2737149.0,-11344843.0,-3017792.0,-15.87,12.85,3.02,-12.54,-3.33,9.33,-9.15,0.0,0.0
2020-03-02,-1188479.0,4613586.0,-3425108.0,-1061021.0,-127458.0,-2.15,8.35,-6.2,-1.92,-0.23,9.64,3.32,0.0,0.0
2020-03-03,-2421024.0,3003468.0,-582443.0,-2156508.0,-264516.0,-4.05,5.03,-0.97,-3.61,-0.44,9.77,1.35,0.0,0.0
2020-03-04,22395632.0,-14394246.0,-8001386.0,4356722.0,18038910.0,27.94,-17.95,-9.98,5.43,22.5,10.75,10.03,0.0,0.0
2020-03-05,-11235479.0,21263875.0,-10028396.0,-6673111.0,-4562368.0,-3.15,5.97,-2.82,-1.87,-1.28,11.05,2.79,0.0,0.0
2020-03-06,-16495631.0,12991574.0,3504057.0,-19020942.0,2525311.0,-8.98,7.07,1.91,-10.36,1.37,10.86,-1.72,0.0,0.0
2020-03-09,-20703702.0,18287543.0,2416160.0,-14046240.0,-6657462.0,-14.88,13.14,1.74,-10.1,-4.79,10.35,-4.7,0.0,0.0
2020-03-10,-4817370.0,3608182.0,1209187.0,-3589264.0,-1228106.0,-4.52,3.39,1.14,-3.37,-1.15,10.44,0.87,0.0,0.0
2020-03-11,4563051.0,-471519.0,-4091531.0,5336719.0,-773668.0,2.73,-0.28,-2.45,3.19,-0.46,10.68,2.3,0.0,0.0
2020-03-12,4815164.0,-2981421.0,-1833744.0,2201539.0,2613625.0,2.31,-1.43,-0.88,1.05,1.25,11.1,3.93,0.0,0.0
2020-03-13,-9486760.0,5884185.0,3602575.0,-3875153.0,-5611607.0,-3.14,1.95,1.19,-1.28,-1.86,11.53,3.87,0.0,0.0
2020-03-16,-34929572.0,34957981.0,-28409.0,-30971903.0,-3957669.0,-14.69,14.7,-0.01,-13.02,-1.66,10.38,-9.97,0.0,0.0
2020-03-17,91752982.0,-41672589.0,-50080394.0,14575144.0,77177838.0,33.89,-15.39,-18.5,5.38,28.5,11.42,10.02,0.0,0.0
2020-03-18,-4259682.0,9963772.0,-5704089.0,-18317580.0,14057898.0,-0.65,1.51,-0.87,-2.78,2.13,12.56,9.98,0.0,0.0
2020-03-19,-78463372.0,54368833.0,24094539.0,-42511272.0,-35952100.0,-16.39,11.36,5.03,-8.88,-7.51,11.89,-5.33,0.0,0.0
2020-03-20,58306324.0,-34125507.0,-24180818.0,22072449.0,36233875.0,17.2,-10.07,-7.13,6.51,10.69,13.08,10.01,0.0,0.0
2020-03-23,31480209.0,-12065950.0,-19414259.0,-320451.0,31800660.0,4.97,-1.9,-3.07,-0.05,5.02,14.39,10.02,0.0,0.0
2020-03-24,-108521730.0,84009555.0,24512177.0,-48817508.0,-59704222.0,-15.05,11.65,3.4,-6.77,-8.28,12.95,-10.01,0.0,0.0
2020-03-25,-30301698.0,32319379.0,-2017680.0,-23311783.0,-6989915.0,-7.09,7.56,-0.47,-5.45,-1.64,12.6,-2.7,0.0,0.0
2020-03-26,-29994082.0,24491558.0,5502523.0,-28572831.0,-1421251.0,-8.94,7.3,1.64,-8.51,-0.42,11.76,-6.67,0.0,0.0
2020-03-27,-12129846.0,10487929.0,1641918.0,-14929952.0,2800106.0,-4.09,3.53,0.55,-5.03,0.94,11.6,-1.36,0.0,0.0
2020-03-30,-9510434.0,13098093.0,-3587659.0,-11590221.0,2079787.0,-4.46,6.15,-1.68,-5.44,0.98,11.21,-3.36,0.0,0.0
2020-03-31,-2699620.0,3709021.0,-1009401.0,-4400693.0,1701073.0,-1.29,1.78,-0.48,-2.11,0.81,11.32,0.98,0.0,0.0
2020-04-01,-17697874.0,16559449.0,1138425.0,-10517196.0,-7180678.0,-9.07,8.49,0.58,-5.39,-3.68,10.92,-3.53,0.0,0.0
2020-04-02,1235306.0,7265013.0,-8500318.0,1945986.0,-710680.0,0.71,4.17,-4.88,1.12,-0.41,11.36,4.03,0.0,0.0
2020-04-03,-13282129.0,16324602.0,-3042473.0,-9657056.0,-3625073.0,-8.42,10.35,-1.93,-6.13,-2.3,10.91,-3.96,0.0,0.0
2020-04-07,4357189.0,1487295.0,-5844484.0,1920680.0,2436509.0,2.58,0.88,-3.47,1.14,1.45,11.32,3.76,0.0,0.0
2020-04-08,-3854250.0,10284020.0,-6429770.0,-4276109.0,421859.0,-2.88,7.68,-4.8,-3.19,0.31,11.27,-0.44,0.0,0.0
2020-04-09,2476898.0,-3572552.0,1095654.0,-5324825.0,7801723.0,0.91,-1.31,0.4,-1.95,2.86,11.74,4.17,0.0,0.0
2020-04-10,-16007668.0,18422846.0,-2415178.0,-13222067.0,-2785601.0,-9.96,11.46,-1.5,-8.22,-1.73,11.1,-5.45,0.0,0.0
2020-04-13,-9143301.0,11132225.0,-1988924.0,-6297202.0,-2846099.0,-9.27,11.28,-2.02,-6.38,-2.88,10.62,-4.32,0.0,0.0
2020-04-14,-3063603.0,6654663.0,-3591060.0,-2933795.0,-129808.0,-3.55,7.72,-4.17,-3.4,-0.15,10.82,1.88,0.0,0.0
2020-04-15,-469359.0,1888840.0,-1419481.0,-1350079.0,880720.0,-0.47,1.89,-1.42,-1.35,0.88,10.84,0.18,0.0,0.0
2020-04-16,-19676284.0,16958720.0,2717565.0,-15963612.0,-3712672.0,-9.99,8.61,1.38,-8.11,-1.89,10.13,-6.55,0.0,0.0
2020-04-17,-26451597.0,22921550.0,3530048.0,-23841893.0,-2609704.0,-16.45,14.26,2.2,-14.83,-1.62,9.79,-3.36,0.0,0.0
2020-04-20,-836057.0,3602611.0,-2766554.0,-836057.0,0.0,-0.97,4.19,-3.22,-0.97,0.0,9.88,0.92,0.0,0.0
2020-04-21,-4625863.0,11244615.0,-6618752.0,-4830265.0,204402.0,-4.83,11.73,-6.9,-5.04,0.21,9.78,-1.01,0.0,0.0
2020-04-22,3616861.0,-7043234.0,3426373.0,815650.0,2801211.0,3.2,-6.24,3.03,0.72,2.48,9.94,1.64,0.0,0.0
2020-04-23,-9989735.0,12760732.0,-2770997.0,-9989735.0,0.0,-12.13,15.49,-3.36,-12.13,0.0,9.68,-2.62,0.0,0.0
2020-04-24,-4266708.0,8391695.0,-4124986.0,-3795659.0,-471049.0,-5.85,11.51,-5.66,-5.21,-0.65,9.37,-3.2,0.0,0.0
2020-04-27,-6740094.0,9295564.0,-2555469.0,-3999229.0,-2740865.0,-9.67,13.34,-3.67,-5.74,-3.93,9.13,-2.56,0.0,0.0
2020-04-28,-1886880.0,8018918.0,-6132037.0,-1886880.0,0.0,-2.64,11.22,-8.58,-2.64,0.0,8.81,-3.5,0.0,0.0
2020-04-29,-3941771.0,3783438.0,158331.0,-3919981.0,-21790.0,-7.94,7.62,0.32,-7.9,-0.04,8.7,-1.25,0.0,0.0
2020-04-30,-548987.0,-1714205.0,2263192.0,-548987.0,0.0,-0.96,-2.99,3.94,-0.96,0.0,8.97,3.1,0.0,0.0
2020-05-06,8148879.0,-4899947.0,-3248932.0,1821602.0,6327277.0,11.38,-6.84,-4.54,2.54,8.84,9.25,3.12,0.0,0.0
2020-05-07,3946349.0,-752287.0,-3194062.0,1575737.0,2370612.0,5.96,-1.14,-4.83,2.38,3.58,9.27,0.22,0.0,0.0
2020-05-08,-2282952.0,266825.0,2016127.0,-2282952.0,0.0,-4.59,0.54,4.06,-4.59,0.0,9.38,1.19,0.0,0.0
2020-05-11,9694651.0,-7792799.0,-1901852.0,4552461.0,5142190.0,12.21,-9.81,-2.4,5.73,6.48,9.65,2.88,0.0,0.0
2020-05-12,-2848254.0,2475535.0,372721.0,-4017708.0,1169454.0,-4.37,3.8,0.57,-6.16,1.79,9.4,-2.59,0.0,0.0
2020-05-13,-1373499.0,-2492115.0,3865614.0,656289.0,-2029788.0,-1.68,-3.05,4.72,0.8,-2.48,9.56,1.7,0.0,0.0
2020-05-14,4234398.0,-4198501.0,-35896.0,2755707.0,1478691.0,6.74,-6.68,-0.06,4.39,2.35,9.52,-0.42,0.0,0.0
