date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-12189443.0,10119031.0,2070412.0,-14955129.0,2765686.0,-6.32,5.25,1.07,-7.75,1.43,8.4,-2.1,0.0,0.0
2020-01-09,-3004317.0,3299711.0,-295394.0,-4582558.0,1578241.0,-2.06,2.26,-0.2,-3.14,1.08,8.47,0.83,0.0,0.0
2020-01-10,-1100384.0,8325373.0,-7224989.0,-960228.0,-140156.0,-0.57,4.29,-3.72,-0.49,-0.07,8.62,1.77,0.0,0.0
2020-01-13,-34776445.0,17390210.0,17386236.0,-23245478.0,-11530967.0,-18.97,9.49,9.49,-12.68,-6.29,8.4,-2.55,0.0,0.0
2020-01-14,68333897.0,-34446236.0,-33887662.0,14903436.0,53430461.0,44.61,-22.49,-22.12,9.73,34.88,9.24,10.0,0.0,0.0
2020-01-15,-28861375.0,20756880.0,8104495.0,-11035863.0,-17825512.0,-8.27,5.95,2.32,-3.16,-5.11,8.9,-3.68,0.0,0.0
2020-01-16,-13346449.0,12338662.0,1007787.0,-10381563.0,-2964886.0,-6.91,6.39,0.52,-5.38,-1.54,8.74,-1.8,0.0,0.0
2020-01-17,-2006944.0,3888080.0,-1881137.0,-163788.0,-1843156.0,-0.91,1.76,-0.85,-0.07,-0.83,8.86,1.37,0.0,0.0
2020-01-20,49474148.0,-13009589.0,-36464559.0,-13857843.0,63331991.0,8.44,-2.22,-6.22,-2.36,10.81,9.75,10.05,0.0,0.0
2020-01-21,39135804.0,-24253989.0,-14881815.0,20908775.0,18227029.0,12.12,-7.51,-4.61,6.47,5.64,10.73,10.05,0.0,0.0
2020-01-22,-110226358.0,66476512.0,43749840.0,-33206784.0,-77019574.0,-8.78,5.29,3.48,-2.64,-6.13,10.57,-1.49,0.0,0.0
2020-01-23,-18149588.0,17264280.0,885296.0,-28755491.0,10605903.0,-1.82,1.73,0.09,-2.89,1.07,11.3,6.91,0.0,0.0
2020-02-03,-129254156.0,101648601.0,27605552.0,-86672243.0,-42581913.0,-12.96,10.19,2.77,-8.69,-4.27,12.43,10.0,0.0,0.0
2020-02-04,-30706115.0,45902832.0,-15196704.0,-21444928.0,-9261187.0,-2.38,3.56,-1.18,-1.66,-0.72,12.81,3.06,0.0,0.0
2020-02-05,-51179330.0,55688976.0,-4509648.0,-37504461.0,-13674869.0,-4.39,4.77,-0.39,-3.22,-1.17,12.93,0.94,0.0,0.0
2020-02-06,-45731424.0,56666608.0,-10935168.0,-51723962.0,5992538.0,-3.76,4.66,-0.9,-4.26,0.49,12.75,-1.39,0.0,0.0
2020-02-07,-100221146.0,83635328.0,16585824.0,-53056996.0,-47164150.0,-10.76,8.98,1.78,-5.69,-5.06,11.6,-9.02,0.0,0.0
