date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2535418.0,1340191.0,1195227.0,-4088385.0,1552967.0,-5.56,2.94,2.62,-8.96,3.4,4.7,-1.05,0.0,0.0
2020-01-09,-3288645.0,4801373.0,-1512728.0,-215826.0,-3072819.0,-6.34,9.26,-2.92,-0.42,-5.92,4.75,1.06,0.0,0.0
2020-01-10,-21219624.0,12001028.0,9218596.0,-10361334.0,-10858290.0,-34.37,19.44,14.93,-16.78,-17.59,4.69,-1.26,0.0,0.0
2020-01-13,-2448429.0,6531081.0,-4082652.0,-3781327.0,1332898.0,-6.5,17.34,-10.84,-10.04,3.54,4.69,0.0,0.0,0.0
2020-01-14,1403314.0,1299581.0,-2702896.0,-2346351.0,3749665.0,3.78,3.5,-7.28,-6.32,10.11,4.72,0.64,0.0,0.0
2020-01-15,3559990.0,-518643.0,-3041346.0,4725731.0,-1165741.0,6.1,-0.89,-5.21,8.1,-2.0,4.75,0.64,0.0,0.0
2020-01-16,6436712.0,-3989641.0,-2447069.0,8071974.0,-1635262.0,8.86,-5.49,-3.37,11.11,-2.25,4.79,0.84,0.0,0.0
2020-01-17,-2592539.0,657916.0,1934622.0,31943.0,-2624482.0,-5.24,1.33,3.91,0.06,-5.3,4.75,-0.84,0.0,0.0
2020-01-20,21997711.0,-13669182.0,-8328529.0,3542837.0,18454874.0,12.13,-7.54,-4.59,1.95,10.17,4.99,5.05,0.0,0.0
2020-01-21,-16003658.0,7766811.0,8236847.0,-1446080.0,-14557578.0,-5.24,2.54,2.69,-0.47,-4.76,5.16,3.41,0.0,0.0
2020-01-22,-9138563.0,11097646.0,-1959082.0,-1686765.0,-7451798.0,-4.93,5.99,-1.06,-0.91,-4.02,4.91,-4.84,0.0,0.0
2020-01-23,-5125971.0,6413339.0,-1287367.0,-6427081.0,1301110.0,-3.48,4.35,-0.87,-4.36,0.88,4.95,0.81,0.0,0.0
2020-02-03,-67845203.0,64831191.0,3014013.0,-51242447.0,-16602756.0,-14.32,13.69,0.64,-10.82,-3.5,5.12,3.43,0.0,0.0
2020-02-04,-29246473.0,21374023.0,7872450.0,-17233232.0,-12013241.0,-7.99,5.84,2.15,-4.71,-3.28,5.24,2.34,0.0,0.0
2020-02-05,38068395.0,-23242247.0,-14826148.0,-11180511.0,49248906.0,7.26,-4.44,-2.83,-2.13,9.4,5.76,9.92,0.0,0.0
2020-02-06,-116770563.0,68161099.0,48609456.0,-74888266.0,-41882297.0,-14.4,8.41,6.0,-9.24,-5.17,6.14,6.6,0.0,0.0
2020-02-07,-40450553.0,37920546.0,2530007.0,-33016083.0,-7434470.0,-7.11,6.66,0.44,-5.8,-1.31,5.78,-5.86,0.0,0.0
2020-02-10,-32950806.0,24884623.0,8066182.0,-25469887.0,-7480919.0,-9.58,7.23,2.35,-7.4,-2.17,5.37,-7.09,0.0,0.0
2020-02-11,-8489841.0,9205896.0,-716054.0,-7473634.0,-1016207.0,-4.58,4.97,-0.39,-4.03,-0.55,5.3,-1.3,0.0,0.0
2020-02-12,-12669576.0,8529011.0,4140565.0,-11135892.0,-1533684.0,-7.7,5.19,2.52,-6.77,-0.93,5.33,0.57,0.0,0.0
2020-02-13,-17789814.0,16162859.0,1626955.0,-17086595.0,-703219.0,-10.01,9.1,0.92,-9.62,-0.4,5.16,-3.19,0.0,0.0
2020-02-14,-7797321.0,7521453.0,275867.0,-6627782.0,-1169539.0,-4.43,4.27,0.16,-3.76,-0.66,5.26,1.94,0.0,0.0
2020-02-17,26559274.0,-13212748.0,-13346525.0,-2713113.0,29272387.0,10.87,-5.41,-5.46,-1.11,11.98,5.49,4.37,0.0,0.0
2020-02-18,2367210.0,7591461.0,-9958671.0,10106512.0,-7739302.0,1.17,3.74,-4.9,4.98,-3.81,5.47,-0.36,0.0,0.0
2020-02-19,5317408.0,5742391.0,-11059799.0,7634001.0,-2316593.0,3.25,3.51,-6.76,4.67,-1.42,5.38,-1.65,0.0,0.0
2020-02-20,-12200799.0,10938708.0,1262092.0,-12245003.0,44204.0,-10.09,9.04,1.04,-10.12,0.04,5.34,-0.74,0.0,0.0
2020-02-21,3594439.0,1597043.0,-5191482.0,10013714.0,-6419275.0,2.67,1.19,-3.86,7.45,-4.77,5.4,1.12,0.0,0.0
2020-02-24,-20033996.0,15948548.0,4085449.0,-15571963.0,-4462033.0,-15.25,12.14,3.11,-11.85,-3.4,5.37,-0.56,0.0,0.0
2020-02-25,1572291.0,2719873.0,-4292164.0,8014726.0,-6442435.0,0.69,1.2,-1.89,3.53,-2.84,5.46,1.68,0.0,0.0
2020-02-26,-20954451.0,21409723.0,-455271.0,-17271738.0,-3682713.0,-14.3,14.61,-0.31,-11.79,-2.51,5.24,-4.03,0.0,0.0
2020-02-27,-540100.0,2420785.0,-1880685.0,1852081.0,-2392181.0,-0.68,3.05,-2.37,2.33,-3.01,5.24,0.0,0.0,0.0
2020-02-28,-11600773.0,11060840.0,539933.0,-11731782.0,131009.0,-10.47,9.99,0.49,-10.59,0.12,5.04,-3.82,0.0,0.0
2020-03-02,-4637076.0,1412832.0,3224244.0,-2536319.0,-2100757.0,-6.04,1.84,4.2,-3.3,-2.74,5.18,2.78,0.0,0.0
2020-03-03,-1638667.0,1866490.0,-227823.0,958188.0,-2596855.0,-1.63,1.85,-0.23,0.95,-2.58,5.22,0.77,0.0,0.0
2020-03-04,-15792537.0,15366666.0,425871.0,-12780592.0,-3011945.0,-21.04,20.47,0.57,-17.03,-4.01,5.13,-1.72,0.0,0.0
2020-03-05,-19520259.0,10912960.0,8607298.0,-13708197.0,-5812062.0,-20.0,11.18,8.82,-14.04,-5.95,5.16,0.58,0.0,0.0
