date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2940825.0,2913346.0,27479.0,-1754284.0,-1186541.0,-6.78,6.72,0.06,-4.05,-2.74,16.21,-1.94,0.0,0.0
2020-01-09,-4997014.0,3882284.0,1114730.0,-2454406.0,-2542608.0,-16.13,12.53,3.6,-7.92,-8.21,16.38,1.05,0.0,0.0
2020-01-10,1022451.0,-1095583.0,73132.0,1022451.0,0.0,3.71,-3.97,0.27,3.71,0.0,16.41,0.18,0.0,0.0
2020-01-13,-3285779.0,3092766.0,193013.0,-4029868.0,744089.0,-9.97,9.38,0.59,-12.22,2.26,16.46,0.3,0.0,0.0
2020-01-14,-5217795.0,6403196.0,-1185400.0,-1611183.0,-3606612.0,-20.27,24.87,-4.6,-6.26,-14.01,16.24,-1.34,0.0,0.0
2020-01-15,10002.0,2201334.0,-2211336.0,10002.0,0.0,0.04,9.54,-9.59,0.04,0.0,16.06,-1.11,0.0,0.0
2020-01-16,147400.0,-1512623.0,1365222.0,147400.0,0.0,0.7,-7.16,6.46,0.7,0.0,16.06,0.0,0.0,0.0
2020-01-17,-2767713.0,742167.0,2025545.0,-2842851.0,75138.0,-13.46,3.61,9.85,-13.83,0.37,15.9,-1.0,0.0,0.0
2020-01-20,448906.0,-186733.0,-262173.0,810063.0,-361157.0,1.78,-0.74,-1.04,3.21,-1.43,16.05,0.94,0.0,0.0
2020-01-21,3325741.0,-5207378.0,1881637.0,5038621.0,-1712880.0,6.96,-10.9,3.94,10.54,-3.58,16.4,2.18,0.0,0.0
2020-01-22,-1653318.0,-839685.0,2493002.0,-1173318.0,-480000.0,-3.71,-1.89,5.6,-2.63,-1.08,15.95,-2.74,0.0,0.0
2020-01-23,-1723090.0,1708501.0,14588.0,-1723090.0,0.0,-8.03,7.96,0.07,-8.03,0.0,15.45,-3.13,0.0,0.0
2020-02-03,-887220.0,928609.0,-41390.0,-887220.0,0.0,-23.81,24.92,-1.11,-23.81,0.0,13.9,-10.03,0.0,0.0
2020-02-04,4684610.0,-1326270.0,-3358340.0,1020592.0,3664018.0,5.23,-1.48,-3.75,1.14,4.09,14.43,3.81,0.0,0.0
2020-02-05,152752.0,-1330972.0,1178220.0,-80206.0,232958.0,0.31,-2.73,2.41,-0.16,0.48,14.45,0.14,0.0,0.0
2020-02-06,2674482.0,-2510787.0,-163696.0,1800546.0,873936.0,6.66,-6.25,-0.41,4.48,2.18,14.65,1.38,0.0,0.0
2020-02-07,1548302.0,990209.0,-2538510.0,1548302.0,0.0,6.17,3.95,-10.12,6.17,0.0,15.01,2.46,0.0,0.0
2020-02-10,1332848.0,-1004080.0,-328768.0,1790681.0,-457833.0,5.63,-4.24,-1.39,7.56,-1.93,15.22,1.4,0.0,0.0
2020-02-11,-387047.0,1968927.0,-1581879.0,358853.0,-745900.0,-1.67,8.51,-6.84,1.55,-3.22,15.44,1.45,0.0,0.0
2020-02-12,-2055848.0,1651419.0,404429.0,-3059732.0,1003884.0,-7.94,6.37,1.56,-11.81,3.87,15.45,0.06,0.0,0.0
2020-02-13,-2988586.0,2000665.0,987922.0,-2988586.0,0.0,-13.84,9.27,4.58,-13.84,0.0,15.11,-2.2,0.0,0.0
2020-02-14,-2057568.0,1506345.0,551224.0,-584785.0,-1472783.0,-7.56,5.53,2.02,-2.15,-5.41,15.0,-0.73,0.0,0.0
2020-02-17,-493068.0,-804741.0,1297809.0,7386686.0,-7879754.0,-0.4,-0.65,1.05,5.98,-6.38,16.51,10.07,0.0,0.0
2020-02-18,-23076040.0,18721504.0,4354536.0,-19815966.0,-3260074.0,-11.92,9.67,2.25,-10.24,-1.68,16.56,0.3,0.0,0.0
2020-02-19,3228962.0,-2059022.0,-1169940.0,2437929.0,791033.0,3.62,-2.31,-1.31,2.74,0.89,16.19,-2.23,0.0,0.0
2020-02-20,4948672.0,-4054597.0,-894076.0,3390957.0,1557715.0,7.04,-5.77,-1.27,4.82,2.22,16.5,1.91,0.0,0.0
2020-02-21,-2028786.0,1734717.0,294069.0,-947856.0,-1080930.0,-3.54,3.03,0.51,-1.66,-1.89,16.25,-1.52,0.0,0.0
2020-02-24,4124092.0,-881834.0,-3242258.0,6082084.0,-1957992.0,3.41,-0.73,-2.68,5.04,-1.62,17.14,5.48,0.0,0.0
2020-02-25,2209168.0,1823316.0,-4032484.0,3136579.0,-927411.0,1.69,1.4,-3.09,2.41,-0.71,17.47,1.93,0.0,0.0
2020-02-26,-15566811.0,8932315.0,6634497.0,-9832264.0,-5734547.0,-9.02,5.17,3.84,-5.7,-3.32,18.15,3.89,0.0,0.0
2020-02-27,-8841264.0,4034339.0,4806926.0,-2105218.0,-6736046.0,-8.03,3.67,4.37,-1.91,-6.12,17.44,-3.91,0.0,0.0
2020-02-28,-8198334.0,5551295.0,2647039.0,-4231661.0,-3966673.0,-8.67,5.87,2.8,-4.47,-4.19,15.88,-8.94,0.0,0.0
2020-03-02,-3194114.0,1570238.0,1623876.0,-2013094.0,-1181020.0,-5.83,2.87,2.96,-3.67,-2.16,16.19,1.95,0.0,0.0
2020-03-03,-2174185.0,1893619.0,280567.0,-147876.0,-2026309.0,-3.69,3.22,0.48,-0.25,-3.44,16.18,-0.06,0.0,0.0
2020-03-04,-7209511.0,7363303.0,-153792.0,-7788959.0,579448.0,-13.12,13.4,-0.28,-14.17,1.05,15.77,-2.53,0.0,0.0
2020-03-05,-6969535.0,5782965.0,1186569.0,-6717611.0,-251924.0,-14.74,12.23,2.51,-14.21,-0.53,15.63,-0.89,0.0,0.0
2020-03-06,-3617856.0,812861.0,2804994.0,-3617856.0,0.0,-10.28,2.31,7.97,-10.28,0.0,15.64,0.06,0.0,0.0
2020-03-09,18076330.0,-10180626.0,-7895705.0,9144392.0,8931938.0,11.91,-6.71,-5.2,6.03,5.89,17.21,10.04,0.0,0.0
