date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-303483.0,-443172.0,746655.0,-1048213.0,744730.0,-0.47,-0.68,1.15,-1.61,1.14,8.82,-1.23,0.0,0.0
2020-01-09,-3404725.0,4174610.0,-769883.0,-2539930.0,-864795.0,-7.03,8.62,-1.59,-5.24,-1.79,8.81,-0.11,0.0,0.0
2020-01-10,-2985105.0,1691808.0,1293297.0,2083019.0,-5068124.0,-5.16,2.92,2.24,3.6,-8.76,8.76,-0.57,0.0,0.0
2020-01-13,7912848.0,67821.0,-7980669.0,7059217.0,853631.0,10.48,0.09,-10.57,9.35,1.13,8.81,0.57,0.0,0.0
2020-01-14,-1178183.0,1906886.0,-728704.0,-1262785.0,84602.0,-2.71,4.39,-1.68,-2.91,0.19,8.81,0.0,0.0,0.0
2020-01-15,-4454633.0,1197514.0,3257118.0,-3549718.0,-904915.0,-11.92,3.21,8.72,-9.5,-2.42,8.71,-1.14,0.0,0.0
2020-01-16,-2806841.0,1276844.0,1529997.0,-2806841.0,0.0,-6.8,3.09,3.71,-6.8,0.0,8.71,0.0,0.0,0.0
2020-01-17,48013.0,-1969691.0,1921678.0,48013.0,0.0,0.16,-6.4,6.25,0.16,0.0,8.69,-0.23,0.0,0.0
2020-01-20,869823.0,-557281.0,-312541.0,755980.0,113843.0,2.0,-1.28,-0.72,1.73,0.26,8.8,1.27,0.0,0.0
2020-01-21,-7533463.0,3019482.0,4513982.0,-6364933.0,-1168530.0,-9.33,3.74,5.59,-7.89,-1.45,8.71,-1.02,0.0,0.0
2020-01-22,4427616.0,-1972459.0,-2455159.0,-7858376.0,12285992.0,3.34,-1.49,-1.85,-5.92,9.26,9.15,5.05,0.0,0.0
2020-01-23,2416850.0,-16099315.0,13682466.0,2127479.0,289371.0,2.3,-15.34,13.04,2.03,0.28,9.02,-1.42,0.0,0.0
2020-02-03,-2256163.0,3099391.0,-843227.0,-5249055.0,2992892.0,-2.03,2.79,-0.76,-4.73,2.7,8.14,-9.76,0.0,0.0
2020-02-04,-4118489.0,4526653.0,-408165.0,-5717853.0,1599364.0,-4.96,5.45,-0.49,-6.88,1.92,8.37,2.83,0.0,0.0
2020-02-05,9030893.0,-8328783.0,-702110.0,8945550.0,85343.0,7.52,-6.94,-0.58,7.45,0.07,8.75,4.54,0.0,0.0
2020-02-06,5706756.0,5236349.0,-10943105.0,-1090642.0,6797398.0,3.13,2.87,-6.0,-0.6,3.73,9.12,4.23,0.0,0.0
2020-02-07,8997276.0,-6177956.0,-2819320.0,7728658.0,1268618.0,2.84,-1.95,-0.89,2.44,0.4,9.62,5.48,0.0,0.0
2020-02-10,-716374.0,-203304.0,919677.0,-6320411.0,5604037.0,-0.23,-0.07,0.3,-2.07,1.83,9.63,0.1,0.0,0.0
2020-02-11,-9551483.0,313836.0,9237646.0,3029732.0,-12581215.0,-4.37,0.14,4.23,1.39,-5.76,8.99,-6.65,0.0,0.0
2020-02-12,-5992487.0,5489284.0,503203.0,-5685461.0,-307026.0,-6.06,5.55,0.51,-5.75,-0.31,8.99,0.0,0.0,0.0
2020-02-13,-4149549.0,4093006.0,56543.0,-7792986.0,3643437.0,-4.23,4.17,0.06,-7.94,3.71,8.74,-2.78,0.0,0.0
2020-02-14,-5616516.0,3971587.0,1644931.0,-3182087.0,-2434429.0,-5.33,3.77,1.56,-3.02,-2.31,8.77,0.34,0.0,0.0
2020-02-17,-2152982.0,3126364.0,-973382.0,44616.0,-2197598.0,-3.5,5.08,-1.58,0.07,-3.57,8.83,0.68,0.0,0.0
2020-02-18,1094965.0,-659507.0,-435458.0,3544909.0,-2449944.0,0.8,-0.48,-0.32,2.6,-1.8,8.83,0.0,0.0,0.0
