date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1402864.0,2740521.0,-1337658.0,-1402864.0,0.0,-5.0,9.78,-4.77,-5.0,0.0,5.02,-2.33,0.0,0.0
2020-01-09,2764695.0,-1164904.0,-1599792.0,2764695.0,0.0,11.22,-4.73,-6.49,11.22,0.0,5.1,1.59,0.0,0.0
2020-01-10,547816.0,971247.0,-1519062.0,547816.0,0.0,2.34,4.14,-6.48,2.34,0.0,5.12,0.39,0.0,0.0
2020-01-13,-4340581.0,2725659.0,1614922.0,-4340581.0,0.0,-18.81,11.81,7.0,-18.81,0.0,5.09,-0.59,0.0,0.0
2020-01-14,513406.0,-1399380.0,885974.0,469030.0,44376.0,1.48,-4.02,2.55,1.35,0.13,5.16,1.38,0.0,0.0
2020-01-15,-762198.0,-1339101.0,2101299.0,-505198.0,-257000.0,-2.88,-5.06,7.94,-1.91,-0.97,5.12,-0.78,0.0,0.0
2020-01-16,-5527918.0,2280889.0,3247029.0,-5450702.0,-77216.0,-20.66,8.53,12.14,-20.38,-0.29,5.03,-1.76,0.0,0.0
2020-01-17,-472249.0,1828442.0,-1356193.0,-472249.0,0.0,-3.33,12.87,-9.55,-3.33,0.0,5.03,0.0,0.0,0.0
2020-01-20,1906540.0,-2421425.0,514885.0,614920.0,1291620.0,4.84,-6.15,1.31,1.56,3.28,5.15,2.39,0.0,0.0
2020-01-21,-6306883.0,7622379.0,-1315497.0,-6306883.0,0.0,-6.33,7.65,-1.32,-6.33,0.0,5.28,2.52,0.0,0.0
2020-01-22,-2085696.0,5084554.0,-2998858.0,-3115696.0,1030000.0,-3.36,8.18,-4.83,-5.02,1.66,5.16,-2.27,0.0,0.0
2020-01-23,-59549.0,1726693.0,-1667143.0,-59549.0,0.0,-0.12,3.62,-3.5,-0.12,0.0,5.14,-0.39,0.0,0.0
2020-02-03,-2747565.0,7880639.0,-5133075.0,-1356491.0,-1391074.0,-3.81,10.92,-7.12,-1.88,-1.93,4.7,-8.56,0.0,0.0
2020-02-04,-8695169.0,8012323.0,682846.0,-6566981.0,-2128188.0,-11.77,10.85,0.92,-8.89,-2.88,4.94,5.11,0.0,0.0
2020-02-05,12380554.0,-2149773.0,-10230782.0,5794793.0,6585761.0,8.62,-1.5,-7.12,4.03,4.58,5.44,10.12,0.0,0.0
2020-02-06,-27891900.0,25819484.0,2072417.0,-24879960.0,-3011940.0,-9.4,8.7,0.7,-8.38,-1.01,5.79,6.43,0.0,0.0
2020-02-07,-7780028.0,15206426.0,-7426397.0,-7960370.0,180342.0,-4.26,8.32,-4.06,-4.36,0.1,5.54,-4.32,0.0,0.0
2020-02-10,-3283644.0,9821423.0,-6537780.0,-3283644.0,0.0,-3.62,10.82,-7.21,-3.62,0.0,5.36,-3.25,0.0,0.0
2020-02-11,881905.0,-998349.0,116443.0,2224669.0,-1342764.0,0.97,-1.1,0.13,2.45,-1.48,5.56,3.73,0.0,0.0
2020-02-12,-7987606.0,6766463.0,1221144.0,-7987606.0,0.0,-11.51,9.75,1.76,-11.51,0.0,5.44,-2.16,0.0,0.0
2020-02-13,-3686217.0,8796477.0,-5110260.0,-4464533.0,778316.0,-5.66,13.51,-7.85,-6.85,1.2,5.31,-2.39,0.0,0.0
2020-02-14,-4183655.0,6616794.0,-2433139.0,-4183655.0,0.0,-10.34,16.35,-6.01,-10.34,0.0,5.25,-1.13,0.0,0.0
2020-02-17,-157710.0,1134202.0,-976493.0,293306.0,-451016.0,-0.3,2.14,-1.84,0.55,-0.85,5.35,1.9,0.0,0.0
2020-02-18,-4916308.0,8143836.0,-3227528.0,-4785688.0,-130620.0,-7.76,12.85,-5.09,-7.55,-0.21,5.37,0.37,0.0,0.0
2020-02-19,-6791498.0,10455682.0,-3664184.0,-5166745.0,-1624753.0,-12.67,19.5,-6.83,-9.64,-3.03,5.24,-2.42,0.0,0.0
2020-02-20,-1065323.0,1117635.0,-52312.0,-1065323.0,0.0,-2.79,2.93,-0.14,-2.79,0.0,5.29,0.95,0.0,0.0
2020-02-21,4217383.0,1384343.0,-5601726.0,3891961.0,325422.0,6.24,2.05,-8.29,5.76,0.48,5.37,1.51,0.0,0.0
2020-02-24,-7968271.0,9441834.0,-1473563.0,-6329704.0,-1638567.0,-10.37,12.29,-1.92,-8.24,-2.13,5.4,0.56,0.0,0.0
2020-02-25,-459163.0,1668359.0,-1209195.0,-2271636.0,1812473.0,-0.44,1.59,-1.15,-2.16,1.72,5.49,1.67,0.0,0.0
2020-02-26,-14556917.0,17044990.0,-2488073.0,-13448478.0,-1108439.0,-20.68,24.22,-3.53,-19.11,-1.57,5.3,-3.46,0.0,0.0
2020-02-27,389323.0,2530384.0,-2919707.0,389323.0,0.0,1.19,7.74,-8.94,1.19,0.0,5.31,0.19,0.0,0.0
2020-02-28,-2249838.0,3953419.0,-1703582.0,-4382072.0,2132234.0,-3.47,6.09,-2.63,-6.75,3.29,5.16,-2.82,0.0,0.0
2020-03-02,8144305.0,-6803488.0,-1340818.0,2025214.0,6119091.0,15.25,-12.74,-2.51,3.79,11.46,5.32,3.1,0.0,0.0
2020-03-03,-1176171.0,1630650.0,-454479.0,-1507672.0,331501.0,-2.23,3.09,-0.86,-2.85,0.63,5.3,-0.38,0.0,0.0
2020-03-04,-3218026.0,6154401.0,-2936375.0,-3218026.0,0.0,-9.06,17.33,-8.27,-9.06,0.0,5.24,-1.13,0.0,0.0
2020-03-05,12243289.0,-4680918.0,-7562371.0,10472692.0,1770597.0,14.25,-5.45,-8.8,12.19,2.06,5.4,3.05,0.0,0.0
2020-03-06,30050182.0,-18671162.0,-11379021.0,3058379.0,26991803.0,13.34,-8.29,-5.05,1.36,11.98,5.66,4.81,0.0,0.0
