date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-51689844.0,52162461.0,-472616.0,-34547069.0,-17142775.0,-9.72,9.81,-0.09,-6.5,-3.22,8.08,-3.46,0.0,0.0
2020-01-09,-50857590.0,28862935.0,21994656.0,-47083438.0,-3774152.0,-10.2,5.79,4.41,-9.44,-0.76,8.2,1.49,0.0,0.0
2020-01-10,-39994565.0,42682017.0,-2687451.0,-33363979.0,-6630586.0,-10.13,10.81,-0.68,-8.45,-1.68,8.08,-1.46,0.0,0.0
2020-01-13,3905880.0,11189012.0,-15094893.0,1643034.0,2262846.0,0.99,2.85,-3.84,0.42,0.58,8.24,1.98,0.0,0.0
2020-01-14,335351.0,11549636.0,-11884988.0,-3341110.0,3676461.0,0.06,1.96,-2.02,-0.57,0.62,8.31,0.85,0.0,0.0
2020-01-15,-31036416.0,29084347.0,1952069.0,-18564478.0,-12471938.0,-7.88,7.38,0.5,-4.71,-3.17,8.3,-0.12,0.0,0.0
2020-01-16,-42811758.0,35850894.0,6960864.0,-19223844.0,-23587914.0,-5.84,4.89,0.95,-2.62,-3.22,8.21,-1.08,0.0,0.0
2020-01-17,-58152204.0,47508203.0,10644000.0,-36929563.0,-21222641.0,-11.34,9.26,2.07,-7.2,-4.14,7.9,-3.78,0.0,0.0
2020-01-20,-3368787.0,12023826.0,-8655037.0,-5596131.0,2227344.0,-1.19,4.25,-3.06,-1.98,0.79,8.02,1.52,0.0,0.0
2020-01-21,-37152826.0,45639386.0,-8486560.0,-22060876.0,-15091950.0,-15.08,18.52,-3.44,-8.95,-6.13,7.73,-3.62,0.0,0.0
2020-01-22,-7936133.0,10105803.0,-2169670.0,-5706813.0,-2229320.0,-3.22,4.11,-0.88,-2.32,-0.91,7.82,1.16,0.0,0.0
2020-01-23,6839509.0,12143001.0,-18982511.0,-3090444.0,9929953.0,1.79,3.17,-4.96,-0.81,2.6,7.72,-1.28,0.0,0.0
