date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-4309173.0,4764533.0,-455360.0,-4109802.0,-199371.0,-5.22,5.77,-0.55,-4.98,-0.24,1.86,-1.06,0.0,0.0
2020-01-09,-4886285.0,7134731.0,-2248447.0,330932.0,-5217217.0,-9.93,14.49,-4.57,0.67,-10.6,1.87,0.54,0.0,0.0
2020-01-10,-4748675.0,3612590.0,1136085.0,-3632869.0,-1115806.0,-10.51,7.99,2.51,-8.04,-2.47,1.85,-1.07,0.0,0.0
2020-01-13,-2454885.0,790220.0,1664667.0,-759940.0,-1694945.0,-8.16,2.63,5.54,-2.53,-5.64,1.85,0.0,0.0,0.0
2020-01-14,1713452.0,-591985.0,-1121467.0,1713452.0,0.0,5.76,-1.99,-3.77,5.76,0.0,1.85,0.0,0.0,0.0
2020-01-15,-585546.0,2662690.0,-2077146.0,-1566425.0,980879.0,-2.17,9.89,-7.71,-5.82,3.64,1.83,-1.08,0.0,0.0
2020-01-16,-2596531.0,3121177.0,-524646.0,-1452037.0,-1144494.0,-12.23,14.7,-2.47,-6.84,-5.39,1.82,-0.55,0.0,0.0
2020-01-17,-1676712.0,894727.0,781986.0,-1676712.0,0.0,-8.62,4.6,4.02,-8.62,0.0,1.81,-0.55,0.0,0.0
2020-01-20,2853256.0,-694714.0,-2158542.0,-817847.0,3671103.0,10.1,-2.46,-7.64,-2.89,12.99,1.84,1.66,0.0,0.0
2020-01-21,-3682574.0,724693.0,2957882.0,-1863921.0,-1818653.0,-16.94,3.33,13.61,-8.58,-8.37,1.81,-1.63,0.0,0.0
2020-01-22,-274453.0,1342853.0,-1068400.0,-274453.0,0.0,-1.07,5.22,-4.15,-1.07,0.0,1.82,0.55,0.0,0.0
2020-01-23,-6724150.0,7094725.0,-370575.0,-6724150.0,0.0,-19.63,20.71,-1.08,-19.63,0.0,1.78,-2.2,0.0,0.0
2020-02-03,-1277520.0,6149040.0,-4871520.0,-1277520.0,0.0,-6.17,29.7,-23.53,-6.17,0.0,1.6,-10.11,0.0,0.0
2020-02-04,-7720057.0,9102051.0,-1381993.0,-7720959.0,902.0,-13.86,16.34,-2.48,-13.86,0.0,1.59,-0.62,0.0,0.0
2020-02-05,-3007678.0,4499368.0,-1491690.0,-3155518.0,147840.0,-7.6,11.36,-3.77,-7.97,0.37,1.63,2.52,0.0,0.0
2020-02-06,-2004841.0,2260069.0,-255227.0,-2522260.0,517419.0,-4.08,4.6,-0.52,-5.13,1.05,1.64,0.61,0.0,0.0
2020-02-07,-3714062.0,2852233.0,861829.0,-2778674.0,-935388.0,-10.13,7.78,2.35,-7.58,-2.55,1.64,0.0,0.0,0.0
2020-02-10,-3467659.0,3273781.0,193878.0,-4575964.0,1108305.0,-8.44,7.97,0.47,-11.14,2.7,1.66,1.22,0.0,0.0
2020-02-11,-7690934.0,4963914.0,2727020.0,-3816569.0,-3874365.0,-21.11,13.63,7.49,-10.48,-10.63,1.65,-0.6,0.0,0.0
2020-02-12,1364778.0,-1683388.0,318609.0,-2938691.0,4303469.0,2.56,-3.15,0.6,-5.5,8.06,1.69,2.42,0.0,0.0
2020-02-13,-5335714.0,6455656.0,-1119943.0,-977623.0,-4358091.0,-10.77,13.03,-2.26,-1.97,-8.8,1.66,-1.78,0.0,0.0
2020-02-14,-2865013.0,2435067.0,429947.0,-598715.0,-2266298.0,-9.83,8.36,1.48,-2.05,-7.78,1.67,0.6,0.0,0.0
2020-02-17,2726499.0,-1021155.0,-1705343.0,1331704.0,1394795.0,5.48,-2.05,-3.43,2.67,2.8,1.71,2.4,0.0,0.0
2020-02-18,-3469331.0,3738455.0,-269125.0,-3585877.0,116546.0,-6.86,7.39,-0.53,-7.09,0.23,1.73,1.17,0.0,0.0
2020-02-19,-4763385.0,5117257.0,-353870.0,-3983168.0,-780217.0,-10.17,10.93,-0.76,-8.51,-1.67,1.73,0.0,0.0,0.0
2020-02-20,6316488.0,-4543837.0,-1772651.0,3447563.0,2868925.0,9.8,-7.05,-2.75,5.35,4.45,1.78,2.89,0.0,0.0
