date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-8133686.0,8251108.0,-117421.0,-4569627.0,-3564059.0,-17.73,17.99,-0.26,-9.96,-7.77,7.33,-2.27,0.0,0.0
2020-01-09,251369.0,1108820.0,-1360189.0,1360020.0,-1108651.0,0.75,3.32,-4.07,4.07,-3.32,7.43,1.36,0.0,0.0
2020-01-10,-4791017.0,3393727.0,1397291.0,-3711095.0,-1079922.0,-17.53,12.41,5.11,-13.58,-3.95,7.33,-1.35,0.0,0.0
2020-01-13,-3576526.0,5773934.0,-2197408.0,-3576526.0,0.0,-10.14,16.36,-6.23,-10.14,0.0,7.36,0.41,0.0,0.0
2020-01-14,-195826.0,2164265.0,-1968439.0,-195826.0,0.0,-0.77,8.54,-7.77,-0.77,0.0,7.33,-0.41,0.0,0.0
2020-01-15,1851713.0,-2046759.0,195046.0,1851713.0,0.0,6.53,-7.22,0.69,6.53,0.0,7.31,-0.27,0.0,0.0
2020-01-16,391752.0,-321503.0,-70248.0,391752.0,0.0,2.31,-1.9,-0.41,2.31,0.0,7.28,-0.41,0.0,0.0
2020-01-17,11087565.0,-9785808.0,-1301758.0,4380839.0,6706726.0,16.9,-14.91,-1.98,6.68,10.22,7.55,3.71,0.0,0.0
2020-01-20,-7141558.0,2566323.0,4575237.0,-5115245.0,-2026313.0,-9.61,3.45,6.15,-6.88,-2.73,7.63,1.06,0.0,0.0
2020-01-21,-1261531.0,1011665.0,249867.0,-1262280.0,749.0,-3.29,2.64,0.65,-3.29,0.0,7.48,-1.97,0.0,0.0
2020-01-22,-1825702.0,-451873.0,2277575.0,-1825702.0,0.0,-4.28,-1.06,5.34,-4.28,0.0,7.56,1.07,0.0,0.0
2020-01-23,-154001.0,2530099.0,-2376099.0,878740.0,-1032741.0,-0.36,5.95,-5.59,2.07,-2.43,7.23,-4.37,0.0,0.0
2020-02-03,-970641.0,1309812.0,-339171.0,-2593584.0,1622943.0,-10.35,13.97,-3.62,-27.66,17.31,6.51,-9.96,0.0,0.0
2020-02-04,11034131.0,-3553795.0,-7480337.0,6002605.0,5031526.0,16.23,-5.23,-11.0,8.83,7.4,6.32,-2.92,0.0,0.0
2020-02-05,-638247.0,3049972.0,-2411726.0,-3399797.0,2761550.0,-1.31,6.28,-4.97,-7.0,5.69,6.34,0.32,0.0,0.0
2020-02-06,-725228.0,1604749.0,-879522.0,-1482250.0,757022.0,-1.93,4.28,-2.34,-3.95,2.02,6.37,0.47,0.0,0.0
2020-02-07,3830710.0,-3541626.0,-289084.0,795053.0,3035657.0,5.87,-5.43,-0.44,1.22,4.65,6.65,4.4,0.0,0.0
2020-02-10,-7354839.0,3780928.0,3573911.0,-5649250.0,-1705589.0,-8.63,4.44,4.19,-6.63,-2.0,6.89,3.61,0.0,0.0
2020-02-11,-2279672.0,6352031.0,-4072359.0,-2293196.0,13524.0,-4.92,13.7,-8.78,-4.95,0.03,6.68,-3.05,0.0,0.0
2020-02-12,58681.0,-3027545.0,2968864.0,1394380.0,-1335699.0,0.13,-6.56,6.44,3.02,-2.9,6.81,1.95,0.0,0.0
2020-02-13,-2758694.0,4297840.0,-1539145.0,-343883.0,-2414811.0,-7.14,11.12,-3.98,-0.89,-6.25,6.64,-2.5,0.0,0.0
2020-02-14,133357.0,1372132.0,-1505489.0,133357.0,0.0,0.63,6.48,-7.11,0.63,0.0,6.62,-0.3,0.0,0.0
2020-02-17,-11273319.0,8217322.0,3055997.0,-11230370.0,-42949.0,-18.86,13.75,5.11,-18.79,-0.07,6.74,1.81,0.0,0.0
2020-02-18,-14072212.0,10329670.0,3742541.0,-12621962.0,-1450250.0,-13.96,10.24,3.71,-12.52,-1.44,6.86,1.78,0.0,0.0
2020-02-19,39032.0,419862.0,-458893.0,2882566.0,-2843534.0,0.03,0.33,-0.36,2.28,-2.25,7.08,3.21,0.0,0.0
2020-02-20,-3656440.0,4092348.0,-435910.0,-3301440.0,-355000.0,-3.99,4.46,-0.48,-3.6,-0.39,7.14,0.85,0.0,0.0
2020-02-21,-4980046.0,5667608.0,-687562.0,-3085592.0,-1894454.0,-5.8,6.6,-0.8,-3.59,-2.21,7.14,0.0,0.0,0.0
2020-02-24,-1713676.0,4583200.0,-2869526.0,99164.0,-1812840.0,-1.32,3.53,-2.21,0.08,-1.4,7.38,3.36,0.0,0.0
2020-02-25,2420549.0,-4660377.0,2239827.0,880444.0,1540105.0,1.43,-2.75,1.32,0.52,0.91,7.66,3.79,0.0,0.0
2020-02-26,-17990113.0,18519215.0,-529104.0,-14597801.0,-3392312.0,-15.44,15.89,-0.45,-12.53,-2.91,7.28,-4.96,0.0,0.0
2020-02-27,-5798559.0,4006236.0,1792323.0,-3213661.0,-2584898.0,-9.2,6.35,2.84,-5.1,-4.1,7.28,0.0,0.0,0.0
2020-02-28,3257565.0,2548907.0,-5806472.0,-985626.0,4243191.0,2.23,1.74,-3.98,-0.67,2.9,7.2,-1.1,0.0,0.0
2020-03-02,-7530554.0,5490857.0,2039697.0,-11924295.0,4393741.0,-6.53,4.76,1.77,-10.34,3.81,7.25,0.69,0.0,0.0
2020-03-03,20132410.0,-13929257.0,-6203153.0,13657083.0,6475327.0,9.43,-6.52,-2.9,6.4,3.03,7.71,6.34,0.0,0.0
2020-03-04,-17203183.0,17211227.0,-8044.0,-16376384.0,-826799.0,-6.14,6.14,-0.0,-5.84,-0.29,7.73,0.26,0.0,0.0
2020-03-05,-11563075.0,12044748.0,-481673.0,-5735444.0,-5827631.0,-6.88,7.16,-0.29,-3.41,-3.46,7.75,0.26,0.0,0.0
2020-03-06,5805954.0,-7060758.0,1254802.0,-720515.0,6526469.0,2.21,-2.69,0.48,-0.27,2.49,8.12,4.77,0.0,0.0
2020-03-09,3126802.0,5367815.0,-8494617.0,1916091.0,1210711.0,0.97,1.66,-2.62,0.59,0.37,8.49,4.56,0.0,0.0
2020-03-10,-16811708.0,15308961.0,1502748.0,-11304362.0,-5507346.0,-6.83,6.22,0.61,-4.6,-2.24,8.03,-5.42,0.0,0.0
2020-03-11,-5833592.0,7467599.0,-1634008.0,-5793258.0,-40334.0,-3.52,4.51,-0.99,-3.5,-0.02,7.83,-2.49,0.0,0.0
2020-03-12,-23383266.0,23477601.0,-94335.0,-22154157.0,-1229109.0,-17.21,17.28,-0.07,-16.31,-0.9,7.37,-5.87,0.0,0.0
2020-03-13,-9202909.0,10986512.0,-1783603.0,-6466109.0,-2736800.0,-8.49,10.13,-1.65,-5.96,-2.52,6.97,-5.43,0.0,0.0
2020-03-16,-3344135.0,3661999.0,-317864.0,-3231313.0,-112822.0,-3.29,3.6,-0.31,-3.18,-0.11,6.84,-1.87,0.0,0.0
2020-03-17,-3371860.0,5084566.0,-1712705.0,-3096985.0,-274875.0,-4.62,6.96,-2.35,-4.24,-0.38,6.66,-2.63,0.0,0.0
2020-03-18,-1936771.0,3888348.0,-1951578.0,-1936771.0,0.0,-3.75,7.54,-3.78,-3.75,0.0,6.47,-2.85,0.0,0.0
2020-03-19,-542437.0,1708609.0,-1166173.0,-542437.0,0.0,-1.18,3.72,-2.54,-1.18,0.0,6.56,1.39,0.0,0.0
2020-03-20,-337557.0,2158419.0,-1820862.0,-337557.0,0.0,-0.78,4.98,-4.2,-0.78,0.0,6.65,1.37,0.0,0.0
2020-03-23,-5385083.0,7526730.0,-2141646.0,-5385083.0,0.0,-12.07,16.87,-4.8,-12.07,0.0,6.26,-5.86,0.0,0.0
