date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-6266435.0,6344196.0,-77761.0,-5985959.0,-280476.0,-11.58,11.73,-0.14,-11.06,-0.52,7.16,-2.05,0.0,0.0
2020-01-09,9926269.0,-3101437.0,-6824831.0,8929844.0,996425.0,5.83,-1.82,-4.01,5.24,0.59,7.61,6.28,0.0,0.0
2020-01-10,-2328919.0,3101716.0,-772798.0,-4556633.0,2227714.0,-1.68,2.24,-0.56,-3.29,1.61,7.74,1.71,0.0,0.0
2020-01-13,-5972405.0,4484715.0,1487689.0,-6001144.0,28739.0,-6.19,4.65,1.54,-6.22,0.03,7.71,-0.39,0.0,0.0
2020-01-14,1453959.0,-5686393.0,4232434.0,-467883.0,1921842.0,1.87,-7.3,5.44,-0.6,2.47,7.62,-1.17,0.0,0.0
2020-01-15,-10968112.0,6727216.0,4240896.0,-8280614.0,-2687498.0,-12.15,7.45,4.7,-9.17,-2.98,7.56,-0.79,0.0,0.0
2020-01-16,-8413131.0,4335316.0,4077815.0,-8396856.0,-16275.0,-12.49,6.44,6.06,-12.47,-0.02,7.57,0.13,0.0,0.0
2020-01-17,-2396780.0,-441080.0,2837862.0,-2361730.0,-35050.0,-3.44,-0.63,4.07,-3.38,-0.05,7.51,-0.79,0.0,0.0
2020-01-20,118954.0,-2002979.0,1884025.0,-1458197.0,1577151.0,0.08,-1.37,1.29,-1.0,1.08,7.81,3.99,0.0,0.0
2020-01-21,-23859121.0,19994624.0,3864497.0,-28699239.0,4840118.0,-10.23,8.57,1.66,-12.3,2.07,7.89,1.02,0.0,0.0
2020-01-22,-13627555.0,13577465.0,50091.0,-12262530.0,-1365025.0,-10.06,10.02,0.04,-9.05,-1.01,7.66,-2.92,0.0,0.0
2020-01-23,-12513244.0,14574419.0,-2061174.0,-8406492.0,-4106752.0,-12.42,14.47,-2.05,-8.35,-4.08,7.31,-4.57,0.0,0.0
2020-02-03,-29626146.0,44196231.0,-14570085.0,-31637214.0,2011068.0,-7.59,11.32,-3.73,-8.11,0.52,7.97,9.03,0.0,0.0
2020-02-04,-9529865.0,4402391.0,5127473.0,-5920877.0,-3608988.0,-2.7,1.25,1.45,-1.68,-1.02,8.53,7.03,0.0,0.0
2020-02-05,16876017.0,-9640339.0,-7235679.0,-13872623.0,30748640.0,4.03,-2.3,-1.73,-3.31,7.34,9.4,10.2,0.0,0.0
2020-02-06,23141103.0,-9366169.0,-13774933.0,-19778460.0,42919563.0,6.59,-2.67,-3.92,-5.63,12.22,10.36,10.21,0.0,0.0
2020-02-07,-101676930.0,72803326.0,28873608.0,-58245258.0,-43431672.0,-13.64,9.76,3.87,-7.81,-5.83,9.75,-5.89,0.0,0.0
2020-02-10,-4680959.0,10570901.0,-5889942.0,-4877776.0,196817.0,-1.27,2.86,-1.6,-1.32,0.05,9.83,0.82,0.0,0.0
