date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-10940096.0,13251028.0,-2310933.0,-11941391.0,1001295.0,-7.37,8.92,-1.56,-8.04,0.67,13.87,-4.93,0.0,0.0
2020-01-09,50181180.0,-23295683.0,-26885498.0,31200330.0,18980850.0,18.43,-8.56,-9.87,11.46,6.97,15.26,10.02,0.0,0.0
2020-01-10,-16524210.0,14880975.0,1643233.0,-16861363.0,337153.0,-6.71,6.04,0.67,-6.85,0.14,14.87,-2.56,0.0,0.0
2020-01-13,-2764348.0,10392467.0,-7628119.0,-9105684.0,6341336.0,-1.68,6.3,-4.62,-5.52,3.84,14.93,0.4,0.0,0.0
2020-01-14,-5126614.0,7067574.0,-1940960.0,-2594351.0,-2532263.0,-3.93,5.42,-1.49,-1.99,-1.94,14.49,-2.95,0.0,0.0
2020-01-15,3206465.0,-1548886.0,-1657578.0,4907104.0,-1700639.0,3.0,-1.45,-1.55,4.6,-1.59,14.68,1.31,0.0,0.0
2020-01-16,-15034934.0,15202230.0,-167296.0,-12624372.0,-2410562.0,-14.18,14.34,-0.16,-11.91,-2.27,14.26,-2.86,0.0,0.0
2020-01-17,-2214325.0,1303963.0,910362.0,-2214325.0,0.0,-3.15,1.85,1.29,-3.15,0.0,14.28,0.14,0.0,0.0
2020-01-20,5580271.0,-2881696.0,-2698576.0,3897893.0,1682378.0,5.24,-2.71,-2.54,3.66,1.58,14.81,3.71,0.0,0.0
2020-01-21,-12431706.0,6944889.0,5486817.0,-10137189.0,-2294517.0,-14.43,8.06,6.37,-11.77,-2.66,14.28,-3.58,0.0,0.0
2020-01-22,-10603209.0,12489442.0,-1886232.0,-8531046.0,-2072163.0,-11.62,13.68,-2.07,-9.35,-2.27,14.25,-0.21,0.0,0.0
2020-01-23,-22291165.0,27505186.0,-5214020.0,-18759058.0,-3532107.0,-19.83,24.47,-4.64,-16.69,-3.14,13.0,-8.77,0.0,0.0
2020-02-03,82530876.0,-29972019.0,-52558856.0,25072480.0,57458396.0,32.4,-11.76,-20.63,9.84,22.55,14.31,10.08,0.0,0.0
2020-02-04,9866635.0,-3917509.0,-5949125.0,1670561.0,8196074.0,4.53,-1.8,-2.73,0.77,3.76,15.75,10.06,0.0,0.0
2020-02-05,5884868.0,-3208348.0,-2676520.0,-10428.0,5895296.0,44.44,-24.23,-20.21,-0.08,44.51,17.33,10.03,0.0,0.0
2020-02-06,3252312.0,-1761984.0,-1490328.0,-1269568.0,4521880.0,41.85,-22.67,-19.18,-16.34,58.19,19.07,10.04,0.0,0.0
2020-02-07,7091337.0,-3070401.0,-4020936.0,-3566688.0,10658025.0,47.83,-20.71,-27.12,-24.06,71.89,20.98,10.02,0.0,0.0
2020-02-10,19362535.0,-4795352.0,-14567196.0,34179879.0,-14817344.0,2.1,-0.52,-1.58,3.71,-1.61,23.08,10.01,0.0,0.0
2020-02-11,-74294889.0,56942947.0,17351952.0,-23026693.0,-51268196.0,-8.45,6.47,1.97,-2.62,-5.83,21.85,-5.33,0.0,0.0
2020-02-12,30508741.0,-15451677.0,-15057056.0,-49715126.0,80223867.0,3.18,-1.61,-1.57,-5.18,8.36,24.04,10.02,0.0,0.0
2020-02-13,-91144745.0,73691520.0,17453216.0,-56009734.0,-35135011.0,-8.75,7.07,1.68,-5.38,-3.37,22.95,-4.53,0.0,0.0
2020-02-14,124246884.0,-58257102.0,-65989776.0,22532451.0,101714433.0,11.03,-5.17,-5.86,2.0,9.03,25.25,10.02,0.0,0.0
2020-02-17,-118146457.0,75124170.0,43022288.0,-44416155.0,-73730302.0,-12.18,7.75,4.44,-4.58,-7.6,24.45,-3.17,0.0,0.0
2020-02-18,-36315688.0,23888512.0,12427184.0,-29942705.0,-6372983.0,-3.28,2.16,1.12,-2.71,-0.58,26.9,10.02,0.0,0.0
2020-02-19,-170786896.0,119002352.0,51784560.0,-103606426.0,-67180470.0,-15.25,10.63,4.62,-9.25,-6.0,24.22,-9.96,0.0,0.0
2020-02-20,-59116978.0,64974287.0,-5857308.0,-41145923.0,-17971055.0,-8.44,9.27,-0.84,-5.87,-2.56,22.22,-8.26,0.0,0.0
2020-02-21,-48161024.0,36363817.0,11797205.0,-29124195.0,-19036829.0,-8.85,6.68,2.17,-5.35,-3.5,21.86,-1.62,0.0,0.0
2020-02-24,-3904442.0,10184347.0,-6279906.0,-10207901.0,6303459.0,-0.83,2.17,-1.34,-2.17,1.34,22.62,3.48,0.0,0.0
2020-02-25,3174562.0,-615238.0,-2559312.0,4014303.0,-839741.0,0.4,-0.08,-0.33,0.51,-0.11,24.05,6.32,0.0,0.0
2020-02-26,-1070254.0,16467399.0,-15397152.0,-15346107.0,14275853.0,-0.13,2.02,-1.89,-1.89,1.75,24.76,2.95,0.0,0.0
2020-02-27,128339516.0,-49514311.0,-78825202.0,-27998403.0,156337919.0,15.51,-5.98,-9.53,-3.38,18.89,27.24,10.02,0.0,0.0
2020-02-28,-147703664.0,93553792.0,54149888.0,-75724400.0,-71979264.0,-11.82,7.49,4.33,-6.06,-5.76,24.51,-10.02,0.0,0.0
2020-03-02,-50772918.0,35154826.0,15618096.0,-21296934.0,-29475984.0,-7.09,4.91,2.18,-2.97,-4.12,23.52,-4.04,0.0,0.0
2020-03-03,-10748094.0,41043891.0,-30295798.0,-20086274.0,9338180.0,-1.71,6.54,-4.82,-3.2,1.49,23.04,-2.04,0.0,0.0
2020-03-04,-32306281.0,29742489.0,2563792.0,-25551873.0,-6754408.0,-7.23,6.65,0.57,-5.72,-1.51,22.24,-3.47,0.0,0.0
2020-03-05,-22901795.0,28360566.0,-5458771.0,-12577042.0,-10324753.0,-5.92,7.33,-1.41,-3.25,-2.67,21.81,-1.93,0.0,0.0
2020-03-06,7523074.0,2722087.0,-10245161.0,-34048.0,7557122.0,2.2,0.79,-2.99,-0.01,2.2,21.75,-0.28,0.0,0.0
2020-03-09,-56994934.0,65910509.0,-8915575.0,-24179644.0,-32815290.0,-15.05,17.4,-2.35,-6.38,-8.66,19.57,-10.02,0.0,0.0
2020-03-10,-3136202.0,9142828.0,-6006626.0,-3702886.0,566684.0,-1.14,3.33,-2.19,-1.35,0.21,20.07,2.55,0.0,0.0
2020-03-11,-24125697.0,35815811.0,-11690113.0,-20063513.0,-4062184.0,-10.17,15.1,-4.93,-8.46,-1.71,19.03,-5.18,0.0,0.0
2020-03-12,-14318329.0,18573196.0,-4254867.0,-12763072.0,-1555257.0,-9.09,11.79,-2.7,-8.1,-0.99,18.55,-2.52,0.0,0.0
2020-03-13,-470385.0,-2159579.0,2629964.0,1077650.0,-1548035.0,-0.23,-1.03,1.26,0.52,-0.74,18.69,0.75,0.0,0.0
2020-03-16,19387253.0,3844463.0,-23231716.0,-23795881.0,43183134.0,3.83,0.76,-4.59,-4.7,8.53,19.06,1.98,0.0,0.0
2020-03-17,-39178128.0,29444337.0,9733790.0,-12683641.0,-26494487.0,-11.69,8.78,2.9,-3.78,-7.9,17.65,-7.4,0.0,0.0
2020-03-18,-13411578.0,14940385.0,-1528807.0,-6588379.0,-6823199.0,-4.65,5.18,-0.53,-2.28,-2.36,17.99,1.93,0.0,0.0
2020-03-19,-7963149.0,8131480.0,-168330.0,-7762277.0,-200872.0,-3.59,3.67,-0.08,-3.5,-0.09,18.1,0.61,0.0,0.0
2020-03-20,-15953918.0,17520908.0,-1566990.0,-14392277.0,-1561641.0,-10.34,11.36,-1.02,-9.33,-1.01,17.67,-2.38,0.0,0.0
2020-03-23,-10094175.0,17369600.0,-7275425.0,-9759138.0,-335037.0,-6.49,11.16,-4.68,-6.27,-0.22,16.44,-6.96,0.0,0.0
2020-03-24,7487689.0,-861134.0,-6626555.0,4079111.0,3408578.0,4.87,-0.56,-4.31,2.65,2.22,17.12,4.14,0.0,0.0
2020-03-25,-2668119.0,5790386.0,-3122267.0,-3359199.0,691080.0,-1.95,4.23,-2.28,-2.46,0.51,17.35,1.34,0.0,0.0
2020-03-26,-3893275.0,10273820.0,-6380545.0,-3893275.0,0.0,-3.73,9.84,-6.11,-3.73,0.0,17.02,-1.9,0.0,0.0
