date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-78086239.0,61865200.0,16221040.0,-56657045.0,-21429194.0,-13.8,10.94,2.87,-10.02,-3.79,28.42,-4.15,0.0,0.0
2020-01-09,-12451592.0,5625265.0,6826327.0,-7330070.0,-5121522.0,-3.15,1.43,1.73,-1.86,-1.3,29.05,2.22,0.0,0.0
2020-01-10,22048853.0,-3593578.0,-18455273.0,12552423.0,9496430.0,4.19,-0.68,-3.51,2.39,1.81,29.77,2.48,0.0,0.0
2020-01-13,57103384.0,-31944784.0,-25158592.0,29661104.0,27442280.0,7.06,-3.95,-3.11,3.67,3.39,31.24,4.94,0.0,0.0
2020-01-14,-68941762.0,54744691.0,14197071.0,-36180507.0,-32761255.0,-10.79,8.57,2.22,-5.66,-5.13,30.56,-2.18,0.0,0.0
2020-01-15,5587179.0,1939178.0,-7526357.0,-3022174.0,8609353.0,0.95,0.33,-1.28,-0.51,1.46,31.12,1.83,0.0,0.0
2020-01-16,-37559013.0,34543531.0,3015472.0,-29421606.0,-8137407.0,-4.41,4.05,0.35,-3.45,-0.95,31.3,0.58,0.0,0.0
2020-01-17,-52533934.0,40603831.0,11930103.0,-27946786.0,-24587148.0,-9.48,7.33,2.15,-5.04,-4.44,30.95,-1.12,0.0,0.0
2020-01-20,9347128.0,-4307802.0,-5039326.0,-8906028.0,18253156.0,1.44,-0.66,-0.78,-1.37,2.82,32.16,3.91,0.0,0.0
2020-01-21,-8750104.0,12463536.0,-3713424.0,-5331136.0,-3418968.0,-0.84,1.19,-0.36,-0.51,-0.33,33.72,4.85,0.0,0.0
2020-01-22,70918648.0,-24682983.0,-46235680.0,-70150569.0,141069217.0,6.42,-2.24,-4.19,-6.35,12.78,37.09,9.99,0.0,0.0
2020-01-23,-81620501.0,50822880.0,30797632.0,13963104.0,-95583605.0,-4.49,2.8,1.69,0.77,-5.26,39.0,5.15,0.0,0.0
2020-02-03,-31161674.0,28353253.0,2808421.0,-28586458.0,-2575216.0,-20.27,18.44,1.83,-18.59,-1.67,35.1,-10.0,0.0,0.0
2020-02-04,13466471.0,8348928.0,-21815392.0,-16790496.0,30256967.0,1.01,0.63,-1.64,-1.26,2.27,38.61,10.0,0.0,0.0
2020-02-05,-204224027.0,155544128.0,48679888.0,-123916960.0,-80307067.0,-10.85,8.26,2.59,-6.58,-4.27,38.02,-1.53,0.0,0.0
2020-02-06,6643111.0,9660688.0,-16303792.0,-1214640.0,7857751.0,0.41,0.6,-1.01,-0.08,0.49,40.9,7.57,0.0,0.0
2020-02-07,1492828.0,2835552.0,-4328368.0,-21921536.0,23414364.0,0.09,0.16,-0.25,-1.27,1.35,44.38,8.51,0.0,0.0
2020-02-10,-32474161.0,18742224.0,13731952.0,2794992.0,-35269153.0,-1.82,1.05,0.77,0.16,-1.98,46.15,3.99,0.0,0.0
2020-02-11,232336187.0,-75905600.0,-156430608.0,-82907984.0,315244171.0,13.21,-4.32,-8.9,-4.71,17.93,50.77,10.01,0.0,0.0
2020-02-12,40171248.0,2921776.0,-43093008.0,-50992800.0,91164048.0,2.2,0.16,-2.36,-2.79,5.0,55.85,10.01,0.0,0.0
2020-02-13,-60916528.0,84526656.0,-23610112.0,-139744992.0,78828464.0,-1.7,2.35,-0.66,-3.89,2.19,55.6,-0.45,0.0,0.0
2020-02-14,-81452736.0,71531824.0,9920912.0,-42618480.0,-38834256.0,-2.5,2.19,0.3,-1.31,-1.19,57.35,3.15,0.0,0.0
2020-02-17,-5540464.0,37512752.0,-31972288.0,-89527360.0,83986896.0,-0.2,1.37,-1.16,-3.26,3.06,59.74,4.17,0.0,0.0
2020-02-18,171248944.0,-43352560.0,-127896384.0,-99975536.0,271224480.0,5.47,-1.39,-4.09,-3.19,8.67,65.71,9.99,0.0,0.0
2020-02-19,-270969776.0,121710528.0,149259232.0,-28878272.0,-242091504.0,-8.72,3.92,4.81,-0.93,-7.79,64.6,-1.69,0.0,0.0
2020-02-20,-467096320.0,229852464.0,237243856.0,4061952.0,-471158272.0,-13.38,6.58,6.79,0.12,-13.49,63.04,-2.41,0.0,0.0
2020-02-21,73553872.0,-32826864.0,-40727008.0,-35735472.0,109289344.0,2.61,-1.16,-1.44,-1.27,3.87,67.88,7.68,0.0,0.0
2020-02-24,-113507392.0,57053392.0,56453984.0,8028480.0,-121535872.0,-4.31,2.17,2.15,0.31,-4.62,69.45,2.31,0.0,0.0
2020-02-25,-177183770.0,102135232.0,75048528.0,-18795744.0,-158388026.0,-6.43,3.71,2.73,-0.68,-5.75,69.0,-0.65,0.0,0.0
2020-02-26,-313307144.0,199976192.0,113330960.0,-125618224.0,-187688920.0,-15.59,9.95,5.64,-6.25,-9.34,62.1,-10.0,0.0,0.0
2020-02-27,-68067603.0,50428304.0,17639296.0,-52469152.0,-15598451.0,-4.21,3.12,1.09,-3.25,-0.97,59.41,-4.33,0.0,0.0
2020-02-28,-60440483.0,30638496.0,29802000.0,-18807664.0,-41632819.0,-2.68,1.36,1.32,-0.84,-1.85,60.11,1.18,0.0,0.0
2020-03-02,-59470190.0,32905312.0,26564864.0,-74310144.0,14839954.0,-3.33,1.84,1.49,-4.16,0.83,61.3,1.98,0.0,0.0
2020-03-03,348292128.0,-115343392.0,-232948736.0,-98285728.0,446577856.0,11.48,-3.8,-7.68,-3.24,14.73,66.99,9.28,0.0,0.0
2020-03-04,-425334276.0,241616640.0,183717664.0,-64537344.0,-360796932.0,-16.91,9.61,7.3,-2.57,-14.34,61.54,-8.14,0.0,0.0
2020-03-05,-199738068.0,117199344.0,82538720.0,-46478896.0,-153259172.0,-9.86,5.79,4.07,-2.29,-7.57,59.29,-3.66,0.0,0.0
2020-03-06,-94425907.0,85427416.0,8998480.0,-67221965.0,-27203942.0,-8.89,8.04,0.85,-6.33,-2.56,56.65,-4.45,0.0,0.0
2020-03-09,-80699826.0,73372416.0,7327392.0,-29794368.0,-50905458.0,-6.58,5.98,0.6,-2.43,-4.15,52.1,-8.03,0.0,0.0
2020-03-10,114398122.0,-61102704.0,-53295424.0,33188144.0,81209978.0,6.61,-3.53,-3.08,1.92,4.69,56.76,8.94,0.0,0.0
2020-03-11,-254167943.0,169708822.0,84459136.0,-102094480.0,-152073463.0,-16.83,11.24,5.59,-6.76,-10.07,53.31,-6.08,0.0,0.0
