date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-163489.0,5923034.0,-5759544.0,-1756261.0,1592772.0,-0.23,8.43,-8.2,-2.5,2.27,13.32,-1.84,0.0,0.0
2020-01-09,7592154.0,-10753339.0,3161185.0,4202042.0,3390112.0,9.69,-13.72,4.03,5.36,4.33,13.7,2.85,0.0,0.0
2020-01-10,13827560.0,-9335168.0,-4492393.0,10387006.0,3440554.0,11.11,-7.5,-3.61,8.35,2.76,13.93,1.68,0.0,0.0
2020-01-13,-11333152.0,4327083.0,7006069.0,-10860000.0,-473152.0,-9.48,3.62,5.86,-9.08,-0.4,13.8,-0.93,0.0,0.0
2020-01-14,-6522910.0,8910434.0,-2387525.0,-5407799.0,-1115111.0,-7.63,10.43,-2.79,-6.33,-1.3,13.55,-1.81,0.0,0.0
2020-01-15,1945686.0,705774.0,-2651461.0,1050609.0,895077.0,2.8,1.02,-3.81,1.51,1.29,13.67,0.89,0.0,0.0
2020-01-16,-1806055.0,4243760.0,-2437705.0,-454820.0,-1351235.0,-2.64,6.21,-3.57,-0.67,-1.98,13.65,-0.15,0.0,0.0
2020-01-17,-888864.0,3290342.0,-2401479.0,-1416140.0,527276.0,-1.36,5.04,-3.68,-2.17,0.81,13.68,0.22,0.0,0.0
2020-01-20,-9262924.0,8953269.0,309655.0,-9262924.0,0.0,-13.13,12.69,0.44,-13.13,0.0,13.56,-0.88,0.0,0.0
2020-01-21,-9577899.0,15005805.0,-5427906.0,-6569704.0,-3008195.0,-16.16,25.32,-9.16,-11.09,-5.08,13.16,-2.95,0.0,0.0
2020-01-22,8729636.0,-8012661.0,-716974.0,9810760.0,-1081124.0,7.94,-7.29,-0.65,8.93,-0.98,13.91,5.7,0.0,0.0
2020-01-23,-10136704.0,16726201.0,-6589497.0,-9940229.0,-196475.0,-11.21,18.5,-7.29,-10.99,-0.22,13.47,-3.16,0.0,0.0
2020-02-03,-1868941.0,2277444.0,-408505.0,-1025365.0,-843576.0,-14.9,18.16,-3.26,-8.17,-6.72,12.12,-10.02,0.0,0.0
2020-02-04,14231250.0,-8845692.0,-5385559.0,4918003.0,9313247.0,7.63,-4.74,-2.89,2.64,4.99,13.22,9.08,0.0,0.0
2020-02-05,-25123983.0,10554932.0,14569050.0,-24308736.0,-815247.0,-8.67,3.64,5.03,-8.39,-0.28,14.15,7.03,0.0,0.0
2020-02-06,7501267.0,-1505048.0,-5996220.0,9045031.0,-1543764.0,2.25,-0.45,-1.8,2.71,-0.46,14.99,5.94,0.0,0.0
2020-02-07,-5454811.0,9780845.0,-4326034.0,-9803151.0,4348340.0,-1.78,3.2,-1.42,-3.21,1.42,15.17,1.2,0.0,0.0
2020-02-10,-1325862.0,4887057.0,-3561194.0,-1777235.0,451373.0,-0.42,1.53,-1.12,-0.56,0.14,15.1,-0.46,0.0,0.0
2020-02-11,-23330863.0,19508266.0,3822598.0,-20820437.0,-2510426.0,-11.34,9.48,1.86,-10.12,-1.22,14.39,-4.7,0.0,0.0
2020-02-12,-1383241.0,7881309.0,-6498069.0,-3268517.0,1885276.0,-0.73,4.16,-3.43,-1.72,0.99,14.73,2.36,0.0,0.0
2020-02-13,-4682857.0,4919125.0,-236268.0,-7725126.0,3042269.0,-2.44,2.56,-0.12,-4.02,1.58,14.6,-0.88,0.0,0.0
2020-02-14,-26337701.0,19434019.0,6903683.0,-15217020.0,-11120681.0,-14.69,10.84,3.85,-8.49,-6.2,14.21,-2.67,0.0,0.0
2020-02-17,23862682.0,-12692482.0,-11170199.0,11766429.0,12096253.0,10.47,-5.57,-4.9,5.16,5.31,15.08,6.12,0.0,0.0
2020-02-18,-14944179.0,12835474.0,2108706.0,-13257223.0,-1686956.0,-5.34,4.59,0.75,-4.74,-0.6,15.56,3.18,0.0,0.0
2020-02-19,-15642817.0,24302227.0,-8659410.0,-9808844.0,-5833973.0,-6.62,10.28,-3.66,-4.15,-2.47,14.74,-5.27,0.0,0.0
2020-02-20,12152749.0,-6930785.0,-5221964.0,7246622.0,4906127.0,3.26,-1.86,-1.4,1.94,1.32,16.21,9.97,0.0,0.0
2020-02-21,51088401.0,-17275390.0,-33813011.0,10954663.0,40133738.0,11.15,-3.77,-7.38,2.39,8.76,17.83,9.99,0.0,0.0
2020-02-24,-37119357.0,38285508.0,-1166144.0,-16098432.0,-21020925.0,-5.39,5.56,-0.17,-2.34,-3.05,18.09,1.46,0.0,0.0
2020-02-25,24154270.0,-1774258.0,-22380015.0,27352687.0,-3198417.0,3.58,-0.26,-3.32,4.05,-0.47,19.8,9.45,0.0,0.0
2020-02-26,-63053808.0,68588557.0,-5534751.0,-47342156.0,-15711652.0,-13.03,14.17,-1.14,-9.78,-3.25,18.22,-7.98,0.0,0.0
2020-02-27,-18385162.0,23841112.0,-5455950.0,-16389405.0,-1995757.0,-6.9,8.94,-2.05,-6.15,-0.75,17.6,-3.4,0.0,0.0
2020-02-28,-26180330.0,36333413.0,-10153082.0,-17140905.0,-9039425.0,-9.54,13.24,-3.7,-6.25,-3.29,15.89,-9.72,0.0,0.0
2020-03-02,-3440145.0,3195117.0,245027.0,-2933558.0,-506587.0,-1.73,1.6,0.12,-1.47,-0.25,16.59,4.41,0.0,0.0
2020-03-03,5102820.0,10395470.0,-15498290.0,-4775635.0,9878455.0,2.03,4.13,-6.15,-1.9,3.92,16.82,1.39,0.0,0.0
2020-03-04,-16518383.0,19935655.0,-3417273.0,-14115379.0,-2403004.0,-9.13,11.02,-1.89,-7.8,-1.33,16.85,0.18,0.0,0.0
2020-03-05,-17183342.0,15224688.0,1958654.0,-15716271.0,-1467071.0,-8.15,7.22,0.93,-7.45,-0.7,17.05,1.19,0.0,0.0
2020-03-06,-12849270.0,15418240.0,-2568971.0,-12694239.0,-155031.0,-9.5,11.4,-1.9,-9.39,-0.11,16.65,-2.35,0.0,0.0
2020-03-09,-23674762.0,25755854.0,-2081092.0,-17086420.0,-6588342.0,-14.09,15.32,-1.24,-10.17,-3.92,15.4,-7.51,0.0,0.0
2020-03-10,3016228.0,-134465.0,-2881765.0,1341232.0,1674996.0,1.8,-0.08,-1.72,0.8,1.0,16.21,5.26,0.0,0.0
2020-03-11,-9488369.0,14244092.0,-4755722.0,-8292201.0,-1196168.0,-5.84,8.76,-2.93,-5.1,-0.74,15.92,-1.79,0.0,0.0
2020-03-12,-4547485.0,5906778.0,-1359295.0,-5679522.0,1132037.0,-3.22,4.18,-0.96,-4.02,0.8,16.15,1.44,0.0,0.0
2020-03-13,3376149.0,1378208.0,-4754357.0,2708718.0,667431.0,2.31,0.94,-3.25,1.85,0.46,16.23,0.5,0.0,0.0
2020-03-16,-16720512.0,21661324.0,-4940813.0,-14423755.0,-2296757.0,-9.76,12.64,-2.88,-8.42,-1.34,14.72,-9.3,0.0,0.0
2020-03-17,-1130635.0,4250312.0,-3119676.0,-412061.0,-718574.0,-0.97,3.64,-2.67,-0.35,-0.62,14.86,0.95,0.0,0.0
2020-03-18,-1697418.0,4927198.0,-3229780.0,-1461702.0,-235716.0,-1.48,4.3,-2.82,-1.28,-0.21,14.41,-3.03,0.0,0.0
2020-03-19,-4042434.0,2111997.0,1930438.0,-3647025.0,-395409.0,-3.32,1.74,1.59,-3.0,-0.33,14.96,3.82,0.0,0.0
2020-03-20,-4066706.0,5747828.0,-1681121.0,-3682151.0,-384555.0,-4.06,5.74,-1.68,-3.68,-0.38,15.12,1.07,0.0,0.0
2020-03-23,-6905505.0,11773808.0,-4868303.0,-5736753.0,-1168752.0,-7.03,11.99,-4.96,-5.84,-1.19,14.2,-6.08,0.0,0.0
