date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,1180377.0,-3773290.0,2592914.0,2381662.0,-1201285.0,0.52,-1.67,1.15,1.06,-0.53,24.54,-3.65,0.0,0.0
2020-01-09,-1015751.0,-1705102.0,2720854.0,-2399176.0,1383425.0,-0.63,-1.06,1.69,-1.49,0.86,24.84,1.22,0.0,0.0
2020-01-10,-8480163.0,4645178.0,3834986.0,-8700259.0,220096.0,-6.81,3.73,3.08,-6.98,0.18,24.68,-0.64,0.0,0.0
2020-01-13,-8581258.0,3575536.0,5005721.0,-3533474.0,-5047784.0,-6.67,2.78,3.89,-2.75,-3.93,24.94,1.05,0.0,0.0
2020-01-14,-11148248.0,6449607.0,4698641.0,-9519584.0,-1628664.0,-9.68,5.6,4.08,-8.27,-1.41,24.46,-1.92,0.0,0.0
2020-01-15,-10656437.0,8967822.0,1688616.0,-7749540.0,-2906897.0,-8.71,7.33,1.38,-6.34,-2.38,24.54,0.33,0.0,0.0
2020-01-16,-4708972.0,7055273.0,-2346301.0,-5004495.0,295523.0,-4.95,7.42,-2.47,-5.26,0.31,24.52,-0.08,0.0,0.0
2020-01-17,-4896603.0,1540021.0,3356582.0,-5174622.0,278019.0,-7.3,2.29,5.0,-7.71,0.41,24.35,-0.69,0.0,0.0
2020-01-20,4649765.0,-7207931.0,2558167.0,10126976.0,-5477211.0,2.7,-4.19,1.49,5.89,-3.19,25.14,3.24,0.0,0.0
2020-01-21,-10612732.0,8709470.0,1903262.0,-7799435.0,-2813297.0,-3.33,2.73,0.6,-2.45,-0.88,25.36,0.88,0.0,0.0
2020-01-22,-2703664.0,2299626.0,404038.0,-3846255.0,1142591.0,-1.41,1.2,0.21,-2.0,0.6,25.68,1.26,0.0,0.0
2020-01-23,4837137.0,-12240487.0,7403349.0,6111608.0,-1274471.0,2.19,-5.54,3.35,2.77,-0.58,24.49,-4.63,0.0,0.0
2020-02-03,10543390.0,5398144.0,-15941533.0,2607243.0,7936147.0,5.08,2.6,-7.67,1.26,3.82,22.04,-10.0,0.0,0.0
2020-02-04,-5018274.0,8063126.0,-3044854.0,-8075787.0,3057513.0,-3.17,5.1,-1.93,-5.11,1.93,23.22,5.35,0.0,0.0
2020-02-05,-7537316.0,2684408.0,4852908.0,-5415525.0,-2121791.0,-3.97,1.42,2.56,-2.85,-1.12,22.8,-1.81,0.0,0.0
2020-02-06,661382.0,-3000244.0,2338863.0,-1677067.0,2338449.0,0.39,-1.75,1.37,-0.98,1.37,23.62,3.6,0.0,0.0
2020-02-07,-144610.0,2145999.0,-2001388.0,-613544.0,468934.0,-0.12,1.84,-1.72,-0.53,0.4,23.68,0.25,0.0,0.0
