date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-7065077.0,11646880.0,-4581802.0,-5077626.0,-1987451.0,-2.33,3.85,-1.51,-1.68,-0.66,4.12,-1.2,0.0,0.0
2020-01-09,-1792282.0,3775906.0,-1983623.0,-6864885.0,5072603.0,-0.6,1.27,-0.67,-2.31,1.71,4.22,2.43,0.0,0.0
2020-01-10,-24886064.0,16110845.0,8775219.0,-10640649.0,-14245415.0,-12.42,8.04,4.38,-5.31,-7.11,4.2,-0.47,0.0,0.0
2020-01-13,-6037083.0,8352572.0,-2315488.0,-4611920.0,-1425163.0,-3.94,5.45,-1.51,-3.01,-0.93,4.21,0.24,0.0,0.0
2020-01-14,-19872350.0,13342351.0,6529999.0,-9610701.0,-10261649.0,-11.17,7.5,3.67,-5.4,-5.77,4.14,-1.66,0.0,0.0
2020-01-15,13980943.0,-1725942.0,-12255003.0,7050026.0,6930917.0,4.01,-0.5,-3.52,2.02,1.99,4.3,3.86,0.0,0.0
2020-01-16,-4189817.0,-2374949.0,6564766.0,548276.0,-4738093.0,-1.22,-0.69,1.91,0.16,-1.38,4.35,1.16,0.0,0.0
2020-01-17,-23425497.0,21386048.0,2039447.0,-8005424.0,-15420073.0,-5.24,4.79,0.46,-1.79,-3.45,4.3,-1.15,0.0,0.0
2020-01-20,-41195383.0,21421314.0,19774068.0,-11865146.0,-29330237.0,-12.39,6.44,5.95,-3.57,-8.82,4.31,0.23,0.0,0.0
2020-01-21,13980121.0,-1434022.0,-12546101.0,3810690.0,10169431.0,4.04,-0.41,-3.63,1.1,2.94,4.44,3.02,0.0,0.0
2020-01-22,-24973901.0,7377041.0,17596861.0,-3380165.0,-21593736.0,-8.01,2.37,5.64,-1.08,-6.92,4.39,-1.13,0.0,0.0
2020-01-23,-14509251.0,15637467.0,-1128216.0,-10007415.0,-4501836.0,-3.81,4.1,-0.3,-2.62,-1.18,4.33,-1.37,0.0,0.0
2020-02-03,-28427832.0,29802992.0,-1375160.0,-17572017.0,-10855815.0,-15.22,15.95,-0.74,-9.41,-5.81,3.9,-9.93,0.0,0.0
