date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,2427228.0,13423927.0,-15851154.0,204429.0,2222799.0,1.56,8.61,-10.17,0.13,1.43,4.97,-1.39,0.0,0.0
2020-01-09,-3066692.0,-3380810.0,6447503.0,-393956.0,-2672736.0,-3.62,-3.99,7.6,-0.46,-3.15,5.01,0.8,0.0,0.0
2020-01-10,-14400473.0,15829565.0,-1429091.0,-11848058.0,-2552415.0,-13.12,14.42,-1.3,-10.79,-2.32,4.8,-4.19,0.0,0.0
2020-01-13,-14170457.0,13362714.0,807744.0,-12722594.0,-1447863.0,-20.28,19.12,1.16,-18.21,-2.07,4.65,-3.12,0.0,0.0
2020-01-14,-20079773.0,17972525.0,2107250.0,-19351013.0,-728760.0,-24.79,22.19,2.6,-23.89,-0.9,4.56,-1.94,0.0,0.0
2020-01-15,-29042416.0,28197715.0,844701.0,-25394423.0,-3647993.0,-23.29,22.62,0.68,-20.37,-2.93,4.33,-5.04,0.0,0.0
2020-01-16,1867551.0,1508056.0,-3375607.0,-622541.0,2490092.0,2.33,1.88,-4.22,-0.78,3.11,4.37,0.92,0.0,0.0
2020-01-17,-7844153.0,7103019.0,741134.0,-4765269.0,-3078884.0,-16.25,14.72,1.54,-9.87,-6.38,4.27,-2.29,0.0,0.0
2020-01-20,-2849138.0,3582701.0,-733562.0,-2849138.0,0.0,-9.11,11.46,-2.35,-9.11,0.0,4.23,-0.94,0.0,0.0
2020-01-21,133988.0,2031716.0,-2165703.0,-437970.0,571958.0,0.29,4.4,-4.69,-0.95,1.24,4.23,0.0,0.0,0.0
2020-01-22,4364116.0,-2302048.0,-2062068.0,4364116.0,0.0,10.6,-5.59,-5.01,10.6,0.0,4.31,1.89,0.0,0.0
2020-01-23,-7724146.0,9066895.0,-1342747.0,-5614195.0,-2109951.0,-16.83,19.75,-2.93,-12.23,-4.6,4.1,-4.87,0.0,0.0
2020-02-03,-505530.0,1496295.0,-990765.0,84501.0,-590031.0,-9.94,29.41,-19.47,1.66,-11.6,3.69,-10.0,0.0,0.0
2020-02-04,-12414972.0,12396999.0,17972.0,-7744666.0,-4670306.0,-17.12,17.09,0.02,-10.68,-6.44,3.39,-8.13,0.0,0.0
2020-02-05,-930927.0,1011713.0,-80787.0,-2241257.0,1310330.0,-1.8,1.96,-0.16,-4.34,2.54,3.51,3.54,0.0,0.0
2020-02-06,2620994.0,691911.0,-3312907.0,1467846.0,1153148.0,6.13,1.62,-7.75,3.43,2.7,3.55,1.14,0.0,0.0
2020-02-07,-2445965.0,3228761.0,-782797.0,-2454840.0,8875.0,-5.83,7.69,-1.86,-5.85,0.02,3.59,1.13,0.0,0.0
2020-02-10,-1381315.0,-809431.0,2190747.0,-1354524.0,-26791.0,-3.52,-2.06,5.58,-3.45,-0.07,3.67,2.23,0.0,0.0
2020-02-11,164387.0,2227494.0,-2391882.0,-944243.0,1108630.0,0.52,7.05,-7.57,-2.99,3.51,3.66,-0.27,0.0,0.0
2020-02-12,9684722.0,-6145582.0,-3539140.0,8031254.0,1653468.0,53.0,-33.63,-19.37,43.95,9.05,4.03,10.11,0.0,0.0
2020-02-13,-3923048.0,7794423.0,-3871374.0,-2821794.0,-1101254.0,-1.87,3.72,-1.85,-1.35,-0.53,4.17,3.47,0.0,0.0
2020-02-14,-11931108.0,14787924.0,-2856816.0,-10909860.0,-1021248.0,-10.64,13.18,-2.55,-9.73,-0.91,3.92,-6.0,0.0,0.0
2020-02-17,4571193.0,-1623351.0,-2947842.0,1709386.0,2861807.0,5.95,-2.11,-3.84,2.22,3.72,4.04,3.06,0.0,0.0
2020-02-18,-5120142.0,6987417.0,-1867273.0,-4034024.0,-1086118.0,-6.05,8.26,-2.21,-4.77,-1.28,4.11,1.73,0.0,0.0
2020-02-19,-58048.0,193357.0,-135309.0,78525.0,-136573.0,-0.05,0.17,-0.12,0.07,-0.12,4.18,1.7,0.0,0.0
2020-02-20,41865353.0,-22183525.0,-19681829.0,4893766.0,36971587.0,26.97,-14.29,-12.68,3.15,23.82,4.6,10.05,0.0,0.0
2020-02-21,-32534629.0,29794844.0,2739785.0,-18212769.0,-14321860.0,-12.21,11.18,1.03,-6.83,-5.37,4.44,-3.48,0.0,0.0
2020-02-24,-14043649.0,14105039.0,-61390.0,-11789897.0,-2253752.0,-9.83,9.87,-0.04,-8.25,-1.58,4.38,-1.35,0.0,0.0
2020-02-25,-9207901.0,9328492.0,-120592.0,-9160968.0,-46933.0,-7.99,8.09,-0.1,-7.95,-0.04,4.26,-2.74,0.0,0.0
2020-02-26,16711600.0,-6156918.0,-10554682.0,13537772.0,3173828.0,11.63,-4.29,-7.35,9.42,2.21,4.42,3.76,0.0,0.0
2020-02-27,-11489581.0,13184218.0,-1694637.0,-9415282.0,-2074299.0,-12.79,14.68,-1.89,-10.48,-2.31,4.25,-3.85,0.0,0.0
2020-02-28,-9937782.0,16082727.0,-6144944.0,-7601906.0,-2335876.0,-12.33,19.96,-7.63,-9.43,-2.9,3.85,-9.41,0.0,0.0
2020-03-02,983335.0,-3420591.0,2437256.0,985285.0,-1950.0,2.31,-8.05,5.73,2.32,-0.0,4.0,3.9,0.0,0.0
2020-03-03,3539200.0,-751849.0,-2787350.0,2091192.0,1448008.0,5.93,-1.26,-4.67,3.51,2.43,4.09,2.25,0.0,0.0
2020-03-04,-5998909.0,6792477.0,-793569.0,-5530841.0,-468068.0,-13.49,15.27,-1.78,-12.44,-1.05,4.1,0.24,0.0,0.0
2020-03-05,4174115.0,-1419065.0,-2755050.0,2914115.0,1260000.0,6.09,-2.07,-4.02,4.25,1.84,4.24,3.41,0.0,0.0
2020-03-06,-6216530.0,5846888.0,369642.0,-6216530.0,0.0,-13.97,13.14,0.83,-13.97,0.0,4.17,-1.65,0.0,0.0
2020-03-09,-3058549.0,7346509.0,-4287959.0,-1839861.0,-1218688.0,-6.99,16.78,-9.8,-4.2,-2.78,3.97,-4.8,0.0,0.0
2020-03-10,7388581.0,-4825494.0,-2563088.0,7105043.0,283538.0,9.89,-6.46,-3.43,9.51,0.38,4.2,5.79,0.0,0.0
2020-03-11,-8568710.0,10191053.0,-1622343.0,-4269439.0,-4299271.0,-12.83,15.26,-2.43,-6.39,-6.44,4.12,-1.9,0.0,0.0
2020-03-12,-962059.0,3790414.0,-2828355.0,141141.0,-1103200.0,-2.73,10.76,-8.03,0.4,-3.13,3.98,-3.4,0.0,0.0
