date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,6589794.0,-6622612.0,32818.0,2318073.0,4271721.0,2.75,-2.76,0.01,0.97,1.78,8.92,3.0,0.0,0.0
2020-01-09,7441972.0,-7071618.0,-370353.0,13093414.0,-5651442.0,4.57,-4.34,-0.23,8.03,-3.47,8.94,0.22,0.0,0.0
2020-01-10,-6309063.0,1546168.0,4762895.0,-4448537.0,-1860526.0,-6.01,1.47,4.54,-4.24,-1.77,8.98,0.45,0.0,0.0
2020-01-13,702909.0,-5305924.0,4603015.0,1031983.0,-329074.0,0.69,-5.21,4.52,1.01,-0.32,9.14,1.78,0.0,0.0
2020-01-14,422486.0,3131353.0,-3553839.0,2138182.0,-1715696.0,0.28,2.1,-2.38,1.43,-1.15,9.46,3.5,0.0,0.0
2020-01-15,-19453166.0,5653201.0,13799965.0,-14826680.0,-4626486.0,-11.81,3.43,8.38,-9.0,-2.81,9.13,-3.49,0.0,0.0
2020-01-16,-600598.0,3200364.0,-2599767.0,-1703104.0,1102506.0,-0.6,3.18,-2.59,-1.69,1.1,9.18,0.55,0.0,0.0
2020-01-17,-8575928.0,9002215.0,-426287.0,-7488408.0,-1087520.0,-10.85,11.38,-0.54,-9.47,-1.38,9.03,-1.63,0.0,0.0
2020-01-20,595926.0,387955.0,-983881.0,38200.0,557726.0,0.81,0.53,-1.34,0.05,0.76,9.13,1.11,0.0,0.0
2020-01-21,5656860.0,-4225518.0,-1431341.0,4483084.0,1173776.0,7.42,-5.55,-1.88,5.88,1.54,9.17,0.44,0.0,0.0
2020-01-22,-8404600.0,3693572.0,4711029.0,-3935131.0,-4469469.0,-5.22,2.29,2.92,-2.44,-2.77,9.43,2.84,0.0,0.0
2020-01-23,-1388092.0,-2437785.0,3825877.0,3117543.0,-4505635.0,-0.95,-1.67,2.62,2.13,-3.08,8.97,-4.88,0.0,0.0
2020-02-03,-3015487.0,1543360.0,1472128.0,1424640.0,-4440127.0,-45.95,23.52,22.43,21.71,-67.66,8.05,-10.26,0.0,0.0
2020-02-04,-5017294.0,6475659.0,-1458363.0,-7451433.0,2434139.0,-3.21,4.15,-0.93,-4.77,1.56,7.83,-2.73,0.0,0.0
2020-02-05,-8717598.0,10033479.0,-1315881.0,-5475247.0,-3242351.0,-8.87,10.21,-1.34,-5.57,-3.3,7.98,1.92,0.0,0.0
2020-02-06,4304300.0,-6063067.0,1758768.0,2616620.0,1687680.0,4.04,-5.69,1.65,2.46,1.58,8.19,2.63,0.0,0.0
