date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1653448.0,4797725.0,-3144277.0,-1653448.0,0.0,-2.71,7.86,-5.15,-2.71,0.0,15.09,-1.57,0.0,0.0
2020-01-09,669445.0,346311.0,-1015756.0,-1781869.0,2451314.0,0.77,0.4,-1.17,-2.04,2.81,12.45,7.33,0.0,0.0
2020-01-10,3999940.0,-2209865.0,-1790076.0,2211594.0,1788346.0,5.42,-3.0,-2.43,3.0,2.42,12.69,1.93,0.0,0.0
2020-01-13,-3576816.0,-5434155.0,9010971.0,-2353341.0,-1223475.0,-4.2,-6.39,10.59,-2.77,-1.44,13.18,3.86,0.0,0.0
2020-01-14,1511434.0,-7371624.0,5860190.0,1532962.0,-21528.0,1.23,-6.0,4.77,1.25,-0.02,14.04,6.53,0.0,0.0
2020-01-15,2540749.0,-1224080.0,-1316668.0,3187282.0,-646533.0,2.05,-0.99,-1.06,2.57,-0.52,13.82,-1.57,0.0,0.0
2020-01-16,-2921319.0,-3571150.0,6492468.0,-1371295.0,-1550024.0,-3.1,-3.79,6.88,-1.45,-1.64,13.98,1.16,0.0,0.0
2020-01-17,-5069263.0,6224521.0,-1155257.0,-2478426.0,-2590837.0,-7.82,9.6,-1.78,-3.82,-4.0,13.6,-2.72,0.0,0.0
2020-01-20,-5239163.0,3683888.0,1555274.0,-3635774.0,-1603389.0,-11.15,7.84,3.31,-7.74,-3.41,13.58,-0.15,0.0,0.0
2020-01-21,-5194259.0,3128448.0,2065810.0,-4961900.0,-232359.0,-12.51,7.53,4.98,-11.95,-0.56,13.52,-0.44,0.0,0.0
2020-01-22,-1887351.0,1301056.0,586295.0,-1887351.0,0.0,-5.96,4.11,1.85,-5.96,0.0,13.45,-0.52,0.0,0.0
2020-01-23,1230293.0,615682.0,-1845975.0,1230293.0,0.0,3.55,1.78,-5.33,3.55,0.0,13.18,-2.01,0.0,0.0
2020-02-03,-2536337.0,1883166.0,653171.0,-3120072.0,583735.0,-4.01,2.97,1.03,-4.93,0.92,11.88,-9.86,0.0,0.0
2020-02-04,5972154.0,-3104737.0,-2867418.0,1847266.0,4124888.0,39.89,-20.74,-19.15,12.34,27.55,13.07,10.02,0.0,0.0
