date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5700943.0,5425501.0,275442.0,-2917152.0,-2783791.0,-9.56,9.1,0.46,-4.89,-4.67,15.85,-0.69,0.0,0.0
2020-01-09,-3795890.0,3402348.0,393542.0,-1821778.0,-1974112.0,-5.03,4.5,0.52,-2.41,-2.61,16.08,1.45,0.0,0.0
2020-01-10,15020362.0,-14592890.0,-427472.0,12993012.0,2027350.0,10.85,-10.54,-0.31,9.39,1.46,16.63,3.42,0.0,0.0
2020-01-13,-10747936.0,7811477.0,2936459.0,-9647075.0,-1100861.0,-14.66,10.66,4.01,-13.16,-1.5,16.51,-0.72,0.0,0.0
2020-01-14,-130532.0,-545587.0,676119.0,-1455054.0,1324522.0,-0.24,-1.0,1.24,-2.67,2.43,16.52,0.06,0.0,0.0
2020-01-15,-708474.0,1901607.0,-1193133.0,-1482329.0,773855.0,-0.72,1.92,-1.21,-1.5,0.78,16.49,-0.18,0.0,0.0
2020-01-16,-7856171.0,4948739.0,2907432.0,-8605801.0,749630.0,-13.01,8.19,4.81,-14.25,1.24,16.53,0.24,0.0,0.0
2020-01-17,-5871412.0,4005293.0,1866118.0,-4042663.0,-1828749.0,-11.01,7.51,3.5,-7.58,-3.43,16.61,0.48,0.0,0.0
2020-01-20,-3517020.0,-220873.0,3737893.0,-8503258.0,4986238.0,-2.67,-0.17,2.84,-6.46,3.79,17.13,3.13,0.0,0.0
2020-01-21,-10493332.0,13669956.0,-3176624.0,-10650734.0,157402.0,-6.9,8.99,-2.09,-7.01,0.1,17.08,-0.29,0.0,0.0
2020-01-22,-11086295.0,10933364.0,152932.0,-6096692.0,-4989603.0,-12.06,11.89,0.17,-6.63,-5.43,16.78,-1.76,0.0,0.0
2020-01-23,-16562127.0,14689316.0,1872812.0,-13390586.0,-3171541.0,-14.94,13.25,1.69,-12.08,-2.86,16.19,-3.52,0.0,0.0
2020-02-03,-20646224.0,2248322.0,18397902.0,-15212313.0,-5433911.0,-13.52,1.47,12.05,-9.96,-3.56,14.56,-10.07,0.0,0.0
2020-02-04,-4696966.0,9270527.0,-4573560.0,-5499427.0,802461.0,-3.14,6.19,-3.06,-3.67,0.54,15.83,8.72,0.0,0.0
2020-02-05,659206.0,-182503.0,-476704.0,-1389638.0,2048844.0,0.46,-0.13,-0.33,-0.98,1.44,16.29,2.91,0.0,0.0
2020-02-06,-3439140.0,5481439.0,-2042300.0,-8881464.0,5442324.0,-2.0,3.19,-1.19,-5.17,3.17,16.7,2.52,0.0,0.0
2020-02-07,-13661890.0,17316727.0,-3654837.0,-12577820.0,-1084070.0,-9.82,12.44,-2.63,-9.04,-0.78,16.45,-1.5,0.0,0.0
2020-02-10,-5894900.0,4485045.0,1409854.0,-6561222.0,666322.0,-6.7,5.1,1.6,-7.46,0.76,16.18,-1.64,0.0,0.0
2020-02-11,-10722866.0,11595335.0,-872469.0,-6885398.0,-3837468.0,-12.09,13.07,-0.98,-7.76,-4.33,15.98,-1.24,0.0,0.0
2020-02-12,1332957.0,-6175823.0,4842866.0,3732399.0,-2399442.0,1.43,-6.63,5.2,4.01,-2.58,16.3,2.0,0.0,0.0
2020-02-13,-546668.0,1375384.0,-828716.0,-107239.0,-439429.0,-0.85,2.14,-1.29,-0.17,-0.69,15.92,-2.33,0.0,0.0
2020-02-14,-5632308.0,1514664.0,4117644.0,-977977.0,-4654331.0,-9.39,2.53,6.87,-1.63,-7.76,15.91,-0.06,0.0,0.0
2020-02-17,35187310.0,-17228921.0,-17958389.0,2807908.0,32379402.0,15.21,-7.45,-7.76,1.21,13.99,17.52,10.12,0.0,0.0
2020-02-18,-5690104.0,7965372.0,-2275268.0,-11202150.0,5512046.0,-1.62,2.27,-0.65,-3.2,1.57,18.26,4.22,0.0,0.0
2020-02-19,-13509701.0,16953800.0,-3444099.0,-12542371.0,-967330.0,-6.37,8.0,-1.62,-5.92,-0.46,18.08,-0.99,0.0,0.0
