date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,311659.0,1707132.0,-2018790.0,311659.0,0.0,1.98,10.86,-12.84,1.98,0.0,15.52,-1.4,0.0,0.0
2020-01-09,-1140887.0,1536409.0,-395521.0,-1140887.0,0.0,-9.87,13.3,-3.42,-9.87,0.0,15.75,1.48,0.0,0.0
2020-01-10,-54000.0,-166626.0,220626.0,-54000.0,0.0,-0.57,-1.75,2.31,-0.57,0.0,15.62,-0.83,0.0,0.0
2020-01-13,1072199.0,-736890.0,-335309.0,1072199.0,0.0,8.38,-5.76,-2.62,8.38,0.0,15.82,1.28,0.0,0.0
2020-01-14,886849.0,-966831.0,79981.0,886849.0,0.0,6.51,-7.09,0.59,6.51,0.0,15.99,1.07,0.0,0.0
2020-01-15,1373835.0,-2663477.0,1289641.0,1373835.0,0.0,8.64,-16.74,8.11,8.64,0.0,16.05,0.38,0.0,0.0
2020-01-16,-1086931.0,-59592.0,1146522.0,-1086931.0,0.0,-8.32,-0.46,8.78,-8.32,0.0,15.84,-1.31,0.0,0.0
2020-01-17,-573380.0,460300.0,113079.0,-573380.0,0.0,-5.49,4.41,1.08,-5.49,0.0,15.89,0.32,0.0,0.0
2020-01-20,1449342.0,-1217180.0,-232163.0,1449342.0,0.0,11.73,-9.85,-1.88,11.73,0.0,16.11,1.38,0.0,0.0
2020-01-21,2221877.0,-3721154.0,1499277.0,2221877.0,0.0,5.21,-8.73,3.52,5.21,0.0,16.43,1.99,0.0,0.0
2020-01-22,2654089.0,-2041664.0,-612426.0,2654089.0,0.0,8.53,-6.56,-1.97,8.53,0.0,16.99,3.41,0.0,0.0
2020-01-23,624014.0,-1330617.0,706603.0,1015099.0,-391085.0,1.17,-2.49,1.32,1.9,-0.73,17.1,0.65,0.0,0.0
2020-02-03,4384387.0,395480.0,-4779866.0,-3807609.0,8191996.0,8.48,0.77,-9.25,-7.37,15.85,15.39,-10.0,0.0,0.0
2020-02-04,92012.0,1541966.0,-1633978.0,92012.0,0.0,0.2,3.39,-3.6,0.2,0.0,16.68,8.38,0.0,0.0
2020-02-05,611658.0,-1207433.0,595775.0,611658.0,0.0,1.0,-1.98,0.98,1.0,0.0,17.68,6.0,0.0,0.0
2020-02-06,4756225.0,-5571546.0,815321.0,4793385.0,-37160.0,5.5,-6.44,0.94,5.54,-0.04,18.71,5.83,0.0,0.0
2020-02-07,6586748.0,-630036.0,-5956712.0,7584647.0,-997899.0,6.5,-0.62,-5.88,7.48,-0.98,19.95,6.63,0.0,0.0
2020-02-10,-15519414.0,12659460.0,2859953.0,-15378031.0,-141383.0,-15.34,12.51,2.83,-15.2,-0.14,18.42,-7.67,0.0,0.0
2020-02-11,-5251638.0,5687837.0,-436199.0,-5251638.0,0.0,-11.71,12.69,-0.97,-11.71,0.0,17.73,-3.75,0.0,0.0
2020-02-12,-3804099.0,1258364.0,2545735.0,-2378101.0,-1425998.0,-10.66,3.53,7.13,-6.66,-3.99,18.15,2.37,0.0,0.0
2020-02-13,-4320860.0,10319472.0,-5998612.0,-1756080.0,-2564780.0,-9.63,23.0,-13.37,-3.91,-5.72,17.32,-4.57,0.0,0.0
2020-02-14,-1481265.0,1291098.0,190166.0,-1481265.0,0.0,-5.1,4.44,0.65,-5.1,0.0,17.17,-0.87,0.0,0.0
2020-02-17,108292.0,1530588.0,-1638880.0,108292.0,0.0,0.31,4.36,-4.67,0.31,0.0,17.91,4.31,0.0,0.0
2020-02-18,2682403.0,-1439278.0,-1243125.0,1776043.0,906360.0,6.34,-3.4,-2.94,4.2,2.14,18.28,2.07,0.0,0.0
2020-02-19,-4146034.0,7218203.0,-3072169.0,-4146034.0,0.0,-11.09,19.31,-8.22,-11.09,0.0,17.59,-3.77,0.0,0.0
2020-02-20,839894.0,-924455.0,84561.0,-350563.0,1190457.0,2.01,-2.21,0.2,-0.84,2.85,18.33,4.21,0.0,0.0
2020-02-21,-2162082.0,2395974.0,-233892.0,-2162082.0,0.0,-4.62,5.12,-0.5,-4.62,0.0,18.22,-0.6,0.0,0.0
2020-02-24,-5020761.0,5119531.0,-98770.0,-5020761.0,0.0,-14.16,14.43,-0.28,-14.16,0.0,18.19,-0.16,0.0,0.0
2020-02-25,-450969.0,3938475.0,-3487505.0,-450969.0,0.0,-1.07,9.38,-8.3,-1.07,0.0,17.58,-3.35,0.0,0.0
2020-02-26,-1854478.0,2193438.0,-338961.0,-1854478.0,0.0,-9.39,11.11,-1.72,-9.39,0.0,17.28,-1.71,0.0,0.0
2020-02-27,-485727.0,-178011.0,663738.0,-485727.0,0.0,-2.53,-0.93,3.46,-2.53,0.0,17.3,0.12,0.0,0.0
2020-02-28,-1837368.0,1343022.0,494346.0,-1837368.0,0.0,-5.36,3.92,1.44,-5.36,0.0,16.45,-4.91,0.0,0.0
2020-03-02,1157027.0,-405713.0,-751314.0,1157027.0,0.0,6.46,-2.27,-4.19,6.46,0.0,17.17,4.38,0.0,0.0
2020-03-03,-505189.0,613728.0,-108540.0,-505189.0,0.0,-2.41,2.93,-0.52,-2.41,0.0,17.27,0.58,0.0,0.0
2020-03-04,-23254.0,316181.0,-292928.0,-231398.0,208144.0,-0.13,1.76,-1.63,-1.29,1.16,17.44,0.98,0.0,0.0
2020-03-05,-962473.0,404461.0,558012.0,-962473.0,0.0,-5.25,2.21,3.04,-5.25,0.0,17.6,0.92,0.0,0.0
2020-03-06,535537.0,54497.0,-590034.0,535537.0,0.0,3.43,0.35,-3.78,3.43,0.0,17.56,-0.23,0.0,0.0
2020-03-09,-1475860.0,2118983.0,-643122.0,-1475860.0,0.0,-7.66,10.99,-3.34,-7.66,0.0,17.01,-3.13,0.0,0.0
2020-03-10,1340968.0,852918.0,-2193884.0,520473.0,820495.0,3.93,2.5,-6.43,1.53,2.41,17.4,2.29,0.0,0.0
2020-03-11,722785.0,-612595.0,-110191.0,722785.0,0.0,2.19,-1.85,-0.33,2.19,0.0,17.5,0.57,0.0,0.0
2020-03-12,-369832.0,1356191.0,-986359.0,-369832.0,0.0,-2.0,7.34,-5.34,-2.0,0.0,17.2,-1.71,0.0,0.0
2020-03-13,-1912813.0,1647455.0,265358.0,-1912813.0,0.0,-9.26,7.97,1.28,-9.26,0.0,16.99,-1.22,0.0,0.0
2020-03-16,70724.0,531330.0,-602054.0,70724.0,0.0,0.35,2.65,-3.01,0.35,0.0,16.63,-2.12,0.0,0.0
2020-03-17,45465.0,-1319945.0,1274480.0,45465.0,0.0,0.16,-4.69,4.52,0.16,0.0,17.33,4.21,0.0,0.0
