date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-8435574.0,10153161.0,-1717587.0,-8359734.0,-75840.0,-10.44,12.56,-2.12,-10.34,-0.09,16.0,-3.15,0.0,0.0
2020-01-09,-356480.0,-478143.0,834622.0,823915.0,-1180395.0,-0.29,-0.38,0.67,0.66,-0.95,16.62,3.88,0.0,0.0
2020-01-10,-4744649.0,4746083.0,-1434.0,-4736434.0,-8215.0,-6.32,6.32,-0.0,-6.31,-0.01,16.55,-0.42,0.0,0.0
2020-01-13,-4697184.0,3650340.0,1046843.0,-2160526.0,-2536658.0,-7.54,5.86,1.68,-3.47,-4.07,16.66,0.66,0.0,0.0
2020-01-14,-2696292.0,3102562.0,-406270.0,-2696292.0,0.0,-4.7,5.41,-0.71,-4.7,0.0,16.44,-1.32,0.0,0.0
2020-01-15,-3208985.0,-3468505.0,6677490.0,-1479654.0,-1729331.0,-2.41,-2.61,5.02,-1.11,-1.3,17.03,3.59,0.0,0.0
2020-01-16,-5844108.0,7555775.0,-1711668.0,-5844108.0,0.0,-8.09,10.46,-2.37,-8.09,0.0,16.83,-1.17,0.0,0.0
2020-01-17,-9600805.0,10623723.0,-1022918.0,-9575560.0,-25245.0,-16.27,18.0,-1.73,-16.23,-0.04,16.56,-1.6,0.0,0.0
2020-01-20,-2845763.0,2626798.0,218965.0,65557.0,-2911320.0,-4.9,4.52,0.38,0.11,-5.01,16.8,1.45,0.0,0.0
2020-01-21,-5158515.0,7121288.0,-1962773.0,-5158515.0,0.0,-10.3,14.22,-3.92,-10.3,0.0,16.33,-2.8,0.0,0.0
2020-01-22,3665456.0,-1453632.0,-2211824.0,3665456.0,0.0,6.59,-2.61,-3.98,6.59,0.0,16.41,0.49,0.0,0.0
2020-01-23,-7967283.0,14643126.0,-6675844.0,-7484468.0,-482815.0,-9.58,17.61,-8.03,-9.0,-0.58,15.58,-5.06,0.0,0.0
2020-02-03,-1708646.0,1014262.0,694382.0,-1708646.0,0.0,-36.44,21.63,14.81,-36.44,0.0,14.02,-10.01,0.0,0.0
2020-02-04,3740543.0,3864218.0,-7604763.0,3485450.0,255093.0,2.73,2.82,-5.55,2.54,0.19,13.6,-3.0,0.0,0.0
2020-02-05,1790332.0,-369788.0,-1420545.0,-209131.0,1999463.0,1.95,-0.4,-1.55,-0.23,2.18,13.84,1.76,0.0,0.0
2020-02-06,-1520306.0,2049969.0,-529665.0,-1520306.0,0.0,-2.36,3.18,-0.82,-2.36,0.0,14.0,1.16,0.0,0.0
2020-02-07,2861066.0,-905183.0,-1955884.0,-619371.0,3480437.0,3.81,-1.21,-2.61,-0.83,4.64,14.45,3.21,0.0,0.0
2020-02-10,9543285.0,-10162125.0,618840.0,8199908.0,1343377.0,6.54,-6.96,0.42,5.62,0.92,15.49,7.2,0.0,0.0
2020-02-11,-13225214.0,11885512.0,1339703.0,-10747496.0,-2477718.0,-13.47,12.11,1.36,-10.95,-2.52,14.68,-5.23,0.0,0.0
2020-02-12,5852868.0,-3573987.0,-2278881.0,5849135.0,3733.0,7.94,-4.85,-3.09,7.94,0.01,14.97,1.98,0.0,0.0
2020-02-13,-3161058.0,2969586.0,191472.0,-1906667.0,-1254391.0,-4.86,4.57,0.29,-2.93,-1.93,14.65,-2.14,0.0,0.0
2020-02-14,-402975.0,2513377.0,-2110402.0,-486195.0,83220.0,-0.92,5.72,-4.8,-1.11,0.19,14.64,-0.07,0.0,0.0
2020-02-17,7112990.0,-3865320.0,-3247671.0,6146681.0,966309.0,5.25,-2.85,-2.4,4.54,0.71,15.33,4.71,0.0,0.0
2020-02-18,-4259695.0,8538440.0,-4278743.0,-3451761.0,-807934.0,-3.24,6.49,-3.25,-2.62,-0.61,15.68,2.28,0.0,0.0
2020-02-19,-12732318.0,6053330.0,6678988.0,-10682770.0,-2049548.0,-12.74,6.06,6.68,-10.69,-2.05,15.02,-4.21,0.0,0.0
2020-02-20,-3429216.0,3869019.0,-439804.0,-3283323.0,-145893.0,-4.97,5.61,-0.64,-4.76,-0.21,15.23,1.4,0.0,0.0
2020-02-21,20478591.0,-10558288.0,-9920304.0,12731560.0,7747031.0,11.3,-5.82,-5.47,7.02,4.27,16.03,5.25,0.0,0.0
2020-02-24,-9603929.0,2259901.0,7344028.0,-9373379.0,-230550.0,-5.0,1.18,3.82,-4.88,-0.12,16.25,1.37,0.0,0.0
2020-02-25,-6490171.0,8603365.0,-2113193.0,-5798837.0,-691334.0,-4.35,5.77,-1.42,-3.89,-0.46,15.75,-3.08,0.0,0.0
2020-02-26,-13438454.0,12894483.0,543971.0,-12234532.0,-1203922.0,-15.14,14.53,0.61,-13.78,-1.36,14.98,-4.89,0.0,0.0
2020-02-27,-6436888.0,5399569.0,1037320.0,-5965352.0,-471536.0,-6.83,5.73,1.1,-6.33,-0.5,14.82,-1.07,0.0,0.0
2020-02-28,-4277405.0,4474331.0,-196927.0,-3915561.0,-361844.0,-4.7,4.92,-0.22,-4.3,-0.4,14.09,-4.93,0.0,0.0
2020-03-02,-1370318.0,-2160958.0,3531276.0,-232482.0,-1137836.0,-2.2,-3.46,5.66,-0.37,-1.82,14.34,1.77,0.0,0.0
2020-03-03,-5954084.0,4583781.0,1370302.0,-6223355.0,269271.0,-7.53,5.8,1.73,-7.87,0.34,14.42,0.56,0.0,0.0
2020-03-04,-622257.0,271209.0,351048.0,-622257.0,0.0,-1.13,0.49,0.64,-1.13,0.0,14.51,0.62,0.0,0.0
2020-03-05,-4929134.0,2087899.0,2841235.0,-4929134.0,0.0,-8.66,3.67,4.99,-8.66,0.0,14.57,0.41,0.0,0.0
2020-03-06,-3285508.0,5722508.0,-2437000.0,-2892134.0,-393374.0,-6.34,11.04,-4.7,-5.58,-0.76,14.43,-0.96,0.0,0.0
2020-03-09,-1354556.0,1865492.0,-510938.0,-2484863.0,1130307.0,-2.38,3.27,-0.9,-4.36,1.98,13.98,-3.12,0.0,0.0
2020-03-10,4568991.0,-2342889.0,-2226103.0,2723355.0,1845636.0,4.73,-2.42,-2.3,2.82,1.91,14.61,4.51,0.0,0.0
2020-03-11,-12187830.0,6959701.0,5228129.0,-10715196.0,-1472634.0,-15.28,8.73,6.55,-13.43,-1.85,14.09,-3.56,0.0,0.0
2020-03-12,-846911.0,2538741.0,-1691830.0,-2869073.0,2022162.0,-1.99,5.97,-3.98,-6.75,4.75,13.95,-0.99,0.0,0.0
2020-03-13,337497.0,2055474.0,-2392971.0,280121.0,57376.0,0.74,4.54,-5.28,0.62,0.13,13.79,-1.15,0.0,0.0
2020-03-16,-584269.0,612570.0,-28301.0,-584269.0,0.0,-1.37,1.43,-0.07,-1.37,0.0,13.8,0.07,0.0,0.0
2020-03-17,-1346862.0,1711082.0,-364222.0,-497985.0,-848877.0,-3.52,4.47,-0.95,-1.3,-2.22,13.72,-0.58,0.0,0.0
2020-03-18,1958692.0,-519618.0,-1439074.0,2144743.0,-186051.0,2.78,-0.74,-2.04,3.05,-0.26,13.81,0.66,0.0,0.0
2020-03-19,-365336.0,256170.0,109166.0,-374702.0,9366.0,-0.98,0.69,0.29,-1.01,0.03,13.7,-0.8,0.0,0.0
2020-03-20,-732777.0,271359.0,461419.0,-732777.0,0.0,-3.03,1.12,1.91,-3.03,0.0,13.73,0.22,0.0,0.0
2020-03-23,4191281.0,-1997569.0,-2193711.0,4191281.0,0.0,11.3,-5.39,-5.92,11.3,0.0,13.78,0.36,0.0,0.0
