date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1081469.0,2332588.0,-1251118.0,-1081469.0,0.0,-8.05,17.36,-9.31,-8.05,0.0,12.03,-2.2,0.0,0.0
2020-01-09,-688477.0,-535740.0,1224217.0,-688477.0,0.0,-5.57,-4.34,9.91,-5.57,0.0,12.25,1.83,0.0,0.0
2020-01-10,-1558731.0,688062.0,870669.0,-1558731.0,0.0,-9.67,4.27,5.4,-9.67,0.0,12.29,0.33,0.0,0.0
2020-01-13,-266368.0,-73093.0,339462.0,-266368.0,0.0,-2.42,-0.66,3.08,-2.42,0.0,12.41,0.98,0.0,0.0
2020-01-14,-930165.0,987254.0,-57090.0,-930165.0,0.0,-8.25,8.76,-0.51,-8.25,0.0,12.4,-0.08,0.0,0.0
2020-01-15,-263435.0,250594.0,12841.0,-263435.0,0.0,-2.37,2.26,0.12,-2.37,0.0,12.21,-1.53,0.0,0.0
2020-01-16,-330142.0,434278.0,-104136.0,-330142.0,0.0,-3.3,4.34,-1.04,-3.3,0.0,12.31,0.82,0.0,0.0
2020-01-17,0.0,1058891.0,-1058891.0,0.0,0.0,0.0,12.52,-12.52,0.0,0.0,12.14,-1.38,0.0,0.0
2020-01-20,1090424.0,-1272923.0,182499.0,1090424.0,0.0,6.85,-8.0,1.15,6.85,0.0,12.49,2.88,0.0,0.0
2020-01-21,-884766.0,474755.0,410012.0,-884766.0,0.0,-7.76,4.16,3.6,-7.76,0.0,12.25,-1.92,0.0,0.0
2020-01-22,142361.0,10576.0,-152936.0,142361.0,0.0,1.3,0.1,-1.39,1.3,0.0,12.3,0.41,0.0,0.0
2020-01-23,616343.0,1384893.0,-2001236.0,616343.0,0.0,3.54,7.95,-11.48,3.54,0.0,11.69,-4.96,0.0,0.0
2020-02-03,-1838446.0,1664983.0,173463.0,-974152.0,-864294.0,-13.03,11.8,1.23,-6.9,-6.13,10.52,-10.01,0.0,0.0
2020-02-04,-425287.0,-68380.0,493666.0,-383947.0,-41340.0,-2.43,-0.39,2.82,-2.19,-0.24,10.68,1.52,0.0,0.0
2020-02-05,-429020.0,728689.0,-299669.0,-429020.0,0.0,-3.0,5.1,-2.1,-3.0,0.0,11.07,3.65,0.0,0.0
2020-02-06,5644465.0,-5090051.0,-554414.0,3613130.0,2031335.0,24.76,-22.33,-2.43,15.85,8.91,12.18,10.03,0.0,0.0
2020-02-07,706289.0,-545151.0,-161138.0,706289.0,0.0,1.26,-0.97,-0.29,1.26,0.0,12.23,0.41,0.0,0.0
2020-02-10,1088584.0,1246935.0,-2335518.0,691520.0,397064.0,2.34,2.68,-5.02,1.49,0.85,12.67,3.6,0.0,0.0
2020-02-11,-753806.0,1177406.0,-423601.0,-753806.0,0.0,-2.85,4.46,-1.6,-2.85,0.0,12.43,-1.89,0.0,0.0
2020-02-12,-1042285.0,1263611.0,-221326.0,-1042285.0,0.0,-5.12,6.21,-1.09,-5.12,0.0,12.31,-0.97,0.0,0.0
2020-02-13,-873419.0,2441588.0,-1568170.0,-873419.0,0.0,-4.89,13.66,-8.78,-4.89,0.0,12.05,-2.11,0.0,0.0
2020-02-14,14009192.0,-8082890.0,-5926303.0,8420402.0,5588790.0,32.14,-18.54,-13.6,19.32,12.82,13.26,10.04,0.0,0.0
2020-02-17,9588440.0,-728955.0,-8859484.0,8634672.0,953768.0,7.05,-0.54,-6.51,6.35,0.7,14.59,10.03,0.0,0.0
2020-02-18,-20081129.0,14806152.0,5274977.0,-13469072.0,-6612057.0,-12.31,9.08,3.23,-8.26,-4.05,14.23,-2.47,0.0,0.0
2020-02-19,-4331895.0,2764529.0,1567366.0,-2240379.0,-2091516.0,-4.06,2.59,1.47,-2.1,-1.96,14.23,0.0,0.0,0.0
2020-02-20,-973151.0,3008351.0,-2035200.0,-1231359.0,258208.0,-1.37,4.22,-2.86,-1.73,0.36,13.68,-3.87,0.0,0.0
2020-02-21,-6347865.0,7543249.0,-1195384.0,-6414965.0,67100.0,-11.4,13.54,-2.15,-11.52,0.12,13.39,-2.12,0.0,0.0
2020-02-24,-609526.0,2190915.0,-1581389.0,-609526.0,0.0,-1.22,4.4,-3.18,-1.22,0.0,13.61,1.64,0.0,0.0
2020-02-25,-1004670.0,3807314.0,-2802644.0,-1004670.0,0.0,-2.32,8.79,-6.47,-2.32,0.0,13.32,-2.13,0.0,0.0
2020-02-26,3863499.0,-5864896.0,2001395.0,3710392.0,153107.0,4.71,-7.14,2.44,4.52,0.19,13.88,4.2,0.0,0.0
2020-02-27,-3633965.0,5298338.0,-1664374.0,-3567815.0,-66150.0,-7.66,11.17,-3.51,-7.52,-0.14,13.4,-3.46,0.0,0.0
2020-02-28,1829338.0,-2631306.0,801969.0,1829338.0,0.0,3.11,-4.48,1.37,3.11,0.0,13.68,2.09,0.0,0.0
2020-03-02,1739017.0,-1735525.0,-3492.0,2598098.0,-859081.0,2.18,-2.17,-0.0,3.25,-1.08,14.45,5.63,0.0,0.0
2020-03-03,-7918986.0,6398488.0,1520500.0,-6310615.0,-1608371.0,-10.91,8.81,2.09,-8.69,-2.21,14.28,-1.18,0.0,0.0
2020-03-04,-6088219.0,6520959.0,-432740.0,-5330503.0,-757716.0,-12.39,13.27,-0.88,-10.85,-1.54,13.93,-2.45,0.0,0.0
2020-03-05,-671755.0,3934798.0,-3263044.0,-657805.0,-13950.0,-1.68,9.82,-8.14,-1.64,-0.03,14.04,0.79,0.0,0.0
2020-03-06,1402532.0,-1946163.0,543632.0,2979433.0,-1576901.0,2.06,-2.85,0.8,4.37,-2.31,14.32,1.99,0.0,0.0
2020-03-09,-6978418.0,11833488.0,-4855071.0,-6841353.0,-137065.0,-11.03,18.7,-7.67,-10.81,-0.22,13.27,-7.33,0.0,0.0
2020-03-10,-4122058.0,4705545.0,-583487.0,-4122058.0,0.0,-11.03,12.59,-1.56,-11.03,0.0,13.25,-0.15,0.0,0.0
2020-03-11,-2745600.0,4467156.0,-1721557.0,-2745600.0,0.0,-10.62,17.28,-6.66,-10.62,0.0,12.96,-2.19,0.0,0.0
2020-03-12,-158022.0,1539178.0,-1381156.0,-158022.0,0.0,-0.71,6.9,-6.2,-0.71,0.0,12.82,-1.08,0.0,0.0
2020-03-13,-425201.0,1566712.0,-1141511.0,-425201.0,0.0,-2.12,7.82,-5.69,-2.12,0.0,12.64,-1.4,0.0,0.0
2020-03-16,-1183106.0,815930.0,367176.0,-1183106.0,0.0,-5.72,3.95,1.78,-5.72,0.0,12.3,-2.69,0.0,0.0
2020-03-17,509662.0,861286.0,-1370949.0,509662.0,0.0,3.72,6.29,-10.0,3.72,0.0,12.19,-0.89,0.0,0.0
2020-03-18,75144.0,1166804.0,-1241948.0,75144.0,0.0,0.52,8.08,-8.6,0.52,0.0,12.13,-0.49,0.0,0.0
2020-03-19,-22011.0,1057627.0,-1035617.0,-22011.0,0.0,-0.18,8.83,-8.65,-0.18,0.0,12.26,1.07,0.0,0.0
2020-03-20,1689996.0,-1307255.0,-382741.0,1689996.0,0.0,12.71,-9.83,-2.88,12.71,0.0,12.58,2.61,0.0,0.0
2020-03-23,-1013002.0,2594523.0,-1581521.0,-1013002.0,0.0,-8.66,22.17,-13.52,-8.66,0.0,12.0,-4.61,0.0,0.0
2020-03-24,866494.0,1200346.0,-2066842.0,866494.0,0.0,6.8,9.41,-16.21,6.8,0.0,12.29,2.42,0.0,0.0
2020-03-25,112605.0,-207484.0,94879.0,112605.0,0.0,0.88,-1.62,0.74,0.88,0.0,12.5,1.71,0.0,0.0
2020-03-26,-141110.0,234104.0,-92995.0,-141110.0,0.0,-1.42,2.35,-0.93,-1.42,0.0,12.31,-1.52,0.0,0.0
2020-03-27,-197527.0,735911.0,-538384.0,-197527.0,0.0,-2.22,8.29,-6.06,-2.22,0.0,12.23,-0.65,0.0,0.0
2020-03-30,-1682427.0,2562176.0,-879749.0,-1682427.0,0.0,-11.36,17.3,-5.94,-11.36,0.0,11.62,-4.99,0.0,0.0
2020-03-31,260120.0,1308275.0,-1568396.0,260120.0,0.0,3.08,15.47,-18.55,3.08,0.0,11.72,0.86,0.0,0.0
2020-04-01,-493698.0,1879159.0,-1385461.0,-493698.0,0.0,-5.72,21.76,-16.04,-5.72,0.0,11.49,-1.96,0.0,0.0
2020-04-02,121479.0,638688.0,-760168.0,121479.0,0.0,1.31,6.87,-8.17,1.31,0.0,11.78,2.52,0.0,0.0
2020-04-03,100817.0,808858.0,-909675.0,100817.0,0.0,1.35,10.83,-12.18,1.35,0.0,11.75,-0.25,0.0,0.0
2020-04-07,-48434.0,-375195.0,423629.0,-48434.0,0.0,-0.39,-3.0,3.38,-0.39,0.0,12.1,2.98,0.0,0.0
2020-04-08,-450554.0,350615.0,99939.0,-450554.0,0.0,-5.56,4.33,1.23,-5.56,0.0,12.17,0.58,0.0,0.0
2020-04-09,548929.0,-296405.0,-252523.0,548929.0,0.0,4.89,-2.64,-2.25,4.89,0.0,12.25,0.66,0.0,0.0
2020-04-10,-927706.0,3449376.0,-2521670.0,-927706.0,0.0,-6.02,22.37,-16.36,-6.02,0.0,11.79,-3.76,0.0,0.0
2020-04-13,-559359.0,366308.0,193051.0,-559359.0,0.0,-6.77,4.44,2.34,-6.77,0.0,11.74,-0.42,0.0,0.0
2020-04-14,-332736.0,786886.0,-454150.0,-332736.0,0.0,-4.01,9.47,-5.47,-4.01,0.0,11.92,1.53,0.0,0.0
2020-04-15,739513.0,-1818825.0,1079312.0,739513.0,0.0,3.59,-8.83,5.24,3.59,0.0,12.14,1.85,0.0,0.0
2020-04-16,-203241.0,645606.0,-442365.0,-203241.0,0.0,-1.35,4.28,-2.93,-1.35,0.0,11.96,-1.48,0.0,0.0
2020-04-17,-1091061.0,1161997.0,-70937.0,-1091061.0,0.0,-7.92,8.44,-0.52,-7.92,0.0,11.88,-0.67,0.0,0.0
2020-04-20,-881311.0,253773.0,627538.0,-881311.0,0.0,-8.97,2.58,6.38,-8.97,0.0,11.9,0.17,0.0,0.0
2020-04-21,-1310837.0,1764999.0,-454162.0,-1310837.0,0.0,-10.14,13.66,-3.51,-10.14,0.0,11.78,-1.01,0.0,0.0
2020-04-22,160847.0,-89941.0,-70906.0,160847.0,0.0,1.65,-0.92,-0.73,1.65,0.0,11.79,0.08,0.0,0.0
2020-04-23,-70634.0,-795565.0,866198.0,-70634.0,0.0,-0.55,-6.19,6.74,-0.55,0.0,11.9,0.93,0.0,0.0
2020-04-24,-104853.0,1107848.0,-1002995.0,-104853.0,0.0,-1.02,10.74,-9.72,-1.02,0.0,11.66,-2.02,0.0,0.0
2020-04-27,-374309.0,606613.0,-232303.0,-374309.0,0.0,-5.17,8.38,-3.21,-5.17,0.0,11.53,-1.11,0.0,0.0
2020-04-28,-581936.0,1835749.0,-1253813.0,-581936.0,0.0,-4.53,14.3,-9.77,-4.53,0.0,11.11,-3.64,0.0,0.0
2020-04-29,-2735995.0,2231529.0,504465.0,-1920866.0,-815129.0,-27.13,22.12,5.0,-19.04,-8.08,10.96,-1.35,0.0,0.0
2020-04-30,-287596.0,-612134.0,899730.0,-287596.0,0.0,-3.85,-8.19,12.03,-3.85,0.0,11.18,2.01,0.0,0.0
2020-05-06,35309.0,-507440.0,472132.0,35309.0,0.0,0.44,-6.39,5.94,0.44,0.0,11.42,2.15,0.0,0.0
2020-05-07,203385.0,-537153.0,333769.0,203385.0,0.0,2.83,-7.48,4.65,2.83,0.0,11.39,-0.26,0.0,0.0
2020-05-08,0.0,516283.0,-516283.0,0.0,0.0,0.0,5.91,-5.91,0.0,0.0,11.44,0.44,0.0,0.0
2020-05-11,-142561.0,-1928050.0,2070611.0,-142561.0,0.0,-0.56,-7.58,8.14,-0.56,0.0,11.84,3.5,0.0,0.0
2020-05-12,838.0,641381.0,-642219.0,838.0,0.0,0.01,4.99,-5.0,0.01,0.0,11.65,-1.6,0.0,0.0
2020-05-13,282005.0,-299511.0,17506.0,282005.0,0.0,2.88,-3.06,0.18,2.88,0.0,11.68,0.26,0.0,0.0
2020-05-14,-1286019.0,1736404.0,-450385.0,-239405.0,-1046614.0,-14.92,20.14,-5.22,-2.78,-12.14,11.47,-1.8,0.0,0.0
2020-05-15,-17726.0,-395706.0,413431.0,-17726.0,0.0,-0.2,-4.37,4.57,-0.2,0.0,11.41,-0.52,0.0,0.0
2020-05-18,-666808.0,1258049.0,-591242.0,-666808.0,0.0,-4.83,9.11,-4.28,-4.83,0.0,11.24,-1.49,0.0,0.0
2020-05-19,1801783.0,-1496944.0,-304839.0,1802963.0,-1180.0,7.98,-6.63,-1.35,7.98,-0.01,11.75,4.54,0.0,0.0
2020-05-20,-1190884.0,1071893.0,118990.0,191630.0,-1382514.0,-11.6,10.44,1.16,1.87,-13.47,11.54,-1.79,0.0,0.0
2020-05-21,-815236.0,843152.0,-27916.0,-740096.0,-75140.0,-6.06,6.27,-0.21,-5.5,-0.56,11.5,-0.35,0.0,0.0
2020-05-22,-369793.0,768750.0,-398956.0,-369793.0,0.0,-4.13,8.58,-4.45,-4.13,0.0,11.24,-2.26,0.0,0.0
2020-05-25,273267.0,-80577.0,-192690.0,237407.0,35860.0,3.34,-0.98,-2.35,2.9,0.44,11.15,-0.8,0.0,0.0
2020-05-26,-340504.0,-313535.0,654038.0,-340504.0,0.0,-4.37,-4.03,8.4,-4.37,0.0,11.45,2.69,0.0,0.0
2020-05-27,-335886.0,-345235.0,681121.0,-335886.0,0.0,-5.58,-5.73,11.31,-5.58,0.0,11.36,-0.79,0.0,0.0
2020-05-28,-224616.0,732321.0,-507705.0,-224616.0,0.0,-2.81,9.17,-6.36,-2.81,0.0,11.25,-0.97,0.0,0.0
2020-05-29,-183552.0,483647.0,-300095.0,-183552.0,0.0,-2.87,7.56,-4.69,-2.87,0.0,11.28,0.27,0.0,0.0
2020-06-01,-345754.0,-360776.0,706530.0,-345754.0,0.0,-1.97,-2.06,4.04,-1.97,0.0,11.72,3.9,0.0,0.0
2020-06-02,-1221866.0,2625766.0,-1403900.0,-1101404.0,-120462.0,-6.44,13.83,-7.4,-5.8,-0.63,11.9,1.54,0.0,0.0
2020-06-03,-231543.0,719005.0,-487463.0,-231543.0,0.0,-1.63,5.05,-3.43,-1.63,0.0,11.73,-1.43,0.0,0.0
2020-06-04,1090815.0,-2049131.0,958317.0,1090815.0,0.0,5.29,-9.94,4.65,5.29,0.0,12.15,3.58,0.0,0.0
2020-06-05,-507936.0,-236570.0,744507.0,-507936.0,0.0,-3.26,-1.52,4.78,-3.26,0.0,12.19,0.33,0.0,0.0
2020-06-08,50187.0,716031.0,-766217.0,50187.0,0.0,0.45,6.46,-6.91,0.45,0.0,12.15,-0.33,0.0,0.0
2020-06-09,-39872.0,533052.0,-493181.0,-39872.0,0.0,-0.48,6.38,-5.9,-0.48,0.0,12.18,0.25,0.0,0.0
2020-06-10,68400.0,660297.0,-728697.0,68400.0,0.0,0.82,7.94,-8.76,0.82,0.0,11.99,-1.56,0.0,0.0
2020-06-11,-367982.0,-142003.0,509984.0,-367982.0,0.0,-2.05,-0.79,2.85,-2.05,0.0,12.04,0.42,0.0,0.0
2020-06-12,-959828.0,983680.0,-23853.0,-959828.0,0.0,-5.44,5.58,-0.14,-5.44,0.0,12.25,1.74,0.0,0.0
2020-06-15,686560.0,-1751762.0,1065202.0,736920.0,-50360.0,2.12,-5.42,3.29,2.28,-0.16,12.59,2.78,0.0,0.0
2020-06-16,-414105.0,557244.0,-143139.0,-414105.0,0.0,-2.04,2.74,-0.71,-2.04,0.0,12.64,0.4,0.0,0.0
2020-06-18,-273631.0,759495.0,-485864.0,-273631.0,0.0,-0.94,2.61,-1.67,-0.94,0.0,12.7,-3.27,0.0,0.0
2020-06-19,-1368084.0,2048263.0,-680179.0,-1368084.0,0.0,-7.32,10.96,-3.64,-7.32,0.0,12.5,-1.57,0.0,0.0
2020-06-22,-2100559.0,2459008.0,-358449.0,-1511338.0,-589221.0,-13.95,16.33,-2.38,-10.04,-3.91,12.49,-0.08,0.0,0.0
2020-06-23,-1013968.0,1593712.0,-579744.0,-1013968.0,0.0,-8.02,12.6,-4.58,-8.02,0.0,12.42,-0.56,0.0,0.0
2020-06-29,1568593.0,-4527454.0,2958862.0,1748610.0,-180017.0,2.03,-5.86,3.83,2.26,-0.23,13.7,6.12,0.0,0.0
2020-06-30,-3513769.0,2502414.0,1011356.0,-3371623.0,-142146.0,-7.38,5.25,2.12,-7.08,-0.3,13.5,-1.46,0.0,0.0
2020-07-01,-2096955.0,3290106.0,-1193151.0,-2021044.0,-75911.0,-5.57,8.75,-3.17,-5.37,-0.2,13.32,-1.33,0.0,0.0
2020-07-02,-964615.0,2006791.0,-1042176.0,-964615.0,0.0,-3.41,7.09,-3.68,-3.41,0.0,13.4,0.6,0.0,0.0
2020-07-06,-6230055.0,1072355.0,5157701.0,-4844285.0,-1385770.0,-13.0,2.24,10.76,-10.11,-2.89,13.61,1.72,0.0,0.0
2020-07-08,331056.0,-992183.0,661128.0,3125543.0,-2794487.0,0.7,-2.1,1.4,6.62,-5.92,14.12,2.69,0.0,0.0
