date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-714580.0,125251.0,589328.0,-714580.0,0.0,-1.96,0.34,1.62,-1.96,0.0,28.35,-1.87,0.0,0.0
2020-01-09,920678.0,-2464604.0,1543926.0,920678.0,0.0,2.87,-7.69,4.82,2.87,0.0,28.85,1.76,0.0,0.0
2020-01-10,-1291351.0,2406627.0,-1115277.0,-1291351.0,0.0,-4.22,7.86,-3.64,-4.22,0.0,28.72,-0.45,0.0,0.0
2020-01-13,-1360259.0,1408242.0,-47983.0,-1360259.0,0.0,-4.55,4.71,-0.16,-4.55,0.0,28.92,0.7,0.0,0.0
2020-01-14,-1812906.0,1852761.0,-39855.0,-1812906.0,0.0,-4.27,4.36,-0.09,-4.27,0.0,29.05,0.45,0.0,0.0
2020-01-15,-710330.0,4078025.0,-3367694.0,-710330.0,0.0,-2.33,13.4,-11.07,-2.33,0.0,28.73,-1.1,0.0,0.0
2020-01-16,-9299156.0,7710707.0,1588450.0,-9299156.0,0.0,-19.42,16.11,3.32,-19.42,0.0,28.16,-1.98,0.0,0.0
2020-01-17,-4933014.0,5248912.0,-315898.0,-4933014.0,0.0,-15.45,16.44,-0.99,-15.45,0.0,28.15,-0.04,0.0,0.0
2020-01-20,-384919.0,-492585.0,877504.0,-384919.0,0.0,-1.24,-1.58,2.82,-1.24,0.0,28.39,0.85,0.0,0.0
2020-01-21,720242.0,1351423.0,-2071664.0,763382.0,-43140.0,1.68,3.14,-4.82,1.78,-0.1,28.4,0.04,0.0,0.0
2020-01-22,445719.0,-548740.0,103021.0,1514516.0,-1068797.0,0.83,-1.02,0.19,2.82,-1.99,28.83,1.51,0.0,0.0
2020-01-23,-86016.0,-2077310.0,2163327.0,1588976.0,-1674992.0,-0.14,-3.39,3.53,2.59,-2.73,28.11,-2.5,0.0,0.0
2020-02-03,-808989.0,1659767.0,-850777.0,-808989.0,0.0,-14.5,29.74,-15.25,-14.5,0.0,25.28,-10.07,0.0,0.0
2020-02-04,-886833.0,-1338094.0,2224927.0,711376.0,-1598209.0,-1.42,-2.15,3.57,1.14,-2.56,23.88,-5.54,0.0,0.0
2020-02-05,-1393024.0,1826759.0,-433734.0,-1393024.0,0.0,-3.42,4.49,-1.07,-3.42,0.0,24.35,1.97,0.0,0.0
2020-02-06,-704922.0,1236466.0,-531544.0,-704922.0,0.0,-1.96,3.44,-1.48,-1.96,0.0,24.71,1.48,0.0,0.0
2020-02-07,-308671.0,162828.0,145843.0,-308671.0,0.0,-0.81,0.43,0.38,-0.81,0.0,25.13,1.7,0.0,0.0
2020-02-10,1324804.0,-520883.0,-803921.0,1251144.0,73660.0,4.29,-1.69,-2.6,4.05,0.24,25.66,2.11,0.0,0.0
2020-02-11,-1842942.0,4567348.0,-2724405.0,-1842942.0,0.0,-6.21,15.4,-9.19,-6.21,0.0,25.45,-0.82,0.0,0.0
2020-02-12,-1373785.0,2930216.0,-1556430.0,-1373785.0,0.0,-4.71,10.04,-5.33,-4.71,0.0,25.76,1.22,0.0,0.0
2020-02-13,-1458507.0,1299001.0,159506.0,-1458507.0,0.0,-5.39,4.8,0.59,-5.39,0.0,25.58,-0.7,0.0,0.0
2020-02-14,3988874.0,-4299973.0,311099.0,3988874.0,0.0,8.81,-9.5,0.69,8.81,0.0,26.07,1.92,0.0,0.0
2020-02-17,8050788.0,-9752213.0,1701426.0,3709786.0,4341002.0,7.9,-9.58,1.67,3.64,4.26,28.12,7.86,0.0,0.0
