date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3726173.0,3676889.0,49284.0,-4862843.0,1136670.0,-11.22,11.07,0.15,-14.64,3.42,37.68,-0.13,0.0,0.0
2020-01-09,-178517.0,-2661873.0,2840389.0,204133.0,-382650.0,-0.46,-6.84,7.3,0.52,-0.98,37.73,0.13,0.0,0.0
2020-01-10,783905.0,5008.0,-788915.0,388083.0,395822.0,1.61,0.01,-1.62,0.8,0.81,38.08,0.93,0.0,0.0
2020-01-13,-4150617.0,4231556.0,-80939.0,38183.0,-4188800.0,-16.08,16.39,-0.31,0.15,-16.22,38.6,1.37,0.0,0.0
2020-01-14,-6578096.0,8057039.0,-1478943.0,-6578096.0,0.0,-19.63,24.05,-4.41,-19.63,0.0,38.13,-1.22,0.0,0.0
2020-01-15,-1656247.0,5648575.0,-3992328.0,-1656247.0,0.0,-5.42,18.49,-13.07,-5.42,0.0,38.14,0.03,0.0,0.0
2020-01-16,-181087.0,5157373.0,-4976286.0,-181087.0,0.0,-0.71,20.36,-19.65,-0.71,0.0,37.53,-1.6,0.0,0.0
2020-01-17,-5062729.0,3682831.0,1379899.0,-5058927.0,-3802.0,-13.0,9.46,3.54,-12.99,-0.01,37.72,0.51,0.0,0.0
2020-01-20,-84596.0,5280225.0,-5195629.0,-1088346.0,1003750.0,-0.16,10.02,-9.86,-2.07,1.91,37.78,0.16,0.0,0.0
2020-01-21,-3570287.0,21622920.0,-18052633.0,-5705667.0,2135380.0,-3.81,23.06,-19.25,-6.09,2.28,36.72,-2.81,0.0,0.0
2020-01-22,493165.0,4479369.0,-4972534.0,-1421408.0,1914573.0,0.89,8.05,-8.93,-2.55,3.44,37.03,0.84,0.0,0.0
2020-01-23,-8719853.0,8224520.0,495333.0,-7496113.0,-1223740.0,-12.23,11.53,0.69,-10.51,-1.72,35.41,-4.37,0.0,0.0
2020-02-03,-4139326.0,5730799.0,-1591472.0,-6574588.0,2435262.0,-4.74,6.56,-1.82,-7.53,2.79,32.74,-7.54,0.0,0.0
2020-02-04,-14847470.0,14670169.0,177300.0,-14140976.0,-706494.0,-12.18,12.03,0.15,-11.6,-0.58,32.72,-0.06,0.0,0.0
2020-02-05,-13456936.0,8688881.0,4768055.0,-12862776.0,-594160.0,-14.61,9.44,5.18,-13.97,-0.65,33.32,1.83,0.0,0.0
2020-02-06,-12628667.0,7071435.0,5557233.0,-11639609.0,-989058.0,-13.96,7.81,6.14,-12.86,-1.09,33.66,1.02,0.0,0.0
2020-02-07,962344.0,2117020.0,-3079365.0,-2084111.0,3046455.0,1.44,3.17,-4.6,-3.12,4.55,34.02,1.07,0.0,0.0
2020-02-10,-513785.0,2714637.0,-2200853.0,-513785.0,0.0,-1.29,6.83,-5.54,-1.29,0.0,33.93,-0.26,0.0,0.0
2020-02-11,570444.0,-1823559.0,1253114.0,536564.0,33880.0,1.08,-3.44,2.37,1.01,0.06,34.14,0.62,0.0,0.0
2020-02-12,-1750647.0,-249653.0,2000298.0,-2505417.0,754770.0,-3.74,-0.53,4.27,-5.35,1.61,34.1,-0.12,0.0,0.0
2020-02-13,-3088404.0,6313135.0,-3224729.0,-3088404.0,0.0,-5.58,11.42,-5.83,-5.58,0.0,33.63,-1.38,0.0,0.0
2020-02-14,-1545182.0,695405.0,849777.0,-974131.0,-571051.0,-4.58,2.06,2.52,-2.89,-1.69,33.88,0.74,0.0,0.0
2020-02-17,-5799504.0,6440368.0,-640865.0,-4174836.0,-1624668.0,-9.93,11.03,-1.1,-7.15,-2.78,34.59,2.1,0.0,0.0
2020-02-18,-3329913.0,3031858.0,298056.0,-134639.0,-3195274.0,-4.95,4.51,0.44,-0.2,-4.75,34.73,0.4,0.0,0.0
2020-02-19,6575076.0,-4296185.0,-2278891.0,6575076.0,0.0,9.07,-5.93,-3.14,9.07,0.0,35.87,3.28,0.0,0.0
2020-02-20,876186.0,8346873.0,-9223059.0,-26614.0,902800.0,1.39,13.28,-14.67,-0.04,1.44,36.14,0.75,0.0,0.0
2020-02-21,-6903887.0,12795473.0,-5891586.0,-7000277.0,96390.0,-10.82,20.05,-9.23,-10.97,0.15,35.63,-1.41,0.0,0.0
2020-02-24,-1335764.0,17528802.0,-16193037.0,-2465117.0,1129353.0,-1.78,23.4,-21.62,-3.29,1.51,35.6,-0.08,0.0,0.0
2020-02-25,-3744666.0,6195652.0,-2450986.0,-3881166.0,136500.0,-7.02,11.62,-4.6,-7.28,0.26,34.7,-2.53,0.0,0.0
2020-02-26,-8055258.0,6275778.0,1779479.0,-5702976.0,-2352282.0,-14.82,11.55,3.27,-10.49,-4.33,33.76,-2.71,0.0,0.0
2020-02-27,-7686000.0,5300305.0,2385695.0,-5038392.0,-2647608.0,-15.85,10.93,4.92,-10.39,-5.46,33.76,0.0,0.0,0.0
2020-02-28,-1881004.0,5233032.0,-3352028.0,-646803.0,-1234201.0,-3.65,10.16,-6.51,-1.26,-2.4,32.68,-3.2,0.0,0.0
2020-03-02,-286148.0,-97380.0,383528.0,-1453037.0,1166889.0,-0.61,-0.21,0.81,-3.09,2.48,33.6,2.82,0.0,0.0
2020-03-03,-2779902.0,2836553.0,-56651.0,-1812642.0,-967260.0,-5.83,5.95,-0.12,-3.8,-2.03,33.61,0.03,0.0,0.0
2020-03-04,-2393151.0,4063773.0,-1670624.0,-1767735.0,-625416.0,-5.96,10.12,-4.16,-4.4,-1.56,34.23,1.84,0.0,0.0
2020-03-05,-4767401.0,2762743.0,2004658.0,-4273901.0,-493500.0,-8.45,4.9,3.55,-7.57,-0.87,34.87,1.87,0.0,0.0
2020-03-06,552253.0,6502059.0,-7054312.0,527487.0,24766.0,0.92,10.82,-11.74,0.88,0.04,35.27,1.15,0.0,0.0
2020-03-09,-1852184.0,3049138.0,-1196954.0,-1350914.0,-501270.0,-3.09,5.09,-2.0,-2.25,-0.84,33.65,-4.59,0.0,0.0
2020-03-10,-1264584.0,1053237.0,211347.0,-2205286.0,940702.0,-2.59,2.16,0.43,-4.52,1.93,33.96,0.92,0.0,0.0
2020-03-11,-6823048.0,6240165.0,582883.0,-3413430.0,-3409618.0,-13.41,12.26,1.15,-6.71,-6.7,32.87,-3.21,0.0,0.0
2020-03-12,-1549199.0,7371107.0,-5821908.0,-1846831.0,297632.0,-2.37,11.28,-8.91,-2.83,0.46,31.61,-3.83,0.0,0.0
2020-03-13,-7259432.0,5383561.0,1875870.0,-7259432.0,0.0,-13.0,9.64,3.36,-13.0,0.0,30.63,-3.1,0.0,0.0
