date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,4729276.0,-969989.0,-3759288.0,3810765.0,918511.0,1.68,-0.34,-1.33,1.35,0.33,19.29,8.68,0.0,0.0
2020-01-09,-3274771.0,13923450.0,-10648680.0,-6709916.0,3435145.0,-1.53,6.51,-4.98,-3.14,1.61,18.47,-4.25,0.0,0.0
2020-01-10,11463492.0,-1221649.0,-10241843.0,8072751.0,3390741.0,9.69,-1.03,-8.65,6.82,2.86,18.08,-2.11,0.0,0.0
2020-01-13,-2044485.0,5019392.0,-2974907.0,-2044485.0,0.0,-2.26,5.56,-3.3,-2.26,0.0,17.75,-1.83,0.0,0.0
2020-01-14,13907087.0,-9019468.0,-4887620.0,10184841.0,3722246.0,13.99,-9.07,-4.92,10.25,3.75,17.93,1.01,0.0,0.0
2020-01-15,-2716818.0,8717702.0,-6000884.0,-1315417.0,-1401401.0,-3.23,10.36,-7.13,-1.56,-1.66,17.26,-3.74,0.0,0.0
2020-01-16,785114.0,3150902.0,-3936015.0,783384.0,1730.0,1.41,5.68,-7.09,1.41,0.0,17.36,0.58,0.0,0.0
2020-01-17,-1928568.0,2561614.0,-633047.0,-1928568.0,0.0,-3.89,5.17,-1.28,-3.89,0.0,17.39,0.17,0.0,0.0
2020-01-20,2688511.0,-4477559.0,1789047.0,2378236.0,310275.0,3.92,-6.54,2.61,3.47,0.45,17.78,2.24,0.0,0.0
2020-01-21,1000276.0,2399951.0,-3400226.0,1000276.0,0.0,2.18,5.23,-7.41,2.18,0.0,17.38,-2.25,0.0,0.0
2020-01-22,-7075659.0,8861521.0,-1785861.0,-6759629.0,-316030.0,-13.98,17.51,-3.53,-13.35,-0.62,16.89,-2.82,0.0,0.0
2020-01-23,-3773444.0,6336482.0,-2563039.0,-3719786.0,-53658.0,-5.52,9.26,-3.75,-5.44,-0.08,16.4,-2.9,0.0,0.0
2020-02-03,-411804.0,1160136.0,-748332.0,-411804.0,0.0,-6.57,18.51,-11.94,-6.57,0.0,14.76,-10.0,0.0,0.0
2020-02-04,2227321.0,-2625484.0,398164.0,3411306.0,-1183985.0,2.56,-3.02,0.46,3.92,-1.36,14.03,-4.95,0.0,0.0
2020-02-05,4052372.0,-3970584.0,-81789.0,4052372.0,0.0,5.6,-5.49,-0.11,5.6,0.0,14.54,3.64,0.0,0.0
2020-02-06,5290924.0,-850750.0,-4440175.0,4590709.0,700215.0,6.5,-1.05,-5.46,5.64,0.86,14.81,1.86,0.0,0.0
2020-02-07,1542080.0,3130656.0,-4672735.0,1275740.0,266340.0,2.24,4.55,-6.8,1.86,0.39,15.18,2.5,0.0,0.0
2020-02-10,1668276.0,-2124192.0,455915.0,1668276.0,0.0,2.86,-3.64,0.78,2.86,0.0,15.08,-0.66,0.0,0.0
2020-02-11,-5453504.0,4873452.0,580053.0,-5453504.0,0.0,-10.35,9.25,1.1,-10.35,0.0,14.78,-1.99,0.0,0.0
2020-02-12,7403723.0,-7474118.0,70395.0,7403723.0,0.0,10.24,-10.34,0.1,10.24,0.0,15.3,3.52,0.0,0.0
