date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,18575056.0,-24742018.0,6166962.0,17426708.0,1148348.0,10.34,-13.77,3.43,9.7,0.64,19.46,4.4,0.0,0.0
2020-01-09,-7690247.0,170165.0,7520082.0,-6665909.0,-1024338.0,-6.21,0.14,6.07,-5.38,-0.83,19.28,-0.92,0.0,0.0
2020-01-10,905993.0,-2815103.0,1909110.0,905993.0,0.0,0.93,-2.88,1.95,0.93,0.0,19.45,0.88,0.0,0.0
2020-01-13,23183143.0,-26375176.0,3192033.0,13124221.0,10058922.0,13.09,-14.89,1.8,7.41,5.68,20.65,6.17,0.0,0.0
2020-01-14,18917999.0,-15494362.0,-3423637.0,8052566.0,10865433.0,9.15,-7.49,-1.66,3.89,5.25,21.68,4.99,0.0,0.0
2020-01-15,3094411.0,-9496917.0,6402507.0,9690889.0,-6596478.0,1.9,-5.83,3.93,5.95,-4.05,21.34,-1.57,0.0,0.0
2020-01-16,-5814710.0,8283367.0,-2468657.0,-6251994.0,437284.0,-4.02,5.73,-1.71,-4.32,0.3,20.99,-1.64,0.0,0.0
2020-01-17,-20353298.0,13292811.0,7060487.0,-19544026.0,-809272.0,-17.4,11.36,6.04,-16.71,-0.69,20.34,-3.1,0.0,0.0
2020-01-20,1238872.0,2534162.0,-3773035.0,1829887.0,-591015.0,1.51,3.09,-4.6,2.23,-0.72,20.84,2.46,0.0,0.0
2020-01-21,-19315441.0,18528753.0,786687.0,-12359649.0,-6955792.0,-23.3,22.35,0.95,-14.91,-8.39,20.01,-3.98,0.0,0.0
2020-01-22,2019527.0,793080.0,-2812607.0,390187.0,1629340.0,2.77,1.09,-3.86,0.54,2.24,20.37,1.8,0.0,0.0
2020-01-23,-13539627.0,21328314.0,-7788686.0,-12945353.0,-594274.0,-14.47,22.8,-8.33,-13.84,-0.64,18.89,-7.27,0.0,0.0
2020-02-03,-1082492.0,1114384.0,-31892.0,-1921306.0,838814.0,-15.46,15.92,-0.46,-27.44,11.98,17.0,-10.01,0.0,0.0
2020-02-04,-13728368.0,9722899.0,4005470.0,-10254298.0,-3474070.0,-12.72,9.01,3.71,-9.5,-3.22,16.13,-5.12,0.0,0.0
