date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,10816014.0,-29227177.0,18411162.0,8049149.0,2766865.0,3.72,-10.05,6.33,2.77,0.95,83.21,-0.8,0.0,0.0
2020-01-09,70855562.0,-22980904.0,-47874659.0,2405357.0,68450205.0,13.75,-4.46,-9.29,0.47,13.28,88.0,5.76,0.0,0.0
2020-01-10,5277633.0,-31048279.0,25770645.0,-3587345.0,8864978.0,0.89,-5.22,4.33,-0.6,1.49,89.22,1.39,0.0,0.0
2020-01-13,-19868395.0,12368099.0,7500297.0,-7433067.0,-12435328.0,-6.7,4.17,2.53,-2.51,-4.19,88.51,-0.8,0.0,0.0
2020-01-14,5314897.0,-4728013.0,-586883.0,-5370108.0,10685005.0,1.55,-1.38,-0.17,-1.57,3.12,89.1,0.67,0.0,0.0
2020-01-15,31310600.0,-3423857.0,-27886743.0,6444178.0,24866422.0,8.23,-0.9,-7.33,1.69,6.54,91.33,2.5,0.0,0.0
2020-01-16,1101383.0,1434620.0,-2536003.0,8298110.0,-7196727.0,0.37,0.48,-0.85,2.79,-2.42,91.62,0.32,0.0,0.0
2020-01-17,-6359509.0,115555.0,6243954.0,-22261935.0,15902426.0,-0.9,0.02,0.88,-3.14,2.25,95.8,4.56,0.0,0.0
2020-01-20,12081710.0,15694828.0,-27776528.0,-30270352.0,42352062.0,1.08,1.41,-2.49,-2.71,3.79,105.28,9.9,0.0,0.0
2020-01-21,-50034861.0,3145152.0,46889708.0,18165312.0,-68200173.0,-5.1,0.32,4.78,1.85,-6.95,102.3,-2.83,0.0,0.0
2020-01-22,-27587885.0,11045524.0,16542362.0,-12836865.0,-14751020.0,-5.61,2.25,3.37,-2.61,-3.0,101.95,-0.34,0.0,0.0
2020-01-23,-12765780.0,13318247.0,-552466.0,-9840200.0,-2925580.0,-2.57,2.68,-0.11,-1.98,-0.59,100.22,-1.7,0.0,0.0
2020-02-03,-44309757.0,19938227.0,24371531.0,-56330913.0,12021156.0,-6.73,3.03,3.7,-8.56,1.83,96.69,-3.52,0.0,0.0
2020-02-04,-6475502.0,6255596.0,219905.0,1693007.0,-8168509.0,-1.26,1.22,0.04,0.33,-1.59,98.05,1.41,0.0,0.0
2020-02-05,-23735878.0,24590531.0,-854653.0,-1906494.0,-21829384.0,-4.32,4.47,-0.16,-0.35,-3.97,97.95,-0.1,0.0,0.0
2020-02-06,24393657.0,-15170278.0,-9223379.0,4038152.0,20355505.0,3.41,-2.12,-1.29,0.56,2.85,103.5,5.67,0.0,0.0
2020-02-07,4749262.0,-11056656.0,6307394.0,-13018139.0,17767401.0,0.93,-2.16,1.23,-2.54,3.47,101.9,-1.55,0.0,0.0
2020-02-10,-101138478.0,47990734.0,53147746.0,-46342704.0,-54795774.0,-11.02,5.23,5.79,-5.05,-5.97,104.81,2.86,0.0,0.0
2020-02-11,13175225.0,-7994510.0,-5180715.0,-14973578.0,28148803.0,2.49,-1.51,-0.98,-2.83,5.32,105.88,1.02,0.0,0.0
2020-02-12,36395707.0,-17828500.0,-18567208.0,10007774.0,26387933.0,6.24,-3.06,-3.18,1.72,4.52,108.24,2.23,0.0,0.0
2020-02-13,12718125.0,-6881479.0,-5836646.0,-7039495.0,19757620.0,3.02,-1.63,-1.38,-1.67,4.68,108.25,0.01,0.0,0.0
2020-02-14,10016477.0,6674051.0,-16690528.0,-25903813.0,35920290.0,1.45,0.96,-2.41,-3.74,5.18,113.5,4.85,0.0,0.0
2020-02-17,-6463509.0,-6166174.0,12629684.0,-2610769.0,-3852740.0,-1.26,-1.2,2.45,-0.51,-0.75,114.61,0.98,0.0,0.0
2020-02-18,-22773565.0,3676776.0,19096788.0,-5178449.0,-17595116.0,-4.41,0.71,3.7,-1.0,-3.4,112.8,-1.58,0.0,0.0
