date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,13837027.0,-1913971.0,-11923056.0,9285670.0,4551357.0,5.51,-0.76,-4.75,3.7,1.81,19.82,3.99,0.0,0.0
2020-01-09,50544200.0,4928462.0,-55472663.0,-10289269.0,60833469.0,10.07,0.98,-11.06,-2.05,12.13,20.95,5.7,0.0,0.0
2020-01-10,-30355715.0,25968901.0,4386816.0,-20583127.0,-9772588.0,-8.0,6.84,1.16,-5.42,-2.58,20.95,0.0,0.0,0.0
2020-01-13,80793134.0,-41062993.0,-39730141.0,24480462.0,56312672.0,25.86,-13.14,-12.72,7.84,18.02,23.05,10.02,0.0,0.0
2020-01-14,67083593.0,-15742715.0,-51340878.0,-1989224.0,69072817.0,8.67,-2.03,-6.64,-0.26,8.93,24.6,6.72,0.0,0.0
2020-01-15,-4204453.0,12463629.0,-8259175.0,-15599800.0,11395347.0,-0.85,2.52,-1.67,-3.15,2.3,25.29,2.8,0.0,0.0
2020-01-16,83393117.0,-26439533.0,-56953585.0,-10419979.0,93813096.0,15.79,-5.01,-10.78,-1.97,17.76,27.82,10.0,0.0,0.0
2020-01-17,7772479.0,1485082.0,-9257561.0,-15027173.0,22799652.0,1.17,0.22,-1.4,-2.27,3.45,30.6,9.99,0.0,0.0
2020-01-20,44054076.0,-20027123.0,-24026954.0,-365231.0,44419307.0,12.09,-5.5,-6.59,-0.1,12.19,33.66,10.0,0.0,0.0
2020-01-21,3491405.0,9507541.0,-12998954.0,25433398.0,-21941993.0,0.44,1.2,-1.64,3.22,-2.78,37.03,10.01,0.0,0.0
2020-01-22,-16615695.0,8325160.0,8290536.0,-18792712.0,2177017.0,-2.76,1.38,1.38,-3.12,0.36,35.45,-4.27,0.0,0.0
2020-01-23,-24188184.0,20240732.0,3947452.0,4793645.0,-28981829.0,-8.29,6.94,1.35,1.64,-9.93,31.91,-9.99,0.0,0.0
2020-02-03,-2544592.0,1436000.0,1108592.0,493984.0,-3038576.0,-6.57,3.71,2.86,1.28,-7.84,28.72,-10.0,0.0,0.0
2020-02-04,-55433723.0,36758135.0,18675589.0,-31032955.0,-24400768.0,-7.25,4.81,2.44,-4.06,-3.19,31.1,8.29,0.0,0.0
2020-02-05,5197333.0,16412769.0,-21610101.0,-9557102.0,14754435.0,0.79,2.48,-3.27,-1.45,2.23,33.65,8.2,0.0,0.0
2020-02-06,-6850853.0,42327530.0,-35476677.0,-16004885.0,9154032.0,-0.92,5.66,-4.74,-2.14,1.22,33.86,0.62,0.0,0.0
2020-02-07,-69158370.0,51718311.0,17440060.0,-25306859.0,-43851511.0,-12.46,9.32,3.14,-4.56,-7.9,33.89,0.09,0.0,0.0
2020-02-10,-24047313.0,13645816.0,10401497.0,-19016593.0,-5030720.0,-8.2,4.65,3.55,-6.49,-1.72,33.02,-2.57,0.0,0.0
2020-02-11,22775182.0,-19454034.0,-3321148.0,16570536.0,6204646.0,6.63,-5.67,-0.97,4.83,1.81,34.51,4.51,0.0,0.0
2020-02-12,-36078720.0,33987903.0,2090816.0,-15380714.0,-20698006.0,-12.14,11.44,0.7,-5.18,-6.97,34.16,-1.01,0.0,0.0
2020-02-13,-22405943.0,39582271.0,-17176328.0,-14056048.0,-8349895.0,-7.03,12.42,-5.39,-4.41,-2.62,32.8,-3.98,0.0,0.0
2020-02-14,-4909749.0,19611861.0,-14702112.0,-8149866.0,3240117.0,-1.51,6.03,-4.52,-2.51,1.0,33.7,2.74,0.0,0.0
2020-02-17,43633098.0,-15936210.0,-27696887.0,-17570218.0,61203316.0,6.72,-2.45,-4.26,-2.71,9.42,37.07,10.0,0.0,0.0
2020-02-18,58383983.0,-22109944.0,-36274039.0,5224974.0,53159009.0,20.46,-7.75,-12.71,1.83,18.63,40.78,10.01,0.0,0.0
2020-02-19,589735.0,1387269.0,-1977003.0,8231102.0,-7641367.0,0.08,0.18,-0.26,1.08,-1.0,42.39,3.95,0.0,0.0
