date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1900182.0,3229054.0,-1328873.0,-697882.0,-1202300.0,-10.78,18.32,-7.54,-3.96,-6.82,12.15,-2.41,0.0,0.0
2020-01-09,-114491.0,-500090.0,614580.0,-114491.0,0.0,-0.95,-4.15,5.1,-0.95,0.0,12.34,1.56,0.0,0.0
2020-01-10,-116908.0,-186698.0,303607.0,-116908.0,0.0,-1.68,-2.69,4.37,-1.68,0.0,12.26,-0.65,0.0,0.0
2020-01-13,-370178.0,354955.0,15223.0,-370178.0,0.0,-3.83,3.67,0.16,-3.83,0.0,12.32,0.49,0.0,0.0
2020-01-14,1106970.0,-731404.0,-375567.0,1106970.0,0.0,5.32,-3.52,-1.81,5.32,0.0,12.42,0.81,0.0,0.0
2020-01-15,136851.0,1491441.0,-1628292.0,-11949.0,148800.0,1.13,12.34,-13.47,-0.1,1.23,12.24,-1.45,0.0,0.0
2020-01-16,-1129562.0,1051030.0,78534.0,-1129562.0,0.0,-8.19,7.62,0.57,-8.19,0.0,12.08,-1.31,0.0,0.0
2020-01-17,-201898.0,2003654.0,-1801757.0,-201898.0,0.0,-1.52,15.1,-13.58,-1.52,0.0,11.94,-1.16,0.0,0.0
2020-01-20,-11534.0,-421088.0,432622.0,-11534.0,0.0,-0.1,-3.8,3.91,-0.1,0.0,12.03,0.75,0.0,0.0
2020-01-21,-1543093.0,3783796.0,-2240703.0,-1543093.0,0.0,-7.25,17.77,-10.52,-7.25,0.0,11.88,-1.25,0.0,0.0
2020-01-22,-889697.0,178507.0,711189.0,-889697.0,0.0,-5.72,1.15,4.57,-5.72,0.0,11.96,0.67,0.0,0.0
2020-01-23,-360919.0,-108123.0,469041.0,882983.0,-1243902.0,-1.82,-0.55,2.37,4.46,-6.28,11.66,-2.51,0.0,0.0
2020-02-03,-172584.0,1440057.0,-1267472.0,-172584.0,0.0,-2.05,17.12,-15.06,-2.05,0.0,10.48,-10.12,0.0,0.0
2020-02-04,-143251.0,880383.0,-737131.0,-160099.0,16848.0,-0.96,5.88,-4.92,-1.07,0.11,10.28,-1.91,0.0,0.0
2020-02-05,-486576.0,949998.0,-463423.0,-486576.0,0.0,-3.29,6.43,-3.14,-3.29,0.0,10.41,1.26,0.0,0.0
2020-02-06,-121779.0,-90070.0,211848.0,-121779.0,0.0,-0.84,-0.62,1.47,-0.84,0.0,10.68,2.59,0.0,0.0
2020-02-07,-403662.0,-900796.0,1304459.0,-403662.0,0.0,-2.71,-6.06,8.77,-2.71,0.0,10.93,2.34,0.0,0.0
