date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-12462718.0,16080121.0,-3617402.0,-7532024.0,-4930694.0,-17.46,22.53,-5.07,-10.55,-6.91,20.11,-3.64,0.0,0.0
2020-01-09,566603.0,-5204764.0,4638161.0,795865.0,-229262.0,0.51,-4.67,4.16,0.71,-0.21,20.87,3.78,0.0,0.0
2020-01-10,-328241.0,-529959.0,858200.0,858745.0,-1186986.0,-0.35,-0.57,0.92,0.92,-1.27,21.14,1.29,0.0,0.0
2020-01-13,-3944608.0,5307302.0,-1362694.0,-3944608.0,0.0,-5.95,8.0,-2.05,-5.95,0.0,21.15,0.05,0.0,0.0
2020-01-14,-1347496.0,4765879.0,-3418383.0,-1378921.0,31425.0,-2.16,7.62,-5.47,-2.21,0.05,20.93,-1.04,0.0,0.0
2020-01-15,-3736358.0,5267039.0,-1530682.0,-1916415.0,-1819943.0,-8.65,12.19,-3.54,-4.43,-4.21,20.68,-1.19,0.0,0.0
2020-01-16,1623078.0,-860522.0,-762557.0,1623078.0,0.0,2.49,-1.32,-1.17,2.49,0.0,20.9,1.06,0.0,0.0
2020-01-17,-8531634.0,11290253.0,-2758619.0,-5610349.0,-2921285.0,-12.02,15.9,-3.89,-7.9,-4.12,20.23,-3.21,0.0,0.0
2020-01-20,-2407589.0,3204662.0,-797071.0,-2403569.0,-4020.0,-5.75,7.66,-1.9,-5.74,-0.01,20.27,0.2,0.0,0.0
2020-01-21,-1834861.0,8730114.0,-6895254.0,-1834861.0,0.0,-5.18,24.66,-19.48,-5.18,0.0,19.85,-2.07,0.0,0.0
2020-01-22,543855.0,2676615.0,-3220469.0,-492411.0,1036266.0,1.31,6.46,-7.78,-1.19,2.5,19.85,0.0,0.0,0.0
2020-01-23,-2913382.0,5911663.0,-2998280.0,-3260813.0,347431.0,-6.91,14.02,-7.11,-7.73,0.82,18.92,-4.69,0.0,0.0
2020-02-03,-1227776.0,1667431.0,-439655.0,-1227776.0,0.0,-38.08,51.71,-13.63,-38.08,0.0,17.02,-10.04,0.0,0.0
2020-02-04,-6270540.0,10567762.0,-4297221.0,-3410816.0,-2859724.0,-8.96,15.1,-6.14,-4.87,-4.09,15.67,-7.93,0.0,0.0
2020-02-05,-2880588.0,6486619.0,-3606030.0,-1603902.0,-1276686.0,-5.09,11.47,-6.38,-2.84,-2.26,16.08,2.62,0.0,0.0
2020-02-06,-6715305.0,4410868.0,2304437.0,-4834043.0,-1881262.0,-11.04,7.25,3.79,-7.95,-3.09,16.23,0.93,0.0,0.0
2020-02-07,295806.0,-1487590.0,1191783.0,752506.0,-456700.0,0.43,-2.14,1.72,1.08,-0.66,16.68,2.77,0.0,0.0
2020-02-10,-1587961.0,2868445.0,-1280485.0,-1587961.0,0.0,-3.21,5.8,-2.59,-3.21,0.0,16.84,0.96,0.0,0.0
2020-02-11,-5430269.0,7484627.0,-2054357.0,-4374329.0,-1055940.0,-9.49,13.08,-3.59,-7.64,-1.84,16.64,-1.19,0.0,0.0
2020-02-12,782839.0,1496658.0,-2279497.0,782839.0,0.0,1.29,2.47,-3.76,1.29,0.0,16.92,1.68,0.0,0.0
2020-02-13,-4113521.0,8385728.0,-4272207.0,-4113521.0,0.0,-6.81,13.89,-7.08,-6.81,0.0,16.48,-2.6,0.0,0.0
2020-02-14,-258583.0,2553338.0,-2294754.0,-208993.0,-49590.0,-0.6,5.9,-5.31,-0.48,-0.11,16.41,-0.42,0.0,0.0
2020-02-17,36729307.0,-20799646.0,-15929662.0,13486876.0,23242431.0,24.29,-13.75,-10.53,8.92,15.37,18.06,10.05,0.0,0.0
2020-02-18,-12727384.0,3065278.0,9662107.0,-7528365.0,-5199019.0,-5.18,1.25,3.93,-3.06,-2.11,19.14,5.98,0.0,0.0
2020-02-19,-12561161.0,14474722.0,-1913560.0,-10320900.0,-2240261.0,-8.66,9.98,-1.32,-7.11,-1.54,18.41,-3.81,0.0,0.0
2020-02-20,-4196877.0,5353284.0,-1156408.0,-4081399.0,-115478.0,-4.09,5.22,-1.13,-3.98,-0.11,18.6,1.03,0.0,0.0
2020-02-21,51696.0,3121814.0,-3173512.0,-1810085.0,1861781.0,0.04,2.34,-2.38,-1.36,1.4,18.71,0.59,0.0,0.0
2020-02-24,4210633.0,-2531014.0,-1679619.0,1438111.0,2772522.0,2.15,-1.29,-0.86,0.73,1.42,19.92,6.47,0.0,0.0
