date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,708059.0,456601.0,-1164659.0,708059.0,0.0,1.19,0.77,-1.95,1.19,0.0,39.9,-2.28,0.0,0.0
2020-01-09,7006917.0,-4053849.0,-2953068.0,7006917.0,0.0,8.24,-4.77,-3.47,8.24,0.0,41.8,4.76,0.0,0.0
2020-01-10,-1645156.0,573104.0,1072052.0,-1645156.0,0.0,-1.92,0.67,1.25,-1.92,0.0,42.09,0.69,0.0,0.0
2020-01-13,-482995.0,2320593.0,-1837598.0,-482995.0,0.0,-0.89,4.29,-3.39,-0.89,0.0,42.42,0.78,0.0,0.0
2020-01-14,-5015636.0,4731582.0,284052.0,-5015636.0,0.0,-10.68,10.07,0.6,-10.68,0.0,41.76,-1.56,0.0,0.0
2020-01-15,-2088684.0,2885424.0,-796740.0,-2088684.0,0.0,-5.62,7.76,-2.14,-5.62,0.0,41.36,-0.96,0.0,0.0
2020-01-16,-783801.0,948293.0,-164493.0,-783801.0,0.0,-0.92,1.11,-0.19,-0.92,0.0,42.7,3.24,0.0,0.0
2020-01-17,-2293638.0,14501.0,2279137.0,-2293638.0,0.0,-4.54,0.03,4.51,-4.54,0.0,41.96,-1.73,0.0,0.0
2020-01-20,1502593.0,-2756652.0,1254059.0,1502593.0,0.0,2.71,-4.98,2.27,2.71,0.0,42.92,2.29,0.0,0.0
2020-01-21,-1737182.0,2282124.0,-544942.0,-1737182.0,0.0,-3.97,5.21,-1.24,-3.97,0.0,42.07,-1.98,0.0,0.0
2020-01-22,-674157.0,2598107.0,-1923950.0,-962257.0,288100.0,-1.16,4.48,-3.32,-1.66,0.5,42.57,1.19,0.0,0.0
2020-01-23,-7063643.0,11266239.0,-4202596.0,-7063643.0,0.0,-10.46,16.68,-6.22,-10.46,0.0,39.78,-6.55,0.0,0.0
2020-02-03,-816745.0,1734236.0,-917490.0,-816745.0,0.0,-11.07,23.5,-12.43,-11.07,0.0,35.78,-10.06,0.0,0.0
2020-02-04,-3415513.0,5624776.0,-2209265.0,-3415513.0,0.0,-5.76,9.49,-3.73,-5.76,0.0,34.47,-3.66,0.0,0.0
2020-02-05,1616763.0,1116380.0,-2733144.0,1212040.0,404723.0,2.62,1.81,-4.42,1.96,0.66,36.24,5.13,0.0,0.0
2020-02-06,-265991.0,2198995.0,-1933004.0,897145.0,-1163136.0,-0.68,5.65,-4.97,2.31,-2.99,36.8,1.55,0.0,0.0
2020-02-07,-2565971.0,3393723.0,-827752.0,-2565971.0,0.0,-5.81,7.68,-1.87,-5.81,0.0,37.26,1.25,0.0,0.0
2020-02-10,-3545742.0,680416.0,2865326.0,-3545742.0,0.0,-8.33,1.6,6.73,-8.33,0.0,37.3,0.11,0.0,0.0
2020-02-11,425417.0,393282.0,-818699.0,425417.0,0.0,1.28,1.18,-2.46,1.28,0.0,37.22,-0.21,0.0,0.0
2020-02-12,-293635.0,1361864.0,-1068230.0,-293635.0,0.0,-0.69,3.2,-2.51,-0.69,0.0,37.55,0.89,0.0,0.0
2020-02-13,-1109423.0,1701344.0,-591919.0,-1109423.0,0.0,-3.25,4.98,-1.73,-3.25,0.0,37.18,-0.99,0.0,0.0
2020-02-14,72577.0,756644.0,-829220.0,72577.0,0.0,0.18,1.87,-2.05,0.18,0.0,37.4,0.59,0.0,0.0
2020-02-17,6112162.0,-6428256.0,316094.0,6112162.0,0.0,11.58,-12.18,0.6,11.58,0.0,39.02,4.33,0.0,0.0
2020-02-18,3069625.0,-4115133.0,1045508.0,3045397.0,24228.0,4.86,-6.51,1.65,4.82,0.04,40.22,3.08,0.0,0.0
2020-02-19,1063286.0,-67780.0,-995506.0,3502898.0,-2439612.0,1.47,-0.09,-1.37,4.83,-3.37,40.88,1.64,0.0,0.0
2020-02-20,-378961.0,2757798.0,-2378837.0,-378961.0,0.0,-0.68,4.93,-4.25,-0.68,0.0,41.55,1.64,0.0,0.0
2020-02-21,-753969.0,-1582725.0,2336695.0,76471.0,-830440.0,-0.63,-1.32,1.94,0.06,-0.69,43.31,4.24,0.0,0.0
2020-02-24,2388524.0,-7502183.0,5113658.0,2357031.0,31493.0,1.79,-5.62,3.83,1.77,0.02,45.33,4.66,0.0,0.0
2020-02-25,-1859083.0,6525895.0,-4666812.0,-2185236.0,326153.0,-1.28,4.49,-3.21,-1.5,0.22,45.84,1.13,0.0,0.0
2020-02-26,163853.0,-1475862.0,1312009.0,-565904.0,729757.0,0.16,-1.43,1.27,-0.55,0.71,44.4,-3.14,0.0,0.0
2020-02-27,-5663570.0,3612311.0,2051259.0,-8101239.0,2437669.0,-4.81,3.07,1.74,-6.89,2.07,44.4,0.0,0.0,0.0
2020-02-28,-20296724.0,10318042.0,9978682.0,-10879880.0,-9416844.0,-19.81,10.07,9.74,-10.62,-9.19,39.94,-10.05,0.0,0.0
2020-03-02,645073.0,-4183285.0,3538210.0,2424420.0,-1779347.0,0.53,-3.47,2.93,2.01,-1.48,40.15,0.53,0.0,0.0
2020-03-03,-11068843.0,16322914.0,-5254071.0,-11028043.0,-40800.0,-8.77,12.93,-4.16,-8.74,-0.03,39.58,-1.42,0.0,0.0
2020-03-04,1573581.0,1963868.0,-3537449.0,351943.0,1221638.0,2.15,2.68,-4.82,0.48,1.67,40.39,2.05,0.0,0.0
2020-03-05,-1688411.0,4534008.0,-2845597.0,-2243199.0,554788.0,-2.34,6.3,-3.95,-3.12,0.77,40.73,0.84,0.0,0.0
2020-03-06,-2649472.0,2429931.0,219541.0,-2163294.0,-486178.0,-5.01,4.6,0.42,-4.09,-0.92,40.2,-1.3,0.0,0.0
2020-03-09,-6227160.0,6860686.0,-633525.0,-6227160.0,0.0,-9.29,10.23,-0.94,-9.29,0.0,38.5,-4.23,0.0,0.0
2020-03-10,4575621.0,-3167631.0,-1407989.0,4575621.0,0.0,6.7,-4.64,-2.06,6.7,0.0,40.49,5.17,0.0,0.0
2020-03-11,2227522.0,-832321.0,-1395201.0,2227522.0,0.0,2.66,-1.0,-1.67,2.66,0.0,40.01,-1.19,0.0,0.0
2020-03-12,-1431846.0,4364677.0,-2932831.0,-1218492.0,-213354.0,-2.34,7.13,-4.79,-1.99,-0.35,39.7,-0.77,0.0,0.0
2020-03-13,-4616881.0,6180263.0,-1563383.0,-1859279.0,-2757602.0,-5.02,6.73,-1.7,-2.02,-3.0,38.71,-2.49,0.0,0.0
2020-03-16,-12630579.0,18467840.0,-5837260.0,-5423934.0,-7206645.0,-15.07,22.03,-6.96,-6.47,-8.6,35.11,-9.3,0.0,0.0
2020-03-17,-2196381.0,3273075.0,-1076694.0,-2196381.0,0.0,-3.98,5.92,-1.95,-3.98,0.0,35.18,0.2,0.0,0.0
2020-03-18,1187657.0,194289.0,-1381946.0,1187657.0,0.0,2.36,0.39,-2.75,2.36,0.0,34.55,-1.79,0.0,0.0
2020-03-19,1125797.0,-3673317.0,2547520.0,1125797.0,0.0,2.67,-8.7,6.03,2.67,0.0,36.22,4.83,0.0,0.0
2020-03-20,8909344.0,-3701544.0,-5207800.0,5067590.0,3841754.0,24.35,-10.12,-14.24,13.85,10.5,39.86,10.05,0.0,0.0
2020-03-23,-6160889.0,1269601.0,4891288.0,-3424774.0,-2736115.0,-3.2,0.66,2.54,-1.78,-1.42,37.97,-4.74,0.0,0.0
2020-03-24,-6691897.0,3528368.0,3163530.0,-3880264.0,-2811633.0,-3.8,2.0,1.8,-2.2,-1.6,41.07,8.16,0.0,0.0
2020-03-25,-11314550.0,5330662.0,5983888.0,-6590193.0,-4724357.0,-7.33,3.46,3.88,-4.27,-3.06,40.35,-1.75,0.0,0.0
2020-03-26,-10853105.0,16420326.0,-5567221.0,-9709773.0,-1143332.0,-11.14,16.86,-5.72,-9.97,-1.17,38.17,-5.4,0.0,0.0
2020-03-27,-7944557.0,11377871.0,-3433313.0,-6100608.0,-1843949.0,-11.68,16.73,-5.05,-8.97,-2.71,36.4,-4.64,0.0,0.0
2020-03-30,-6467863.0,7255525.0,-787663.0,-4274944.0,-2192919.0,-9.99,11.2,-1.22,-6.6,-3.39,34.11,-6.29,0.0,0.0
2020-03-31,-424841.0,660711.0,-235870.0,-424841.0,0.0,-1.38,2.14,-0.76,-1.38,0.0,34.24,0.38,0.0,0.0
2020-04-01,518362.0,-949014.0,430652.0,518362.0,0.0,2.04,-3.73,1.69,2.04,0.0,34.26,0.06,0.0,0.0
2020-04-02,494605.0,-1807974.0,1313368.0,-925718.0,1420323.0,1.44,-5.28,3.84,-2.7,4.15,35.2,2.74,0.0,0.0
2020-04-03,-1316268.0,3334454.0,-2018185.0,-80928.0,-1235340.0,-4.31,10.92,-6.61,-0.26,-4.04,34.5,-1.99,0.0,0.0
2020-04-07,-2442597.0,218036.0,2224561.0,-2860671.0,418074.0,-7.1,0.63,6.47,-8.32,1.22,35.31,2.35,0.0,0.0
2020-04-08,-706412.0,668104.0,38308.0,-706412.0,0.0,-2.31,2.19,0.13,-2.31,0.0,35.46,0.42,0.0,0.0
2020-04-09,-290517.0,-1351566.0,1642085.0,-290517.0,0.0,-0.81,-3.79,4.6,-0.81,0.0,36.16,1.97,0.0,0.0
2020-04-10,-2127396.0,4681593.0,-2554196.0,-2290146.0,162750.0,-5.57,12.26,-6.69,-6.0,0.43,35.2,-2.65,0.0,0.0
2020-04-13,-1681667.0,4206019.0,-2524353.0,-636985.0,-1044682.0,-6.24,15.6,-9.36,-2.36,-3.88,33.88,-3.75,0.0,0.0
2020-04-14,435201.0,709347.0,-1144549.0,435201.0,0.0,2.2,3.58,-5.78,2.2,0.0,34.61,2.15,0.0,0.0
2020-04-15,-416741.0,-2587099.0,3003840.0,-416741.0,0.0,-1.58,-9.8,11.38,-1.58,0.0,35.1,1.42,0.0,0.0
2020-04-16,-1084845.0,106177.0,978669.0,-1084845.0,0.0,-4.52,0.44,4.08,-4.52,0.0,35.3,0.57,0.0,0.0
2020-04-17,624584.0,1565658.0,-2190240.0,624584.0,0.0,2.18,5.46,-7.63,2.18,0.0,35.22,-0.23,0.0,0.0
2020-04-20,-1003719.0,1436892.0,-433174.0,-1003719.0,0.0,-4.42,6.33,-1.91,-4.42,0.0,35.52,0.85,0.0,0.0
2020-04-21,-2489808.0,3671391.0,-1181582.0,-2489808.0,0.0,-9.79,14.43,-4.64,-9.79,0.0,34.97,-1.55,0.0,0.0
2020-04-22,1636391.0,-1185412.0,-450980.0,1636391.0,0.0,7.66,-5.55,-2.11,7.66,0.0,35.22,0.71,0.0,0.0
2020-04-23,-657786.0,869922.0,-212135.0,-657786.0,0.0,-3.14,4.15,-1.01,-3.14,0.0,34.7,-1.48,0.0,0.0
2020-04-24,-2305446.0,3620340.0,-1314894.0,-2223390.0,-82056.0,-8.23,12.93,-4.7,-7.94,-0.29,33.9,-2.31,0.0,0.0
2020-04-27,0.0,1169143.0,-1169143.0,0.0,0.0,0.0,9.01,-9.01,0.0,0.0,33.87,-0.09,0.0,0.0
2020-04-28,-156979.0,772402.0,-615423.0,-156979.0,0.0,-0.63,3.12,-2.49,-0.63,0.0,33.49,-1.12,0.0,0.0
2020-04-29,-877382.0,460312.0,417071.0,-877382.0,0.0,-5.14,2.69,2.44,-5.14,0.0,33.49,0.0,0.0,0.0
2020-04-30,1557308.0,-2420639.0,863332.0,1354289.0,203019.0,4.78,-7.43,2.65,4.16,0.62,34.85,4.06,0.0,0.0
