date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-938990.0,2631059.0,-1692069.0,-938990.0,0.0,-3.76,10.53,-6.77,-3.76,0.0,8.01,-1.35,0.0,0.0
2020-01-09,-2579691.0,2131232.0,448459.0,-2180940.0,-398751.0,-13.43,11.1,2.33,-11.35,-2.08,8.06,0.62,0.0,0.0
2020-01-10,-367602.0,701306.0,-333705.0,-367602.0,0.0,-3.08,5.88,-2.8,-3.08,0.0,8.0,-0.74,0.0,0.0
2020-01-13,-241707.0,863104.0,-621397.0,-241707.0,0.0,-2.0,7.15,-5.15,-2.0,0.0,8.1,1.25,0.0,0.0
2020-01-14,429015.0,-828266.0,399250.0,429015.0,0.0,4.16,-8.04,3.88,4.16,0.0,8.14,0.49,0.0,0.0
2020-01-15,129877.0,60754.0,-190630.0,129877.0,0.0,1.35,0.63,-1.99,1.35,0.0,8.06,-0.98,0.0,0.0
2020-01-16,-35416.0,622671.0,-587255.0,-35416.0,0.0,-0.41,7.18,-6.77,-0.41,0.0,7.92,-1.74,0.0,0.0
2020-01-17,-111797.0,186694.0,-74898.0,-111797.0,0.0,-0.68,1.14,-0.46,-0.68,0.0,7.98,0.76,0.0,0.0
2020-01-20,-997901.0,882717.0,115183.0,-997901.0,0.0,-7.33,6.49,0.85,-7.33,0.0,8.04,0.75,0.0,0.0
2020-01-21,-2588007.0,2705382.0,-117375.0,-2501551.0,-86456.0,-11.72,12.26,-0.53,-11.33,-0.39,7.74,-3.73,0.0,0.0
2020-01-22,-946773.0,1415494.0,-468721.0,-946773.0,0.0,-6.57,9.82,-3.25,-6.57,0.0,7.71,-0.39,0.0,0.0
2020-01-23,-721587.0,2491087.0,-1769500.0,-721587.0,0.0,-3.98,13.73,-9.75,-3.98,0.0,7.43,-3.63,0.0,0.0
2020-02-03,-693754.0,999799.0,-306044.0,-693754.0,0.0,-18.72,26.98,-8.26,-18.72,0.0,6.67,-10.23,0.0,0.0
2020-02-04,-384822.0,687421.0,-302599.0,-388062.0,3240.0,-1.5,2.67,-1.18,-1.51,0.01,6.36,-4.65,0.0,0.0
2020-02-05,412494.0,997357.0,-1409850.0,412494.0,0.0,2.41,5.83,-8.24,2.41,0.0,6.51,2.36,0.0,0.0
2020-02-06,-602827.0,1399604.0,-796778.0,-602827.0,0.0,-3.55,8.25,-4.7,-3.55,0.0,6.61,1.54,0.0,0.0
2020-02-07,-266249.0,878080.0,-611831.0,-266249.0,0.0,-1.7,5.6,-3.9,-1.7,0.0,6.62,0.15,0.0,0.0
2020-02-10,531702.0,-1047844.0,516142.0,498870.0,32832.0,3.69,-7.28,3.59,3.47,0.23,6.77,2.27,0.0,0.0
2020-02-11,-141151.0,953190.0,-812039.0,-141151.0,0.0,-1.17,7.9,-6.73,-1.17,0.0,6.67,-1.48,0.0,0.0
