date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,470156.0,-298951.0,-171205.0,470156.0,0.0,4.35,-2.76,-1.58,4.35,0.0,20.44,0.1,0.0,0.0
2020-01-09,186899.0,-45051.0,-141849.0,186899.0,0.0,1.78,-0.43,-1.35,1.78,0.0,20.67,1.13,0.0,0.0
2020-01-10,-247217.0,646420.0,-399203.0,-247217.0,0.0,-3.8,9.93,-6.13,-3.8,0.0,20.53,-0.68,0.0,0.0
2020-01-13,-783212.0,-7052.0,790264.0,-783212.0,0.0,-9.82,-0.09,9.91,-9.82,0.0,20.6,0.34,0.0,0.0
2020-01-14,521410.0,1032487.0,-1553897.0,521410.0,0.0,4.34,8.59,-12.93,4.34,0.0,20.72,0.58,0.0,0.0
2020-01-15,318583.0,-551169.0,232586.0,318583.0,0.0,3.01,-5.21,2.2,3.01,0.0,20.71,-0.05,0.0,0.0
2020-01-16,-352213.0,935313.0,-583100.0,-352213.0,0.0,-5.03,13.36,-8.33,-5.03,0.0,20.55,-0.77,0.0,0.0
2020-01-17,-653592.0,154899.0,498693.0,-653592.0,0.0,-6.14,1.46,4.69,-6.14,0.0,20.67,0.58,0.0,0.0
2020-01-20,-1635073.0,-933023.0,2568096.0,-1635073.0,0.0,-16.46,-9.39,25.85,-16.46,0.0,20.66,-0.05,0.0,0.0
2020-01-21,306075.0,60342.0,-366417.0,306075.0,0.0,4.25,0.84,-5.09,4.25,0.0,20.44,-1.06,0.0,0.0
2020-01-22,1329092.0,225585.0,-1554677.0,1329092.0,0.0,14.38,2.44,-16.82,14.38,0.0,20.57,0.64,0.0,0.0
2020-01-23,-57082.0,741798.0,-684716.0,-57082.0,0.0,-0.58,7.59,-7.0,-0.58,0.0,20.08,-2.38,0.0,0.0
2020-02-03,19985.0,482297.0,-502283.0,19985.0,0.0,0.4,9.54,-9.93,0.4,0.0,18.07,-10.01,0.0,0.0
2020-02-04,364955.0,-590801.0,225846.0,364955.0,0.0,3.85,-6.23,2.38,3.85,0.0,17.97,-0.55,0.0,0.0
2020-02-05,-538026.0,394249.0,143777.0,-538026.0,0.0,-4.39,3.22,1.17,-4.39,0.0,18.31,1.89,0.0,0.0
2020-02-06,682716.0,-487031.0,-195685.0,682716.0,0.0,6.46,-4.6,-1.85,6.46,0.0,18.75,2.4,0.0,0.0
2020-02-07,-812825.0,670025.0,142800.0,-812825.0,0.0,-9.23,7.61,1.62,-9.23,0.0,18.8,0.27,0.0,0.0
2020-02-10,-54943.0,93289.0,-38346.0,-54943.0,0.0,-0.64,1.09,-0.45,-0.64,0.0,19.1,1.6,0.0,0.0
2020-02-11,36168.0,220236.0,-256404.0,36168.0,0.0,0.7,4.28,-4.98,0.7,0.0,19.1,0.0,0.0,0.0
2020-02-12,-615480.0,-585750.0,1201230.0,-615480.0,0.0,-9.11,-8.67,17.77,-9.11,0.0,19.36,1.36,0.0,0.0
2020-02-13,-786727.0,1187973.0,-401245.0,-786727.0,0.0,-9.11,13.75,-4.65,-9.11,0.0,18.96,-2.07,0.0,0.0
2020-02-14,-340742.0,294507.0,46235.0,-340742.0,0.0,-4.71,4.07,0.64,-4.71,0.0,18.95,-0.05,0.0,0.0
2020-02-17,-477023.0,-1018242.0,1495264.0,972734.0,-1449757.0,-4.09,-8.72,12.81,8.33,-12.42,19.42,2.48,0.0,0.0
2020-02-18,482740.0,-816219.0,333479.0,482740.0,0.0,6.73,-11.38,4.65,6.73,0.0,19.78,1.85,0.0,0.0
2020-02-19,-101008.0,1001346.0,-900337.0,-101008.0,0.0,-1.31,12.95,-11.65,-1.31,0.0,19.58,-1.01,0.0,0.0
2020-02-20,512928.0,-807170.0,294241.0,512928.0,0.0,5.71,-8.98,3.27,5.71,0.0,19.96,1.94,0.0,0.0
2020-02-21,-140313.0,348287.0,-207974.0,-140313.0,0.0,-1.75,4.35,-2.6,-1.75,0.0,19.91,-0.25,0.0,0.0
2020-02-24,31114.0,-133969.0,102855.0,31114.0,0.0,0.4,-1.74,1.34,0.4,0.0,20.02,0.55,0.0,0.0
2020-02-25,-138560.0,2138814.0,-2000253.0,-138560.0,0.0,-1.2,18.57,-17.36,-1.2,0.0,19.72,-1.5,0.0,0.0
2020-02-26,171209.0,255164.0,-426373.0,171209.0,0.0,1.1,1.63,-2.73,1.1,0.0,19.76,0.2,0.0,0.0
2020-02-27,-1565883.0,2471155.0,-905271.0,-1062371.0,-503512.0,-3.55,5.61,-2.05,-2.41,-1.14,20.79,5.21,0.0,0.0
2020-02-28,-989535.0,4809518.0,-3819982.0,-1097698.0,108163.0,-3.04,14.77,-11.73,-3.37,0.33,19.25,-7.41,0.0,0.0
2020-03-02,-172596.0,-884129.0,1056725.0,-172596.0,0.0,-1.27,-6.52,7.79,-1.27,0.0,19.79,2.81,0.0,0.0
2020-03-03,-457993.0,814229.0,-356236.0,-457993.0,0.0,-2.85,5.06,-2.21,-2.85,0.0,19.78,-0.05,0.0,0.0
2020-03-04,170392.0,77686.0,-248079.0,170392.0,0.0,1.42,0.65,-2.07,1.42,0.0,20.05,1.37,0.0,0.0
2020-03-05,357680.0,23580.0,-381261.0,357680.0,0.0,2.5,0.16,-2.66,2.5,0.0,20.4,1.75,0.0,0.0
2020-03-06,-240884.0,367294.0,-126411.0,-240884.0,0.0,-1.83,2.8,-0.96,-1.83,0.0,20.69,1.42,0.0,0.0
2020-03-09,1074837.0,749494.0,-1824330.0,-269179.0,1344016.0,5.83,4.07,-9.9,-1.46,7.29,20.35,-1.64,0.0,0.0
2020-03-10,-493187.0,-373985.0,867172.0,-1764456.0,1271269.0,-0.87,-0.66,1.52,-3.1,2.23,21.18,4.08,0.0,0.0
2020-03-11,1951463.0,-132458.0,-1819005.0,1645011.0,306452.0,2.6,-0.18,-2.43,2.2,0.41,21.35,0.8,0.0,0.0
2020-03-12,-6523034.0,7049125.0,-526092.0,-6296737.0,-226297.0,-14.23,15.37,-1.15,-13.73,-0.49,19.83,-7.12,0.0,0.0
2020-03-13,-207592.0,2096408.0,-1888815.0,-1708001.0,1500409.0,-1.02,10.28,-9.26,-8.37,7.35,19.4,-2.17,0.0,0.0
2020-03-16,2115496.0,-1009480.0,-1106015.0,295440.0,1820056.0,12.14,-5.79,-6.35,1.7,10.44,19.38,-0.1,0.0,0.0
2020-03-17,-162351.0,1064086.0,-901736.0,-162351.0,0.0,-1.84,12.07,-10.23,-1.84,0.0,19.02,-1.86,0.0,0.0
2020-03-18,884340.0,127075.0,-1011415.0,884340.0,0.0,11.18,1.61,-12.79,11.18,0.0,18.89,-0.68,0.0,0.0
2020-03-19,-1286422.0,1711773.0,-425351.0,-154057.0,-1132365.0,-16.22,21.58,-5.36,-1.94,-14.28,18.79,-0.53,0.0,0.0
2020-03-20,-417184.0,-75989.0,493173.0,-417184.0,0.0,-6.96,-1.27,8.22,-6.96,0.0,19.08,1.54,0.0,0.0
2020-03-23,-573016.0,318295.0,254721.0,-573016.0,0.0,-7.41,4.11,3.29,-7.41,0.0,18.61,-2.46,0.0,0.0
2020-03-24,-518813.0,-407323.0,926136.0,-518813.0,0.0,-7.29,-5.72,13.01,-7.29,0.0,19.04,2.31,0.0,0.0
2020-03-25,-269818.0,-253999.0,523817.0,-269818.0,0.0,-4.95,-4.66,9.62,-4.95,0.0,19.26,1.16,0.0,0.0
2020-03-26,0.0,135668.0,-135669.0,0.0,0.0,0.0,3.83,-3.83,0.0,0.0,19.0,-1.35,0.0,0.0
2020-03-27,-74802.0,8820.0,65982.0,-74802.0,0.0,-1.83,0.22,1.61,-1.83,0.0,19.08,0.42,0.0,0.0
2020-03-30,0.0,740561.0,-740562.0,0.0,0.0,0.0,17.77,-17.77,0.0,0.0,18.59,-2.57,0.0,0.0
2020-03-31,-110562.0,-567788.0,678350.0,-110562.0,0.0,-1.55,-7.96,9.51,-1.55,0.0,19.06,2.53,0.0,0.0
2020-04-01,367788.0,1346284.0,-1714072.0,367788.0,0.0,1.25,4.57,-5.82,1.25,0.0,19.36,1.57,0.0,0.0
2020-04-02,-2776985.0,2775830.0,1155.0,-2776985.0,0.0,-14.72,14.72,0.01,-14.72,0.0,18.92,-2.27,0.0,0.0
2020-04-03,-46550.0,836968.0,-790418.0,-46550.0,0.0,-0.59,10.54,-9.95,-0.59,0.0,18.64,-1.48,0.0,0.0
2020-04-07,378453.0,-171295.0,-207159.0,378453.0,0.0,4.72,-2.14,-2.59,4.72,0.0,18.96,1.72,0.0,0.0
2020-04-08,429104.0,-938499.0,509394.0,429104.0,0.0,4.58,-10.02,5.44,4.58,0.0,19.17,1.11,0.0,0.0
2020-04-09,-581809.0,390702.0,191108.0,-581809.0,0.0,-8.71,5.85,2.86,-8.71,0.0,19.16,-0.05,0.0,0.0
2020-04-10,-147171.0,427656.0,-280485.0,-147171.0,0.0,-1.7,4.94,-3.24,-1.7,0.0,18.87,-1.51,0.0,0.0
2020-04-13,0.0,-225003.0,225003.0,0.0,0.0,0.0,-6.48,6.48,0.0,0.0,18.72,-0.79,0.0,0.0
2020-04-14,-24492.0,7254.0,17238.0,0.0,-24492.0,-0.52,0.15,0.36,0.0,-0.52,19.03,1.66,0.0,0.0
2020-04-15,540111.0,-869223.0,329111.0,444611.0,95500.0,5.67,-9.12,3.45,4.67,1.0,19.05,0.11,0.0,0.0
2020-04-16,363483.0,314444.0,-677927.0,363483.0,0.0,6.24,5.39,-11.63,6.24,0.0,19.05,0.0,0.0,0.0
2020-04-17,-3806.0,264208.0,-260401.0,-3806.0,0.0,-0.09,5.97,-5.88,-0.09,0.0,19.0,-0.26,0.0,0.0
2020-04-20,-126630.0,-499108.0,625738.0,-126630.0,0.0,-2.41,-9.49,11.89,-2.41,0.0,19.21,1.11,0.0,0.0
2020-04-21,0.0,-304860.0,304860.0,0.0,0.0,0.0,-7.74,7.74,0.0,0.0,19.31,0.52,0.0,0.0
2020-04-22,383251.0,-589003.0,205752.0,383251.0,0.0,4.52,-6.95,2.43,4.52,0.0,19.58,1.4,0.0,0.0
2020-04-23,1672476.0,-1144243.0,-528232.0,1672476.0,0.0,10.87,-7.44,-3.43,10.87,0.0,19.49,-0.46,0.0,0.0
2020-04-24,-308549.0,531507.0,-222958.0,-308549.0,0.0,-5.16,8.89,-3.73,-5.16,0.0,19.12,-1.9,0.0,0.0
2020-04-27,11508.0,59349.0,-70856.0,11508.0,0.0,0.25,1.28,-1.52,0.25,0.0,19.26,0.73,0.0,0.0
2020-04-28,39149.0,895259.0,-934409.0,39149.0,0.0,0.56,12.82,-13.38,0.56,0.0,18.7,-2.91,0.0,0.0
2020-04-29,-97085.0,598168.0,-501083.0,-97085.0,0.0,-2.53,15.61,-13.07,-2.53,0.0,18.68,-0.11,0.0,0.0
2020-04-30,0.0,-1040417.0,1040416.0,0.0,0.0,0.0,-18.65,18.65,0.0,0.0,19.05,1.98,0.0,0.0
2020-05-06,-1926.0,-451227.0,453154.0,-3838.0,1912.0,-0.04,-8.95,8.99,-0.08,0.04,19.15,0.52,0.0,0.0
2020-05-07,0.0,581223.0,-581223.0,0.0,0.0,0.0,18.22,-18.22,0.0,0.0,19.13,-0.1,0.0,0.0
2020-05-08,746584.0,209848.0,-956434.0,746584.0,0.0,10.36,2.91,-13.27,10.36,0.0,19.24,0.58,0.0,0.0
2020-05-11,-422564.0,354359.0,68205.0,-422564.0,0.0,-8.39,7.03,1.35,-8.39,0.0,19.24,0.0,0.0,0.0
2020-05-12,-1043822.0,349565.0,694256.0,-1043822.0,0.0,-20.05,6.72,13.34,-20.05,0.0,19.19,-0.26,0.0,0.0
2020-05-13,-88711.0,358840.0,-270129.0,-88711.0,0.0,-1.0,4.03,-3.04,-1.0,0.0,19.3,0.57,0.0,0.0
2020-05-14,-1802228.0,1150423.0,651806.0,-1802228.0,0.0,-20.38,13.01,7.37,-20.38,0.0,18.95,-1.81,0.0,0.0
2020-05-15,-215525.0,605036.0,-389512.0,-215525.0,0.0,-4.3,12.07,-7.77,-4.3,0.0,18.87,-0.42,0.0,0.0
2020-05-18,-443633.0,832636.0,-389003.0,-443633.0,0.0,-6.34,11.91,-5.56,-6.34,0.0,18.89,0.11,0.0,0.0
2020-05-19,-509510.0,-166088.0,675598.0,-509510.0,0.0,-8.98,-2.93,11.9,-8.98,0.0,19.05,0.85,0.0,0.0
2020-05-20,-188976.0,-47239.0,236215.0,-188976.0,0.0,-4.29,-1.07,5.36,-4.29,0.0,18.99,-0.31,0.0,0.0
2020-05-21,-252135.0,826714.0,-574578.0,-252135.0,0.0,-4.58,15.03,-10.45,-4.58,0.0,18.8,-1.0,0.0,0.0
2020-05-22,-278279.0,1988306.0,-1710027.0,-278279.0,0.0,-3.56,25.47,-21.9,-3.56,0.0,18.54,-1.38,0.0,0.0
2020-05-25,-89149.0,398512.0,-309363.0,-89149.0,0.0,-2.67,11.95,-9.28,-2.67,0.0,18.55,0.05,0.0,0.0
2020-05-26,689702.0,-991908.0,302206.0,689702.0,0.0,9.84,-14.15,4.31,9.84,0.0,18.85,1.62,0.0,0.0
2020-05-27,-386446.0,762399.0,-375953.0,-386446.0,0.0,-6.62,13.06,-6.44,-6.62,0.0,18.74,-0.58,0.0,0.0
2020-05-28,-230283.0,824888.0,-594605.0,-230283.0,0.0,-4.18,14.97,-10.79,-4.18,0.0,18.6,-0.75,0.0,0.0
2020-05-29,-3098239.0,2996924.0,101315.0,-3098239.0,0.0,-20.69,20.01,0.68,-20.69,0.0,18.42,-0.97,0.0,0.0
2020-06-01,224228.0,-636403.0,412175.0,224228.0,0.0,3.04,-8.63,5.59,3.04,0.0,18.81,2.12,0.0,0.0
2020-06-02,733378.0,-875965.0,142586.0,733378.0,0.0,6.57,-7.85,1.28,6.57,0.0,18.99,0.96,0.0,0.0
2020-06-03,489020.0,679019.0,-1168039.0,489020.0,0.0,4.9,6.8,-11.69,4.9,0.0,19.04,0.26,0.0,0.0
2020-06-04,428882.0,-363696.0,-65186.0,428882.0,0.0,4.73,-4.01,-0.72,4.73,0.0,19.14,0.53,0.0,0.0
2020-06-05,-205911.0,333429.0,-127519.0,-205911.0,0.0,-3.26,5.29,-2.02,-3.26,0.0,19.01,-0.68,0.0,0.0
2020-06-08,73595.0,138240.0,-211835.0,73595.0,0.0,0.91,1.71,-2.62,0.91,0.0,18.79,-1.16,0.0,0.0
2020-06-09,0.0,542944.0,-542944.0,0.0,0.0,0.0,17.17,-17.17,0.0,0.0,18.83,0.21,0.0,0.0
2020-06-10,-106995.0,9465.0,97530.0,-106995.0,0.0,-3.46,0.31,3.16,-3.46,0.0,18.75,-0.42,0.0,0.0
2020-06-11,-204353.0,311591.0,-107236.0,-204353.0,0.0,-3.22,4.92,-1.69,-3.22,0.0,18.67,-0.43,0.0,0.0
2020-06-12,-160132.0,257624.0,-97493.0,-160132.0,0.0,-2.68,4.31,-1.63,-2.68,0.0,18.76,0.48,0.0,0.0
2020-06-15,-208237.0,-948020.0,1156258.0,-208237.0,0.0,-3.09,-14.07,17.17,-3.09,0.0,18.75,-0.05,0.0,0.0
2020-06-16,624993.0,-1094886.0,469893.0,624993.0,0.0,7.14,-12.51,5.37,7.14,0.0,19.04,1.55,0.0,0.0
2020-06-18,91729.0,1138202.0,-1229931.0,91729.0,0.0,1.72,21.29,-23.01,1.72,0.0,19.03,-0.16,0.0,0.0
2020-06-19,192578.0,-642563.0,449985.0,192578.0,0.0,1.78,-5.93,4.15,1.78,0.0,19.12,0.47,0.0,0.0
2020-06-22,-1912.0,-52311.0,54224.0,-1912.0,0.0,-0.04,-1.04,1.08,-0.04,0.0,19.08,-0.21,0.0,0.0
2020-06-23,-110741.0,403963.0,-293220.0,-110741.0,0.0,-1.71,6.25,-4.53,-1.71,0.0,19.09,0.05,0.0,0.0
2020-06-29,399198.0,-268487.0,-130712.0,399198.0,0.0,6.75,-4.54,-2.21,6.75,0.0,19.03,0.05,0.0,0.0
2020-06-30,496904.0,-45339.0,-451565.0,496904.0,0.0,3.12,-0.28,-2.84,3.12,0.0,19.34,1.63,0.0,0.0
2020-07-01,3110910.0,-1929791.0,-1181119.0,1154178.0,1956732.0,15.9,-9.86,-6.04,5.9,10.0,19.53,0.98,0.0,0.0
2020-07-02,-637054.0,595299.0,41755.0,-637054.0,0.0,-4.55,4.26,0.3,-4.55,0.0,19.45,-0.41,0.0,0.0
2020-07-06,874682.0,-973199.0,98517.0,803461.0,71221.0,4.33,-4.81,0.49,3.97,0.35,20.06,2.61,0.0,0.0
2020-07-08,3761231.0,-899020.0,-2862211.0,257238.0,3503993.0,16.82,-4.02,-12.8,1.15,15.67,20.63,1.93,0.0,0.0
