date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2915960.0,4258615.0,-1342654.0,-3086288.0,170328.0,-3.81,5.57,-1.76,-4.04,0.22,37.87,-1.04,0.0,0.0
2020-01-09,38768333.0,-17454125.0,-21314210.0,4131750.0,34636583.0,23.82,-10.72,-13.1,2.54,21.28,41.67,10.03,0.0,0.0
2020-01-10,-11977823.0,3498169.0,8479655.0,-13300717.0,1322894.0,-6.62,1.93,4.69,-7.36,0.73,41.25,-1.03,0.0,0.0
2020-01-13,-6265701.0,11268530.0,-5002829.0,-6184427.0,-81274.0,-5.22,9.39,-4.17,-5.15,-0.07,41.66,0.99,0.0,0.0
2020-01-14,8210107.0,-5007707.0,-3202400.0,7543315.0,666792.0,4.68,-2.85,-1.82,4.3,0.38,42.3,1.54,0.0,0.0
2020-01-15,14986170.0,-6764524.0,-8221646.0,11003936.0,3982234.0,14.45,-6.52,-7.93,10.61,3.84,43.5,2.84,0.0,0.0
2020-01-16,4602445.0,-6928882.0,2326435.0,-87964.0,4690409.0,3.59,-5.4,1.81,-0.07,3.66,45.23,3.98,0.0,0.0
2020-01-17,-15097651.0,12630554.0,2467096.0,-38712406.0,23614755.0,-4.86,4.07,0.79,-12.47,7.61,48.97,8.27,0.0,0.0
2020-01-20,-20779816.0,8078396.0,12701420.0,-8794531.0,-11985285.0,-9.81,3.81,5.99,-4.15,-5.66,50.49,3.1,0.0,0.0
2020-01-21,-19954374.0,4884520.0,15069854.0,-17096932.0,-2857442.0,-13.31,3.26,10.05,-11.41,-1.91,52.37,3.74,0.0,0.0
2020-01-22,1918132.0,5286678.0,-7204810.0,-3094707.0,5012839.0,0.94,2.59,-3.53,-1.51,2.45,54.37,3.8,0.0,0.0
2020-01-23,-18178669.0,9071704.0,9106965.0,-4319859.0,-13858810.0,-10.57,5.28,5.3,-2.51,-8.06,51.04,-6.12,0.0,0.0
2020-02-03,-1402382.0,767346.0,635035.0,-4349182.0,2946800.0,-7.04,3.85,3.19,-21.84,14.8,45.92,-10.03,0.0,0.0
2020-02-04,-4167509.0,4032691.0,134818.0,9436596.0,-13604105.0,-2.49,2.41,0.08,5.63,-8.12,48.56,5.75,0.0,0.0
2020-02-05,-8392998.0,1012537.0,7380461.0,-8101572.0,-291426.0,-8.1,0.98,7.13,-7.82,-0.28,48.73,0.35,0.0,0.0
2020-02-06,-6350044.0,3508413.0,2841631.0,-5494135.0,-855909.0,-4.16,2.3,1.86,-3.6,-0.56,49.87,2.34,0.0,0.0
2020-02-07,-14431330.0,11608439.0,2822891.0,-1075040.0,-13356290.0,-7.73,6.21,1.51,-0.58,-7.15,50.99,2.25,0.0,0.0
2020-02-10,-15246548.0,19900598.0,-4654049.0,-12707417.0,-2539131.0,-9.22,12.04,-2.81,-7.69,-1.54,49.19,-3.53,0.0,0.0
2020-02-11,-7109735.0,13266881.0,-6157145.0,-6368272.0,-741463.0,-6.72,12.54,-5.82,-6.02,-0.7,49.0,-0.39,0.0,0.0
2020-02-12,-19870410.0,21698488.0,-1828078.0,-11053114.0,-8817296.0,-10.0,10.92,-0.92,-5.56,-4.44,49.11,0.22,0.0,0.0
2020-02-13,-11704587.0,10517822.0,1186766.0,-3194222.0,-8510365.0,-9.16,8.24,0.93,-2.5,-6.66,48.0,-2.26,0.0,0.0
2020-02-14,-1825230.0,345633.0,1479598.0,-13615877.0,11790647.0,-0.86,0.16,0.7,-6.44,5.58,50.09,4.35,0.0,0.0
2020-02-17,609744.0,-739922.0,130178.0,1153626.0,-543882.0,0.37,-0.45,0.08,0.69,-0.33,52.41,4.63,0.0,0.0
2020-02-18,-3742059.0,3396312.0,345747.0,-3981935.0,239876.0,-1.89,1.71,0.17,-2.01,0.12,54.22,3.45,0.0,0.0
2020-02-19,-4756015.0,-4433953.0,9189967.0,-6511617.0,1755602.0,-2.99,-2.79,5.78,-4.09,1.1,54.56,0.63,0.0,0.0
2020-02-20,-1695407.0,8866687.0,-7171281.0,-2300812.0,605405.0,-1.08,5.64,-4.56,-1.46,0.38,55.42,1.59,0.0,0.0
2020-02-21,-8079644.0,9097973.0,-1018328.0,-11672003.0,3592359.0,-3.87,4.35,-0.49,-5.59,1.72,55.42,0.0,0.0,0.0
2020-02-24,-13484133.0,11380409.0,2103724.0,-7100816.0,-6383317.0,-7.99,6.74,1.25,-4.21,-3.78,55.62,0.36,0.0,0.0
2020-02-25,-52211910.0,34434395.0,17777515.0,-32858924.0,-19352986.0,-19.79,13.05,6.74,-12.46,-7.34,53.33,-4.13,0.0,0.0
2020-02-26,-26218723.0,22653509.0,3565215.0,-20751430.0,-5467293.0,-11.1,9.59,1.51,-8.78,-2.31,49.69,-6.83,0.0,0.0
2020-02-27,15612336.0,2539935.0,-18152271.0,6882554.0,8729782.0,9.28,1.51,-10.79,4.09,5.19,51.56,3.76,0.0,0.0
2020-02-28,-4791153.0,16326474.0,-11535320.0,-5022231.0,231078.0,-1.85,6.3,-4.45,-1.94,0.09,48.59,-5.76,0.0,0.0
2020-03-02,8741530.0,-2693803.0,-6047727.0,8615891.0,125639.0,3.81,-1.17,-2.64,3.76,0.05,48.48,-0.23,0.0,0.0
2020-03-03,19802940.0,-2820080.0,-16982860.0,4913022.0,14889918.0,7.86,-1.12,-6.74,1.95,5.91,49.42,1.96,0.0,0.0
2020-03-04,-10143870.0,14512658.0,-4368789.0,-6366665.0,-3777205.0,-7.69,11.01,-3.31,-4.83,-2.86,48.48,-1.92,0.0,0.0
2020-03-05,-12311559.0,14529208.0,-2217650.0,-10752440.0,-1559119.0,-9.14,10.79,-1.65,-7.98,-1.16,48.68,0.41,0.0,0.0
2020-03-06,-1572823.0,-3503845.0,5076668.0,3409833.0,-4982656.0,-1.21,-2.71,3.92,2.63,-3.85,48.49,-0.39,0.0,0.0
2020-03-09,-25039329.0,20519699.0,4519630.0,-12051519.0,-12987810.0,-13.9,11.39,2.51,-6.69,-7.21,45.6,-5.96,0.0,0.0
2020-03-10,-8944897.0,9517960.0,-573063.0,-1850243.0,-7094654.0,-5.13,5.46,-0.33,-1.06,-4.07,46.96,2.98,0.0,0.0
2020-03-11,29886730.0,-17464370.0,-12422361.0,24511091.0,5375639.0,9.67,-5.65,-4.02,7.93,1.74,48.94,4.22,0.0,0.0
2020-03-12,28315052.0,-21156794.0,-7158259.0,24757511.0,3557541.0,11.89,-8.89,-3.01,10.4,1.49,49.62,1.41,0.0,0.0
2020-03-13,45911618.0,-22127901.0,-23783717.0,33909242.0,12002376.0,14.22,-6.85,-7.36,10.5,3.72,52.99,6.77,0.0,0.0
2020-03-16,14282665.0,-10960129.0,-3322536.0,20174360.0,-5891695.0,4.23,-3.25,-0.98,5.98,-1.75,53.5,0.96,0.0,0.0
2020-03-17,-4835333.0,1549167.0,3286165.0,-5281228.0,445895.0,-1.62,0.52,1.1,-1.76,0.15,52.87,-1.16,0.0,0.0
2020-03-18,-890190.0,-5653193.0,6543383.0,4611436.0,-5501626.0,-0.34,-2.13,2.47,1.74,-2.08,51.75,-2.14,0.0,0.0
2020-03-19,-16565959.0,10466357.0,6099602.0,-11924942.0,-4641017.0,-9.03,5.7,3.32,-6.5,-2.53,52.0,0.48,0.0,0.0
2020-03-20,-10206645.0,15027980.0,-4821336.0,-6863220.0,-3343425.0,-5.02,7.39,-2.37,-3.37,-1.64,51.03,-1.87,0.0,0.0
2020-03-23,2032974.0,846349.0,-2879323.0,2302745.0,-269771.0,1.04,0.43,-1.47,1.18,-0.14,48.52,-4.9,0.0,0.0
2020-03-24,-16045817.0,20913770.0,-4867953.0,-15572810.0,-473007.0,-8.72,11.36,-2.64,-8.46,-0.26,48.22,-0.62,0.0,0.0
2020-03-25,-4842506.0,7114511.0,-2272005.0,-2143171.0,-2699335.0,-3.83,5.63,-1.8,-1.7,-2.14,49.99,3.65,0.0,0.0
2020-03-26,-9583783.0,6155248.0,3428534.0,-9219863.0,-363920.0,-9.13,5.87,3.27,-8.79,-0.35,48.76,-2.46,0.0,0.0
2020-03-27,-9820500.0,5516925.0,4303576.0,-5937369.0,-3883131.0,-5.59,3.14,2.45,-3.38,-2.21,48.34,-0.86,0.0,0.0
2020-03-30,-2689262.0,1866385.0,822877.0,-5819611.0,3130349.0,-1.76,1.22,0.54,-3.8,2.05,44.72,-7.47,0.0,0.0
2020-03-31,9819853.0,5961677.0,-15781529.0,11796815.0,-1976962.0,6.24,3.79,-10.03,7.49,-1.26,43.62,-2.46,0.0,0.0
2020-04-01,9039722.0,-6452775.0,-2586947.0,5611648.0,3428074.0,4.44,-3.17,-1.27,2.76,1.68,46.44,6.44,0.0,0.0
2020-04-02,4880933.0,2022069.0,-6903001.0,3810811.0,1070122.0,2.41,1.0,-3.41,1.88,0.53,49.66,6.93,0.0,0.0
2020-04-03,12109645.0,-6796092.0,-5313553.0,8653943.0,3455702.0,7.69,-4.32,-3.37,5.5,2.19,51.12,2.96,0.0,0.0
2020-04-07,13056402.0,-2829408.0,-10226993.0,11980032.0,1076370.0,7.07,-1.53,-5.54,6.49,0.58,54.69,6.96,0.0,0.0
2020-04-08,298929.0,9740509.0,-10039437.0,-7018824.0,7317753.0,0.2,6.41,-6.61,-4.62,4.82,54.96,0.49,0.0,0.0
2020-04-09,-2896549.0,4176376.0,-1279826.0,-6447341.0,3550792.0,-2.5,3.61,-1.1,-5.57,3.07,55.13,0.31,0.0,0.0
2020-04-10,-7370637.0,20268356.0,-12897719.0,-6031650.0,-1338987.0,-3.79,10.43,-6.64,-3.1,-0.69,52.37,-4.99,0.0,0.0
2020-04-13,-4311567.0,9966750.0,-5655183.0,-1960215.0,-2351352.0,-3.88,8.98,-5.09,-1.77,-2.12,51.34,-1.99,0.0,0.0
2020-04-14,-14625663.0,6140246.0,8485417.0,-11361129.0,-3264534.0,-12.26,5.15,7.11,-9.52,-2.74,50.19,-2.24,0.0,0.0
2020-04-15,-5915284.0,14196331.0,-8281046.0,-4823186.0,-1092098.0,-5.56,13.35,-7.79,-4.54,-1.03,49.49,-1.39,0.0,0.0
2020-04-16,3604063.0,-2931939.0,-672124.0,-25113.0,3629176.0,4.57,-3.72,-0.85,-0.03,4.6,49.25,-0.48,0.0,0.0
2020-04-17,19044701.0,-16477859.0,-2566841.0,15643994.0,3400707.0,10.57,-9.14,-1.42,8.68,1.89,52.69,6.98,0.0,0.0
2020-04-20,3616028.0,-9961274.0,6345246.0,4649161.0,-1033133.0,1.95,-5.38,3.43,2.51,-0.56,51.29,-2.66,0.0,0.0
2020-04-21,3219354.0,-5733647.0,2514293.0,3024954.0,194400.0,2.59,-4.61,2.02,2.43,0.16,51.56,0.53,0.0,0.0
2020-04-22,-2179076.0,-2244651.0,4423726.0,240009.0,-2419085.0,-2.66,-2.74,5.39,0.29,-2.95,51.25,-0.6,0.0,0.0
