date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-795185.0,716147.0,79038.0,-245497.0,-549688.0,-1.9,1.71,0.19,-0.59,-1.31,27.87,-2.21,0.0,0.0
2020-01-09,-4160297.0,2931301.0,1228994.0,-880385.0,-3279912.0,-10.51,7.4,3.1,-2.22,-8.28,28.18,1.11,0.0,0.0
2020-01-10,10042434.0,-6964124.0,-3078310.0,10042434.0,0.0,11.94,-8.28,-3.66,11.94,0.0,29.25,3.8,0.0,0.0
2020-01-13,-2658866.0,2444519.0,214348.0,-2658866.0,0.0,-5.23,4.81,0.42,-5.23,0.0,29.05,-0.68,0.0,0.0
2020-01-14,5991495.0,-369990.0,-5621505.0,5104050.0,887445.0,5.75,-0.35,-5.39,4.9,0.85,30.36,4.51,0.0,0.0
2020-01-15,-7458331.0,5615487.0,1842843.0,-7458331.0,0.0,-11.21,8.44,2.77,-11.21,0.0,29.52,-2.77,0.0,0.0
2020-01-16,-1501015.0,2246193.0,-745177.0,83661.0,-1584676.0,-3.92,5.87,-1.95,0.22,-4.14,29.37,-0.51,0.0,0.0
2020-01-17,-1717970.0,3977725.0,-2259755.0,-2816400.0,1098430.0,-4.65,10.78,-6.12,-7.63,2.98,28.92,-1.53,0.0,0.0
2020-01-20,-7088037.0,6409019.0,679017.0,-6483117.0,-604920.0,-15.34,13.87,1.47,-14.03,-1.31,28.7,-0.76,0.0,0.0
2020-01-21,-4889516.0,13338822.0,-8449306.0,-7283170.0,2393654.0,-7.14,19.47,-12.33,-10.63,3.49,27.4,-4.53,0.0,0.0
2020-01-22,391628.0,595485.0,-987113.0,391628.0,0.0,1.1,1.68,-2.78,1.1,0.0,27.37,-0.11,0.0,0.0
2020-01-23,-1710747.0,4402549.0,-2691801.0,-2003237.0,292490.0,-4.07,10.47,-6.4,-4.76,0.7,26.0,-5.01,0.0,0.0
2020-02-03,1222884.0,409968.0,-1632852.0,-4371120.0,5594004.0,5.57,1.87,-7.43,-19.9,25.46,23.4,-10.0,0.0,0.0
2020-02-04,-4847956.0,3939317.0,908640.0,-4967240.0,119284.0,-5.96,4.85,1.12,-6.11,0.15,23.11,-1.24,0.0,0.0
2020-02-05,-1907494.0,1765090.0,142404.0,-3515080.0,1607586.0,-2.81,2.6,0.21,-5.18,2.37,24.78,7.23,0.0,0.0
2020-02-06,-2325710.0,1502620.0,823090.0,-1302163.0,-1023547.0,-7.38,4.77,2.61,-4.13,-3.25,24.69,-0.36,0.0,0.0
2020-02-07,202835.0,-955528.0,752691.0,-2900.0,205735.0,0.46,-2.15,1.69,-0.01,0.46,24.87,0.73,0.0,0.0
2020-02-10,240029.0,-3562556.0,3322526.0,240029.0,0.0,0.62,-9.21,8.59,0.62,0.0,25.75,3.54,0.0,0.0
2020-02-11,-2912434.0,5681703.0,-2769269.0,-1383167.0,-1529267.0,-9.33,18.2,-8.87,-4.43,-4.9,25.62,-0.5,0.0,0.0
2020-02-12,281124.0,1636771.0,-1917894.0,1071915.0,-790791.0,0.99,5.75,-6.74,3.76,-2.78,25.96,1.33,0.0,0.0
2020-02-13,-1911847.0,1737151.0,174697.0,1114018.0,-3025865.0,-6.93,6.3,0.63,4.04,-10.97,25.56,-1.54,0.0,0.0
2020-02-14,1298590.0,-384449.0,-914141.0,89496.0,1209094.0,5.28,-1.56,-3.72,0.36,4.92,25.57,0.04,0.0,0.0
2020-02-17,13015284.0,-8476458.0,-4538825.0,1158090.0,11857194.0,13.62,-8.87,-4.75,1.21,12.41,27.86,8.96,0.0,0.0
2020-02-18,3101988.0,-1602433.0,-1499556.0,4079659.0,-977671.0,5.93,-3.06,-2.87,7.8,-1.87,28.49,2.26,0.0,0.0
2020-02-19,2084913.0,4198889.0,-6283803.0,2090613.0,-5700.0,4.38,8.81,-13.19,4.39,-0.01,27.73,-2.67,0.0,0.0
2020-02-20,1921511.0,4247335.0,-6168846.0,431912.0,1489599.0,3.58,7.91,-11.49,0.8,2.77,27.9,0.61,0.0,0.0
2020-02-21,301266.0,-283153.0,-18113.0,250884.0,50382.0,0.77,-0.73,-0.05,0.64,0.13,27.86,-0.14,0.0,0.0
