date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-26202420.0,12782121.0,13420298.0,-18266923.0,-7935497.0,-15.47,7.54,7.92,-10.78,-4.68,38.21,-1.85,0.0,0.0
2020-01-09,-182354.0,80601.0,101754.0,-4823537.0,4641183.0,-0.16,0.07,0.09,-4.15,3.99,38.77,1.47,0.0,0.0
2020-01-10,6117217.0,-5669873.0,-447345.0,-2576077.0,8693294.0,3.64,-3.37,-0.27,-1.53,5.17,39.29,1.34,0.0,0.0
2020-01-13,21217526.0,-11333814.0,-9883712.0,2520085.0,18697441.0,9.95,-5.32,-4.64,1.18,8.77,40.57,3.26,0.0,0.0
2020-01-14,-15395562.0,5560180.0,9835383.0,-5289956.0,-10105606.0,-8.59,3.1,5.49,-2.95,-5.64,39.77,-1.97,0.0,0.0
2020-01-15,-17470690.0,15307924.0,2162767.0,-9379536.0,-8091154.0,-11.23,9.84,1.39,-6.03,-5.2,39.47,-0.75,0.0,0.0
2020-01-16,-16324169.0,11307320.0,5016849.0,-12664698.0,-3659471.0,-14.89,10.31,4.58,-11.55,-3.34,38.97,-1.27,0.0,0.0
2020-01-17,17200198.0,-5770253.0,-11429945.0,13485201.0,3714997.0,9.05,-3.04,-6.01,7.1,1.95,39.4,1.1,0.0,0.0
2020-01-20,50012608.0,-11301808.0,-38710800.0,13143069.0,36869539.0,12.96,-2.93,-10.03,3.41,9.56,41.33,4.9,0.0,0.0
2020-01-21,-8641633.0,10242811.0,-1601179.0,-3090789.0,-5550844.0,-4.75,5.63,-0.88,-1.7,-3.05,40.6,-1.77,0.0,0.0
2020-01-22,26160595.0,-16990219.0,-9170378.0,14725108.0,11435487.0,10.88,-7.06,-3.81,6.12,4.75,41.74,2.81,0.0,0.0
2020-01-23,-38269794.0,25435102.0,12834692.0,-13701437.0,-24568357.0,-14.21,9.44,4.77,-5.09,-9.12,39.69,-4.91,0.0,0.0
2020-02-03,23854615.0,-995275.0,-22859340.0,-33898476.0,57753091.0,11.73,-0.49,-11.24,-16.67,28.4,35.7,-10.05,0.0,0.0
2020-02-04,-6878172.0,6540243.0,337929.0,-6119797.0,-758375.0,-3.68,3.5,0.18,-3.28,-0.41,36.42,2.02,0.0,0.0
2020-02-05,-12079067.0,13371241.0,-1292174.0,-10950158.0,-1128909.0,-5.2,5.75,-0.56,-4.71,-0.49,36.14,-0.77,0.0,0.0
2020-02-06,9839085.0,-4374392.0,-5464693.0,10648365.0,-809280.0,4.42,-1.97,-2.46,4.79,-0.36,36.72,1.6,0.0,0.0
2020-02-07,-7280869.0,-9314891.0,16595759.0,1100369.0,-8381238.0,-4.57,-5.85,10.43,0.69,-5.27,36.33,-1.06,0.0,0.0
2020-02-10,-18083276.0,8763938.0,9319337.0,-9512532.0,-8570744.0,-11.61,5.63,5.98,-6.11,-5.5,36.38,0.14,0.0,0.0
2020-02-11,5669708.0,-7483345.0,1813638.0,-413631.0,6083339.0,2.93,-3.87,0.94,-0.21,3.15,37.02,1.76,0.0,0.0
2020-02-12,11701418.0,-13296094.0,1594675.0,3960767.0,7740651.0,6.73,-7.64,0.92,2.28,4.45,38.12,2.97,0.0,0.0
2020-02-13,-13221654.0,3680762.0,9540893.0,-17022206.0,3800552.0,-6.71,1.87,4.84,-8.64,1.93,37.92,-0.52,0.0,0.0
2020-02-14,-8986414.0,12899830.0,-3913416.0,-16328412.0,7341998.0,-4.97,7.14,-2.16,-9.03,4.06,38.07,0.4,0.0,0.0
2020-02-17,3371968.0,3755595.0,-7127562.0,10078053.0,-6706085.0,1.29,1.43,-2.72,3.85,-2.56,39.43,3.57,0.0,0.0
2020-02-18,712791.0,20296095.0,-21008886.0,-13083076.0,13795867.0,0.22,6.39,-6.61,-4.12,4.34,40.31,2.23,0.0,0.0
2020-02-19,-9558646.0,7798373.0,1760272.0,-11469836.0,1911190.0,-3.89,3.18,0.72,-4.67,0.78,39.96,-0.87,0.0,0.0
2020-02-20,-2568721.0,1887203.0,681518.0,-6311196.0,3742475.0,-1.15,0.85,0.31,-2.83,1.68,40.33,0.93,0.0,0.0
2020-02-21,32917841.0,-5304962.0,-27612878.0,-1773760.0,34691601.0,6.72,-1.08,-5.64,-0.36,7.08,42.53,5.45,0.0,0.0
2020-02-24,81148441.0,-32050641.0,-49097799.0,-12932800.0,94081241.0,11.47,-4.53,-6.94,-1.83,13.3,46.8,10.04,0.0,0.0
2020-02-25,49306670.0,-13133770.0,-36172896.0,-70473824.0,119780494.0,4.39,-1.17,-3.22,-6.28,10.67,51.5,10.04,0.0,0.0
2020-02-26,-52878832.0,23863842.0,29015002.0,-4854832.0,-48024000.0,-7.01,3.16,3.84,-0.64,-6.36,49.42,-4.04,0.0,0.0
2020-02-27,-61252828.0,24846164.0,36406664.0,-7171166.0,-54081662.0,-11.1,4.5,6.59,-1.3,-9.8,48.17,-2.53,0.0,0.0
2020-02-28,-33436271.0,14754406.0,18681864.0,8538580.0,-41974851.0,-8.58,3.79,4.79,2.19,-10.77,43.34,-10.03,0.0,0.0
2020-03-02,12817399.0,-2528139.0,-10289259.0,21520906.0,-8703507.0,2.44,-0.48,-1.96,4.09,-1.65,46.34,6.92,0.0,0.0
2020-03-03,-25746682.0,14245992.0,11500689.0,-19448345.0,-6298337.0,-4.79,2.65,2.14,-3.62,-1.17,47.52,2.55,0.0,0.0
