date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-11909007.0,1136206.0,10772800.0,-9610443.0,-2298564.0,-6.65,0.63,6.01,-5.37,-1.28,15.73,-3.62,0.0,0.0
2020-01-09,5992920.0,-7288229.0,1295308.0,7629702.0,-1636782.0,4.53,-5.51,0.98,5.77,-1.24,16.13,2.54,0.0,0.0
2020-01-10,641789.0,4151637.0,-4793427.0,641789.0,0.0,0.67,4.33,-5.0,0.67,0.0,15.93,-1.24,0.0,0.0
2020-01-13,3839819.0,3042853.0,-6882672.0,3170154.0,669665.0,2.69,2.13,-4.83,2.22,0.47,16.27,2.13,0.0,0.0
2020-01-14,-7823920.0,7558760.0,265159.0,-6701297.0,-1122623.0,-7.29,7.05,0.25,-6.25,-1.05,16.05,-1.35,0.0,0.0
2020-01-15,6916211.0,-2479451.0,-4436760.0,-693694.0,7609905.0,4.93,-1.77,-3.17,-0.49,5.43,16.3,1.56,0.0,0.0
2020-01-16,23801908.0,-15598789.0,-8203119.0,19550007.0,4251901.0,9.67,-6.34,-3.33,7.94,1.73,17.0,4.29,0.0,0.0
2020-01-17,-4296669.0,5739515.0,-1442846.0,-4033169.0,-263500.0,-2.89,3.86,-0.97,-2.71,-0.18,16.6,-2.35,0.0,0.0
2020-01-20,-9301575.0,3654544.0,5647031.0,-5860110.0,-3441465.0,-6.22,2.45,3.78,-3.92,-2.3,16.4,-1.2,0.0,0.0
2020-01-21,-19724941.0,15944220.0,3780721.0,-17515416.0,-2209525.0,-15.63,12.64,3.0,-13.88,-1.75,15.81,-3.6,0.0,0.0
2020-01-22,47318716.0,-16366786.0,-30951931.0,-15658531.0,62977247.0,10.89,-3.77,-7.12,-3.6,14.5,17.4,10.06,0.0,0.0
2020-01-23,-43551898.0,34112509.0,9439389.0,-39064183.0,-4487715.0,-10.51,8.23,2.28,-9.43,-1.08,17.59,1.09,0.0,0.0
2020-02-03,-3449648.0,4527216.0,-1077568.0,-1988256.0,-1461392.0,-17.65,23.17,-5.51,-10.18,-7.48,15.83,-10.01,0.0,0.0
2020-02-04,-1883600.0,-872948.0,2756547.0,8379378.0,-10262978.0,-0.74,-0.34,1.08,3.28,-4.01,15.4,-2.72,0.0,0.0
2020-02-05,22571899.0,-7679842.0,-14892059.0,4685471.0,17886428.0,7.1,-2.42,-4.68,1.47,5.63,16.85,9.42,0.0,0.0
2020-02-06,-22855695.0,16120635.0,6735060.0,-9738236.0,-13117459.0,-5.88,4.15,1.73,-2.51,-3.37,17.51,3.92,0.0,0.0
2020-02-07,6949790.0,-4056981.0,-2892808.0,-812816.0,7762606.0,1.69,-0.99,-0.7,-0.2,1.89,18.63,6.4,0.0,0.0
2020-02-10,4026316.0,13083274.0,-17109591.0,-6314326.0,10340642.0,1.11,3.61,-4.73,-1.74,2.86,18.83,1.07,0.0,0.0
2020-02-11,-15325850.0,13563957.0,1761893.0,-13197722.0,-2128128.0,-5.81,5.15,0.67,-5.01,-0.81,18.05,-4.14,0.0,0.0
2020-02-12,10475196.0,-11727489.0,1252293.0,11246122.0,-770926.0,3.87,-4.33,0.46,4.16,-0.28,18.59,2.99,0.0,0.0
2020-02-13,-23159554.0,23525096.0,-365543.0,-17214699.0,-5944855.0,-9.87,10.02,-0.16,-7.33,-2.53,18.13,-2.47,0.0,0.0
2020-02-14,-22642679.0,21169264.0,1473416.0,-14368262.0,-8274417.0,-10.55,9.86,0.69,-6.69,-3.85,17.98,-0.83,0.0,0.0
2020-02-17,21442006.0,-15969718.0,-5472288.0,18748430.0,2693576.0,6.34,-4.72,-1.62,5.54,0.8,19.35,7.62,0.0,0.0
2020-02-18,17981387.0,-4179349.0,-13802037.0,2873317.0,15108070.0,4.01,-0.93,-3.08,0.64,3.37,20.45,5.68,0.0,0.0
2020-02-19,-40930369.0,36053627.0,4876741.0,-31952669.0,-8977700.0,-12.45,10.96,1.48,-9.72,-2.73,19.36,-5.33,0.0,0.0
2020-02-20,-19672298.0,13527469.0,6144830.0,-11808423.0,-7863875.0,-7.42,5.1,2.32,-4.46,-2.97,19.29,-0.36,0.0,0.0
