date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-6874373.0,9851477.0,-2977104.0,-5726190.0,-1148183.0,-11.61,16.63,-5.03,-9.67,-1.94,40.75,-3.34,0.0,0.0
2020-01-09,3927910.0,-1846772.0,-2081138.0,3927910.0,0.0,6.43,-3.02,-3.41,6.43,0.0,42.2,3.56,0.0,0.0
2020-01-10,278932.0,238437.0,-517369.0,278932.0,0.0,0.43,0.37,-0.8,0.43,0.0,42.7,1.18,0.0,0.0
2020-01-13,5961588.0,-8419186.0,2457598.0,5961588.0,0.0,6.66,-9.41,2.75,6.66,0.0,43.95,2.93,0.0,0.0
2020-01-14,-3914978.0,8806254.0,-4891276.0,-3914978.0,0.0,-5.9,13.26,-7.37,-5.9,0.0,43.39,-1.27,0.0,0.0
2020-01-15,1173631.0,-1473617.0,299986.0,1173631.0,0.0,2.52,-3.16,0.64,2.52,0.0,43.71,0.74,0.0,0.0
2020-01-16,-5874252.0,6331911.0,-457659.0,-5817962.0,-56290.0,-10.18,10.97,-0.79,-10.08,-0.1,43.22,-1.12,0.0,0.0
2020-01-17,-4293477.0,11478363.0,-7184886.0,-4293477.0,0.0,-8.77,23.46,-14.68,-8.77,0.0,42.83,-0.9,0.0,0.0
2020-01-20,3273784.0,-2717173.0,-556611.0,3273784.0,0.0,4.92,-4.09,-0.84,4.92,0.0,43.39,1.31,0.0,0.0
2020-01-21,4555240.0,-5607054.0,1051813.0,4721438.0,-166198.0,5.27,-6.49,1.22,5.47,-0.19,43.91,1.2,0.0,0.0
2020-01-22,-5369168.0,2741183.0,2627983.0,-2652826.0,-2716342.0,-5.48,2.8,2.68,-2.71,-2.77,42.96,-2.16,0.0,0.0
2020-01-23,5733738.0,-7702258.0,1968519.0,6635071.0,-901333.0,5.32,-7.15,1.83,6.16,-0.84,43.19,0.54,0.0,0.0
2020-02-03,1356563.0,928993.0,-2285556.0,-1628653.0,2985216.0,10.09,6.91,-17.0,-12.12,22.21,38.87,-10.0,0.0,0.0
2020-02-04,-3754312.0,2653680.0,1100633.0,-3730959.0,-23353.0,-5.02,3.55,1.47,-4.99,-0.03,36.92,-5.02,0.0,0.0
2020-02-05,-4920213.0,4859761.0,60454.0,-4653503.0,-266710.0,-7.91,7.82,0.1,-7.48,-0.43,37.55,1.71,0.0,0.0
2020-02-06,201841.0,614777.0,-816618.0,1516901.0,-1315060.0,0.48,1.48,-1.96,3.64,-3.16,38.35,2.13,0.0,0.0
