date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1776479.0,2734916.0,-958437.0,-1953735.0,177256.0,-3.61,5.55,-1.95,-3.97,0.36,12.22,0.25,0.0,0.0
2020-01-09,-1274196.0,2554854.0,-1280658.0,-1274196.0,0.0,-5.32,10.67,-5.35,-5.32,0.0,12.24,0.16,0.0,0.0
2020-01-10,1766496.0,618699.0,-2385195.0,1766496.0,0.0,7.23,2.53,-9.76,7.23,0.0,12.24,0.0,0.0,0.0
2020-01-13,832119.0,1766490.0,-2598609.0,-260639.0,1092758.0,2.37,5.02,-7.39,-0.74,3.11,12.33,0.74,0.0,0.0
2020-01-14,-1534563.0,920013.0,614550.0,-1534563.0,0.0,-9.65,5.79,3.86,-9.65,0.0,12.27,-0.49,0.0,0.0
2020-01-15,-3922182.0,3862200.0,59983.0,-2184271.0,-1737911.0,-22.77,22.42,0.35,-12.68,-10.09,12.01,-2.12,0.0,0.0
2020-01-16,-1206165.0,1538158.0,-331993.0,-1206165.0,0.0,-9.37,11.95,-2.58,-9.37,0.0,11.95,-0.5,0.0,0.0
2020-01-17,-566899.0,753929.0,-187029.0,-566899.0,0.0,-5.15,6.85,-1.7,-5.15,0.0,11.95,0.0,0.0,0.0
2020-01-20,4294850.0,-870711.0,-3424139.0,512477.0,3782373.0,20.79,-4.22,-16.58,2.48,18.31,12.07,1.0,0.0,0.0
2020-01-21,2581680.0,-1226657.0,-1355024.0,2017928.0,563752.0,12.71,-6.04,-6.67,9.94,2.78,12.07,0.0,0.0,0.0
2020-01-22,-601720.0,1333064.0,-731343.0,-601720.0,0.0,-5.56,12.33,-6.76,-5.56,0.0,11.93,-1.16,0.0,0.0
2020-01-23,-2983981.0,3079959.0,-95977.0,-2983981.0,0.0,-19.87,20.51,-0.64,-19.87,0.0,11.47,-3.86,0.0,0.0
2020-02-03,-749438.0,1218380.0,-468940.0,-749438.0,0.0,-23.8,38.7,-14.89,-23.8,0.0,10.32,-10.03,0.0,0.0
2020-02-04,-1156569.0,2292688.0,-1136117.0,-1156569.0,0.0,-4.49,8.91,-4.41,-4.49,0.0,9.75,-5.52,0.0,0.0
2020-02-05,-4486194.0,3826813.0,659382.0,-4486194.0,0.0,-20.6,17.57,3.03,-20.6,0.0,9.79,0.41,0.0,0.0
2020-02-06,-199350.0,-543418.0,742768.0,-234035.0,34685.0,-1.38,-3.76,5.14,-1.62,0.24,9.97,1.84,0.0,0.0
