date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-40227967.0,42452316.0,-2224350.0,-31570352.0,-8657615.0,-15.05,15.89,-0.83,-11.81,-3.24,18.03,-2.86,0.0,0.0
2020-01-09,10701096.0,-11286367.0,585270.0,-6981298.0,17682394.0,3.97,-4.19,0.22,-2.59,6.57,18.6,3.16,0.0,0.0
2020-01-10,4280125.0,896543.0,-5176668.0,-2192575.0,6472700.0,0.99,0.21,-1.2,-0.51,1.5,19.14,2.9,0.0,0.0
2020-01-13,-32309357.0,15144092.0,17165266.0,-8609942.0,-23699415.0,-9.19,4.31,4.89,-2.45,-6.74,19.28,0.73,0.0,0.0
2020-01-14,20867919.0,-9675191.0,-11192729.0,16701064.0,4166855.0,4.81,-2.23,-2.58,3.85,0.96,19.66,1.97,0.0,0.0
2020-01-15,-23648067.0,13186800.0,10461267.0,-19516211.0,-4131856.0,-9.88,5.51,4.37,-8.15,-1.73,19.49,-0.86,0.0,0.0
2020-01-16,-3062548.0,7318928.0,-4256381.0,-988138.0,-2074410.0,-1.25,2.99,-1.74,-0.4,-0.85,19.57,0.41,0.0,0.0
2020-01-17,5755276.0,719356.0,-6474632.0,-7291621.0,13046897.0,2.45,0.31,-2.76,-3.1,5.55,19.52,-0.26,0.0,0.0
2020-01-20,4835079.0,-7323606.0,2488526.0,-2788792.0,7623871.0,1.23,-1.87,0.63,-0.71,1.94,20.07,2.82,0.0,0.0
2020-01-21,-42379424.0,37751723.0,4627701.0,-23796398.0,-18583026.0,-13.9,12.38,1.52,-7.8,-6.09,19.36,-3.54,0.0,0.0
2020-01-22,-8329030.0,19110496.0,-10781465.0,-10312274.0,1983244.0,-2.97,6.81,-3.84,-3.67,0.71,19.59,1.19,0.0,0.0
2020-01-23,-33976744.0,31589459.0,2387284.0,-25654213.0,-8322531.0,-11.4,10.6,0.8,-8.61,-2.79,18.53,-5.41,0.0,0.0
2020-02-03,-6530930.0,7661950.0,-1131020.0,-5576989.0,-953941.0,-12.09,14.18,-2.09,-10.32,-1.77,16.66,-10.09,0.0,0.0
2020-02-04,-16260881.0,10367342.0,5893540.0,-10696381.0,-5564500.0,-4.7,3.0,1.7,-3.09,-1.61,17.19,3.18,0.0,0.0
2020-02-05,-34879305.0,26726612.0,8152694.0,-31385447.0,-3493858.0,-11.58,8.87,2.71,-10.42,-1.16,17.19,0.0,0.0,0.0
2020-02-06,10526435.0,-3976119.0,-6550315.0,3592456.0,6933979.0,4.97,-1.88,-3.1,1.7,3.28,17.67,2.79,0.0,0.0
2020-02-07,-18088219.0,11004091.0,7084129.0,-10710703.0,-7377516.0,-7.86,4.78,3.08,-4.66,-3.21,17.94,1.53,0.0,0.0
2020-02-10,-21230940.0,14168464.0,7062476.0,-8669318.0,-12561622.0,-10.14,6.76,3.37,-4.14,-6.0,17.94,0.0,0.0,0.0
2020-02-11,-9990185.0,8884742.0,1105443.0,-6762659.0,-3227526.0,-3.99,3.54,0.44,-2.7,-1.29,17.98,0.22,0.0,0.0
2020-02-12,6139214.0,-2132804.0,-4006411.0,-8330548.0,14469762.0,2.2,-0.76,-1.44,-2.99,5.19,18.28,1.67,0.0,0.0
2020-02-13,-9599101.0,-2806589.0,12405689.0,-10899965.0,1300864.0,-2.13,-0.62,2.75,-2.42,0.29,18.61,1.81,0.0,0.0
2020-02-14,5239788.0,-3086378.0,-2153410.0,3753778.0,1486010.0,1.23,-0.72,-0.51,0.88,0.35,19.06,2.42,0.0,0.0
2020-02-17,-387135.0,-4181437.0,4568571.0,13167482.0,-13554617.0,-0.08,-0.82,0.9,2.58,-2.66,19.54,2.52,0.0,0.0
2020-02-18,36321635.0,-16906130.0,-19415504.0,19250848.0,17070787.0,5.46,-2.54,-2.92,2.9,2.57,20.56,5.22,0.0,0.0
2020-02-19,12670554.0,-4797735.0,-7872816.0,-9679862.0,22350416.0,1.58,-0.6,-0.98,-1.21,2.79,20.97,1.99,0.0,0.0
2020-02-20,35228957.0,2866566.0,-38095520.0,-22345616.0,57574573.0,3.13,0.25,-3.38,-1.98,5.11,22.34,6.53,0.0,0.0
2020-02-21,150794971.0,-65967159.0,-84827824.0,-34006896.0,184801867.0,10.77,-4.71,-6.06,-2.43,13.2,24.6,10.12,0.0,0.0
2020-02-24,-102822594.0,57590064.0,45232528.0,-38188752.0,-64633842.0,-6.7,3.75,2.95,-2.49,-4.21,26.94,9.51,0.0,0.0
2020-02-25,-99021016.0,69452512.0,29568496.0,-70406016.0,-28615000.0,-6.99,4.9,2.09,-4.97,-2.02,25.74,-4.45,0.0,0.0
2020-02-26,-130446188.0,93022665.0,37423520.0,-45196567.0,-85249621.0,-14.55,10.38,4.17,-5.04,-9.51,23.15,-10.06,0.0,0.0
2020-02-27,-26908112.0,29918257.0,-3010146.0,-25701377.0,-1206735.0,-3.95,4.39,-0.44,-3.77,-0.18,23.57,1.81,0.0,0.0
2020-02-28,-50310938.0,45512320.0,4798618.0,-46101304.0,-4209634.0,-7.75,7.01,0.74,-7.1,-0.65,22.61,-4.07,0.0,0.0
2020-03-02,19304645.0,-14667063.0,-4637583.0,9835847.0,9468798.0,3.28,-2.49,-0.79,1.67,1.61,23.82,5.35,0.0,0.0
2020-03-03,-99234664.0,66275369.0,32959295.0,-55062260.0,-44172404.0,-13.61,9.09,4.52,-7.55,-6.06,23.04,-3.27,0.0,0.0
2020-03-04,-36127133.0,38338863.0,-2211730.0,-22107781.0,-14019352.0,-8.26,8.77,-0.51,-5.06,-3.21,22.56,-2.08,0.0,0.0
2020-03-05,-13814468.0,15298950.0,-1484480.0,-9382482.0,-4431986.0,-3.63,4.02,-0.39,-2.47,-1.17,22.77,0.93,0.0,0.0
2020-03-06,-8113805.0,9644576.0,-1530771.0,-6621644.0,-1492161.0,-3.25,3.86,-0.61,-2.65,-0.6,22.51,-1.14,0.0,0.0
2020-03-09,-85099246.0,64633233.0,20466014.0,-43728823.0,-41370423.0,-19.42,14.75,4.67,-9.98,-9.44,20.63,-8.35,0.0,0.0
2020-03-10,25604310.0,-19490113.0,-6114197.0,6748113.0,18856197.0,6.09,-4.64,-1.45,1.61,4.48,21.79,5.62,0.0,0.0
2020-03-11,-30527627.0,29691588.0,836039.0,-18255891.0,-12271736.0,-8.38,8.15,0.23,-5.01,-3.37,21.11,-3.12,0.0,0.0
2020-03-12,2449974.0,-5630584.0,3180610.0,-358883.0,2808857.0,0.9,-2.08,1.17,-0.13,1.04,21.21,0.47,0.0,0.0
2020-03-13,-11432072.0,4588432.0,6843640.0,-9365626.0,-2066446.0,-3.78,1.52,2.27,-3.1,-0.68,20.99,-1.04,0.0,0.0
2020-03-16,-72117311.0,57404730.0,14712582.0,-58032916.0,-14084395.0,-19.44,15.47,3.97,-15.64,-3.8,19.07,-9.15,0.0,0.0
2020-03-17,-20227826.0,29257501.0,-9029674.0,-12477097.0,-7750729.0,-6.31,9.12,-2.82,-3.89,-2.42,19.14,0.37,0.0,0.0
2020-03-18,17669112.0,-11570307.0,-6098804.0,2856728.0,14812384.0,5.36,-3.51,-1.85,0.87,4.49,19.21,0.37,0.0,0.0
2020-03-19,18752066.0,-11272980.0,-7479086.0,9766129.0,8985937.0,4.76,-2.86,-1.9,2.48,2.28,20.14,4.84,0.0,0.0
2020-03-20,-23925889.0,22297905.0,1627985.0,-14282849.0,-9643040.0,-8.55,7.97,0.58,-5.1,-3.45,19.86,-1.39,0.0,0.0
2020-03-23,-20353439.0,14958745.0,5394695.0,-18559721.0,-1793718.0,-8.87,6.52,2.35,-8.09,-0.78,18.73,-5.69,0.0,0.0
2020-03-24,-6710332.0,6668519.0,41814.0,-5231852.0,-1478480.0,-3.04,3.02,0.02,-2.37,-0.67,19.12,2.08,0.0,0.0
2020-03-25,32439751.0,-8483328.0,-23956422.0,-970081.0,33409832.0,7.64,-2.0,-5.64,-0.23,7.87,20.43,6.85,0.0,0.0
2020-03-26,8172766.0,-5988880.0,-2183887.0,1337771.0,6834995.0,1.99,-1.46,-0.53,0.33,1.66,21.06,3.08,0.0,0.0
2020-03-27,-34300002.0,47839052.0,-13539049.0,-25828937.0,-8471065.0,-9.07,12.66,-3.58,-6.83,-2.24,20.09,-4.61,0.0,0.0
2020-03-30,-11698237.0,9910312.0,1787923.0,-7951633.0,-3746604.0,-3.56,3.01,0.54,-2.42,-1.14,19.38,-3.53,0.0,0.0
2020-03-31,-4266610.0,11280817.0,-7014208.0,-2139825.0,-2126785.0,-2.2,5.81,-3.62,-1.1,-1.1,19.21,-0.88,0.0,0.0
2020-04-01,841037.0,-9714147.0,8873110.0,-5226280.0,6067317.0,0.36,-4.16,3.8,-2.24,2.6,19.24,0.16,0.0,0.0
2020-04-02,23574565.0,-18393570.0,-5180995.0,6931033.0,16643532.0,7.16,-5.59,-1.57,2.1,5.05,19.93,3.59,0.0,0.0
2020-04-03,-31689577.0,25908931.0,5780646.0,-31846593.0,157016.0,-14.21,11.62,2.59,-14.28,0.07,19.35,-2.91,0.0,0.0
2020-04-07,-57214850.0,26607333.0,30607517.0,-29822569.0,-27392281.0,-15.86,7.38,8.49,-8.27,-7.6,19.66,1.6,0.0,0.0
2020-04-08,-19044815.0,13947315.0,5097499.0,-17038019.0,-2006796.0,-7.53,5.52,2.02,-6.74,-0.79,19.47,-0.97,0.0,0.0
2020-04-09,-5618133.0,2456269.0,3161865.0,-8314034.0,2695901.0,-2.72,1.19,1.53,-4.02,1.3,19.68,1.08,0.0,0.0
2020-04-10,-47187171.0,39389188.0,7797984.0,-40446727.0,-6740444.0,-18.2,15.19,3.01,-15.6,-2.6,18.69,-5.03,0.0,0.0
2020-04-13,-14697700.0,25857197.0,-11159497.0,-14771730.0,74030.0,-7.72,13.58,-5.86,-7.76,0.04,17.89,-4.28,0.0,0.0
