date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-265819.0,4578502.0,-4312681.0,-568849.0,303030.0,-0.76,13.17,-12.41,-1.64,0.87,13.55,-1.24,0.0,0.0
2020-01-09,-1763277.0,167143.0,1596134.0,-1763277.0,0.0,-6.24,0.59,5.64,-6.24,0.0,13.68,0.96,0.0,0.0
2020-01-10,-65137.0,1749289.0,-1684151.0,179613.0,-244750.0,-0.26,6.89,-6.64,0.71,-0.96,13.7,0.15,0.0,0.0
2020-01-13,-2005724.0,1604106.0,401618.0,-2005724.0,0.0,-9.53,7.63,1.91,-9.53,0.0,13.68,-0.15,0.0,0.0
2020-01-14,-2081198.0,2417524.0,-336326.0,-2081198.0,0.0,-8.29,9.63,-1.34,-8.29,0.0,13.64,-0.29,0.0,0.0
2020-01-15,-2126764.0,4160497.0,-2033733.0,-2126764.0,0.0,-7.14,13.96,-6.83,-7.14,0.0,13.42,-1.61,0.0,0.0
2020-01-16,-813530.0,2898691.0,-2085162.0,-813530.0,0.0,-4.64,16.52,-11.89,-4.64,0.0,13.32,-0.75,0.0,0.0
2020-01-17,-1101434.0,1595337.0,-493902.0,-1101434.0,0.0,-6.38,9.24,-2.86,-6.38,0.0,13.22,-0.75,0.0,0.0
2020-01-20,-45787.0,-6734.0,52521.0,-45787.0,0.0,-0.36,-0.05,0.41,-0.36,0.0,13.31,0.68,0.0,0.0
2020-01-21,-3701722.0,5101070.0,-1399348.0,-3701722.0,0.0,-16.15,22.26,-6.11,-16.15,0.0,12.94,-2.78,0.0,0.0
2020-01-22,-692987.0,1794296.0,-1101309.0,-692987.0,0.0,-4.22,10.94,-6.71,-4.22,0.0,12.93,-0.08,0.0,0.0
2020-01-23,-157794.0,4517905.0,-4360111.0,-157794.0,0.0,-0.75,21.5,-20.75,-0.75,0.0,12.59,-2.63,0.0,0.0
2020-02-03,-245608.0,616936.0,-371330.0,-245608.0,0.0,-4.99,12.53,-7.54,-4.99,0.0,11.32,-10.09,0.0,0.0
2020-02-04,-978516.0,998758.0,-20242.0,-978516.0,0.0,-3.44,3.51,-0.07,-3.44,0.0,10.7,-5.48,0.0,0.0
2020-02-05,-1892616.0,1741715.0,150901.0,-1892616.0,0.0,-8.42,7.75,0.67,-8.42,0.0,10.88,1.68,0.0,0.0
2020-02-06,591135.0,658635.0,-1249770.0,591135.0,0.0,2.66,2.97,-5.63,2.66,0.0,10.96,0.74,0.0,0.0
2020-02-07,2159.0,1032047.0,-1034206.0,2159.0,0.0,0.01,5.39,-5.4,0.01,0.0,11.0,0.36,0.0,0.0
2020-02-10,841505.0,-986661.0,145156.0,841505.0,0.0,3.55,-4.16,0.61,3.55,0.0,11.27,2.45,0.0,0.0
2020-02-11,1506885.0,-408499.0,-1098387.0,1506885.0,0.0,4.85,-1.31,-3.53,4.85,0.0,11.48,1.86,0.0,0.0
2020-02-12,1454970.0,-405724.0,-1049246.0,1454970.0,0.0,5.41,-1.51,-3.9,5.41,0.0,11.58,0.87,0.0,0.0
2020-02-13,-2902757.0,4422005.0,-1519249.0,-2778423.0,-124334.0,-10.33,15.74,-5.41,-9.89,-0.44,11.38,-1.73,0.0,0.0
2020-02-14,-2448760.0,1779285.0,669476.0,-2433732.0,-15028.0,-11.43,8.31,3.13,-11.36,-0.07,11.31,-0.62,0.0,0.0
2020-02-17,-7797.0,19897.0,-12100.0,-12521.0,4724.0,-0.02,0.06,-0.04,-0.04,0.01,11.68,3.27,0.0,0.0
2020-02-18,-10201.0,-1988311.0,1998512.0,-10201.0,0.0,-0.03,-5.29,5.31,-0.03,0.0,11.98,2.57,0.0,0.0
2020-02-19,-2454255.0,2578879.0,-124623.0,-1102048.0,-1352207.0,-9.5,9.99,-0.48,-4.27,-5.24,11.85,-1.09,0.0,0.0
2020-02-20,-1116038.0,715429.0,400609.0,-2018690.0,902652.0,-3.14,2.02,1.13,-5.69,2.54,12.09,2.03,0.0,0.0
2020-02-21,569094.0,1003691.0,-1572785.0,95472.0,473622.0,1.8,3.18,-4.98,0.3,1.5,12.08,-0.08,0.0,0.0
2020-02-24,4187497.0,-3669267.0,-518230.0,3059705.0,1127792.0,10.51,-9.21,-1.3,7.68,2.83,12.4,2.65,0.0,0.0
2020-02-25,595554.0,1956826.0,-2552380.0,595554.0,0.0,1.57,5.17,-6.75,1.57,0.0,12.05,-2.82,0.0,0.0
2020-02-26,-3337182.0,1898618.0,1438564.0,-3922014.0,584832.0,-5.51,3.13,2.37,-6.47,0.96,12.22,1.41,0.0,0.0
2020-02-27,2205419.0,-1309224.0,-896195.0,2377029.0,-171610.0,3.53,-2.09,-1.43,3.8,-0.27,12.43,1.72,0.0,0.0
2020-02-28,-1356462.0,4455435.0,-3098973.0,-970310.0,-386152.0,-2.89,9.49,-6.6,-2.07,-0.82,11.55,-7.08,0.0,0.0
2020-03-02,1498729.0,-2228084.0,729355.0,1498729.0,0.0,2.24,-3.33,1.09,2.24,0.0,12.5,8.23,0.0,0.0
2020-03-03,-2125161.0,3887632.0,-1762471.0,-2125161.0,0.0,-3.38,6.18,-2.8,-3.38,0.0,12.43,-0.56,0.0,0.0
2020-03-04,3570645.0,-2581501.0,-989145.0,3570645.0,0.0,6.78,-4.9,-1.88,6.78,0.0,12.74,2.49,0.0,0.0
2020-03-05,2250966.0,-710224.0,-1540744.0,2066327.0,184639.0,2.96,-0.94,-2.03,2.72,0.24,13.06,2.51,0.0,0.0
2020-03-06,-2253635.0,4754582.0,-2500946.0,-2516520.0,262885.0,-4.5,9.5,-5.0,-5.03,0.53,12.78,-2.14,0.0,0.0
2020-03-09,-5880658.0,8897992.0,-3017335.0,-4877885.0,-1002773.0,-14.59,22.08,-7.49,-12.1,-2.49,12.18,-4.69,0.0,0.0
2020-03-10,-1675378.0,839806.0,835573.0,-1675378.0,0.0,-4.64,2.32,2.31,-4.64,0.0,12.35,1.4,0.0,0.0
2020-03-11,-3652914.0,6992610.0,-3339697.0,-2417898.0,-1235016.0,-7.49,14.34,-6.85,-4.96,-2.53,12.34,-0.08,0.0,0.0
2020-03-12,-1134730.0,5052356.0,-3917626.0,-1134730.0,0.0,-4.42,19.66,-15.25,-4.42,0.0,11.97,-3.0,0.0,0.0
2020-03-13,-2004028.0,2535572.0,-531543.0,-2004028.0,0.0,-6.14,7.77,-1.63,-6.14,0.0,11.49,-4.01,0.0,0.0
2020-03-16,-1582274.0,4139317.0,-2557043.0,-1582274.0,0.0,-6.22,16.26,-10.05,-6.22,0.0,10.97,-4.53,0.0,0.0
2020-03-17,-896238.0,1063625.0,-167387.0,-896238.0,0.0,-4.55,5.4,-0.85,-4.55,0.0,11.06,0.82,0.0,0.0
2020-03-18,-2546264.0,3117984.0,-571720.0,-2546264.0,0.0,-10.43,12.78,-2.34,-10.43,0.0,10.81,-2.26,0.0,0.0
2020-03-19,-1654690.0,3082570.0,-1427880.0,-1654690.0,0.0,-7.73,14.4,-6.67,-7.73,0.0,10.73,-0.74,0.0,0.0
2020-03-20,-1339010.0,1397495.0,-58484.0,-1339010.0,0.0,-6.04,6.3,-0.26,-6.04,0.0,11.01,2.61,0.0,0.0
2020-03-23,-987769.0,3331748.0,-2343979.0,-987769.0,0.0,-5.37,18.12,-12.75,-5.37,0.0,10.53,-4.36,0.0,0.0
2020-03-24,406126.0,-693756.0,287630.0,406126.0,0.0,2.81,-4.79,1.99,2.81,0.0,10.75,2.09,0.0,0.0
2020-03-25,-1235892.0,3110523.0,-1874631.0,-1235892.0,0.0,-5.89,14.82,-8.93,-5.89,0.0,10.89,1.3,0.0,0.0
2020-03-26,-971763.0,1355265.0,-383502.0,-971763.0,0.0,-6.71,9.35,-2.65,-6.71,0.0,10.81,-0.73,0.0,0.0
2020-03-27,1694593.0,-1281896.0,-412697.0,1654453.0,40140.0,4.66,-3.52,-1.13,4.55,0.11,11.03,2.04,0.0,0.0
2020-03-30,-3147288.0,3772365.0,-625077.0,-3147288.0,0.0,-14.54,17.43,-2.89,-14.54,0.0,10.87,-1.45,0.0,0.0
2020-03-31,822198.0,756904.0,-1579102.0,822198.0,0.0,4.49,4.14,-8.63,4.49,0.0,10.96,0.83,0.0,0.0
2020-04-01,152778.0,1127679.0,-1280458.0,152778.0,0.0,0.88,6.47,-7.34,0.88,0.0,11.03,0.64,0.0,0.0
2020-04-02,714301.0,-3534149.0,2819848.0,714301.0,0.0,1.86,-9.18,7.32,1.86,0.0,11.4,3.35,0.0,0.0
2020-04-03,-1981662.0,4367490.0,-2385829.0,-1981662.0,0.0,-7.65,16.86,-9.21,-7.65,0.0,11.05,-3.07,0.0,0.0
2020-04-07,2656358.0,-2476637.0,-179721.0,2656358.0,0.0,9.68,-9.02,-0.65,9.68,0.0,11.32,2.44,0.0,0.0
2020-04-08,1640596.0,436788.0,-2077384.0,1640596.0,0.0,5.57,1.48,-7.06,5.57,0.0,11.56,2.12,0.0,0.0
2020-04-09,1021529.0,-2730697.0,1709168.0,1021529.0,0.0,2.9,-7.75,4.85,2.9,0.0,11.62,0.52,0.0,0.0
2020-04-10,-3020336.0,6460562.0,-3440225.0,-3020336.0,0.0,-9.8,20.97,-11.17,-9.8,0.0,11.32,-2.58,0.0,0.0
2020-04-13,-346300.0,407798.0,-61498.0,-346300.0,0.0,-2.42,2.85,-0.43,-2.42,0.0,11.21,-0.97,0.0,0.0
2020-04-14,-677994.0,1435506.0,-757513.0,-473116.0,-204878.0,-3.41,7.23,-3.82,-2.38,-1.03,11.39,1.61,0.0,0.0
2020-04-15,-1526607.0,2910426.0,-1383819.0,-1526607.0,0.0,-7.77,14.82,-7.05,-7.77,0.0,11.11,-2.46,0.0,0.0
2020-04-16,590459.0,-657815.0,67356.0,590459.0,0.0,3.69,-4.11,0.42,3.69,0.0,11.23,1.08,0.0,0.0
