date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-6703129.0,4229636.0,2473492.0,-9098922.0,2395793.0,-4.23,2.67,1.56,-5.74,1.51,116.13,-1.08,0.0,0.0
2020-01-09,5820035.0,-18131952.0,12311919.0,3637805.0,2182230.0,3.01,-9.38,6.37,1.88,1.13,119.4,2.82,0.0,0.0
2020-01-10,6143165.0,-9034629.0,2891465.0,4476033.0,1667132.0,3.12,-4.58,1.47,2.27,0.85,119.37,-0.03,0.0,0.0
2020-01-13,-15764600.0,6810318.0,8954282.0,-14128495.0,-1636105.0,-5.69,2.46,3.23,-5.1,-0.59,121.83,2.06,0.0,0.0
2020-01-14,5693219.0,-11447148.0,5753929.0,172134.0,5521085.0,3.12,-6.27,3.15,0.09,3.03,119.79,-1.67,0.0,0.0
2020-01-15,-20728880.0,20728942.0,-64.0,-20839348.0,110468.0,-15.74,15.74,-0.0,-15.82,0.08,119.0,-0.66,0.0,0.0
2020-01-16,12604958.0,8294934.0,-20899891.0,806188.0,11798770.0,5.89,3.87,-9.76,0.38,5.51,122.62,3.04,0.0,0.0
2020-01-17,-23177869.0,13443352.0,9734519.0,-4627184.0,-18550685.0,-10.29,5.97,4.32,-2.05,-8.24,118.5,-3.36,0.0,0.0
2020-01-20,-7907623.0,33633698.0,-25726076.0,-11436032.0,3528409.0,-2.48,10.55,-8.07,-3.59,1.11,117.72,-0.66,0.0,0.0
2020-01-21,-39196504.0,49540590.0,-10344087.0,-19307177.0,-19889327.0,-7.94,10.04,-2.1,-3.91,-4.03,111.9,-4.94,0.0,0.0
2020-01-22,-36832325.0,27261994.0,9570332.0,-17101068.0,-19731257.0,-11.71,8.66,3.04,-5.44,-6.27,111.18,-0.64,0.0,0.0
2020-01-23,-79560443.0,48586844.0,30973599.0,-61245260.0,-18315183.0,-17.41,10.63,6.78,-13.4,-4.01,101.9,-8.35,0.0,0.0
2020-02-03,3365800.0,3477330.0,-6843130.0,-10962055.0,14327855.0,1.39,1.43,-2.82,-4.52,5.91,91.71,-10.0,0.0,0.0
