date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-10409453.0,15145929.0,-4736480.0,-14656718.0,4247265.0,-1.63,2.37,-0.74,-2.29,0.66,41.0,-0.07,0.0,0.0
2020-01-09,-51369997.0,40971916.0,10398082.0,-32376367.0,-18993630.0,-10.6,8.46,2.15,-6.68,-3.92,40.72,-0.68,0.0,0.0
2020-01-10,-47969414.0,62981605.0,-15012190.0,-43080406.0,-4889008.0,-9.45,12.41,-2.96,-8.49,-0.96,39.67,-2.58,0.0,0.0
2020-01-13,-16023280.0,15946998.0,76281.0,-4713916.0,-11309364.0,-5.36,5.33,0.03,-1.58,-3.78,39.85,0.45,0.0,0.0
2020-01-14,11878038.0,5025472.0,-16903510.0,-4655406.0,16533444.0,2.33,0.98,-3.31,-0.91,3.24,40.32,1.18,0.0,0.0
2020-01-15,-44843165.0,49535434.0,-4692269.0,-25371993.0,-19471172.0,-12.24,13.52,-1.28,-6.93,-5.32,39.33,-2.46,0.0,0.0
2020-01-16,-29942375.0,33767716.0,-3825339.0,-24800428.0,-5141947.0,-10.93,12.33,-1.4,-9.05,-1.88,38.98,-0.89,0.0,0.0
2020-01-17,-20029913.0,25320693.0,-5290779.0,-13935203.0,-6094710.0,-9.33,11.79,-2.46,-6.49,-2.84,38.88,-0.26,0.0,0.0
2020-01-20,-15127352.0,22358008.0,-7230655.0,-14335310.0,-792042.0,-7.86,11.62,-3.76,-7.45,-0.41,38.93,0.13,0.0,0.0
2020-01-21,-59056088.0,70899803.0,-11843715.0,-40671832.0,-18384256.0,-18.18,21.83,-3.65,-12.52,-5.66,37.77,-2.98,0.0,0.0
2020-01-22,-17832671.0,36177744.0,-18345074.0,-16018955.0,-1813716.0,-6.44,13.07,-6.63,-5.79,-0.66,37.29,-1.27,0.0,0.0
2020-01-23,-21916634.0,38830537.0,-16913903.0,-19270959.0,-2645675.0,-7.69,13.63,-5.94,-6.76,-0.93,36.1,-3.19,0.0,0.0
2020-02-03,-3555569.0,5436012.0,-1880443.0,-3190561.0,-365008.0,-16.05,24.54,-8.49,-14.4,-1.65,32.48,-10.03,0.0,0.0
2020-02-04,-29912803.0,29048806.0,863997.0,-29588017.0,-324786.0,-7.07,6.86,0.2,-6.99,-0.08,30.36,-6.53,0.0,0.0
2020-02-05,-15101691.0,16945915.0,-1844225.0,-10957084.0,-4144607.0,-4.24,4.75,-0.52,-3.07,-1.16,31.15,2.6,0.0,0.0
2020-02-06,-983204.0,12096295.0,-11113091.0,177540.0,-1160744.0,-0.3,3.75,-3.44,0.06,-0.36,31.36,0.67,0.0,0.0
2020-02-07,-8964331.0,9317778.0,-353447.0,757902.0,-9722233.0,-2.44,2.54,-0.1,0.21,-2.65,31.53,0.54,0.0,0.0
2020-02-10,14698951.0,-10809050.0,-3889900.0,8843599.0,5855352.0,3.17,-2.33,-0.84,1.91,1.26,32.72,3.77,0.0,0.0
2020-02-11,-66526090.0,46382957.0,20143132.0,-33391888.0,-33134202.0,-16.8,11.72,5.09,-8.43,-8.37,32.34,-1.16,0.0,0.0
2020-02-12,-26677126.0,25960727.0,716398.0,-7171413.0,-19505713.0,-6.48,6.3,0.17,-1.74,-4.74,32.74,1.24,0.0,0.0
2020-02-13,8729354.0,3474005.0,-12203354.0,-13156335.0,21885689.0,1.24,0.49,-1.73,-1.87,3.11,34.08,4.09,0.0,0.0
2020-02-14,-25616154.0,35447341.0,-9831187.0,-7646994.0,-17969160.0,-6.04,8.35,-2.32,-1.8,-4.23,33.61,-1.38,0.0,0.0
2020-02-17,30255048.0,-13684883.0,-16570165.0,-1390000.0,31645048.0,5.92,-2.68,-3.24,-0.27,6.19,34.67,3.15,0.0,0.0
2020-02-18,83237850.0,-22308592.0,-60929264.0,29738388.0,53499462.0,7.93,-2.12,-5.8,2.83,5.1,37.5,8.16,0.0,0.0
2020-02-19,-124545235.0,98665826.0,25879408.0,-52978614.0,-71566621.0,-15.63,12.38,3.25,-6.65,-8.98,35.81,-4.51,0.0,0.0
2020-02-20,-35736848.0,43591167.0,-7854321.0,-18872667.0,-16864181.0,-6.68,8.14,-1.47,-3.53,-3.15,35.69,-0.34,0.0,0.0
2020-02-21,36003375.0,-4291469.0,-31711904.0,13365064.0,22638311.0,5.69,-0.68,-5.02,2.11,3.58,36.49,2.24,0.0,0.0
2020-02-24,-29358086.0,37547507.0,-8189422.0,-12101026.0,-17257060.0,-4.85,6.2,-1.35,-2.0,-2.85,36.19,-0.82,0.0,0.0
2020-02-25,-26157655.0,45558629.0,-19400974.0,-32663453.0,6505798.0,-5.01,8.73,-3.72,-6.26,1.25,35.47,-1.99,0.0,0.0
2020-02-26,-39869709.0,36060598.0,3809111.0,-28135552.0,-11734157.0,-11.31,10.23,1.08,-7.98,-3.33,34.23,-3.5,0.0,0.0
2020-02-27,-39580814.0,38732091.0,848724.0,-25639915.0,-13940899.0,-12.8,12.53,0.27,-8.29,-4.51,33.8,-1.26,0.0,0.0
2020-02-28,-31434520.0,57502781.0,-26068262.0,-23697885.0,-7736635.0,-7.32,13.4,-6.07,-5.52,-1.8,30.98,-8.34,0.0,0.0
