date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-09,1304473.0,-1304474.0,0.0,423422.0,881051.0,97.73,-97.73,0.0,31.72,66.01,30.4,45.04,0.0,0.0
2020-01-10,306419.0,-306419.0,0.0,306419.0,0.0,80.38,-80.38,0.0,80.38,0.0,33.49,10.16,0.0,0.0
2020-01-13,587023.0,-587023.0,0.0,587023.0,0.0,89.2,-89.2,0.0,89.2,0.0,36.89,10.15,0.0,0.0
2020-01-14,608724.0,-690984.0,82260.0,427752.0,180972.0,56.49,-64.12,7.63,39.69,16.79,40.63,10.14,0.0,0.0
2020-01-15,3174852.0,-3174852.0,0.0,326135.0,2848717.0,73.81,-73.81,0.0,7.58,66.23,44.74,10.12,0.0,0.0
2020-01-16,1712440.0,-1712440.0,0.0,0.0,1712440.0,63.6,-63.6,0.0,0.0,63.6,49.26,10.1,0.0,0.0
2020-01-17,5708670.0,-5834572.0,125902.0,1111222.0,4597448.0,83.84,-85.69,1.85,16.32,67.52,54.24,10.11,0.0,0.0
2020-01-20,5665759.0,-5786181.0,120419.0,156545.0,5509214.0,62.15,-63.47,1.32,1.72,60.44,59.71,10.08,0.0,0.0
2020-01-21,30150610.0,-31362621.0,1212008.0,3475882.0,26674728.0,34.49,-35.87,1.39,3.98,30.51,65.73,10.08,0.0,0.0
2020-01-22,216759050.0,-218245620.0,1486562.0,55079886.0,161679164.0,35.15,-35.39,0.24,8.93,26.22,72.35,10.07,0.0,0.0
2020-01-23,23776166.0,-86713250.0,62937088.0,24431831.0,-655665.0,2.75,-10.03,7.28,2.83,-0.08,76.0,5.04,0.0,0.0
2020-02-03,-3683475.0,2795310.0,888165.0,-4599180.0,915705.0,-18.17,13.79,4.38,-22.68,4.52,68.35,-10.07,0.0,0.0
2020-02-04,-36667054.0,18824501.0,17842553.0,-33452459.0,-3214595.0,-6.98,3.59,3.4,-6.37,-0.61,65.11,-4.74,0.0,0.0
2020-02-05,-10979540.0,3145176.0,7834364.0,-3888695.0,-7090845.0,-2.03,0.58,1.45,-0.72,-1.31,68.0,4.44,0.0,0.0
2020-02-06,-39256100.0,32106597.0,7149502.0,-24559109.0,-14696991.0,-8.76,7.17,1.6,-5.48,-3.28,66.5,-2.21,0.0,0.0
2020-02-07,-5840589.0,5798223.0,42368.0,-8228046.0,2387457.0,-1.28,1.27,0.01,-1.8,0.52,67.19,1.04,0.0,0.0
2020-02-10,-73302347.0,62867240.0,10435106.0,-46375623.0,-26926724.0,-15.76,13.51,2.24,-9.97,-5.79,60.5,-9.96,0.0,0.0
2020-02-11,-1271341.0,-1290033.0,2561373.0,-1567532.0,296191.0,-0.49,-0.5,0.99,-0.61,0.11,61.18,1.12,0.0,0.0
2020-02-12,6774758.0,-6647168.0,-127590.0,4798230.0,1976528.0,2.34,-2.29,-0.04,1.66,0.68,62.62,2.35,0.0,0.0
2020-02-13,-12812165.0,13718466.0,-906301.0,-10083018.0,-2729147.0,-3.89,4.16,-0.28,-3.06,-0.83,63.35,1.17,0.0,0.0
2020-02-14,87089814.0,-43837430.0,-43252384.0,8067253.0,79022561.0,16.54,-8.32,-8.21,1.53,15.0,69.74,10.09,0.0,0.0
2020-02-17,-45377468.0,30799559.0,14577904.0,-23296623.0,-22080845.0,-6.04,4.1,1.94,-3.1,-2.94,73.0,4.67,0.0,0.0
2020-02-18,42557557.0,-19825449.0,-22732115.0,13762963.0,28794594.0,6.05,-2.82,-3.23,1.96,4.1,80.35,10.07,0.0,0.0
2020-02-19,-84350430.0,62896043.0,21454387.0,-50144495.0,-34205935.0,-12.77,9.52,3.25,-7.59,-5.18,73.42,-8.62,0.0,0.0
2020-02-20,-22239559.0,20315820.0,1923738.0,-21052151.0,-1187408.0,-5.22,4.76,0.45,-4.94,-0.28,74.2,1.06,0.0,0.0
2020-02-21,-8847816.0,9655279.0,-807465.0,-6317644.0,-2530172.0,-1.85,2.02,-0.17,-1.32,-0.53,74.76,0.75,0.0,0.0
2020-02-24,-7242925.0,-13014585.0,20257510.0,-22401503.0,15158578.0,-1.25,-2.24,3.49,-3.86,2.61,79.5,6.34,0.0,0.0
2020-02-25,-12530054.0,16484012.0,-3953968.0,-11477700.0,-1052354.0,-1.93,2.54,-0.61,-1.77,-0.16,82.0,3.14,0.0,0.0
2020-02-26,-78183377.0,66659859.0,11523518.0,-49290048.0,-28893329.0,-15.1,12.88,2.23,-9.52,-5.58,74.9,-8.66,0.0,0.0
2020-02-27,-18830503.0,25732467.0,-6901964.0,-10375142.0,-8455361.0,-7.26,9.92,-2.66,-4.0,-3.26,72.62,-3.04,0.0,0.0
2020-02-28,-46083482.0,41246392.0,4837090.0,-33806528.0,-12276954.0,-16.41,14.69,1.72,-12.04,-4.37,65.31,-10.07,0.0,0.0
2020-03-02,508040.0,3364133.0,-3872175.0,4531347.0,-4023307.0,0.23,1.51,-1.74,2.03,-1.81,68.68,5.16,0.0,0.0
2020-03-03,753609.0,-1791813.0,1038204.0,-4041289.0,4794898.0,0.32,-0.76,0.44,-1.71,2.02,70.51,2.66,0.0,0.0
2020-03-04,-2533394.0,2845284.0,-311891.0,-3593452.0,1060058.0,-1.28,1.44,-0.16,-1.81,0.54,72.3,2.54,0.0,0.0
2020-03-05,-8105074.0,14223047.0,-6117973.0,-7848454.0,-256620.0,-4.18,7.33,-3.15,-4.04,-0.13,71.32,-1.36,0.0,0.0
2020-03-06,-6866112.0,11891276.0,-5025165.0,-5917197.0,-948915.0,-4.86,8.42,-3.56,-4.19,-0.67,70.13,-1.67,0.0,0.0
2020-03-09,-15897557.0,28458193.0,-12560635.0,-16143133.0,245576.0,-8.29,14.85,-6.55,-8.42,0.13,65.6,-6.46,0.0,0.0
2020-03-10,3815531.0,-4799879.0,984347.0,3864071.0,-48540.0,1.81,-2.28,0.47,1.84,-0.02,69.89,6.54,0.0,0.0
2020-03-11,-19135040.0,25566675.0,-6431635.0,-16795574.0,-2339466.0,-11.17,14.92,-3.75,-9.8,-1.37,66.5,-4.85,0.0,0.0
2020-03-12,-2301213.0,855691.0,1445521.0,-2060007.0,-241206.0,-1.84,0.68,1.15,-1.64,-0.19,66.36,-0.21,0.0,0.0
2020-03-13,1502456.0,-106782.0,-1395673.0,454952.0,1047504.0,1.2,-0.09,-1.11,0.36,0.83,65.38,-1.48,0.0,0.0
