date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-04-22,3035508.0,-3035508.0,0.0,0.0,3035508.0,96.58,-96.58,0.0,0.0,96.58,32.44,43.99,0.0,0.0
2020-04-23,1566208.0,-1566209.0,0.0,420595.0,1145613.0,88.33,-88.33,0.0,23.72,64.61,35.68,9.99,0.0,0.0
2020-04-24,1662512.0,-1662512.0,0.0,0.0,1662512.0,82.64,-82.64,0.0,0.0,82.64,39.25,10.01,0.0,0.0
2020-04-27,1939990.0,-2059729.0,119738.0,825472.0,1114518.0,59.13,-62.78,3.65,25.16,33.97,43.18,10.01,0.0,0.0
2020-04-28,104392789.0,-218428176.0,114035386.0,74722140.0,29670649.0,16.98,-35.52,18.54,12.15,4.82,39.39,-8.78,0.0,0.0
2020-04-29,11519686.0,-36317566.0,24797881.0,10259101.0,1260585.0,2.32,-7.3,4.98,2.06,0.25,40.1,1.8,0.0,0.0
2020-04-30,-42216602.0,28974057.0,13242545.0,-30355453.0,-11861149.0,-12.2,8.37,3.83,-8.77,-3.43,38.34,-4.39,0.0,0.0
2020-05-06,3204426.0,-11895798.0,8691373.0,1187369.0,2017057.0,1.36,-5.05,3.69,0.5,0.86,38.68,0.89,0.0,0.0
2020-05-07,61349058.0,-51642541.0,-9706516.0,18336804.0,43012254.0,13.02,-10.96,-2.06,3.89,9.13,41.38,6.98,0.0,0.0
2020-05-08,-7841742.0,1999159.0,5842583.0,-9777368.0,1935626.0,-1.76,0.45,1.31,-2.19,0.43,42.39,2.44,0.0,0.0
2020-05-11,-3051315.0,8520763.0,-5469449.0,-6759757.0,3708442.0,-0.62,1.73,-1.11,-1.37,0.75,43.06,1.58,0.0,0.0
2020-05-12,18790694.0,-21159989.0,2369296.0,4800655.0,13990039.0,4.01,-4.51,0.51,1.02,2.98,45.99,6.8,0.0,0.0
2020-05-13,-19012147.0,21141210.0,-2129062.0,-17441902.0,-1570245.0,-4.23,4.7,-0.47,-3.88,-0.35,46.12,0.28,0.0,0.0
