date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-06-05,1443086.0,-1443086.0,0.0,0.0,1443086.0,99.2,-99.2,0.0,0.0,99.2,25.3,44.0,0.0,0.0
2020-06-08,463897.0,-463898.0,0.0,377625.0,86272.0,87.41,-87.41,0.0,71.16,16.26,27.83,10.0,0.0,0.0
2020-06-09,915728.0,-915728.0,0.0,478801.0,436927.0,87.95,-87.95,0.0,45.98,41.96,30.61,9.99,0.0,0.0
2020-06-10,2208246.0,-2373229.0,164983.0,700336.0,1507910.0,78.09,-83.93,5.83,24.77,53.32,33.67,10.0,0.0,0.0
2020-06-11,1733657.0,-1733657.0,0.0,0.0,1733657.0,63.05,-63.05,0.0,0.0,63.05,37.04,10.01,0.0,0.0
2020-06-12,8697663.0,-8782566.0,84902.0,812437.0,7885226.0,53.41,-53.93,0.52,4.99,48.42,40.74,9.99,0.0,0.0
2020-06-15,2023080.0,-2023081.0,0.0,338449.0,1684631.0,46.24,-46.24,0.0,7.74,38.5,44.81,9.99,0.0,0.0
2020-06-16,2552778.0,-2784442.0,231663.0,792386.0,1760392.0,60.49,-65.98,5.49,18.78,41.72,49.29,10.0,0.0,0.0
2020-06-18,35153636.0,-90035695.0,54882056.0,41650660.0,-6497024.0,8.13,-20.82,12.69,9.63,-1.5,48.8,-10.0,0.0,0.0
2020-06-19,25623086.0,-69967101.0,44344021.0,25562454.0,60632.0,5.34,-14.59,9.25,5.33,0.01,44.46,-8.89,0.0,0.0
2020-06-22,-1113714.0,-5217807.0,6331522.0,-462412.0,-651302.0,-0.4,-1.86,2.26,-0.17,-0.23,44.22,-0.54,0.0,0.0
2020-06-23,-8488866.0,-7719192.0,16208058.0,-1701713.0,-6787153.0,-3.37,-3.06,6.43,-0.68,-2.69,42.76,-3.3,0.0,0.0
2020-06-29,-36658012.0,30959886.0,5698124.0,-19244316.0,-17413696.0,-10.09,8.52,1.57,-5.3,-4.79,45.64,-2.98,0.0,0.0
2020-06-30,-35124897.0,20739691.0,14385205.0,-17563882.0,-17561015.0,-13.57,8.02,5.56,-6.79,-6.79,45.03,-1.34,0.0,0.0
2020-07-01,-20591509.0,17526901.0,3064609.0,-16187094.0,-4404415.0,-11.03,9.39,1.64,-8.67,-2.36,44.27,-1.69,0.0,0.0
2020-07-02,-11291999.0,9047756.0,2244244.0,-8216501.0,-3075498.0,-7.13,5.71,1.42,-5.19,-1.94,44.3,0.07,0.0,0.0
2020-07-06,90236661.0,-54752273.0,-35484388.0,56446681.0,33789980.0,22.03,-13.37,-8.66,13.78,8.25,47.74,10.0,0.0,0.0
2020-07-08,45618.0,-1865397.0,1819779.0,8044751.0,-7999133.0,0.01,-0.41,0.4,1.75,-1.74,55.24,5.2,0.0,0.0
