date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-60178353.0,52708231.0,7470123.0,-36708258.0,-23470095.0,-22.48,19.69,2.79,-13.71,-8.77,5.71,-2.73,0.0,0.0
2020-01-09,-8895913.0,7805070.0,1090844.0,-5818294.0,-3077619.0,-5.23,4.59,0.64,-3.42,-1.81,5.75,0.7,0.0,0.0
2020-01-10,-102780111.0,70115833.0,32664279.0,-64524484.0,-38255627.0,-31.73,21.65,10.09,-19.92,-11.81,5.67,-1.39,0.0,0.0
2020-01-13,-23503120.0,19132712.0,4370409.0,-25074032.0,1570912.0,-10.28,8.37,1.91,-10.97,0.69,5.66,-0.18,0.0,0.0
2020-01-14,-20814310.0,22994415.0,-2180105.0,-22754285.0,1939975.0,-10.7,11.82,-1.12,-11.69,1.0,5.68,0.35,0.0,0.0
2020-01-15,-56968862.0,36139301.0,20829561.0,-21272351.0,-35696511.0,-25.75,16.34,9.42,-9.62,-16.14,5.59,-1.58,0.0,0.0
2020-01-16,-36030113.0,24676683.0,11353429.0,-20530692.0,-15499421.0,-22.53,15.43,7.1,-12.84,-9.69,5.58,-0.18,0.0,0.0
2020-01-17,-26856059.0,22561184.0,4294876.0,-18542570.0,-8313489.0,-15.52,13.03,2.48,-10.71,-4.8,5.54,-0.72,0.0,0.0
2020-01-20,-36709241.0,26828818.0,9880422.0,-9174366.0,-27534875.0,-17.24,12.6,4.64,-4.31,-12.93,5.54,0.0,0.0,0.0
2020-01-21,-45870997.0,36482536.0,9388461.0,-29291352.0,-16579645.0,-22.82,18.15,4.67,-14.57,-8.25,5.46,-1.44,0.0,0.0
2020-01-22,-41402730.0,36461685.0,4941046.0,-21175698.0,-20227032.0,-18.05,15.9,2.15,-9.23,-8.82,5.39,-1.28,0.0,0.0
2020-01-23,-52984763.0,56103295.0,-3118531.0,-32188969.0,-20795794.0,-17.96,19.02,-1.06,-10.91,-7.05,5.2,-3.53,0.0,0.0
2020-02-03,-25766414.0,24974614.0,791799.0,-9467622.0,-16298792.0,-25.08,24.31,0.77,-9.22,-15.87,4.68,-10.0,0.0,0.0
2020-02-04,-13697069.0,15116690.0,-1419619.0,-9992188.0,-3704881.0,-4.1,4.52,-0.42,-2.99,-1.11,4.51,-3.63,0.0,0.0
2020-02-05,-14712229.0,11909207.0,2803022.0,-7404668.0,-7307561.0,-7.53,6.09,1.43,-3.79,-3.74,4.57,1.33,0.0,0.0
2020-02-06,-431330.0,1611560.0,-1180230.0,3658251.0,-4089581.0,-0.26,0.98,-0.72,2.23,-2.49,4.61,0.88,0.0,0.0
2020-02-07,12037057.0,1175690.0,-13212747.0,1077725.0,10959332.0,7.99,0.78,-8.77,0.72,7.28,4.7,1.95,0.0,0.0
2020-02-10,873040.0,-3464447.0,2591407.0,585105.0,287935.0,0.67,-2.67,1.99,0.45,0.22,4.71,0.21,0.0,0.0
2020-02-11,10322936.0,-13469414.0,3146478.0,54332.0,10268604.0,7.1,-9.26,2.16,0.04,7.06,4.78,1.49,0.0,0.0
2020-02-12,18368736.0,-8232149.0,-10136588.0,-662605.0,19031341.0,15.38,-6.89,-8.49,-0.55,15.93,4.85,1.46,0.0,0.0
2020-02-13,-29739708.0,23324134.0,6415574.0,-20232833.0,-9506875.0,-20.34,15.95,4.39,-13.83,-6.5,4.76,-1.86,0.0,0.0
2020-02-14,-11898602.0,12428238.0,-529637.0,-6782580.0,-5116022.0,-10.83,11.31,-0.48,-6.17,-4.66,4.74,-0.42,0.0,0.0
2020-02-17,2681275.0,-1055130.0,-1626144.0,-3893687.0,6574962.0,1.48,-0.58,-0.9,-2.15,3.62,4.88,2.95,0.0,0.0
2020-02-18,-9744922.0,-39156.0,9784078.0,-3887381.0,-5857541.0,-6.85,-0.03,6.88,-2.73,-4.12,4.89,0.2,0.0,0.0
2020-02-19,8558869.0,-6185998.0,-2372871.0,2339238.0,6219631.0,5.93,-4.28,-1.64,1.62,4.31,4.86,-0.61,0.0,0.0
2020-02-20,21014323.0,-20065740.0,-948583.0,-1457563.0,22471886.0,9.47,-9.04,-0.43,-0.66,10.13,4.92,1.23,0.0,0.0
2020-02-21,-21311778.0,16607987.0,4703792.0,-12265016.0,-9046762.0,-10.71,8.35,2.36,-6.16,-4.55,4.9,-0.41,0.0,0.0
2020-02-24,-42470638.0,35912532.0,6558106.0,-27889950.0,-14580688.0,-15.94,13.48,2.46,-10.47,-5.47,4.77,-2.65,0.0,0.0
2020-02-25,-26145684.0,30045712.0,-3900028.0,-13223626.0,-12922058.0,-9.3,10.69,-1.39,-4.71,-4.6,4.69,-1.68,0.0,0.0
2020-02-26,10511996.0,-14749997.0,4238001.0,13525556.0,-3013560.0,4.56,-6.39,1.84,5.86,-1.31,4.71,0.43,0.0,0.0
2020-02-27,-6466920.0,4021672.0,2445249.0,2757233.0,-9224153.0,-4.65,2.89,1.76,1.98,-6.63,4.72,0.21,0.0,0.0
2020-02-28,-30937892.0,29223869.0,1714023.0,-25683073.0,-5254819.0,-14.18,13.39,0.79,-11.77,-2.41,4.54,-3.81,0.0,0.0
2020-03-02,9067025.0,-6218918.0,-2848107.0,8551450.0,515575.0,5.99,-4.11,-1.88,5.65,0.34,4.65,2.42,0.0,0.0
2020-03-03,14944142.0,-19037028.0,4092887.0,-5115003.0,20059145.0,3.88,-4.95,1.06,-1.33,5.21,4.8,3.23,0.0,0.0
2020-03-04,4144374.0,-540357.0,-3604017.0,1649461.0,2494913.0,1.7,-0.22,-1.48,0.68,1.02,4.83,0.62,0.0,0.0
2020-03-05,-23238278.0,708583.0,22529695.0,7525154.0,-30763432.0,-7.68,0.23,7.45,2.49,-10.17,4.85,0.41,0.0,0.0
2020-03-06,-25905066.0,18341051.0,7564016.0,-8869216.0,-17035850.0,-15.87,11.24,4.63,-5.43,-10.44,4.77,-1.65,0.0,0.0
2020-03-09,-10873084.0,8545186.0,2327899.0,-7205430.0,-3667654.0,-5.73,4.51,1.23,-3.8,-1.93,4.68,-1.89,0.0,0.0
2020-03-10,-15807818.0,14655040.0,1152778.0,-4297964.0,-11509854.0,-8.45,7.83,0.62,-2.3,-6.15,4.7,0.43,0.0,0.0
2020-03-11,36238926.0,-24269308.0,-11969618.0,1288965.0,34949961.0,12.24,-8.2,-4.04,0.44,11.8,4.82,2.55,0.0,0.0
2020-03-12,-9859701.0,7791811.0,2067891.0,-764117.0,-9095584.0,-6.48,5.12,1.36,-0.5,-5.98,4.73,-1.87,0.0,0.0
2020-03-13,-11602255.0,-963543.0,12565799.0,-5798093.0,-5804162.0,-6.32,-0.53,6.85,-3.16,-3.16,4.65,-1.69,0.0,0.0
2020-03-16,-25116584.0,12026192.0,13090393.0,-18886241.0,-6230343.0,-13.1,6.27,6.82,-9.85,-3.25,4.56,-1.94,0.0,0.0
2020-03-17,-12641007.0,13087330.0,-446323.0,-9900396.0,-2740611.0,-6.94,7.18,-0.24,-5.43,-1.5,4.51,-1.1,0.0,0.0
2020-03-18,-12860538.0,15896354.0,-3035816.0,-11326778.0,-1533760.0,-8.45,10.45,-2.0,-7.45,-1.01,4.4,-2.44,0.0,0.0
2020-03-19,-28943310.0,26962688.0,1980623.0,-19587785.0,-9355525.0,-15.57,14.5,1.07,-10.54,-5.03,4.34,-1.36,0.0,0.0
2020-03-20,-23046215.0,9314070.0,13732145.0,-13448391.0,-9597824.0,-13.56,5.48,8.08,-7.91,-5.65,4.43,2.07,0.0,0.0
2020-03-23,-9711779.0,12614593.0,-2902812.0,-3995300.0,-5716479.0,-9.31,12.09,-2.78,-3.83,-5.48,4.26,-3.84,0.0,0.0
2020-03-24,-8051601.0,11155288.0,-3103687.0,-6558146.0,-1493455.0,-8.29,11.48,-3.19,-6.75,-1.54,4.3,0.94,0.0,0.0
2020-03-25,12041146.0,-6035714.0,-6005432.0,3852731.0,8188415.0,8.25,-4.14,-4.11,2.64,5.61,4.44,3.26,0.0,0.0
2020-03-26,-534334.0,4929706.0,-4395373.0,-4886552.0,4352218.0,-0.43,3.95,-3.52,-3.91,3.49,4.47,0.68,0.0,0.0
2020-03-27,-850185.0,-990698.0,1840883.0,493782.0,-1343967.0,-0.92,-1.07,1.99,0.53,-1.45,4.48,0.22,0.0,0.0
2020-03-30,-13139546.0,7903735.0,5235811.0,-12016534.0,-1123012.0,-12.34,7.42,4.92,-11.28,-1.05,4.44,-0.89,0.0,0.0
2020-03-31,9765129.0,-2031777.0,-7733352.0,9224525.0,540604.0,9.1,-1.89,-7.21,8.6,0.5,4.48,0.9,0.0,0.0
2020-04-01,-6592635.0,12337458.0,-5744823.0,-3353645.0,-3238990.0,-7.06,13.21,-6.15,-3.59,-3.47,4.38,-2.23,0.0,0.0
2020-04-02,-6995260.0,5371213.0,1624045.0,-5314309.0,-1680951.0,-9.72,7.46,2.26,-7.38,-2.34,4.4,0.46,0.0,0.0
2020-04-03,-9643514.0,5012214.0,4631298.0,-13059352.0,3415838.0,-16.23,8.43,7.79,-21.98,5.75,4.36,-0.91,0.0,0.0
2020-04-07,3212968.0,-5403364.0,2190395.0,7644259.0,-4431291.0,3.18,-5.35,2.17,7.57,-4.39,4.43,1.61,0.0,0.0
2020-04-08,-2448863.0,3349956.0,-901094.0,-546373.0,-1902490.0,-3.85,5.27,-1.42,-0.86,-2.99,4.42,-0.23,0.0,0.0
2020-04-09,-5462050.0,3226855.0,2235195.0,-758044.0,-4704006.0,-11.62,6.86,4.76,-1.61,-10.01,4.41,-0.23,0.0,0.0
2020-04-10,-6387727.0,2252684.0,4135044.0,-320683.0,-6067044.0,-6.66,2.35,4.31,-0.33,-6.32,4.43,0.45,0.0,0.0
2020-04-13,-26147387.0,13767732.0,12379655.0,-6987448.0,-19159939.0,-27.45,14.46,13.0,-7.34,-20.12,4.34,-2.03,0.0,0.0
2020-04-14,-935536.0,537154.0,398384.0,-1797847.0,862311.0,-1.21,0.69,0.52,-2.33,1.12,4.38,0.92,0.0,0.0
2020-04-15,-12801816.0,3811293.0,8990522.0,-4285005.0,-8516811.0,-15.79,4.7,11.09,-5.28,-10.5,4.33,-1.14,0.0,0.0
2020-04-16,723358.0,1051808.0,-1775167.0,-995611.0,1718969.0,1.62,2.35,-3.97,-2.23,3.85,4.32,-0.23,0.0,0.0
2020-04-17,2471303.0,-5596323.0,3125021.0,1241629.0,1229674.0,3.62,-8.19,4.57,1.82,1.8,4.32,0.0,0.0,0.0
2020-04-20,-3271079.0,-580485.0,3851564.0,-591797.0,-2679282.0,-5.41,-0.96,6.37,-0.98,-4.43,4.31,-0.23,0.0,0.0
2020-04-21,-6220404.0,5426429.0,793974.0,-3558515.0,-2661889.0,-8.61,7.51,1.1,-4.93,-3.68,4.28,-0.7,0.0,0.0
2020-04-22,-250961.0,1436935.0,-1185974.0,334230.0,-585191.0,-0.48,2.75,-2.27,0.64,-1.12,4.28,0.0,0.0,0.0
2020-04-23,6402996.0,-5061865.0,-1341131.0,2938821.0,3464175.0,9.66,-7.64,-2.02,4.44,5.23,4.29,0.23,0.0,0.0
2020-04-24,-6025310.0,5454683.0,570628.0,-3742137.0,-2283173.0,-10.66,9.65,1.01,-6.62,-4.04,4.24,-1.17,0.0,0.0
2020-04-27,3889699.0,-2292632.0,-1597067.0,640163.0,3249536.0,11.39,-6.71,-4.68,1.87,9.52,4.24,0.0,0.0,0.0
2020-04-28,-10728203.0,12493437.0,-1765235.0,-11003341.0,275138.0,-10.69,12.45,-1.76,-10.96,0.27,4.13,-2.59,0.0,0.0
2020-04-29,-2984344.0,944008.0,2040335.0,-2067851.0,-916493.0,-5.55,1.76,3.79,-3.84,-1.7,4.12,-0.24,0.0,0.0
2020-04-30,-1261858.0,9525487.0,-8263630.0,4560177.0,-5822035.0,-1.14,8.59,-7.45,4.11,-5.25,4.18,1.46,0.0,0.0
2020-05-06,-8531322.0,22320487.0,-13789165.0,-16510269.0,7978947.0,-5.52,14.43,-8.92,-10.68,5.16,4.23,1.2,0.0,0.0
2020-05-07,-17847297.0,5695098.0,12152200.0,-10144513.0,-7702784.0,-16.88,5.39,11.49,-9.59,-7.28,4.19,-0.95,0.0,0.0
2020-05-08,-20578541.0,19608564.0,969976.0,9167670.0,-29746211.0,-15.59,14.86,0.73,6.95,-22.54,4.18,-0.24,0.0,0.0
2020-05-11,-25420088.0,24757764.0,662325.0,-13799624.0,-11620464.0,-20.42,19.89,0.53,-11.09,-9.34,4.16,-0.48,0.0,0.0
2020-05-12,-39101513.0,20580328.0,18521185.0,-28047705.0,-11053808.0,-28.1,14.79,13.31,-20.16,-7.94,4.1,-1.44,0.0,0.0
2020-05-13,-12741226.0,11951011.0,790215.0,-14668978.0,1927752.0,-14.58,13.68,0.9,-16.79,2.21,4.09,-0.24,0.0,0.0
2020-05-14,-4670890.0,22218313.0,-17547425.0,-1667048.0,-3003842.0,-4.23,20.1,-15.87,-1.51,-2.72,4.04,-1.22,0.0,0.0
2020-05-15,23183849.0,-3482700.0,-19701150.0,19760222.0,3423627.0,21.71,-3.26,-18.45,18.5,3.21,4.09,1.24,0.0,0.0
2020-05-18,-4660339.0,16459061.0,-11798722.0,-5839916.0,1179577.0,-4.42,15.61,-11.19,-5.54,1.12,4.05,-0.98,0.0,0.0
2020-05-19,7361632.0,4524605.0,-11886238.0,1144212.0,6217420.0,8.01,4.92,-12.93,1.24,6.76,4.06,0.25,0.0,0.0
2020-05-20,5454614.0,6420409.0,-11875023.0,2832644.0,2621970.0,7.85,9.24,-17.09,4.08,3.77,4.05,-0.25,0.0,0.0
2020-05-21,-4773515.0,12700345.0,-7926830.0,-4763000.0,-10515.0,-5.33,14.19,-8.86,-5.32,-0.01,4.01,-0.99,0.0,0.0
2020-05-22,-7121500.0,15288997.0,-8167498.0,-8946979.0,1825479.0,-6.85,14.71,-7.86,-8.61,1.76,3.98,-0.75,0.0,0.0
2020-05-25,7000145.0,3931611.0,-10931758.0,3077216.0,3922929.0,11.81,6.63,-18.44,5.19,6.62,3.99,0.25,0.0,0.0
2020-05-26,138260.0,2840169.0,-2978428.0,-1574815.0,1713075.0,0.23,4.73,-4.96,-2.62,2.85,3.98,-0.25,0.0,0.0
2020-05-27,2849249.0,-5664716.0,2815466.0,409107.0,2440142.0,4.64,-9.23,4.59,0.67,3.97,4.0,0.5,0.0,0.0
2020-05-28,5446830.0,-6619852.0,1173022.0,7321408.0,-1874578.0,5.29,-6.43,1.14,7.11,-1.82,4.05,1.25,0.0,0.0
2020-05-29,-514836.0,2912350.0,-2397514.0,-270505.0,-244331.0,-0.54,3.06,-2.52,-0.28,-0.26,4.05,0.0,0.0,0.0
2020-06-01,8930083.0,1300096.0,-10230180.0,8589569.0,340514.0,7.29,1.06,-8.35,7.01,0.28,4.08,0.74,0.0,0.0
2020-06-02,65768795.0,-41932705.0,-23836090.0,20927976.0,44840819.0,18.24,-11.63,-6.61,5.8,12.44,4.3,5.39,0.0,0.0
2020-06-03,-26466849.0,15189216.0,11277632.0,-3371784.0,-23095065.0,-11.22,6.44,4.78,-1.43,-9.79,4.18,-2.79,0.0,0.0
2020-06-04,-20040129.0,12625294.0,7414836.0,-7935545.0,-12104584.0,-18.4,11.59,6.81,-7.29,-11.12,4.15,-0.72,0.0,0.0
2020-06-05,26948215.0,-20499650.0,-6448564.0,18193632.0,8754583.0,14.88,-11.32,-3.56,10.05,4.83,4.25,2.41,0.0,0.0
2020-06-08,-17397200.0,7533294.0,9863907.0,1677917.0,-19075117.0,-12.85,5.56,7.29,1.24,-14.09,4.25,0.0,0.0,0.0
2020-06-09,-140370.0,-2162216.0,2302586.0,-2580834.0,2440464.0,-0.15,-2.33,2.48,-2.78,2.63,4.25,0.0,0.0,0.0
2020-06-10,-8108819.0,-1458175.0,9566995.0,-4739530.0,-3369289.0,-9.77,-1.76,11.52,-5.71,-4.06,4.21,-0.94,0.0,0.0
2020-06-11,-11720908.0,-2993745.0,14714653.0,-6730927.0,-4989981.0,-10.37,-2.65,13.02,-5.96,-4.42,4.17,-0.95,0.0,0.0
2020-06-12,1707135.0,5967627.0,-7674763.0,-271294.0,1978429.0,1.3,4.54,-5.84,-0.21,1.51,4.17,0.0,0.0,0.0
2020-06-15,-2669629.0,-4001847.0,6671474.0,-3578868.0,909239.0,-3.14,-4.71,7.85,-4.21,1.07,4.13,-0.96,0.0,0.0
2020-06-16,18177068.0,-16602562.0,-1574507.0,-5296910.0,23473978.0,14.53,-13.27,-1.26,-4.23,18.76,4.24,2.66,0.0,0.0
2020-06-18,2637031.0,-2887046.0,250016.0,-4474109.0,7111140.0,2.12,-2.32,0.2,-3.6,5.73,4.23,0.71,0.0,0.0
2020-06-22,-28097562.0,19481258.0,8616305.0,-6293760.0,-21803802.0,-25.47,17.66,7.81,-5.7,-19.76,4.19,-1.41,0.0,0.0
2020-06-23,-6086420.0,5146031.0,940390.0,-6075533.0,-10887.0,-8.67,7.33,1.34,-8.65,-0.02,4.17,-0.48,0.0,0.0
2020-06-29,-17345311.0,10335397.0,7009914.0,-11310116.0,-6035195.0,-25.46,15.17,10.29,-16.6,-8.86,4.15,-1.66,0.0,0.0
2020-06-30,5819465.0,-522976.0,-5296489.0,-2269696.0,8089161.0,8.2,-0.74,-7.46,-3.2,11.4,4.2,1.2,0.0,0.0
2020-07-01,-1680470.0,-2804599.0,4485068.0,5063917.0,-6744387.0,-1.81,-3.01,4.82,5.44,-7.24,4.22,0.48,0.0,0.0
2020-07-02,29329552.0,-21355032.0,-7974519.0,16171533.0,13158019.0,8.65,-6.3,-2.35,4.77,3.88,4.39,4.03,0.0,0.0
2020-07-06,45726101.0,-21437487.0,-24288615.0,-18548937.0,64275038.0,8.89,-4.17,-4.72,-3.61,12.49,4.74,5.8,0.0,0.0
2020-07-08,20560377.0,-8118824.0,-12441552.0,10883460.0,9676917.0,5.95,-2.35,-3.6,3.15,2.8,4.74,1.5,0.0,0.0
