date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-60556682.0,48998785.0,11557897.0,-18447860.0,-42108822.0,-11.88,9.61,2.27,-3.62,-8.26,5.46,-1.62,0.0,0.0
2020-01-09,-5396935.0,11046005.0,-5649071.0,-17021266.0,11624331.0,-1.57,3.22,-1.65,-4.96,3.39,5.52,1.1,0.0,0.0
2020-01-10,-87108271.0,49789081.0,37319190.0,9148038.0,-96256309.0,-22.06,12.61,9.45,2.32,-24.38,5.46,-1.09,0.0,0.0
2020-01-13,-70513799.0,37125015.0,33388783.0,-38425690.0,-32088109.0,-18.71,9.85,8.86,-10.2,-8.51,5.45,-0.18,0.0,0.0
2020-01-14,-27122550.0,-343766.0,27466315.0,-14267698.0,-12854852.0,-6.54,-0.08,6.62,-3.44,-3.1,5.44,-0.18,0.0,0.0
2020-01-15,-53911958.0,29096900.0,24815057.0,1131664.0,-55043622.0,-14.12,7.62,6.5,0.3,-14.42,5.4,-0.74,0.0,0.0
2020-01-16,-38329116.0,22926178.0,15402938.0,-12482191.0,-25846925.0,-11.88,7.1,4.77,-3.87,-8.01,5.36,-0.74,0.0,0.0
2020-01-17,-10519746.0,11785303.0,-1265558.0,-4541612.0,-5978134.0,-2.61,2.93,-0.31,-1.13,-1.49,5.44,1.49,0.0,0.0
2020-01-20,-152620.0,4470432.0,-4317812.0,19814092.0,-19966712.0,-0.04,1.19,-1.15,5.29,-5.33,5.46,0.37,0.0,0.0
2020-01-21,-114926443.0,66183980.0,48742464.0,-26089968.0,-88836475.0,-27.13,15.62,11.51,-6.16,-20.97,5.32,-2.56,0.0,0.0
2020-01-22,-23020964.0,13083171.0,9937793.0,-13869854.0,-9151110.0,-8.31,4.73,3.59,-5.01,-3.31,5.32,0.0,0.0,0.0
2020-01-23,-83457370.0,49719788.0,33737582.0,-36448117.0,-47009253.0,-20.9,12.45,8.45,-9.13,-11.77,5.15,-3.2,0.0,0.0
2020-02-03,-11408554.0,50032395.0,-38623840.0,5306433.0,-16714987.0,-1.37,6.0,-4.63,0.64,-2.01,4.61,-10.49,0.0,0.0
2020-02-04,224265386.0,-65105060.0,-159160329.0,27987991.0,196277395.0,22.65,-6.58,-16.08,2.83,19.83,4.91,6.51,0.0,0.0
2020-02-05,20597258.0,-13781558.0,-6815700.0,-19697669.0,40294927.0,3.75,-2.51,-1.24,-3.58,7.33,4.88,-0.61,0.0,0.0
2020-02-06,10372231.0,-1780105.0,-8592126.0,1772.0,10370459.0,3.02,-0.52,-2.5,0.0,3.02,4.92,0.82,0.0,0.0
2020-02-07,7561182.0,2754813.0,-10315996.0,-11881598.0,19442780.0,2.77,1.01,-3.78,-4.35,7.12,4.94,0.41,0.0,0.0
2020-02-10,19018489.0,-16973274.0,-2045215.0,28016398.0,-8997909.0,6.06,-5.41,-0.65,8.93,-2.87,5.01,1.42,0.0,0.0
2020-02-11,-8962170.0,-11433209.0,20395379.0,5967511.0,-14929681.0,-2.26,-2.88,5.14,1.5,-3.76,5.05,0.8,0.0,0.0
2020-02-12,-15084284.0,-6920955.0,22005238.0,-7371412.0,-7712872.0,-7.05,-3.24,10.29,-3.45,-3.61,5.04,-0.2,0.0,0.0
2020-02-13,-31823593.0,12541743.0,19281850.0,9487525.0,-41311118.0,-12.46,4.91,7.55,3.72,-16.18,4.99,-0.99,0.0,0.0
2020-02-14,4558808.0,-12485627.0,7926818.0,8533260.0,-3974452.0,2.45,-6.72,4.27,4.59,-2.14,5.01,0.4,0.0,0.0
2020-02-17,30273484.0,-10965832.0,-19307651.0,-4108703.0,34382187.0,9.34,-3.38,-5.96,-1.27,10.61,5.14,2.59,0.0,0.0
2020-02-18,-41106640.0,19056053.0,22050589.0,-17427724.0,-23678916.0,-14.8,6.86,7.94,-6.27,-8.52,5.1,-0.78,0.0,0.0
2020-02-19,-42310971.0,16544772.0,25766199.0,-8649359.0,-33661612.0,-16.54,6.47,10.07,-3.38,-13.16,5.08,-0.39,0.0,0.0
2020-02-20,4827896.0,-19189039.0,14361142.0,13462132.0,-8634236.0,1.48,-5.87,4.4,4.12,-2.64,5.12,0.79,0.0,0.0
2020-02-21,-9371310.0,5338075.0,4033234.0,-4587449.0,-4783861.0,-3.47,1.98,1.49,-1.7,-1.77,5.11,-0.2,0.0,0.0
