date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2887209.0,3210123.0,-322914.0,-2887209.0,0.0,-7.95,8.84,-0.89,-7.95,0.0,9.23,-1.49,0.0,0.0
2020-01-09,-2496786.0,-51701.0,2548488.0,-2496786.0,0.0,-9.34,-0.19,9.54,-9.34,0.0,9.29,0.65,0.0,0.0
2020-01-10,-948263.0,368074.0,580187.0,-948263.0,0.0,-4.75,1.84,2.91,-4.75,0.0,9.29,0.0,0.0,0.0
2020-01-13,-6850017.0,2960080.0,3889937.0,-4302338.0,-2547679.0,-23.04,9.96,13.08,-14.47,-8.57,9.32,0.32,0.0,0.0
2020-01-14,-1731460.0,-653982.0,2385441.0,-2381094.0,649634.0,-5.39,-2.04,7.43,-7.42,2.02,9.31,-0.11,0.0,0.0
2020-01-15,-293270.0,808250.0,-514979.0,-293270.0,0.0,-1.55,4.27,-2.72,-1.55,0.0,9.23,-0.86,0.0,0.0
2020-01-16,-1858353.0,562519.0,1295834.0,-1858353.0,0.0,-10.8,3.27,7.53,-10.8,0.0,9.22,-0.11,0.0,0.0
2020-01-17,-967678.0,886000.0,81678.0,-499810.0,-467868.0,-7.59,6.95,0.64,-3.92,-3.67,9.21,-0.11,0.0,0.0
2020-01-20,-12768568.0,9433326.0,3335242.0,-10562086.0,-2206482.0,-24.81,18.33,6.48,-20.53,-4.29,9.1,-1.19,0.0,0.0
2020-01-21,-7067291.0,4794674.0,2272617.0,-5440181.0,-1627110.0,-16.48,11.18,5.3,-12.69,-3.79,8.92,-1.98,0.0,0.0
2020-01-22,-1375779.0,2431239.0,-1055461.0,-1375779.0,0.0,-5.06,8.95,-3.88,-5.06,0.0,8.95,0.34,0.0,0.0
2020-01-23,-13631298.0,10772576.0,2858723.0,-8744008.0,-4887290.0,-25.37,20.05,5.32,-16.27,-9.09,8.7,-2.79,0.0,0.0
2020-02-03,-5497145.0,5343631.0,153515.0,-5497145.0,0.0,-36.6,35.58,1.02,-36.6,0.0,7.83,-10.0,0.0,0.0
