date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,6178386.0,11783771.0,-17962158.0,4304114.0,1874272.0,3.1,5.9,-9.0,2.16,0.94,13.4,-0.15,0.0,0.0
2020-01-09,6428472.0,6131974.0,-12560446.0,8466890.0,-2038418.0,2.83,2.7,-5.53,3.73,-0.9,13.4,0.0,0.0,0.0
2020-01-10,8200474.0,4135105.0,-12335578.0,-7415051.0,15615525.0,2.79,1.41,-4.2,-2.53,5.32,13.45,0.37,0.0,0.0
2020-01-13,-63648926.0,29997221.0,33651696.0,-24402972.0,-39245954.0,-7.94,3.74,4.2,-3.04,-4.9,13.44,-0.07,0.0,0.0
2020-01-14,84982318.0,-62766509.0,-22215808.0,54827352.0,30154966.0,12.05,-8.9,-3.15,7.77,4.28,13.77,2.46,0.0,0.0
2020-01-15,-13894282.0,5889249.0,8005033.0,-16220193.0,2325911.0,-5.74,2.43,3.31,-6.7,0.96,13.6,-1.23,0.0,0.0
2020-01-16,44445651.0,-32440410.0,-12005242.0,25861442.0,18584209.0,10.2,-7.45,-2.76,5.94,4.27,13.99,2.87,0.0,0.0
2020-01-17,26283618.0,-24553065.0,-1730553.0,22939814.0,3343804.0,5.67,-5.29,-0.37,4.95,0.72,14.38,2.79,0.0,0.0
2020-01-20,58294036.0,-44756780.0,-13537256.0,12694184.0,45599852.0,8.36,-6.42,-1.94,1.82,6.54,15.1,5.01,0.0,0.0
2020-01-21,10397155.0,-18767802.0,8370648.0,8836668.0,1560487.0,1.92,-3.46,1.54,1.63,0.29,15.26,1.06,0.0,0.0
2020-01-22,-7833557.0,-7296627.0,15130184.0,-1543690.0,-6289867.0,-2.07,-1.93,4.0,-0.41,-1.66,15.28,0.13,0.0,0.0
2020-01-23,-23856915.0,49007398.0,-25150483.0,-13747915.0,-10109000.0,-5.85,12.01,-6.16,-3.37,-2.48,14.78,-3.27,0.0,0.0
2020-02-03,-14270021.0,20231738.0,-5961716.0,-17015085.0,2745064.0,-6.92,9.81,-2.89,-8.25,1.33,13.2,-10.69,0.0,0.0
2020-02-04,-16083149.0,3535371.0,12547778.0,-16515441.0,432292.0,-3.36,0.74,2.62,-3.45,0.09,12.92,-2.12,0.0,0.0
2020-02-05,-48879496.0,28494001.0,20385494.0,-16580447.0,-32299049.0,-9.21,5.37,3.84,-3.12,-6.09,13.32,3.1,0.0,0.0
2020-02-06,-24690982.0,20992816.0,3698166.0,-8057231.0,-16633751.0,-6.04,5.14,0.9,-1.97,-4.07,13.17,-1.13,0.0,0.0
2020-02-07,-33989077.0,24826892.0,9162184.0,-9672308.0,-24316769.0,-10.78,7.87,2.91,-3.07,-7.71,13.1,-0.53,0.0,0.0
2020-02-10,373844.0,-9116299.0,8742456.0,-17996538.0,18370382.0,0.09,-2.2,2.11,-4.35,4.44,13.32,1.68,0.0,0.0
2020-02-11,50366706.0,-46322402.0,-4044304.0,47374118.0,2992588.0,11.97,-11.01,-0.96,11.26,0.71,13.47,1.13,0.0,0.0
2020-02-12,-60368317.0,27919159.0,32449157.0,-38701787.0,-21666530.0,-18.74,8.67,10.08,-12.02,-6.73,13.38,-0.67,0.0,0.0
2020-02-13,-49675367.0,22100861.0,27574505.0,-34527434.0,-15147933.0,-17.46,7.77,9.69,-12.13,-5.32,13.06,-2.39,0.0,0.0
2020-02-14,-16360152.0,12949662.0,3410491.0,-6007678.0,-10352474.0,-9.95,7.88,2.07,-3.66,-6.3,13.08,0.15,0.0,0.0
2020-02-17,9136263.0,-12673417.0,3537154.0,17851920.0,-8715657.0,2.81,-3.9,1.09,5.5,-2.69,13.42,2.6,0.0,0.0
2020-02-18,-13709350.0,5878608.0,7830742.0,-15727577.0,2018227.0,-4.92,2.11,2.81,-5.65,0.72,13.35,-0.52,0.0,0.0
2020-02-19,10143379.0,-16046135.0,5902755.0,509440.0,9633939.0,2.68,-4.23,1.56,0.13,2.54,13.65,2.25,0.0,0.0
2020-02-20,3542278.0,-2862711.0,-679568.0,10207589.0,-6665311.0,0.86,-0.69,-0.16,2.47,-1.61,13.95,2.2,0.0,0.0
2020-02-21,-14471610.0,16119000.0,-1647390.0,-13490724.0,-980886.0,-3.23,3.6,-0.37,-3.02,-0.22,14.11,1.15,0.0,0.0
