date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-147271.0,-113590.0,260861.0,-147271.0,0.0,-1.03,-0.79,1.82,-1.03,0.0,4.01,-1.47,0.0,0.0
2020-01-09,-163822.0,155991.0,7831.0,-517253.0,353431.0,-1.86,1.77,0.09,-5.87,4.01,4.05,1.0,0.0,0.0
2020-01-10,-1673433.0,867432.0,806001.0,-1673433.0,0.0,-17.54,9.09,8.45,-17.54,0.0,4.03,-0.49,0.0,0.0
2020-01-13,53859.0,171980.0,-225838.0,53859.0,0.0,0.59,1.89,-2.48,0.59,0.0,4.06,0.74,0.0,0.0
2020-01-14,1625704.0,-490426.0,-1135278.0,398704.0,1227000.0,9.26,-2.79,-6.46,2.27,6.99,4.07,0.25,0.0,0.0
2020-01-15,-1826530.0,1568398.0,258132.0,-1826530.0,0.0,-12.19,10.46,1.72,-12.19,0.0,4.0,-1.72,0.0,0.0
2020-01-16,686143.0,-120315.0,-565826.0,686143.0,0.0,9.74,-1.71,-8.04,9.74,0.0,3.99,-0.25,0.0,0.0
2020-01-17,629601.0,-344947.0,-284655.0,629601.0,0.0,6.84,-3.75,-3.09,6.84,0.0,3.97,-0.5,0.0,0.0
2020-01-20,-550304.0,779722.0,-229419.0,-550304.0,0.0,-5.16,7.31,-2.15,-5.16,0.0,3.98,0.25,0.0,0.0
2020-01-21,2409.0,-165915.0,163505.0,2409.0,0.0,0.03,-2.08,2.05,0.03,0.0,3.93,-1.26,0.0,0.0
2020-01-22,294148.0,-130750.0,-163399.0,294148.0,0.0,2.94,-1.31,-1.63,2.94,0.0,3.93,0.0,0.0,0.0
2020-01-23,-1250629.0,2077762.0,-827133.0,-1250629.0,0.0,-9.24,15.35,-6.11,-9.24,0.0,3.81,-3.05,0.0,0.0
2020-02-03,-1057968.0,2611311.0,-1553343.0,-3640758.0,2582790.0,-6.14,15.16,-9.02,-21.14,15.0,3.43,-9.97,0.0,0.0
2020-02-04,-190084.0,-294194.0,484277.0,-190084.0,0.0,-0.96,-1.49,2.46,-0.96,0.0,3.34,-2.62,0.0,0.0
2020-02-05,-1081747.0,-52834.0,1134581.0,-1071083.0,-10664.0,-7.87,-0.38,8.26,-7.8,-0.08,3.41,2.1,0.0,0.0
2020-02-06,-98311.0,692637.0,-594326.0,-98311.0,0.0,-0.63,4.45,-3.82,-0.63,0.0,3.44,0.88,0.0,0.0
2020-02-07,-338112.0,662205.0,-324091.0,-299707.0,-38405.0,-2.93,5.74,-2.81,-2.6,-0.33,3.46,0.58,0.0,0.0
2020-02-10,405602.0,153853.0,-559456.0,405602.0,0.0,3.1,1.18,-4.28,3.1,0.0,3.52,1.73,0.0,0.0
2020-02-11,-751548.0,536566.0,214983.0,-751548.0,0.0,-6.74,4.81,1.93,-6.74,0.0,3.53,0.28,0.0,0.0
2020-02-12,-282523.0,10723.0,271800.0,-337238.0,54715.0,-2.2,0.08,2.12,-2.63,0.43,3.55,0.57,0.0,0.0
2020-02-13,2856702.0,-4756360.0,1899659.0,3023730.0,-167028.0,8.89,-14.81,5.91,9.41,-0.52,3.62,1.97,0.0,0.0
2020-02-14,-3726162.0,2430844.0,1295318.0,-3726162.0,0.0,-18.23,11.89,6.34,-18.23,0.0,3.57,-1.38,0.0,0.0
2020-02-17,452790.0,979427.0,-1432219.0,-363755.0,816545.0,2.34,5.06,-7.39,-1.88,4.22,3.66,2.52,0.0,0.0
2020-02-18,-902827.0,149875.0,752953.0,-902827.0,0.0,-4.38,0.73,3.65,-4.38,0.0,3.69,0.82,0.0,0.0
2020-02-19,-140222.0,-2258700.0,2398921.0,-140222.0,0.0,-0.48,-7.68,8.16,-0.48,0.0,3.75,1.63,0.0,0.0
2020-02-20,3601901.0,-2755710.0,-846192.0,2375582.0,1226319.0,8.11,-6.2,-1.91,5.35,2.76,3.9,4.0,0.0,0.0
2020-02-21,-4628444.0,3709925.0,918519.0,-2571675.0,-2056769.0,-5.6,4.49,1.11,-3.11,-2.49,3.96,1.54,0.0,0.0
2020-02-24,-11608858.0,6774284.0,4834574.0,-5117068.0,-6491790.0,-23.5,13.71,9.78,-10.36,-13.14,3.9,-1.52,0.0,0.0
2020-02-25,-3848155.0,3580581.0,267574.0,-4181130.0,332975.0,-10.19,9.48,0.71,-11.07,0.88,3.81,-2.31,0.0,0.0
2020-02-26,-2464571.0,124350.0,2340221.0,-2464571.0,0.0,-6.67,0.34,6.34,-6.67,0.0,3.85,1.05,0.0,0.0
2020-02-27,-1014433.0,1828299.0,-813868.0,-1014433.0,0.0,-5.07,9.14,-4.07,-5.07,0.0,3.82,-0.78,0.0,0.0
2020-02-28,-1292887.0,2122982.0,-830094.0,-1292887.0,0.0,-4.89,8.03,-3.14,-4.89,0.0,3.64,-4.71,0.0,0.0
2020-03-02,1340104.0,-411833.0,-928271.0,1340104.0,0.0,8.53,-2.62,-5.91,8.53,0.0,3.78,3.85,0.0,0.0
2020-03-03,442942.0,-204821.0,-238122.0,442942.0,0.0,1.76,-0.81,-0.95,1.76,0.0,3.83,1.32,0.0,0.0
2020-03-04,6539133.0,-5145493.0,-1393640.0,4014507.0,2524626.0,8.89,-7.0,-1.9,5.46,3.43,4.01,4.7,0.0,0.0
2020-03-05,-5268845.0,4266345.0,1002500.0,-1458725.0,-3810120.0,-13.03,10.55,2.48,-3.61,-9.42,4.01,0.0,0.0,0.0
2020-03-06,-6356643.0,3323457.0,3033186.0,-2900582.0,-3456061.0,-18.93,9.9,9.03,-8.64,-10.29,3.94,-1.75,0.0,0.0
2020-03-09,-4363545.0,2351310.0,2012235.0,-4485118.0,121573.0,-15.09,8.13,6.96,-15.51,0.42,3.85,-2.28,0.0,0.0
2020-03-10,-1476616.0,2879392.0,-1402777.0,-1476616.0,0.0,-5.18,10.11,-4.93,-5.18,0.0,3.87,0.52,0.0,0.0
2020-03-11,2143277.0,-2632973.0,489696.0,1954774.0,188503.0,8.03,-9.87,1.83,7.32,0.71,3.89,0.52,0.0,0.0
2020-03-12,-4867399.0,4728654.0,138745.0,-4867399.0,0.0,-19.92,19.35,0.57,-19.92,0.0,3.77,-3.08,0.0,0.0
2020-03-13,-148322.0,1222345.0,-1074023.0,-148322.0,0.0,-0.76,6.24,-5.48,-0.76,0.0,3.71,-1.59,0.0,0.0
2020-03-16,-1822712.0,1705373.0,117340.0,-1653747.0,-168965.0,-10.02,9.37,0.64,-9.09,-0.93,3.62,-2.43,0.0,0.0
2020-03-17,461220.0,100752.0,-561971.0,839744.0,-378524.0,2.93,0.64,-3.57,5.33,-2.4,3.63,0.28,0.0,0.0
2020-03-18,-3758596.0,1883108.0,1875488.0,386183.0,-4144779.0,-14.81,7.42,7.39,1.52,-16.33,3.54,-2.48,0.0,0.0
2020-03-19,-1357734.0,2561732.0,-1203996.0,-1840384.0,482650.0,-6.84,12.9,-6.06,-9.27,2.43,3.56,0.56,0.0,0.0
2020-03-20,865941.0,-1192383.0,326443.0,865941.0,0.0,8.56,-11.78,3.23,8.56,0.0,3.62,1.69,0.0,0.0
2020-03-23,-1640680.0,1977747.0,-337067.0,-1637840.0,-2840.0,-16.01,19.3,-3.29,-15.98,-0.03,3.53,-2.49,0.0,0.0
2020-03-24,341311.0,-671332.0,330020.0,341311.0,0.0,3.12,-6.14,3.02,3.12,0.0,3.58,1.42,0.0,0.0
2020-03-25,-53824.0,-236862.0,290687.0,1016966.0,-1070790.0,-0.21,-0.93,1.14,3.98,-4.19,3.63,1.4,0.0,0.0
2020-03-26,-1268013.0,1412422.0,-144410.0,-1443432.0,175419.0,-9.41,10.48,-1.07,-10.71,1.3,3.58,-1.38,0.0,0.0
2020-03-27,256820.0,-239967.0,-16853.0,951487.0,-694667.0,1.16,-1.09,-0.08,4.31,-3.15,3.63,1.4,0.0,0.0
2020-03-30,-1324356.0,1935843.0,-611486.0,-3012385.0,1688029.0,-1.77,2.59,-0.82,-4.02,2.25,3.7,1.93,0.0,0.0
2020-03-31,-5766643.0,1773563.0,3993080.0,-4191086.0,-1575557.0,-17.12,5.26,11.85,-12.44,-4.68,3.61,-2.43,0.0,0.0
2020-04-01,-519957.0,6460.0,513496.0,-624067.0,104110.0,-2.8,0.03,2.77,-3.36,0.56,3.58,-0.83,0.0,0.0
2020-04-02,559654.0,27496.0,-587151.0,559654.0,0.0,4.3,0.21,-4.51,4.3,0.0,3.6,0.56,0.0,0.0
2020-04-03,-2080579.0,321628.0,1758952.0,-2080579.0,0.0,-21.55,3.33,18.22,-21.55,0.0,3.57,-0.83,0.0,0.0
2020-04-07,-934589.0,-560488.0,1495076.0,-934589.0,0.0,-5.78,-3.47,9.25,-5.78,0.0,3.63,1.68,0.0,0.0
2020-04-08,-1708471.0,2258541.0,-550071.0,-1708471.0,0.0,-11.57,15.3,-3.73,-11.57,0.0,3.61,-0.55,0.0,0.0
2020-04-09,-1977771.0,586074.0,1391697.0,-1977771.0,0.0,-14.57,4.32,10.25,-14.57,0.0,3.63,0.55,0.0,0.0
2020-04-10,1508222.0,244676.0,-1752897.0,1081576.0,426646.0,14.36,2.33,-16.7,10.3,4.06,3.59,-1.1,0.0,0.0
2020-04-13,-333333.0,789308.0,-455975.0,-333333.0,0.0,-3.8,8.99,-5.2,-3.8,0.0,3.53,-1.67,0.0,0.0
2020-04-14,-964679.0,430144.0,534535.0,-964679.0,0.0,-8.72,3.89,4.83,-8.72,0.0,3.56,0.85,0.0,0.0
2020-04-15,-882663.0,808664.0,74000.0,-882663.0,0.0,-8.62,7.9,0.72,-8.62,0.0,3.53,-0.84,0.0,0.0
2020-04-16,-1585048.0,379977.0,1205071.0,500252.0,-2085300.0,-9.24,2.21,7.02,2.92,-12.15,3.53,0.0,0.0,0.0
2020-04-17,378941.0,-1893119.0,1514178.0,378941.0,0.0,3.96,-19.77,15.81,3.96,0.0,3.55,0.57,0.0,0.0
2020-04-20,-646371.0,2743722.0,-2097352.0,-646371.0,0.0,-3.88,16.47,-12.59,-3.88,0.0,3.47,-2.25,0.0,0.0
2020-04-21,-1710499.0,-2800470.0,4510968.0,-1710499.0,0.0,-9.06,-14.83,23.89,-9.06,0.0,3.52,1.44,0.0,0.0
2020-04-22,-72517.0,1131203.0,-1058686.0,-72517.0,0.0,-0.81,12.66,-11.85,-0.81,0.0,3.49,-0.85,0.0,0.0
2020-04-23,637416.0,70070.0,-707485.0,637416.0,0.0,5.91,0.65,-6.55,5.91,0.0,3.54,1.43,0.0,0.0
2020-04-24,846468.0,-319008.0,-527461.0,846468.0,0.0,10.92,-4.12,-6.81,10.92,0.0,3.48,-1.69,0.0,0.0
2020-04-27,-1009582.0,1272867.0,-263285.0,-1009582.0,0.0,-13.52,17.04,-3.53,-13.52,0.0,3.45,-0.86,0.0,0.0
2020-04-28,-363782.0,191160.0,172621.0,-363782.0,0.0,-3.39,1.78,1.61,-3.39,0.0,3.39,-1.74,0.0,0.0
2020-04-29,-8705.0,840324.0,-831619.0,-8705.0,0.0,-0.1,9.55,-9.45,-0.1,0.0,3.4,0.29,0.0,0.0
2020-04-30,-1252766.0,426517.0,826249.0,-396246.0,-856520.0,-8.76,2.98,5.78,-2.77,-5.99,3.4,0.0,0.0,0.0
2020-05-06,-1082928.0,612556.0,470373.0,-1082928.0,0.0,-13.01,7.36,5.65,-13.01,0.0,3.41,0.29,0.0,0.0
2020-05-07,42641.0,511183.0,-553825.0,42641.0,0.0,0.69,8.31,-9.0,0.69,0.0,3.42,0.29,0.0,0.0
2020-05-08,263676.0,-550629.0,286953.0,263676.0,0.0,2.71,-5.66,2.95,2.71,0.0,3.42,0.0,0.0,0.0
2020-05-11,208467.0,-665834.0,457367.0,208467.0,0.0,2.86,-9.14,6.28,2.86,0.0,3.39,-0.88,0.0,0.0
2020-05-12,-1528460.0,885205.0,643255.0,-1528460.0,0.0,-11.63,6.74,4.9,-11.63,0.0,3.33,-1.77,0.0,0.0
2020-05-13,311557.0,-327158.0,15601.0,311557.0,0.0,2.86,-3.01,0.14,2.86,0.0,3.42,2.7,0.0,0.0
2020-05-14,-830865.0,939196.0,-108332.0,-830865.0,0.0,-10.91,12.33,-1.42,-10.91,0.0,3.38,-1.17,0.0,0.0
2020-05-15,327659.0,-793751.0,466092.0,327659.0,0.0,5.83,-14.12,8.29,5.83,0.0,3.37,-0.3,0.0,0.0
2020-05-18,-893469.0,1045532.0,-152063.0,-657310.0,-236159.0,-8.28,9.69,-1.41,-6.09,-2.19,3.36,-0.3,0.0,0.0
2020-05-19,454927.0,64888.0,-519816.0,454927.0,0.0,7.2,1.03,-8.23,7.2,0.0,3.38,0.6,0.0,0.0
2020-05-20,535276.0,-75812.0,-459464.0,367776.0,167500.0,5.23,-0.74,-4.49,3.59,1.64,3.35,-0.89,0.0,0.0
2020-05-21,488561.0,-118881.0,-369680.0,488561.0,0.0,5.1,-1.24,-3.86,5.1,0.0,3.38,0.9,0.0,0.0
2020-05-22,-392432.0,93056.0,299375.0,-392432.0,0.0,-5.67,1.35,4.33,-5.67,0.0,3.35,-0.89,0.0,0.0
2020-05-25,344912.0,-700442.0,355531.0,341572.0,3340.0,7.52,-15.28,7.75,7.45,0.07,3.36,0.3,0.0,0.0
2020-05-26,745037.0,-503805.0,-241232.0,745037.0,0.0,10.94,-7.4,-3.54,10.94,0.0,3.38,0.6,0.0,0.0
2020-05-27,-1775486.0,917405.0,858081.0,-433730.0,-1341756.0,-17.7,9.15,8.55,-4.32,-13.38,3.39,0.3,0.0,0.0
2020-05-28,-908490.0,1020219.0,-111730.0,-908490.0,0.0,-8.01,8.99,-0.98,-8.01,0.0,3.42,0.88,0.0,0.0
2020-05-29,1428305.0,-606609.0,-821695.0,1428305.0,0.0,10.76,-4.57,-6.19,10.76,0.0,3.47,1.46,0.0,0.0
2020-06-01,-58097.0,-762077.0,820173.0,-58097.0,0.0,-0.34,-4.45,4.79,-0.34,0.0,3.52,1.44,0.0,0.0
2020-06-02,-1267739.0,1964348.0,-696609.0,-1267739.0,0.0,-9.44,14.62,-5.19,-9.44,0.0,3.49,-0.85,0.0,0.0
2020-06-03,610796.0,-721474.0,110678.0,610796.0,0.0,7.02,-8.29,1.27,7.02,0.0,3.48,-0.29,0.0,0.0
2020-06-04,-369331.0,218547.0,150785.0,-369331.0,0.0,-4.5,2.66,1.84,-4.5,0.0,3.5,0.57,0.0,0.0
2020-06-05,977049.0,-1017932.0,40882.0,977049.0,0.0,13.91,-14.5,0.58,13.91,0.0,3.5,0.0,0.0,0.0
2020-06-08,-1495960.0,1116694.0,379266.0,-1495960.0,0.0,-18.92,14.13,4.8,-18.92,0.0,3.46,-1.14,0.0,0.0
2020-06-09,-358483.0,-114519.0,473002.0,-358483.0,0.0,-5.24,-1.67,6.91,-5.24,0.0,3.46,0.0,0.0,0.0
2020-06-10,137934.0,-254747.0,116812.0,137934.0,0.0,2.37,-4.38,2.01,2.37,0.0,3.43,-0.87,0.0,0.0
2020-06-11,202186.0,-36265.0,-165922.0,202186.0,0.0,2.92,-0.52,-2.4,2.92,0.0,3.43,0.0,0.0,0.0
2020-06-12,-683898.0,-515192.0,1199091.0,-683898.0,0.0,-5.96,-4.49,10.46,-5.96,0.0,3.38,-1.46,0.0,0.0
2020-06-15,3497630.0,-2231659.0,-1265972.0,3324074.0,173556.0,9.52,-6.07,-3.45,9.05,0.47,3.51,3.85,0.0,0.0
2020-06-16,-1933175.0,2292774.0,-359599.0,-1933175.0,0.0,-12.57,14.91,-2.34,-12.57,0.0,3.52,0.28,0.0,0.0
2020-06-18,849004.0,68897.0,-917901.0,849004.0,0.0,8.64,0.7,-9.34,8.64,0.0,3.5,0.0,0.0,0.0
2020-06-19,648631.0,-1149169.0,500537.0,648631.0,0.0,6.34,-11.24,4.89,6.34,0.0,3.51,0.29,0.0,0.0
2020-06-22,66065.0,-347160.0,281094.0,66065.0,0.0,0.78,-4.11,3.33,0.78,0.0,3.49,-0.57,0.0,0.0
2020-06-23,-1347224.0,936581.0,410642.0,-1347224.0,0.0,-14.63,10.17,4.46,-14.63,0.0,3.45,-1.15,0.0,0.0
2020-06-29,-2760292.0,859743.0,1900548.0,-2675834.0,-84458.0,-26.83,8.36,18.47,-26.01,-0.82,3.45,-1.43,0.0,0.0
2020-06-30,-1942001.0,139933.0,1802067.0,-1942001.0,0.0,-16.68,1.2,15.48,-16.68,0.0,3.45,0.0,0.0,0.0
2020-07-01,297117.0,-1037616.0,740501.0,1593223.0,-1296106.0,0.97,-3.38,2.41,5.19,-4.22,3.52,2.03,0.0,0.0
2020-07-02,976656.0,-258665.0,-717991.0,657890.0,318766.0,3.45,-0.91,-2.54,2.33,1.13,3.56,1.14,0.0,0.0
2020-07-06,18763673.0,-9618239.0,-9145433.0,9274888.0,9488785.0,22.9,-11.74,-11.16,11.32,11.58,3.88,7.48,0.0,0.0
2020-07-08,4369664.0,-1144581.0,-3225084.0,3386695.0,982969.0,9.99,-2.62,-7.38,7.75,2.25,3.82,1.06,0.0,0.0
