date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-31347494.0,25921208.0,5426287.0,-28320783.0,-3026711.0,-10.86,8.98,1.88,-9.82,-1.05,6.61,-2.65,0.0,0.0
2020-01-09,-8721760.0,3771273.0,4950487.0,-2790489.0,-5931271.0,-4.97,2.15,2.82,-1.59,-3.38,6.66,0.76,0.0,0.0
2020-01-10,11341956.0,-1203653.0,-10138303.0,3518448.0,7823508.0,5.32,-0.56,-4.76,1.65,3.67,6.66,0.0,0.0,0.0
2020-01-13,-135693.0,12103914.0,-11968220.0,1494110.0,-1629803.0,-0.08,6.88,-6.81,0.85,-0.93,6.68,0.3,0.0,0.0
2020-01-14,9017040.0,-4953987.0,-4063053.0,5880529.0,3136511.0,4.17,-2.29,-1.88,2.72,1.45,6.71,0.45,0.0,0.0
2020-01-15,-32090053.0,18566225.0,13523828.0,-21927204.0,-10162849.0,-16.08,9.3,6.78,-10.99,-5.09,6.62,-1.34,0.0,0.0
2020-01-16,-38413924.0,28653051.0,9760873.0,-24625120.0,-13788804.0,-25.65,19.13,6.52,-16.44,-9.21,6.54,-1.21,0.0,0.0
2020-01-17,-23051839.0,13948293.0,9103546.0,-4897016.0,-18154823.0,-20.17,12.2,7.97,-4.28,-15.89,6.56,0.31,0.0,0.0
2020-01-20,32685520.0,-28498813.0,-4186707.0,14285850.0,18399670.0,15.06,-13.13,-1.93,6.58,8.48,6.75,2.9,0.0,0.0
2020-01-21,-58753425.0,33432943.0,25320483.0,-11040849.0,-47712576.0,-27.56,15.68,11.88,-5.18,-22.38,6.54,-3.11,0.0,0.0
2020-01-22,-5093662.0,10622883.0,-5529221.0,-8386378.0,3292716.0,-3.03,6.32,-3.29,-4.99,1.96,6.56,0.31,0.0,0.0
2020-01-23,-55322982.0,37154253.0,18168729.0,-27414100.0,-27908882.0,-22.71,15.25,7.46,-11.25,-11.45,6.29,-4.12,0.0,0.0
2020-02-03,-9870548.0,18316156.0,-8445609.0,-12006994.0,2136446.0,-8.78,16.29,-7.51,-10.68,1.9,5.66,-10.02,0.0,0.0
2020-02-04,-6218253.0,-2236651.0,8454904.0,-5871662.0,-346591.0,-2.08,-0.75,2.83,-1.97,-0.12,5.66,0.0,0.0,0.0
2020-02-05,-36963238.0,24905429.0,12057810.0,-39909681.0,2946443.0,-12.86,8.66,4.19,-13.88,1.02,5.77,1.94,0.0,0.0
2020-02-06,19031643.0,-1551620.0,-17480022.0,16160699.0,2870944.0,7.92,-0.65,-7.28,6.73,1.2,5.88,1.91,0.0,0.0
2020-02-07,-14529475.0,16104247.0,-1574772.0,-13106417.0,-1423058.0,-8.56,9.49,-0.93,-7.72,-0.84,5.91,0.51,0.0,0.0
2020-02-10,7438542.0,-6120243.0,-1318299.0,14555216.0,-7116674.0,3.26,-2.68,-0.58,6.38,-3.12,6.06,2.54,0.0,0.0
2020-02-11,-28008374.0,18313608.0,9694766.0,-17155536.0,-10852838.0,-12.45,8.14,4.31,-7.63,-4.83,6.08,0.33,0.0,0.0
2020-02-12,-7239840.0,5303441.0,1936400.0,-5634733.0,-1605107.0,-5.73,4.19,1.53,-4.46,-1.27,6.12,0.66,0.0,0.0
2020-02-13,-7640434.0,3326374.0,4314062.0,2073668.0,-9714102.0,-4.29,1.87,2.42,1.16,-5.46,6.09,-0.49,0.0,0.0
2020-02-14,-6606271.0,-611241.0,7217511.0,-1290820.0,-5315451.0,-4.5,-0.42,4.91,-0.88,-3.62,6.12,0.49,0.0,0.0
2020-02-17,4024892.0,-8343865.0,4318973.0,-4779271.0,8804163.0,1.68,-3.49,1.81,-2.0,3.68,6.21,1.47,0.0,0.0
2020-02-18,-48935726.0,28293646.0,20642080.0,-21134649.0,-27801077.0,-25.4,14.69,10.71,-10.97,-14.43,6.16,-0.81,0.0,0.0
2020-02-19,-18955798.0,9511383.0,9444414.0,-4178648.0,-14777150.0,-12.88,6.46,6.42,-2.84,-10.04,6.12,-0.65,0.0,0.0
2020-02-20,-11479483.0,10173651.0,1305831.0,-21018658.0,9539175.0,-4.93,4.37,0.56,-9.02,4.09,6.18,0.98,0.0,0.0
2020-02-21,-22190159.0,9903616.0,12286542.0,-13341427.0,-8848732.0,-9.99,4.46,5.53,-6.01,-3.98,6.14,-0.65,0.0,0.0
2020-02-24,-41948670.0,22131235.0,19817434.0,-11184763.0,-30763907.0,-16.76,8.84,7.92,-4.47,-12.29,6.07,-1.14,0.0,0.0
2020-02-25,-41961543.0,20369759.0,21591784.0,-25110344.0,-16851199.0,-14.13,6.86,7.27,-8.46,-5.67,5.94,-2.14,0.0,0.0
2020-02-26,222452132.0,-172009970.0,-50442144.0,44083813.0,178368319.0,19.85,-15.35,-4.5,3.93,15.92,6.53,9.93,0.0,0.0
2020-02-27,-19947128.0,-16936593.0,36883728.0,-3126392.0,-16820736.0,-2.16,-1.84,4.0,-0.34,-1.83,6.6,1.07,0.0,0.0
2020-02-28,29674915.0,-41390967.0,11716064.0,6263985.0,23410930.0,3.38,-4.71,1.33,0.71,2.67,6.65,0.76,0.0,0.0
2020-03-02,149299470.0,-92607593.0,-56691872.0,29676592.0,119622878.0,12.45,-7.72,-4.73,2.47,9.97,7.24,8.87,0.0,0.0
2020-03-03,-115852741.0,82747056.0,33105664.0,2844016.0,-118696757.0,-10.18,7.27,2.91,0.25,-10.43,7.09,-2.07,0.0,0.0
2020-03-04,-13600712.0,3276536.0,10324175.0,-4888696.0,-8712016.0,-2.16,0.52,1.64,-0.78,-1.39,7.14,0.71,0.0,0.0
2020-03-05,-51651042.0,38941633.0,12709409.0,-47954244.0,-3696798.0,-8.35,6.29,2.05,-7.75,-0.6,7.11,-0.42,0.0,0.0
2020-03-06,-101935116.0,90207482.0,11727634.0,-48031420.0,-53903696.0,-19.51,17.27,2.24,-9.19,-10.32,6.82,-4.08,0.0,0.0
