date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-105471.0,350039.0,-244568.0,2934338.0,-3039809.0,-0.51,1.7,-1.18,14.21,-14.72,2.99,-1.64,0.0,0.0
2020-01-09,-2693886.0,965119.0,1728767.0,-1189019.0,-1504867.0,-21.27,7.62,13.65,-9.39,-11.88,2.98,-0.33,0.0,0.0
2020-01-10,604522.0,-1055773.0,451251.0,1039006.0,-434484.0,6.35,-11.09,4.74,10.91,-4.56,2.98,0.0,0.0,0.0
2020-01-13,-875622.0,-36485.0,912107.0,-666610.0,-209012.0,-7.47,-0.31,7.78,-5.69,-1.78,2.95,-1.01,0.0,0.0
2020-01-14,-855104.0,189066.0,666038.0,-855104.0,0.0,-8.22,1.82,6.4,-8.22,0.0,2.94,-0.34,0.0,0.0
2020-01-15,-1578829.0,-251710.0,1830540.0,-1578829.0,0.0,-15.87,-2.53,18.4,-15.87,0.0,2.92,-0.68,0.0,0.0
2020-01-16,230832.0,-240551.0,9719.0,230832.0,0.0,1.9,-1.98,0.08,1.9,0.0,2.94,0.68,0.0,0.0
2020-01-17,-629811.0,167103.0,462707.0,-629811.0,0.0,-7.22,1.92,5.3,-7.22,0.0,2.93,-0.34,0.0,0.0
2020-01-20,1137465.0,-2799947.0,1662481.0,1117315.0,20150.0,3.42,-8.43,5.01,3.36,0.06,3.07,4.78,0.0,0.0
2020-01-21,-554720.0,-559477.0,1114198.0,-1628930.0,1074210.0,-3.1,-3.13,6.24,-9.12,6.01,3.05,-0.65,0.0,0.0
2020-01-22,3576555.0,-2626539.0,-950016.0,2493733.0,1082822.0,18.01,-13.22,-4.78,12.56,5.45,3.14,2.95,0.0,0.0
2020-01-23,794072.0,-54470.0,-739604.0,982185.0,-188113.0,3.25,-0.22,-3.03,4.02,-0.77,3.03,-3.5,0.0,0.0
2020-02-03,53335.0,1324490.0,-1377826.0,-4452250.0,4505585.0,0.18,4.47,-4.64,-15.01,15.19,2.73,-9.9,0.0,0.0
2020-02-04,1152957.0,-655324.0,-497633.0,1238656.0,-85699.0,4.46,-2.54,-1.93,4.79,-0.33,2.65,-2.93,0.0,0.0
2020-02-05,-3564051.0,513981.0,3050070.0,-3563232.0,-819.0,-16.17,2.33,13.84,-16.16,-0.0,2.67,0.75,0.0,0.0
2020-02-06,-1656213.0,701898.0,954315.0,-1656213.0,0.0,-11.19,4.74,6.45,-11.19,0.0,2.68,0.37,0.0,0.0
2020-02-07,77497.0,508832.0,-586328.0,77497.0,0.0,0.66,4.31,-4.97,0.66,0.0,2.68,0.0,0.0,0.0
2020-02-10,-634296.0,528712.0,105584.0,-634296.0,0.0,-6.48,5.4,1.08,-6.48,0.0,2.72,1.49,0.0,0.0
2020-02-11,1181152.0,-1290965.0,109811.0,1181152.0,0.0,9.93,-10.85,0.92,9.93,0.0,2.75,1.1,0.0,0.0
2020-02-12,-1204445.0,1263021.0,-58576.0,-1204445.0,0.0,-8.29,8.7,-0.4,-8.29,0.0,2.75,0.0,0.0,0.0
2020-02-13,-4392765.0,1076422.0,3316342.0,513901.0,-4906666.0,-18.53,4.54,13.99,2.17,-20.7,2.76,0.36,0.0,0.0
2020-02-14,566691.0,487753.0,-1054443.0,-115685.0,682376.0,3.5,3.01,-6.5,-0.71,4.21,2.77,0.36,0.0,0.0
2020-02-17,-3072209.0,2583975.0,488234.0,-2715339.0,-356870.0,-12.4,10.43,1.97,-10.96,-1.44,2.8,1.08,0.0,0.0
2020-02-18,181162.0,8610.0,-189772.0,181162.0,0.0,1.13,0.05,-1.19,1.13,0.0,2.8,0.0,0.0,0.0
2020-02-19,-1064265.0,1617294.0,-553027.0,-1064265.0,0.0,-6.71,10.2,-3.49,-6.71,0.0,2.78,-0.71,0.0,0.0
2020-02-20,-612308.0,527388.0,84920.0,-640521.0,28213.0,-3.29,2.84,0.46,-3.45,0.15,2.81,1.08,0.0,0.0
2020-02-21,807283.0,-2002486.0,1195203.0,1011475.0,-204192.0,2.82,-6.99,4.17,3.53,-0.71,2.88,2.49,0.0,0.0
2020-02-24,-3373416.0,1199114.0,2174303.0,-1498915.0,-1874501.0,-13.44,4.78,8.66,-5.97,-7.47,2.89,0.35,0.0,0.0
2020-02-25,-357201.0,-15207.0,372407.0,-357201.0,0.0,-1.45,-0.06,1.51,-1.45,0.0,2.89,0.0,0.0,0.0
2020-02-26,766845.0,1082233.0,-1849077.0,-244415.0,1011260.0,2.14,3.02,-5.17,-0.68,2.83,2.93,1.38,0.0,0.0
2020-02-27,-3213444.0,1404139.0,1809305.0,-1829170.0,-1384274.0,-15.6,6.81,8.78,-8.88,-6.72,2.9,-1.02,0.0,0.0
2020-02-28,-707253.0,1008536.0,-301284.0,368437.0,-1075690.0,-2.9,4.14,-1.24,1.51,-4.41,2.8,-3.45,0.0,0.0
2020-03-02,-2541540.0,1060936.0,1480603.0,-2541540.0,0.0,-11.0,4.59,6.41,-11.0,0.0,2.86,2.14,0.0,0.0
2020-03-03,502788.0,-266256.0,-236531.0,863640.0,-360852.0,1.74,-0.92,-0.82,3.0,-1.25,2.88,0.7,0.0,0.0
2020-03-04,-2423889.0,-11799.0,2435687.0,-1890417.0,-533472.0,-4.89,-0.02,4.91,-3.81,-1.08,2.99,3.82,0.0,0.0
2020-03-05,-3170282.0,2615955.0,554326.0,-4282655.0,1112373.0,-8.26,6.81,1.44,-11.15,2.9,3.0,0.33,0.0,0.0
2020-03-06,889409.0,1502825.0,-2392234.0,-214129.0,1103538.0,2.83,4.78,-7.61,-0.68,3.51,3.0,0.0,0.0,0.0
2020-03-09,1371655.0,389621.0,-1761276.0,1574624.0,-202969.0,3.52,1.0,-4.52,4.04,-0.52,2.96,-1.33,0.0,0.0
2020-03-10,-468814.0,211437.0,257378.0,814013.0,-1282827.0,-1.36,0.61,0.74,2.35,-3.71,3.02,2.03,0.0,0.0
2020-03-11,-3918153.0,2138638.0,1779513.0,-3236193.0,-681960.0,-16.79,9.16,7.62,-13.86,-2.92,2.97,-1.66,0.0,0.0
2020-03-12,-2330054.0,788495.0,1541558.0,-2330054.0,0.0,-9.43,3.19,6.24,-9.43,0.0,2.94,-1.01,0.0,0.0
2020-03-13,1115479.0,-1086614.0,-28865.0,1831909.0,-716430.0,3.25,-3.17,-0.08,5.34,-2.09,3.0,2.04,0.0,0.0
2020-03-16,1704881.0,-905983.0,-798897.0,2490644.0,-785763.0,3.16,-1.68,-1.48,4.62,-1.46,2.99,-0.33,0.0,0.0
2020-03-17,-2611808.0,2598810.0,12999.0,-1328357.0,-1283451.0,-6.11,6.07,0.03,-3.11,-3.0,2.94,-1.67,0.0,0.0
2020-03-18,1453753.0,-617035.0,-836719.0,1316215.0,137538.0,6.2,-2.63,-3.57,5.62,0.59,2.88,-2.04,0.0,0.0
2020-03-19,-146677.0,-738398.0,885075.0,-234004.0,87327.0,-0.77,-3.86,4.63,-1.22,0.46,2.84,-1.39,0.0,0.0
2020-03-20,-80692.0,168601.0,-87910.0,-80692.0,0.0,-0.62,1.3,-0.68,-0.62,0.0,2.86,0.7,0.0,0.0
2020-03-23,-3638276.0,3552079.0,86197.0,-3638276.0,0.0,-19.19,18.74,0.45,-19.19,0.0,2.77,-3.15,0.0,0.0
2020-03-24,-3205979.0,1190318.0,2015661.0,-4233505.0,1027526.0,-7.33,2.72,4.61,-9.67,2.35,2.82,1.81,0.0,0.0
2020-03-25,3065003.0,-1321803.0,-1743199.0,3065003.0,0.0,12.27,-5.29,-6.98,12.27,0.0,2.87,1.77,0.0,0.0
2020-03-26,-2135242.0,2366950.0,-231708.0,-1020620.0,-1114622.0,-11.42,12.66,-1.24,-5.46,-5.96,2.84,-1.05,0.0,0.0
2020-03-27,-1537665.0,1134867.0,402799.0,-1537665.0,0.0,-9.97,7.36,2.61,-9.97,0.0,2.83,-0.35,0.0,0.0
2020-03-30,-1236715.0,1354866.0,-118152.0,-2507868.0,1271153.0,-9.24,10.12,-0.88,-18.74,9.5,2.78,-1.77,0.0,0.0
2020-03-31,844867.0,-206560.0,-638308.0,844867.0,0.0,12.06,-2.95,-9.11,12.06,0.0,2.8,0.72,0.0,0.0
2020-04-01,-2465861.0,528683.0,1937177.0,-2465861.0,0.0,-24.36,5.22,19.14,-24.36,0.0,2.8,0.0,0.0,0.0
2020-04-02,1857131.0,-722579.0,-1134553.0,1230491.0,626640.0,17.19,-6.69,-10.5,11.39,5.8,2.82,0.71,0.0,0.0
2020-04-03,-424002.0,661898.0,-237896.0,-424002.0,0.0,-5.1,7.96,-2.86,-5.1,0.0,2.82,0.0,0.0,0.0
2020-04-07,963305.0,835932.0,-1799238.0,963305.0,0.0,8.34,7.23,-15.57,8.34,0.0,2.84,0.71,0.0,0.0
2020-04-08,-539920.0,575769.0,-35849.0,-539920.0,0.0,-6.2,6.61,-0.41,-6.2,0.0,2.82,-0.7,0.0,0.0
2020-04-09,-48292.0,-408816.0,457108.0,-1162438.0,1114146.0,-0.45,-3.78,4.23,-10.75,10.3,2.84,0.71,0.0,0.0
2020-04-10,-882653.0,979489.0,-96836.0,-882653.0,0.0,-6.74,7.48,-0.74,-6.74,0.0,2.81,-1.06,0.0,0.0
2020-04-13,3063660.0,-610108.0,-2453552.0,3272836.0,-209176.0,19.06,-3.8,-15.27,20.37,-1.3,2.82,0.36,0.0,0.0
2020-04-14,2087080.0,-353839.0,-1733241.0,1046640.0,1040440.0,5.38,-0.91,-4.47,2.7,2.68,2.89,2.48,0.0,0.0
2020-04-15,1273263.0,714675.0,-1987938.0,763776.0,509487.0,8.05,4.52,-12.57,4.83,3.22,2.9,0.35,0.0,0.0
2020-04-16,-2506152.0,-1671808.0,4177960.0,-2506152.0,0.0,-9.72,-6.48,16.2,-9.72,0.0,2.95,1.72,0.0,0.0
2020-04-17,-1072482.0,129766.0,942715.0,-2269950.0,1197468.0,-2.43,0.29,2.14,-5.15,2.72,3.02,2.37,0.0,0.0
2020-04-20,1237702.0,-1187844.0,-49858.0,-1116695.0,2354397.0,5.3,-5.08,-0.21,-4.78,10.07,3.0,-0.66,0.0,0.0
2020-04-21,-277773.0,1419017.0,-1141244.0,-277773.0,0.0,-1.34,6.83,-5.49,-1.34,0.0,3.0,0.0,0.0,0.0
2020-04-22,9415700.0,-7187209.0,-2228491.0,7154104.0,2261596.0,37.01,-28.25,-8.76,28.12,8.89,3.07,2.33,0.0,0.0
2020-04-23,-1075471.0,-1037280.0,2112751.0,1535483.0,-2610954.0,-3.98,-3.84,7.81,5.68,-9.66,3.04,-0.98,0.0,0.0
2020-04-24,813165.0,-303469.0,-509695.0,813165.0,0.0,6.02,-2.25,-3.77,6.02,0.0,2.99,-1.64,0.0,0.0
2020-04-27,-2320886.0,332036.0,1988850.0,-1290688.0,-1030198.0,-8.07,1.16,6.92,-4.49,-3.58,2.97,-0.67,0.0,0.0
2020-04-28,-1598451.0,5262187.0,-3663736.0,-1712229.0,113778.0,-4.37,14.38,-10.01,-4.68,0.31,2.96,-0.34,0.0,0.0
2020-04-29,-3546773.0,243584.0,3303189.0,-3717515.0,170742.0,-7.98,0.55,7.43,-8.37,0.38,2.95,-0.34,0.0,0.0
2020-04-30,2909746.0,-2960342.0,50596.0,3657246.0,-747500.0,3.66,-3.73,0.06,4.61,-0.94,3.07,4.07,0.0,0.0
2020-05-06,1591103.0,-6424657.0,4833555.0,1640208.0,-49105.0,5.58,-22.52,16.95,5.75,-0.17,3.06,-0.33,0.0,0.0
