date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,3713805.0,2377494.0,-6091299.0,360165.0,3353640.0,6.2,3.97,-10.17,0.6,5.6,20.67,0.24,0.0,0.0
2020-01-09,-187485.0,701771.0,-514286.0,-1717677.0,1530192.0,-0.82,3.07,-2.25,-7.5,6.68,20.46,-1.02,0.0,0.0
2020-01-10,2147724.0,-578488.0,-1569236.0,-5807293.0,7955017.0,2.95,-0.79,-2.16,-7.98,10.93,20.3,-0.78,0.0,0.0
2020-01-13,-3255753.0,7539365.0,-4283612.0,-20782476.0,17526723.0,-2.13,4.94,-2.81,-13.62,11.48,21.63,6.55,0.0,0.0
2020-01-14,-4391166.0,5714786.0,-1323620.0,-10301660.0,5910494.0,-5.39,7.02,-1.63,-12.65,7.26,21.75,0.55,0.0,0.0
2020-01-15,405597.0,13397152.0,-13802749.0,-10236058.0,10641655.0,0.29,9.53,-9.82,-7.28,7.57,22.67,4.23,0.0,0.0
2020-01-16,-2542055.0,16364798.0,-13822743.0,-8580444.0,6038389.0,-1.81,11.68,-9.86,-6.12,4.31,23.12,1.99,0.0,0.0
2020-01-17,2744525.0,6087851.0,-8832376.0,-77075.0,2821600.0,2.74,6.09,-8.83,-0.08,2.82,23.06,-0.26,0.0,0.0
2020-01-20,2552349.0,6216311.0,-8768660.0,-746623.0,3298972.0,2.46,5.99,-8.45,-0.72,3.18,23.1,0.17,0.0,0.0
2020-01-21,12063114.0,1668583.0,-13731697.0,-10332885.0,22395999.0,7.24,1.0,-8.24,-6.2,13.44,23.47,1.6,0.0,0.0
2020-01-22,12203740.0,-1240031.0,-10963709.0,9844629.0,2359111.0,14.33,-1.46,-12.88,11.56,2.77,22.99,-2.05,0.0,0.0
2020-01-23,4084223.0,-6879826.0,2795603.0,4084223.0,0.0,7.82,-13.17,5.35,7.82,0.0,21.92,-4.65,0.0,0.0
2020-02-03,16185393.0,-11074174.0,-5111219.0,5520457.0,10664936.0,15.14,-10.36,-4.78,5.16,9.98,22.6,3.1,0.0,0.0
2020-02-04,25413157.0,-21273891.0,-4139267.0,14896187.0,10516970.0,22.38,-18.73,-3.65,13.12,9.26,22.6,0.0,0.0,0.0
2020-02-05,23293305.0,-11915939.0,-11377366.0,11653354.0,11639951.0,22.84,-11.68,-11.15,11.43,11.41,23.27,2.96,0.0,0.0
2020-02-06,19165119.0,-8409288.0,-10755831.0,6392708.0,12772411.0,12.97,-5.69,-7.28,4.32,8.64,25.6,10.01,0.0,0.0
2020-02-07,28011967.0,-8067365.0,-19944603.0,7767755.0,20244212.0,11.88,-3.42,-8.46,3.29,8.58,28.16,10.0,0.0,0.0
