date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3101503.0,3669807.0,-568304.0,-3118429.0,16926.0,-15.06,17.82,-2.76,-15.14,0.08,6.5,-1.66,0.0,0.0
2020-01-09,-544654.0,1167618.0,-622964.0,-544654.0,0.0,-2.81,6.03,-3.22,-2.81,0.0,6.6,1.54,0.0,0.0
2020-01-10,-1722913.0,3196936.0,-1474023.0,-1722913.0,0.0,-9.01,16.71,-7.71,-9.01,0.0,6.59,-0.15,0.0,0.0
2020-01-13,-1558856.0,1017501.0,541355.0,-1558856.0,0.0,-6.33,4.13,2.2,-6.33,0.0,6.58,-0.15,0.0,0.0
2020-01-14,-10275018.0,7827493.0,2447526.0,-6013540.0,-4261478.0,-27.1,20.65,6.46,-15.86,-11.24,6.48,-1.52,0.0,0.0
2020-01-15,-2883909.0,3169817.0,-285907.0,-1882847.0,-1001062.0,-17.25,18.96,-1.71,-11.26,-5.99,6.47,-0.15,0.0,0.0
2020-01-16,-1167815.0,447255.0,720560.0,-1156505.0,-11310.0,-7.11,2.72,4.39,-7.05,-0.07,6.47,0.0,0.0,0.0
2020-01-17,-660221.0,1996035.0,-1335814.0,-660221.0,0.0,-4.74,14.32,-9.58,-4.74,0.0,6.42,-0.77,0.0,0.0
2020-01-20,-1620889.0,4694104.0,-3073214.0,-1620889.0,0.0,-9.98,28.89,-18.91,-9.98,0.0,6.45,0.47,0.0,0.0
2020-01-21,-843234.0,108938.0,734296.0,419799.0,-1263033.0,-5.89,0.76,5.13,2.93,-8.83,6.38,-1.09,0.0,0.0
2020-01-22,-860655.0,1693552.0,-832897.0,-860655.0,0.0,-4.27,8.4,-4.13,-4.27,0.0,6.4,0.31,0.0,0.0
2020-01-23,-879160.0,490058.0,389102.0,-868372.0,-10788.0,-4.19,2.33,1.85,-4.14,-0.05,6.26,-2.19,0.0,0.0
2020-02-03,-1701925.0,4187301.0,-2485375.0,-1438487.0,-263438.0,-5.28,12.98,-7.7,-4.46,-0.82,5.63,-10.06,0.0,0.0
2020-02-04,79822.0,1933617.0,-2013439.0,79822.0,0.0,0.38,9.18,-9.55,0.38,0.0,5.65,0.36,0.0,0.0
2020-02-05,-3943921.0,4448462.0,-504541.0,-3943921.0,0.0,-15.82,17.84,-2.02,-15.82,0.0,5.69,0.71,0.0,0.0
2020-02-06,-1192521.0,2302461.0,-1109940.0,-1192521.0,0.0,-5.54,10.7,-5.16,-5.54,0.0,5.73,0.7,0.0,0.0
2020-02-07,-1203443.0,1139038.0,64405.0,-1203443.0,0.0,-5.68,5.37,0.3,-5.68,0.0,5.86,2.27,0.0,0.0
2020-02-10,-1461119.0,-1471843.0,2932962.0,-1461119.0,0.0,-5.88,-5.93,11.81,-5.88,0.0,6.08,3.75,0.0,0.0
2020-02-11,-253633.0,1442912.0,-1189279.0,-248793.0,-4840.0,-1.87,10.64,-8.77,-1.83,-0.04,6.03,-0.82,0.0,0.0
2020-02-12,-1370866.0,2437070.0,-1066204.0,-1370866.0,0.0,-10.11,17.98,-7.87,-10.11,0.0,6.02,-0.17,0.0,0.0
2020-02-13,-907999.0,882820.0,25179.0,-888133.0,-19866.0,-8.03,7.81,0.22,-7.85,-0.18,6.01,-0.17,0.0,0.0
2020-02-14,-3350094.0,3630008.0,-279914.0,-3304190.0,-45904.0,-18.52,20.07,-1.55,-18.27,-0.25,5.96,-0.83,0.0,0.0
2020-02-17,-927009.0,-147614.0,1074624.0,-927009.0,0.0,-5.07,-0.81,5.88,-5.07,0.0,6.07,1.85,0.0,0.0
2020-02-18,99063.0,-617904.0,518841.0,99063.0,0.0,0.66,-4.09,3.44,0.66,0.0,6.05,-0.33,0.0,0.0
2020-02-19,-1672135.0,1449567.0,222570.0,804120.0,-2476255.0,-9.79,8.49,1.3,4.71,-14.5,6.0,-0.83,0.0,0.0
2020-02-20,-748336.0,566699.0,181638.0,-748336.0,0.0,-4.27,3.23,1.04,-4.27,0.0,6.04,0.67,0.0,0.0
2020-02-21,-2893630.0,2157096.0,736534.0,-2893630.0,0.0,-12.18,9.08,3.1,-12.18,0.0,6.08,0.66,0.0,0.0
2020-02-24,5184929.0,-3986075.0,-1198853.0,-1099752.0,6284681.0,8.89,-6.83,-2.05,-1.88,10.77,6.25,2.8,0.0,0.0
2020-02-25,-4343073.0,4786143.0,-443070.0,-4343073.0,0.0,-12.81,14.11,-1.31,-12.81,0.0,6.08,-2.72,0.0,0.0
2020-02-26,-711804.0,920960.0,-209157.0,-711804.0,0.0,-2.93,3.79,-0.86,-2.93,0.0,6.06,-0.33,0.0,0.0
2020-02-27,-401795.0,2408700.0,-2006904.0,-401795.0,0.0,-2.31,13.86,-11.55,-2.31,0.0,6.08,0.33,0.0,0.0
2020-02-28,-953840.0,2072516.0,-1118676.0,81820.0,-1035660.0,-3.31,7.18,-3.88,0.28,-3.59,5.99,-1.48,0.0,0.0
2020-03-02,772310.0,-1053529.0,281218.0,772310.0,0.0,3.32,-4.53,1.21,3.32,0.0,6.11,2.0,0.0,0.0
