date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-854813.0,-706199.0,1561013.0,-854813.0,0.0,-2.12,-1.75,3.87,-2.12,0.0,7.23,-1.63,0.0,0.0
2020-01-09,-3107692.0,5063473.0,-1955781.0,-3107692.0,0.0,-9.18,14.95,-5.77,-9.18,0.0,7.25,0.28,0.0,0.0
2020-01-10,-2521895.0,2806594.0,-284699.0,-1084006.0,-1437889.0,-8.85,9.85,-1.0,-3.81,-5.05,7.2,-0.69,0.0,0.0
2020-01-13,-354013.0,-746730.0,1100744.0,-354013.0,0.0,-1.47,-3.09,4.56,-1.47,0.0,7.25,0.69,0.0,0.0
2020-01-14,-736418.0,245605.0,490813.0,-736418.0,0.0,-3.44,1.15,2.29,-3.44,0.0,7.22,-0.41,0.0,0.0
2020-01-15,88323.0,-1093732.0,1005408.0,-59173.0,147496.0,0.43,-5.32,4.89,-0.29,0.72,7.25,0.42,0.0,0.0
2020-01-16,-4464421.0,4105999.0,358423.0,-2292844.0,-2171577.0,-13.81,12.7,1.11,-7.09,-6.72,7.09,-2.21,0.0,0.0
2020-01-17,-11509527.0,13228400.0,-1718873.0,-8633580.0,-2875947.0,-15.68,18.02,-2.34,-11.76,-3.92,6.77,-4.51,0.0,0.0
2020-01-20,-2654337.0,1047801.0,1606536.0,-2654337.0,0.0,-10.03,3.96,6.07,-10.03,0.0,6.84,1.03,0.0,0.0
2020-01-21,-1191812.0,2926798.0,-1734985.0,-104101.0,-1087711.0,-6.33,15.55,-9.22,-0.55,-5.78,6.74,-1.46,0.0,0.0
2020-01-22,3370102.0,-3303333.0,-66768.0,3370102.0,0.0,13.16,-12.9,-0.26,13.16,0.0,6.85,1.63,0.0,0.0
2020-01-23,-2560140.0,5225533.0,-2665393.0,-1228528.0,-1331612.0,-8.39,17.13,-8.74,-4.03,-4.37,6.63,-3.21,0.0,0.0
2020-02-03,-4922862.0,2909480.0,2013382.0,-378498.0,-4544364.0,-51.07,30.19,20.89,-3.93,-47.15,5.97,-9.95,0.0,0.0
2020-02-04,-3533513.0,4808745.0,-1275232.0,-3060545.0,-472968.0,-8.23,11.2,-2.97,-7.13,-1.1,5.66,-5.19,0.0,0.0
2020-02-05,-1368107.0,1764381.0,-396274.0,-1469705.0,101598.0,-4.91,6.33,-1.42,-5.27,0.36,5.76,1.77,0.0,0.0
