date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,106231828.0,-48319374.0,-57912454.0,42632740.0,63599088.0,14.68,-6.68,-8.01,5.89,8.79,23.89,1.53,0.0,0.0
2020-01-09,273619249.0,-138454950.0,-135164304.0,-10865632.0,284484881.0,20.33,-10.28,-10.04,-0.81,21.13,24.95,4.44,0.0,0.0
2020-01-10,72303425.0,-43167850.0,-29135574.0,32258537.0,40044888.0,11.29,-6.74,-4.55,5.04,6.25,25.05,0.4,0.0,0.0
2020-01-13,71887434.0,-58943713.0,-12943721.0,63080862.0,8806572.0,11.86,-9.72,-2.13,10.4,1.45,25.3,1.0,0.0,0.0
2020-01-14,-36932348.0,23929272.0,13003072.0,-10799667.0,-26132681.0,-4.25,2.75,1.5,-1.24,-3.01,24.97,-1.3,0.0,0.0
2020-01-15,-5127571.0,7639401.0,-2511829.0,17061200.0,-22188771.0,-1.09,1.63,-0.53,3.63,-4.73,24.56,-1.64,0.0,0.0
2020-01-16,136428.0,-33590682.0,33454254.0,-13044661.0,13181089.0,0.03,-7.23,7.2,-2.81,2.84,24.8,0.98,0.0,0.0
2020-01-17,7218025.0,3439651.0,-10657677.0,11605743.0,-4387718.0,1.72,0.82,-2.54,2.77,-1.05,24.74,-0.24,0.0,0.0
2020-01-20,-126768489.0,69934759.0,56833731.0,-77302844.0,-49465645.0,-18.24,10.06,8.18,-11.12,-7.12,24.15,-2.38,0.0,0.0
2020-01-21,-216220106.0,169142293.0,47077811.0,-101205488.0,-115014618.0,-21.99,17.2,4.79,-10.29,-11.69,23.1,-4.35,0.0,0.0
2020-01-22,-45153443.0,19741759.0,25411684.0,-33105699.0,-12047744.0,-8.56,3.74,4.82,-6.28,-2.28,23.21,0.48,0.0,0.0
2020-01-23,-89904354.0,87319499.0,2584854.0,-47828607.0,-42075747.0,-15.88,15.43,0.46,-8.45,-7.43,22.61,-2.59,0.0,0.0
2020-02-03,-103191802.0,59263762.0,43928031.0,-60370708.0,-42821094.0,-9.72,5.58,4.14,-5.69,-4.03,20.5,-9.33,0.0,0.0
2020-02-04,-85552457.0,60078745.0,25473728.0,-46246265.0,-39306192.0,-8.8,6.18,2.62,-4.76,-4.04,20.4,-0.49,0.0,0.0
2020-02-05,-509954.0,-5379906.0,5889860.0,21892969.0,-22402923.0,-0.06,-0.64,0.7,2.61,-2.67,20.89,2.4,0.0,0.0
2020-02-06,-2465773.0,-24021097.0,26486871.0,20797995.0,-23263768.0,-0.4,-3.92,4.32,3.4,-3.8,21.01,0.57,0.0,0.0
2020-02-07,-20446271.0,2999772.0,17446500.0,36692661.0,-57138932.0,-3.61,0.53,3.08,6.49,-10.1,21.25,1.14,0.0,0.0
2020-02-10,-3425098.0,-13549911.0,16975009.0,-29843056.0,26417958.0,-0.6,-2.37,2.96,-5.21,4.61,21.4,0.71,0.0,0.0
2020-02-11,-27942123.0,-3206873.0,31148996.0,-21251985.0,-6690138.0,-5.9,-0.68,6.58,-4.49,-1.41,21.33,-0.33,0.0,0.0
2020-02-12,10916140.0,-14067747.0,3151606.0,3353349.0,7562791.0,2.6,-3.35,0.75,0.8,1.8,21.65,1.5,0.0,0.0
2020-02-13,-26842737.0,-13301662.0,40144399.0,-4611316.0,-22231421.0,-6.43,-3.19,9.62,-1.11,-5.33,21.56,-0.42,0.0,0.0
2020-02-14,-61538165.0,23307930.0,38230235.0,-34509823.0,-27028342.0,-17.1,6.48,10.63,-9.59,-7.51,21.49,-0.32,0.0,0.0
2020-02-17,95830766.0,-87073895.0,-8756880.0,34741824.0,61088942.0,9.02,-8.2,-0.82,3.27,5.75,22.74,5.82,0.0,0.0
2020-02-18,-11880230.0,10925207.0,955023.0,10244698.0,-22124928.0,-2.13,1.96,0.17,1.84,-3.97,22.58,-0.7,0.0,0.0
2020-02-19,-4930752.0,-23825704.0,28756464.0,-11178393.0,6247641.0,-0.69,-3.34,4.03,-1.57,0.88,22.75,0.75,0.0,0.0
2020-02-20,11865065.0,11777546.0,-23642610.0,-872788.0,12737853.0,2.44,2.42,-4.86,-0.18,2.62,23.0,1.1,0.0,0.0
2020-02-21,43852240.0,-5973182.0,-37879057.0,11421211.0,32431029.0,5.36,-0.73,-4.63,1.4,3.96,23.85,3.7,0.0,0.0
2020-02-24,-20173915.0,6586576.0,13587339.0,-17367526.0,-2806389.0,-3.01,0.98,2.03,-2.59,-0.42,23.7,-0.63,0.0,0.0
2020-02-25,-25153703.0,16010825.0,9142878.0,-20044890.0,-5108813.0,-4.27,2.72,1.55,-3.4,-0.87,23.68,-0.08,0.0,0.0
2020-02-26,-24111669.0,2003021.0,22108648.0,-4246548.0,-19865121.0,-3.99,0.33,3.66,-0.7,-3.29,23.51,-0.72,0.0,0.0
2020-02-27,-8209265.0,26730744.0,-18521478.0,-8171997.0,-37268.0,-1.45,4.73,-3.27,-1.44,-0.01,23.35,-0.68,0.0,0.0
2020-02-28,-24764295.0,18888624.0,5875669.0,975955.0,-25740250.0,-3.68,2.81,0.87,0.15,-3.83,22.21,-4.88,0.0,0.0
2020-03-02,86018167.0,-55725368.0,-30292794.0,67016910.0,19001257.0,11.11,-7.19,-3.91,8.65,2.45,23.2,4.46,0.0,0.0
2020-03-03,17993169.0,-16535488.0,-1457682.0,9753137.0,8240032.0,3.57,-3.28,-0.29,1.94,1.63,23.5,1.29,0.0,0.0
2020-03-04,60442462.0,-38140266.0,-22302195.0,59979191.0,463271.0,11.19,-7.06,-4.13,11.1,0.09,23.68,0.77,0.0,0.0
2020-03-05,-24340195.0,-1032673.0,25372868.0,1399269.0,-25739464.0,-4.58,-0.19,4.77,0.26,-4.84,23.61,-0.3,0.0,0.0
2020-03-06,-40656476.0,56316163.0,-15659686.0,-2775467.0,-37881009.0,-9.34,12.93,-3.6,-0.64,-8.7,22.92,-2.92,0.0,0.0
2020-03-09,-35288761.0,64765966.0,-29477204.0,4397072.0,-39685833.0,-5.33,9.79,-4.45,0.66,-6.0,22.26,-2.88,0.0,0.0
2020-03-10,65595038.0,-53903420.0,-11691617.0,16922128.0,48672910.0,9.99,-8.21,-1.78,2.58,7.41,23.3,4.67,0.0,0.0
2020-03-11,11743813.0,-12475941.0,732128.0,338137.0,11405676.0,1.71,-1.81,0.11,0.05,1.66,22.9,-1.72,0.0,0.0
2020-03-12,-31158033.0,51370125.0,-20212092.0,-23179951.0,-7978082.0,-7.37,12.15,-4.78,-5.48,-1.89,22.67,-1.0,0.0,0.0
2020-03-13,-33784196.0,38199752.0,-4415557.0,-30779289.0,-3004907.0,-6.67,7.54,-0.87,-6.07,-0.59,22.16,-2.25,0.0,0.0
2020-03-16,-83892132.0,52837984.0,31054163.0,-22331164.0,-61560968.0,-10.49,6.61,3.88,-2.79,-7.7,20.86,-5.87,0.0,0.0
2020-03-17,-3912338.0,35955522.0,-32043184.0,-8137361.0,4225023.0,-0.9,8.24,-7.34,-1.86,0.97,20.71,-0.72,0.0,0.0
2020-03-18,-139040045.0,105768860.0,33271191.0,-59500350.0,-79539695.0,-21.41,16.29,5.12,-9.16,-12.25,20.1,-2.95,0.0,0.0
2020-03-19,-172897746.0,165709142.0,7188608.0,-142339121.0,-30558625.0,-19.41,18.6,0.81,-15.98,-3.43,19.02,-5.37,0.0,0.0
2020-03-20,15399762.0,-32527317.0,17127556.0,34193745.0,-18793983.0,2.41,-5.08,2.68,5.34,-2.94,19.05,0.16,0.0,0.0
2020-03-23,-77417988.0,88235682.0,-10817696.0,-14904613.0,-62513375.0,-8.4,9.57,-1.17,-1.62,-6.78,17.7,-7.09,0.0,0.0
2020-03-24,109155028.0,-95587636.0,-13567391.0,51672232.0,57482796.0,15.68,-13.73,-1.95,7.42,8.26,19.0,7.34,0.0,0.0
2020-03-25,15208013.0,14709808.0,-29917824.0,2280833.0,12927180.0,1.38,1.33,-2.71,0.21,1.17,20.53,8.05,0.0,0.0
2020-03-26,-1461233.0,11630382.0,-10169149.0,835884.0,-2297117.0,-0.3,2.4,-2.1,0.17,-0.47,20.09,-2.14,0.0,0.0
2020-03-27,24817725.0,-16269509.0,-8548216.0,-8841200.0,33658925.0,4.3,-2.82,-1.48,-1.53,5.83,20.53,2.19,0.0,0.0
