date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-4986816.0,6361191.0,-1374375.0,-4270221.0,-716595.0,-6.25,7.98,-1.72,-5.35,-0.9,7.69,0.52,0.0,0.0
2020-01-09,1314515.0,-3027770.0,1713255.0,1314515.0,0.0,5.04,-11.61,6.57,5.04,0.0,7.74,0.65,0.0,0.0
2020-01-10,-4297138.0,2733241.0,1563897.0,-675875.0,-3621263.0,-11.95,7.6,4.35,-1.88,-10.07,7.72,-0.26,0.0,0.0
2020-01-13,-2230661.0,4931906.0,-2701245.0,-2230661.0,0.0,-6.55,14.48,-7.93,-6.55,0.0,7.7,-0.26,0.0,0.0
2020-01-14,2768384.0,-1324171.0,-1444212.0,3249919.0,-481535.0,7.12,-3.4,-3.71,8.35,-1.24,7.82,1.56,0.0,0.0
2020-01-15,-429656.0,261069.0,168586.0,88745.0,-518401.0,-1.22,0.74,0.48,0.25,-1.47,7.86,0.51,0.0,0.0
2020-01-16,1239943.0,715853.0,-1955796.0,-658895.0,1898838.0,4.12,2.38,-6.51,-2.19,6.32,7.83,-0.38,0.0,0.0
2020-01-17,497893.0,1229847.0,-1727740.0,497893.0,0.0,2.5,6.16,-8.66,2.5,0.0,7.77,-0.77,0.0,0.0
2020-01-20,-354560.0,978237.0,-623677.0,-608296.0,253736.0,-1.32,3.63,-2.32,-2.26,0.94,7.76,-0.13,0.0,0.0
2020-01-21,-1607155.0,1503487.0,103666.0,-3066530.0,1459375.0,-6.17,5.78,0.4,-11.78,5.61,7.72,-0.52,0.0,0.0
2020-01-22,1392747.0,-190018.0,-1202729.0,1392747.0,0.0,5.38,-0.73,-4.64,5.38,0.0,7.8,1.04,0.0,0.0
2020-01-23,-1973811.0,573171.0,1400640.0,-901762.0,-1072049.0,-5.99,1.74,4.25,-2.74,-3.26,7.6,-2.56,0.0,0.0
2020-02-03,-5213650.0,4109399.0,1104251.0,-7474267.0,2260617.0,-10.67,8.41,2.26,-15.29,4.63,6.83,-10.13,0.0,0.0
2020-02-04,-3184257.0,304604.0,2879653.0,-2302180.0,-882077.0,-4.64,0.44,4.2,-3.36,-1.29,6.81,-0.29,0.0,0.0
2020-02-05,-75514.0,707964.0,-632451.0,-75514.0,0.0,-0.14,1.33,-1.19,-0.14,0.0,7.08,3.96,0.0,0.0
2020-02-06,-1431590.0,1839324.0,-407734.0,2647210.0,-4078800.0,-3.08,3.95,-0.88,5.69,-8.77,7.21,1.84,0.0,0.0
