date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2479052.0,2187649.0,291404.0,-2479052.0,0.0,-9.23,8.15,1.09,-9.23,0.0,5.74,-2.55,0.0,0.0
2020-01-09,48470.0,645140.0,-693610.0,-1040316.0,1088786.0,0.3,3.93,-4.23,-6.34,6.64,5.77,0.52,0.0,0.0
2020-01-10,-4442214.0,3404780.0,1037434.0,-4442214.0,0.0,-19.7,15.1,4.6,-19.7,0.0,5.65,-2.08,0.0,0.0
2020-01-13,1606581.0,-1276967.0,-329615.0,1606581.0,0.0,9.16,-7.28,-1.88,9.16,0.0,5.78,2.3,0.0,0.0
2020-01-14,-1754912.0,417859.0,1337054.0,-1754912.0,0.0,-15.82,3.77,12.05,-15.82,0.0,5.76,-0.35,0.0,0.0
2020-01-15,2790952.0,-2161910.0,-629043.0,2790952.0,0.0,11.41,-8.84,-2.57,11.41,0.0,5.91,2.6,0.0,0.0
2020-01-16,8606753.0,-6364090.0,-2242663.0,4442274.0,4164479.0,16.2,-11.98,-4.22,8.36,7.84,6.21,5.08,0.0,0.0
2020-01-17,500538.0,-413124.0,-87414.0,707529.0,-206991.0,1.24,-1.02,-0.22,1.75,-0.51,6.18,-0.48,0.0,0.0
2020-01-20,-3581880.0,1440944.0,2140936.0,-3581880.0,0.0,-12.16,4.89,7.27,-12.16,0.0,6.12,-0.97,0.0,0.0
2020-01-21,-2784946.0,2610443.0,174503.0,-2784946.0,0.0,-7.66,7.18,0.48,-7.66,0.0,5.95,-2.78,0.0,0.0
2020-01-22,581530.0,-843868.0,262338.0,581530.0,0.0,2.91,-4.22,1.31,2.91,0.0,6.1,2.52,0.0,0.0
2020-01-23,-661539.0,3122061.0,-2460521.0,782927.0,-1444466.0,-2.04,9.62,-7.58,2.41,-4.45,5.95,-2.46,0.0,0.0
2020-02-03,0.0,91530.0,-91530.0,0.0,0.0,0.0,2.6,-2.6,0.0,0.0,5.65,-5.04,0.0,0.0
2020-02-04,-3888417.0,1854798.0,2033619.0,0.0,-3888417.0,-96.3,45.94,50.37,0.0,-96.3,5.37,-4.96,0.0,0.0
2020-02-05,165542.0,-405311.0,239769.0,165542.0,0.0,0.65,-1.59,0.94,0.65,0.0,5.45,1.49,0.0,0.0
2020-02-06,754579.0,-882730.0,128150.0,754579.0,0.0,4.63,-5.41,0.79,4.63,0.0,5.53,1.47,0.0,0.0
2020-02-07,-217645.0,-275269.0,492914.0,-217645.0,0.0,-1.09,-1.38,2.48,-1.09,0.0,5.66,2.35,0.0,0.0
2020-02-10,547983.0,-1325720.0,777736.0,436627.0,111356.0,3.13,-7.58,4.45,2.5,0.64,5.88,3.89,0.0,0.0
2020-02-11,-2974985.0,634021.0,2340964.0,-2974985.0,0.0,-15.38,3.28,12.1,-15.38,0.0,5.85,-0.51,0.0,0.0
2020-02-12,263630.0,-801921.0,538290.0,541962.0,-278332.0,1.36,-4.13,2.77,2.79,-1.43,5.95,1.71,0.0,0.0
2020-02-13,-791751.0,1313674.0,-521923.0,-791751.0,0.0,-4.46,7.41,-2.94,-4.46,0.0,5.9,-0.84,0.0,0.0
2020-02-14,-1430400.0,43534.0,1386866.0,-1430400.0,0.0,-6.28,0.19,6.09,-6.28,0.0,5.9,0.0,0.0,0.0
2020-02-17,2948323.0,-2681187.0,-267136.0,1931927.0,1016396.0,10.72,-9.74,-0.97,7.02,3.69,6.15,4.24,0.0,0.0
2020-02-18,-1108759.0,995643.0,113117.0,-1108759.0,0.0,-4.77,4.28,0.49,-4.77,0.0,6.12,-0.49,0.0,0.0
2020-02-19,-1045692.0,16468.0,1029224.0,-1045692.0,0.0,-7.15,0.11,7.03,-7.15,0.0,6.1,-0.33,0.0,0.0
2020-02-20,-584972.0,1292482.0,-707511.0,-584972.0,0.0,-3.39,7.48,-4.1,-3.39,0.0,6.1,0.0,0.0,0.0
2020-02-21,-2924268.0,3743859.0,-819592.0,-2924268.0,0.0,-9.25,11.84,-2.59,-9.25,0.0,5.96,-2.3,0.0,0.0
2020-02-24,-1437678.0,668767.0,768910.0,-1437678.0,0.0,-6.0,2.79,3.21,-6.0,0.0,5.93,-0.5,0.0,0.0
2020-02-25,-1291789.0,227336.0,1064453.0,-1320349.0,28560.0,-4.02,0.71,3.32,-4.11,0.09,6.03,1.69,0.0,0.0
2020-02-26,-1014203.0,-231353.0,1245556.0,-1014203.0,0.0,-3.56,-0.81,4.37,-3.56,0.0,6.06,0.5,0.0,0.0
2020-02-27,951997.0,-2559075.0,1607077.0,-277292.0,1229289.0,2.56,-6.88,4.32,-0.75,3.3,6.28,3.63,0.0,0.0
2020-02-28,-2136417.0,2301697.0,-165279.0,-2136417.0,0.0,-5.65,6.09,-0.44,-5.65,0.0,6.09,-3.03,0.0,0.0
2020-03-02,1902474.0,-534158.0,-1368317.0,2169216.0,-266742.0,6.58,-1.85,-4.74,7.51,-0.92,6.28,3.12,0.0,0.0
2020-03-03,-6424595.0,3205978.0,3218617.0,-5277203.0,-1147392.0,-11.36,5.67,5.69,-9.33,-2.03,6.11,-2.71,0.0,0.0
2020-03-04,2875454.0,-715796.0,-2159659.0,2875454.0,0.0,8.89,-2.21,-6.68,8.89,0.0,6.22,1.8,0.0,0.0
2020-03-05,1121033.0,-1617037.0,496004.0,1143533.0,-22500.0,3.68,-5.31,1.63,3.75,-0.07,6.28,0.96,0.0,0.0
2020-03-06,-1485802.0,2198057.0,-712255.0,-1485802.0,0.0,-6.96,10.29,-3.34,-6.96,0.0,6.22,-0.96,0.0,0.0
2020-03-09,-5297413.0,5913068.0,-615655.0,-5297413.0,0.0,-15.14,16.9,-1.76,-15.14,0.0,5.91,-4.98,0.0,0.0
2020-03-10,-799465.0,2272178.0,-1472712.0,261833.0,-1061298.0,-2.44,6.92,-4.49,0.8,-3.23,5.91,0.0,0.0,0.0
