date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-12739359.0,8358671.0,4380689.0,-7598637.0,-5140722.0,-20.88,13.7,7.18,-12.45,-8.43,4.7,-3.69,0.0,0.0
2020-01-09,-1537222.0,1091881.0,445341.0,670056.0,-2207278.0,-3.46,2.46,1.0,1.51,-4.96,4.73,0.64,0.0,0.0
2020-01-10,-4141108.0,3462802.0,678307.0,-4141108.0,0.0,-14.14,11.82,2.32,-14.14,0.0,4.67,-1.27,0.0,0.0
2020-01-13,-1618145.0,2462654.0,-844507.0,45540.0,-1663685.0,-2.52,3.84,-1.32,0.07,-2.59,4.79,2.57,0.0,0.0
2020-01-14,1471680.0,2051110.0,-3522790.0,1904836.0,-433156.0,3.5,4.88,-8.38,4.53,-1.03,4.79,0.0,0.0,0.0
2020-01-15,1982658.0,-773261.0,-1209399.0,884621.0,1098037.0,6.42,-2.5,-3.91,2.86,3.55,4.74,-1.04,0.0,0.0
2020-01-16,-4292775.0,373426.0,3919349.0,-3986097.0,-306678.0,-14.13,1.23,12.9,-13.12,-1.01,4.73,-0.21,0.0,0.0
2020-01-17,-6759843.0,4118745.0,2641098.0,-5309842.0,-1450001.0,-21.42,13.05,8.37,-16.82,-4.59,4.66,-1.48,0.0,0.0
2020-01-20,5270249.0,-1226868.0,-4043381.0,3058739.0,2211510.0,10.23,-2.38,-7.85,5.94,4.29,4.8,3.0,0.0,0.0
2020-01-21,4561953.0,-3604222.0,-957729.0,3886066.0,675887.0,6.68,-5.28,-1.4,5.69,0.99,4.83,0.62,0.0,0.0
2020-01-22,5488013.0,-4446244.0,-1041768.0,-129473.0,5617486.0,8.18,-6.63,-1.55,-0.19,8.37,4.95,2.48,0.0,0.0
2020-01-23,3666824.0,-5344111.0,1677288.0,6413126.0,-2746302.0,4.71,-6.87,2.16,8.24,-3.53,4.91,-0.81,0.0,0.0
2020-02-03,-1557768.0,2046312.0,-488543.0,-1621395.0,63627.0,-5.47,7.18,-1.71,-5.69,0.22,4.42,-9.98,0.0,0.0
2020-02-04,3888543.0,-2646327.0,-1242217.0,2686371.0,1202172.0,5.63,-3.83,-1.8,3.89,1.74,4.5,1.81,0.0,0.0
2020-02-05,6528685.0,-6805666.0,276981.0,4599993.0,1928692.0,10.32,-10.76,0.44,7.27,3.05,4.53,0.67,0.0,0.0
2020-02-06,-3503960.0,-326786.0,3830747.0,-3838040.0,334080.0,-5.2,-0.49,5.69,-5.7,0.5,4.48,-1.1,0.0,0.0
2020-02-07,-1041517.0,-4753760.0,5795278.0,3333784.0,-4375301.0,-2.04,-9.29,11.33,6.52,-8.55,4.49,0.22,0.0,0.0
2020-02-10,-1799809.0,-2545213.0,4345022.0,-1799809.0,0.0,-4.55,-6.44,10.99,-4.55,0.0,4.54,1.11,0.0,0.0
2020-02-11,503982.0,-3222657.0,2718674.0,504445.0,-463.0,0.85,-5.45,4.6,0.85,-0.0,4.62,1.76,0.0,0.0
2020-02-12,-2381683.0,-1970329.0,4352012.0,-2381683.0,0.0,-5.33,-4.41,9.74,-5.33,0.0,4.59,-0.65,0.0,0.0
2020-02-13,-3448673.0,-4642244.0,8090918.0,-1065789.0,-2382884.0,-10.21,-13.74,23.95,-3.16,-7.05,4.55,-0.87,0.0,0.0
2020-02-14,-307712.0,-4097645.0,4405358.0,127128.0,-434840.0,-1.03,-13.73,14.76,0.43,-1.46,4.55,0.0,0.0,0.0
2020-02-17,-1042512.0,-2888276.0,3930788.0,-1042512.0,0.0,-2.56,-7.09,9.65,-2.56,0.0,4.6,1.1,0.0,0.0
2020-02-18,2234792.0,-6383797.0,4149004.0,2060527.0,174265.0,4.06,-11.61,7.54,3.75,0.32,4.56,-0.87,0.0,0.0
2020-02-19,3228217.0,-6463841.0,3235624.0,3253697.0,-25480.0,8.25,-16.51,8.27,8.31,-0.07,4.53,-0.66,0.0,0.0
2020-02-20,677225.0,-4245543.0,3568319.0,677225.0,0.0,1.41,-8.82,7.41,1.41,0.0,4.56,0.66,0.0,0.0
2020-02-21,11601434.0,-6838435.0,-4762999.0,10502798.0,1098636.0,18.51,-10.91,-7.6,16.76,1.75,4.67,2.41,0.0,0.0
2020-02-24,24520455.0,-15933159.0,-8587298.0,650484.0,23869971.0,7.18,-4.67,-2.52,0.19,6.99,5.14,10.06,0.0,0.0
2020-02-25,40439045.0,-16749422.0,-23689623.0,7821612.0,32617433.0,7.49,-3.1,-4.39,1.45,6.04,5.65,9.92,0.0,0.0
2020-02-26,-44264285.0,29797199.0,14467087.0,-9836848.0,-34427437.0,-6.35,4.27,2.07,-1.41,-4.94,5.39,-4.6,0.0,0.0
2020-02-27,7327856.0,-430324.0,-6897532.0,-15597961.0,22925817.0,1.83,-0.11,-1.72,-3.89,5.71,5.93,10.02,0.0,0.0
2020-02-28,-59335994.0,26051378.0,33284616.0,-5369537.0,-53966457.0,-9.37,4.12,5.26,-0.85,-8.53,5.7,-3.88,0.0,0.0
2020-03-02,71063437.0,-34013508.0,-37049929.0,-23448931.0,94512368.0,13.49,-6.45,-7.03,-4.45,17.94,6.27,10.0,0.0,0.0
2020-03-03,-45149520.0,24315459.0,20834064.0,-10560416.0,-34589104.0,-3.73,2.01,1.72,-0.87,-2.86,6.6,5.26,0.0,0.0
2020-03-04,-132717870.0,77384795.0,55333085.0,-18800112.0,-113917758.0,-14.75,8.6,6.15,-2.09,-12.66,6.11,-7.42,0.0,0.0
2020-03-05,-17745327.0,13151220.0,4594112.0,-23970304.0,6224977.0,-2.09,1.55,0.54,-2.83,0.73,6.2,1.47,0.0,0.0
2020-03-06,26673732.0,-21157039.0,-5516694.0,19509236.0,7164496.0,4.99,-3.96,-1.03,3.65,1.34,6.3,1.61,0.0,0.0
2020-03-09,4874040.0,-1437224.0,-3436817.0,6505680.0,-1631640.0,0.87,-0.26,-0.61,1.16,-0.29,6.18,-1.9,0.0,0.0
2020-03-10,58461267.0,-20990037.0,-37471229.0,7250941.0,51210326.0,8.01,-2.87,-5.13,0.99,7.01,6.69,8.25,0.0,0.0
2020-03-11,789047.0,-4191674.0,3402627.0,-5456422.0,6245469.0,0.1,-0.54,0.44,-0.7,0.81,6.72,0.45,0.0,0.0
2020-03-12,49631334.0,-24420183.0,-25211155.0,-27008306.0,76639640.0,6.15,-3.03,-3.13,-3.35,9.5,7.39,9.97,0.0,0.0
2020-03-13,-90811858.0,42513728.0,48298130.0,-18986754.0,-71825104.0,-11.6,5.43,6.17,-2.42,-9.17,7.11,-3.79,0.0,0.0
2020-03-16,-35737708.0,32353992.0,3383718.0,-3845623.0,-31892085.0,-6.29,5.69,0.6,-0.68,-5.61,6.67,-6.19,0.0,0.0
2020-03-17,-30215710.0,22041559.0,8174152.0,-18186983.0,-12028727.0,-6.78,4.95,1.83,-4.08,-2.7,6.47,-3.0,0.0,0.0
2020-03-18,-41153831.0,26124011.0,15029820.0,-9051433.0,-32102398.0,-7.55,4.79,2.76,-1.66,-5.89,6.32,-2.32,0.0,0.0
2020-03-19,-227951.0,-5182907.0,5410858.0,-6757423.0,6529472.0,-0.05,-1.09,1.13,-1.42,1.37,6.65,5.22,0.0,0.0
2020-03-20,-32181137.0,16647885.0,15533252.0,-16889783.0,-15291354.0,-6.78,3.51,3.27,-3.56,-3.22,6.66,0.15,0.0,0.0
2020-03-23,-16978419.0,13383372.0,3595046.0,-5426939.0,-11551480.0,-5.64,4.45,1.19,-1.8,-3.84,6.28,-5.71,0.0,0.0
2020-03-24,-2167582.0,12006430.0,-9838849.0,-3479379.0,1311797.0,-0.7,3.88,-3.18,-1.12,0.42,6.4,1.91,0.0,0.0
2020-03-25,-18093439.0,8074388.0,10019049.0,-13596415.0,-4497024.0,-8.22,3.67,4.55,-6.17,-2.04,6.29,-1.72,0.0,0.0
2020-03-26,-19941265.0,13839196.0,6102069.0,-11551447.0,-8389818.0,-12.17,8.45,3.72,-7.05,-5.12,6.12,-2.7,0.0,0.0
2020-03-27,24314367.0,-16615779.0,-7698588.0,9044217.0,15270150.0,6.53,-4.46,-2.07,2.43,4.1,6.33,3.43,0.0,0.0
2020-03-30,-2996013.0,996543.0,1999470.0,-6494237.0,3498224.0,-1.39,0.46,0.93,-3.02,1.62,6.43,1.58,0.0,0.0
2020-03-31,-47312479.0,24127212.0,23185267.0,-28057607.0,-19254872.0,-20.16,10.28,9.88,-11.95,-8.2,6.16,-4.2,0.0,0.0
2020-04-01,-6193199.0,4226797.0,1966401.0,-4592166.0,-1601033.0,-3.71,2.53,1.18,-2.75,-0.96,6.25,1.46,0.0,0.0
