date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-63600409.0,55994829.0,7605580.0,-51705094.0,-11895315.0,-20.88,18.38,2.5,-16.97,-3.9,13.43,-3.93,0.0,0.0
2020-01-09,-9912446.0,14097302.0,-4184855.0,-10649784.0,737338.0,-3.99,5.67,-1.68,-4.29,0.3,13.63,1.49,0.0,0.0
2020-01-10,-5017578.0,8953688.0,-3936111.0,2154471.0,-7172049.0,-2.15,3.84,-1.69,0.92,-3.07,13.62,-0.07,0.0,0.0
2020-01-13,5665801.0,5228308.0,-10894109.0,7886487.0,-2220686.0,2.29,2.12,-4.41,3.19,-0.9,13.84,1.62,0.0,0.0
2020-01-14,43149039.0,-27386470.0,-15762570.0,9936801.0,33212238.0,6.67,-4.23,-2.44,1.54,5.13,14.0,1.16,0.0,0.0
2020-01-15,-31311449.0,21158438.0,10153010.0,-29558307.0,-1753142.0,-10.44,7.05,3.39,-9.86,-0.58,13.76,-1.71,0.0,0.0
2020-01-16,-45691638.0,36936002.0,8755636.0,-31298455.0,-14393183.0,-18.84,15.23,3.61,-12.91,-5.93,13.49,-1.96,0.0,0.0
2020-01-17,-5018605.0,8165178.0,-3146573.0,-6843148.0,1824543.0,-2.45,3.99,-1.54,-3.34,0.89,13.52,0.22,0.0,0.0
2020-01-20,-6424595.0,3139140.0,3285454.0,-968536.0,-5456059.0,-3.45,1.68,1.76,-0.52,-2.93,13.66,1.04,0.0,0.0
2020-01-21,-45051089.0,25678595.0,19372494.0,-36575732.0,-8475357.0,-18.3,10.43,7.87,-14.86,-3.44,13.41,-1.83,0.0,0.0
2020-01-22,-1431006.0,7135197.0,-5704191.0,-3170842.0,1739836.0,-0.59,2.97,-2.37,-1.32,0.72,13.52,0.82,0.0,0.0
2020-01-23,-41927202.0,40495358.0,1431844.0,-33888034.0,-8039168.0,-14.65,14.15,0.5,-11.84,-2.81,12.72,-5.92,0.0,0.0
2020-02-03,-4722873.0,5588161.0,-865288.0,1917189.0,-6640062.0,-8.13,9.62,-1.49,3.3,-11.43,11.45,-9.98,0.0,0.0
2020-02-04,-33362831.0,21506171.0,11856658.0,-17364576.0,-15998255.0,-11.31,7.29,4.02,-5.89,-5.42,11.3,-1.31,0.0,0.0
2020-02-05,47197991.0,-28544707.0,-18653285.0,-6518230.0,53716221.0,10.0,-6.05,-3.95,-1.38,11.38,12.28,8.67,0.0,0.0
2020-02-06,-41810088.0,30947392.0,10862696.0,-24087557.0,-17722531.0,-8.72,6.45,2.26,-5.02,-3.69,12.5,1.79,0.0,0.0
2020-02-07,-29002976.0,12676073.0,16326903.0,-9735851.0,-19267125.0,-7.57,3.31,4.26,-2.54,-5.03,12.36,-1.12,0.0,0.0
2020-02-10,-13627587.0,-2056610.0,15684197.0,-9512963.0,-4114624.0,-5.28,-0.8,6.08,-3.69,-1.59,12.36,0.0,0.0,0.0
2020-02-11,-9264084.0,7726631.0,1537453.0,-7596770.0,-1667314.0,-4.17,3.47,0.69,-3.42,-0.75,12.26,-0.81,0.0,0.0
