date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3160250.0,2140745.0,1019505.0,-3160250.0,0.0,-10.45,7.08,3.37,-10.45,0.0,3.91,-1.51,0.0,0.0
2020-01-09,-241571.0,-1043890.0,1285461.0,-241571.0,0.0,-1.27,-5.5,6.78,-1.27,0.0,3.94,0.77,0.0,0.0
2020-01-10,512280.0,903750.0,-1416031.0,-2820360.0,3332640.0,1.23,2.16,-3.39,-6.75,7.98,3.97,0.76,0.0,0.0
2020-01-13,-3257700.0,1338917.0,1918784.0,-497077.0,-2760623.0,-12.62,5.19,7.43,-1.93,-10.7,3.94,-0.76,0.0,0.0
2020-01-14,395213.0,292723.0,-687936.0,395213.0,0.0,2.54,1.88,-4.43,2.54,0.0,3.92,-0.51,0.0,0.0
2020-01-15,-22485304.0,4477424.0,18007881.0,-26309360.0,3824056.0,-22.0,4.38,17.62,-25.74,3.74,3.92,0.0,0.0,0.0
2020-01-16,-4612375.0,3305136.0,1307239.0,-16568647.0,11956272.0,-5.5,3.94,1.56,-19.75,14.26,3.95,0.77,0.0,0.0
2020-01-17,-5643184.0,6177668.0,-534484.0,-6107545.0,464361.0,-6.45,7.06,-0.61,-6.98,0.53,3.9,-1.27,0.0,0.0
2020-01-20,-1892062.0,2479121.0,-587060.0,-1886684.0,-5378.0,-6.01,7.88,-1.87,-6.0,-0.02,3.84,-1.54,0.0,0.0
2020-01-21,1722166.0,-54719.0,-1667446.0,4511323.0,-2789157.0,5.22,-0.17,-5.06,13.68,-8.46,3.86,0.52,0.0,0.0
2020-01-22,1175044.0,394286.0,-1569329.0,2815570.0,-1640526.0,2.97,1.0,-3.96,7.11,-4.14,3.81,-1.3,0.0,0.0
2020-01-23,-1529100.0,-293944.0,1823043.0,-1401368.0,-127732.0,-4.58,-0.88,5.46,-4.19,-0.38,3.69,-3.15,0.0,0.0
2020-02-03,18901535.0,-8951881.0,-9949654.0,15214840.0,3686695.0,13.49,-6.39,-7.1,10.86,2.63,3.5,-5.15,0.0,0.0
2020-02-04,7336216.0,-4807665.0,-2528551.0,-4508210.0,11844426.0,4.76,-3.12,-1.64,-2.92,7.68,3.85,10.0,0.0,0.0
2020-02-05,-1976454.0,-1693570.0,3670023.0,-3109744.0,1133290.0,-2.8,-2.4,5.19,-4.4,1.6,3.95,2.6,0.0,0.0
2020-02-06,-4213849.0,-405866.0,4619715.0,-4213849.0,0.0,-5.57,-0.54,6.11,-5.57,0.0,3.98,0.76,0.0,0.0
2020-02-07,-3512510.0,969176.0,2543332.0,5337183.0,-8849693.0,-4.28,1.18,3.1,6.5,-10.78,4.01,0.75,0.0,0.0
2020-02-10,-1401730.0,4830176.0,-3428447.0,-2645138.0,1243408.0,-1.28,4.4,-3.12,-2.41,1.13,4.09,2.0,0.0,0.0
2020-02-11,-7347829.0,3059278.0,4288552.0,-3874025.0,-3473804.0,-10.61,4.42,6.19,-5.6,-5.02,4.03,-1.47,0.0,0.0
2020-02-12,-18917940.0,10743216.0,8174724.0,-7480905.0,-11437035.0,-25.33,14.38,10.94,-10.01,-15.31,3.98,-1.24,0.0,0.0
2020-02-13,-19520674.0,13159813.0,6360862.0,-6794911.0,-12725763.0,-25.18,16.97,8.2,-8.76,-16.41,3.81,-4.27,0.0,0.0
2020-02-14,-2809931.0,-2346793.0,5156725.0,1094709.0,-3904640.0,-4.42,-3.69,8.1,1.72,-6.14,3.85,1.05,0.0,0.0
2020-02-17,746205.0,-3559324.0,2813119.0,1637116.0,-890911.0,1.07,-5.11,4.04,2.35,-1.28,3.97,3.12,0.0,0.0
2020-02-18,232156.0,-82423.0,-149732.0,232156.0,0.0,0.65,-0.23,-0.42,0.65,0.0,3.95,-0.5,0.0,0.0
2020-02-19,-1297457.0,-350006.0,1647464.0,2417276.0,-3714733.0,-1.32,-0.36,1.68,2.46,-3.78,4.03,2.03,0.0,0.0
2020-02-20,-3795909.0,2755196.0,1040713.0,-3583455.0,-212454.0,-6.74,4.89,1.85,-6.36,-0.38,4.08,1.24,0.0,0.0
